Date,ODA/NAM_LE_Value,ODA/NAM_LP_Value,ODA/NAM_PPPGDP_Value,ODA/NAM_BCA_NGDPD_Value,ODA/NAM_TX_RPCH_Value,ODA/NAM_TXG_RPCH_Value,ODA/NAM_TM_RPCH_Value,ODA/NAM_TMG_RPCH_Value,ODA/NAM_GGXWDG_NGDP_Value,ODA/NAM_GGXWDN_NGDP_Value,ODA/NAM_GGXCNL_NGDP_Value,ODA/NAM_GGXONLB_NGDP_Value,ODA/NAM_GGR_NGDP_Value,ODA/NAM_GGX_NGDP_Value,ODA/NAM_NGSD_NGDP_Value,ODA/NAM_PPPEX_Value,ODA/NAM_PCPIPCH_Value,ODA/NAM_PCPIEPCH_Value,ODA/NAM_PCPI_Value,ODA/NAM_PCPIE_Value,ODA/NAM_PPPSH_Value,ODA/NAM_NID_NGDP_Value
2010-12-31,,2.12,18.223,0.9540000000000001,-2.884,-2.884,1.739,1.739,15.65,11.927,-4.5760000000000005,-3.467,28.13,32.705999999999996,22.031,4.446000000000001,4.875,3.06,87.09700000000001,87.52600000000001,0.021,21.076
2011-12-31,,2.138,19.655,-1.16,-7.155,-7.155,5.332000000000001,5.332000000000001,22.936999999999998,18.199,-6.582999999999999,-5.483,29.592,36.175,18.838,4.663,5.008,7.397,91.458,94.0,0.021,19.997
2012-12-31,,2.156,21.013,-2.577,2.238,2.238,-0.531,-0.531,24.394000000000002,18.347,-1.357,0.027999999999999997,32.671,34.028,20.802,5.1080000000000005,6.724,6.382999999999999,97.60799999999999,100.0,0.022000000000000002,23.38
2013-12-31,,2.174,22.245,-5.132999999999999,4.4430000000000005,4.4430000000000005,2.242,2.242,25.53,22.451,-4.729,-3.0469999999999997,32.626,37.355,19.625,5.315,5.609,4.9,103.083,104.9,0.022000000000000002,24.758000000000003
2014-12-31,,2.1919999999999997,23.592,-7.016,6.992999999999999,6.992999999999999,3.139,3.139,27.566999999999997,26.337,-5.957000000000001,-4.176,35.735,41.692,20.292,5.5360000000000005,5.9,5.8,109.165,110.984,0.022000000000000002,27.309
2015-12-31,,2.21,25.107,-4.905,11.332,11.332,3.34,3.34,29.05,0.028999999999999998,-5.13,-3.162,36.867,41.997,22.688000000000002,5.747999999999999,5.75,5.7,115.44200000000001,117.31,0.022000000000000002,27.593000000000004
2016-12-31,,2.228,26.75,-0.152,18.663,18.663,3.429,3.429,29.734,27.480999999999998,-4.228,-2.133,37.512,41.74,24.855,5.957000000000001,5.6,5.5,121.90700000000001,123.762,0.022000000000000002,25.006999999999998
2017-12-31,,2.247,28.57,-0.08900000000000001,9.472999999999999,9.054,4.282,4.446000000000001,31.283,27.699,-4.598,-2.5180000000000002,35.489000000000004,40.086999999999996,22.063000000000002,6.159,5.5,5.5,128.612,130.569,0.022000000000000002,22.151999999999997
2018-12-31,,2.265,30.521,-0.415,6.484,5.274,6.084,6.218,32.757,29.855999999999998,-4.92,-2.702,34.823,39.743,20.24,6.3629999999999995,5.5,5.5,135.686,137.751,0.023,20.655
2019-12-31,,2.2840000000000003,32.601,0.155,6.718999999999999,5.305,5.957000000000001,6.066,35.345,32.115,-5.073,-2.702,34.817,39.891,19.812,6.577000000000001,5.5,5.5,143.148,145.327,0.023,19.657
