Date,ODA/SWZ_LE_Value,ODA/SWZ_LP_Value,ODA/SWZ_PPPGDP_Value,ODA/SWZ_BCA_NGDPD_Value,ODA/SWZ_TX_RPCH_Value,ODA/SWZ_TXG_RPCH_Value,ODA/SWZ_TM_RPCH_Value,ODA/SWZ_TMG_RPCH_Value,ODA/SWZ_GGXWDG_NGDP_Value,ODA/SWZ_GGXWDN_NGDP_Value,ODA/SWZ_GGXCNL_NGDP_Value,ODA/SWZ_GGXONLB_NGDP_Value,ODA/SWZ_GGR_NGDP_Value,ODA/SWZ_GGX_NGDP_Value,ODA/SWZ_NGSD_NGDP_Value,ODA/SWZ_PPPEX_Value,ODA/SWZ_PCPIPCH_Value,ODA/SWZ_PCPIEPCH_Value,ODA/SWZ_PCPI_Value,ODA/SWZ_PCPIE_Value,ODA/SWZ_PPPSH_Value,ODA/SWZ_NID_NGDP_Value
2010-12-31,,1.054,7.612,-9.979,-7.724,-9.467,-2.9810000000000003,-7.346,15.850999999999999,4.675,-10.589,-9.885,23.936999999999998,34.525999999999996,-0.247,3.7430000000000003,4.5089999999999995,4.5,192.767,203.705,0.009000000000000001,9.732000000000001
2011-12-31,,1.067,7.722,-8.154,-9.125,-10.390999999999998,-0.221,-6.9110000000000005,16.634,7.667999999999999,-4.613,-3.7569999999999997,23.96,28.573,-0.574,3.9,6.107,7.763,204.54,219.519,0.008,7.5889999999999995
2012-12-31,,1.08,8.008,3.819,9.206,12.333,-3.04,0.034,17.375999999999998,5.641,4.428,5.455,35.971,31.543000000000003,11.806,4.152,8.94,8.265,222.825,237.66299999999998,0.008,7.9879999999999995
2013-12-31,,1.093,8.353,5.292999999999999,17.006,19.003,-1.827,1.706,17.771,3.968,0.287,1.208,35.166,34.879,15.674000000000001,4.3839999999999995,5.62,4.4,235.347,248.12,0.008,9.611
2014-12-31,,1.1059999999999999,8.672,0.8,3.091,2.9789999999999996,4.625,6.704,17.230999999999998,4.515,-0.858,0.275,35.941,36.799,13.445,4.593999999999999,5.807,6.705,249.014,264.758,0.008,11.493
2015-12-31,,1.119,9.011000000000001,-1.439,3.8560000000000003,3.597,3.715,3.891,19.433,7.641,-3.42,-1.819,33.224000000000004,36.643,11.267999999999999,4.77,5.63,5.579,263.032,279.528,0.008,11.032
2016-12-31,,1.1320000000000001,9.371,-1.851,2.323,2.147,3.548,3.946,22.614,11.651,-4.5,-2.698,32.976,37.477,10.24,4.939,5.4,5.4,277.236,294.622,0.008,10.868
2017-12-31,,1.147,9.735,-2.412,2.006,1.536,2.7230000000000003,2.992,25.725,15.494000000000002,-4.582,-2.506,32.976,37.559,9.054,5.096,5.2,5.2,291.652,309.943,0.008,10.702
2018-12-31,,1.162,10.111,-2.9139999999999997,1.9269999999999998,1.6,2.512,2.861,28.134,19.319000000000003,-4.813,-2.506,32.976,37.789,8.515,5.255,5.2,5.2,306.818,326.06,0.006999999999999999,10.638
2019-12-31,,1.177,10.495,-3.1510000000000002,2.157,1.794,2.609,2.9760000000000004,30.173000000000002,23.07,-4.992,-2.506,32.976,37.969,7.7170000000000005,5.421,5.2,5.2,322.77299999999997,343.015,0.006999999999999999,10.638
