Date,ODA/USA_LE_Value,ODA/USA_LP_Value,ODA/USA_PPPGDP_Value,ODA/USA_BCA_NGDPD_Value,ODA/USA_TX_RPCH_Value,ODA/USA_TXG_RPCH_Value,ODA/USA_TM_RPCH_Value,ODA/USA_TMG_RPCH_Value,ODA/USA_GGXWDG_NGDP_Value,ODA/USA_GGXWDN_NGDP_Value,ODA/USA_GGXCNL_NGDP_Value,ODA/USA_GGXONLB_NGDP_Value,ODA/USA_GGR_NGDP_Value,ODA/USA_GGSB_NPGDP_Value,ODA/USA_GGX_NGDP_Value,ODA/USA_NGSD_NGDP_Value,ODA/USA_PPPEX_Value,ODA/USA_PCPIPCH_Value,ODA/USA_PCPIEPCH_Value,ODA/USA_PCPI_Value,ODA/USA_PCPIE_Value,ODA/USA_NGAP_NPGDP_Value,ODA/USA_PPPSH_Value,ODA/USA_NID_NGDP_Value,ODA/USA_LUR_Value
1991-12-31,-0.0091164685679654,0.013377485032813998,0.032523214442498,-1.0355791067373,-0.2511043153245,-0.21592899684689998,-1.0435997764114,-0.8442538593482,0.07069224192169299,0.07571643365274601,0.18424396442185997,0.70530726256983,0.020622433948663,-0.09925690021231402,0.038586016405334995,0.003477795612627,0.0,-0.22199667835394,-0.49175776505291996,0.042163510845107,0.029292380108292004,122.95652173913,-0.022493345164152998,-0.06571960875640401,0.21951219512195003
1992-12-31,0.0065838097746214,0.013358748500347,0.059158898939918,-17.787234042553,0.047489413188143,0.12138814417635001,-45.955128205128005,19.762114537445,0.033690427759948,0.067737561280901,0.18326180257510996,0.7608517608517601,-0.027483494549363,0.27607542722451,-0.0010745466756212,-0.060143961610236996,0.0,-0.27846299810246994,0.07476954592010901,0.030411186263926002,0.031476121562952,-0.25008768853034,-0.068805882085962,-0.0019442644199612,0.093722627737226
1993-12-31,0.014946661265275999,0.0131203339863,0.05190157967978201,0.56273764258555,-0.52671094426798,-0.5679373090715899,0.23271068016541,0.061956291109697,0.023132424750382,0.048063772419991,-0.14000725426188002,-0.30093023255814,0.0072939690558888,-0.13207111521589,-0.014548877235445,-0.036818517047711004,0.0,-0.023668639053253997,-0.1569250317662,0.029698948028622996,0.026538056822167998,0.061739943872777994,0.0064824292050494,0.015684315684316004,-0.07794981313400999
1994-12-31,0.023382865315693998,0.012220061042645001,0.062522715047901,0.3495539334955399,1.6976815131178,1.9465109130034,0.38033545401965996,0.33426573426573,-0.011368816959197,-0.010644644122142999,-0.26760860396457004,-0.8150365934797099,0.01194319927275,-0.22772013833466,-0.02426045191573,0.04694310283896799,0.0,-0.12592592592593,0.025621703089676002,0.025956047759128,0.027225574545727996,-0.44977973568282,0.0091041162227604,0.043375627028622,-0.11696583671105999
1995-12-31,0.014926343330273,0.011897844868508999,0.048609377084395,-0.109375,0.16193599457198002,0.21387584767866,-0.32984161568759,-0.32584606169512,-0.0085598178516876,-0.011908575304780001,-0.11114310394471999,-2.0179856115108,0.0088904033207362,-0.14467791939373,-0.0027688435183891,0.049338959212377,0.0,0.080508474576271,-0.0062454077883909,0.028051948051947998,0.027049502052328995,0.19935948759007,-0.0094058930799502,-0.0005184766214179299,-0.08327868852459
1996-12-31,0.014506676914209,0.011720421229611998,0.056905291588651,0.039136302294197,-0.20369829683698001,-0.23506660936829002,0.087407777916719,0.041314971123945,-0.011220930232558001,-0.035221876847385,-0.31292517006803,3.0,0.014584420768215,-0.30849778493758,-0.013770473412609001,0.04664379155050401,0.0,0.047058823529412,0.14158964879851998,0.029366792883721,0.030877752084102,-0.34779706275033007,-0.00033911442689652004,0.019995284131101004,-0.032904148783977
1997-12-31,0.022506313131313,0.012022360626305,0.06275790337863099,0.061688311688312,0.45612319726228007,0.6276404494382,0.54898804047838,0.53700938566553,-0.035382489563121004,-0.059653700189752995,-0.6360207449316401,1.0556537102473,0.008534075777751,-0.52009318578917,-0.030314232902032997,0.061264214732097,0.0,-0.20394960844399,-0.45401554404145,0.023377832179423,0.016858309770657,-1.7942681678608001,0.0026653743639447,0.033982153590087,-0.086168639053254
1998-12-31,0.014694532769425,0.011729259370578999,0.05583128352418099,0.44709480122323997,-0.80376028202115,-0.84957890376916,-0.13236822568671,-0.17798903615294,-0.047987686868533,-0.079938621936352,-1.4805699481865,0.42801890846584,0.010112224689431999,-0.9502427184466,-0.023637056805185002,0.026160826334587998,0.0,-0.33832335329340996,-0.046856465005931,0.015467995639308998,0.016065944523058002,1.0786082474227,0.019526341227646,0.021641924521552,-0.08943747470659699
1999-12-31,0.015402050564361999,0.011495460506771003,0.062874416199535,0.29289940828402,0.12959794696322,0.9150986691142701,-0.13228373406349,0.081462096910349,-0.057529773338456,-0.10497818190126,1.0026954177898,0.0045139933794764,-0.0013367792531858,2.6585365853659,-0.012555191782056002,-0.024694261523988997,0.0,0.41758241758242,0.8288736776602399,0.021931438947782,0.029397991887272996,0.54308741475511,0.0110457950128,0.020570728291317,-0.06288888888888901
2000-12-31,0.025467974022667005,0.011106932430738,0.064605033318238,0.30565544295521,2.243847027641,1.4229571052001002,0.2836012227591,0.021856217313246,-0.09929005740684099,-0.12083928936083001,0.9986541049798101,0.15847813061714,0.013623653994884,-4.1333333333333,-0.0086387832699619,-0.0062213648420544,0.0,0.5353397172822599,0.16604287172508,0.03367090279320201,0.034265391363939995,-0.10405785456006,-0.0071271158625217,0.010764216485118999,-0.059283851078966
