Date,ODA/MLI_LE_Value,ODA/MLI_LP_Value,ODA/MLI_PPPGDP_Value,ODA/MLI_BCA_NGDPD_Value,ODA/MLI_TX_RPCH_Value,ODA/MLI_TXG_RPCH_Value,ODA/MLI_TM_RPCH_Value,ODA/MLI_TMG_RPCH_Value,ODA/MLI_GGXWDG_NGDP_Value,ODA/MLI_GGXWDN_NGDP_Value,ODA/MLI_GGXCNL_NGDP_Value,ODA/MLI_GGXONLB_NGDP_Value,ODA/MLI_GGR_NGDP_Value,ODA/MLI_GGX_NGDP_Value,ODA/MLI_NGSD_NGDP_Value,ODA/MLI_PPPEX_Value,ODA/MLI_PCPIPCH_Value,ODA/MLI_PCPIEPCH_Value,ODA/MLI_PCPI_Value,ODA/MLI_PCPIE_Value,ODA/MLI_PPPSH_Value,ODA/MLI_NID_NGDP_Value
1991-12-31,,0.030094482678176,0.12671731048974,-29.763358778626,-78.378151260504,3.6603773584906,-0.9344837261503901,0.7867910983488899,,,,,,,0.48423876592891,-0.070708905919662,-0.062189054726367994,,0.015086660585222,-0.047935236141337996,0.08695652173913099,-0.019820842284464
1992-12-31,,0.030007926622127,-0.010328503801463001,-0.5140658174097701,-0.077867072111208,-0.73994426626006,10.493576017131,-1.1471139681264,,,,,,,-0.27564392227745,-0.019302205712458,-4.9171087533156,-0.12116788321168,-0.059076455136181004,-0.042136835514917,-0.12,-0.11979985112894001
1993-12-31,,0.029903254177660998,0.06305261632120598,-0.35554341889678004,-0.043811094099634997,1.0529720986656,-1.6874708896133999,-0.3709604005462,,,,,,,0.21681569279823001,0.0041593417547167,-0.90384289825631,-1.1018035121025,-0.0056717163554079,0.0042865611747001,0.0,0.11214470284238001
1994-12-31,,0.029995730145175002,0.057676574856830996,-3.4008474576271004,-1.7546495873876002,-1.6641717549733999,0.21246612466125,3.5253256150507,,,,,,,0.48248362289946006,0.39347368991003,-43.762323943662004,73.710955710956,0.2428957751474,0.3205134026548,0.0,0.42641094964515003
1995-12-31,,0.030054927971811002,0.04486270465386099,-0.41051888457466,-2.2614656438713996,-3.1840154211151,-3.1582476531067996,-4.3140390150304,,,,,,,-0.03227665706051899,0.12325875076903,-0.52064720655441,-0.7147670899503901,0.11643363294810999,0.09142071178864099,0.0,0.020434756856008998
1996-12-31,,0.030586578126572003,0.09352251696483599,4.4508982035928,-0.034803984991589994,-0.9997963201846701,-1.3944697597349,-1.3682813856991003,,,,,,,-0.50724637681159,-0.041620543332872,-0.44584729021729996,-0.69569022095821,0.06451475490143901,0.027829995484189,0.045454545454545005,-0.30740654748084995
1997-12-31,,0.029971687982037,0.071307683628568,-0.28265407008678006,3.4495978552279003,15714.333333333001,-1.7155421370438,-2.091576051356,,,,,,,0.37929089443996994,0.019088125417346,-1.1043087414755,-0.65851905104242,-0.006732760431776999,0.0095023040532947,0.0,0.088250083808247
1998-12-31,,0.02303317535545,0.055608214849921,0.037519142419602004,-0.95682954750859,-0.9777923895982701,-0.10328380113741001,-0.33005280844935,,,,,,,-0.15119471870071,0.014757795067354999,-7.0222882615156,2.1957894736842,0.040529379771569,0.030364065141041,0.0,-0.10023103581055
1999-12-31,,0.022977856017788997,0.073131796867205,0.25446494464945,17.862526168876,17.160458452722,0.3031914893617,0.4270870655679,,,,,,,-0.47635762956845,-0.021390094356087,-1.2844806316308999,-1.4206192358366,-0.011538089245959,-0.012770012082396002,0.043478260869565,-0.26952539906706
2000-12-31,,0.023005162575854,-0.010784678319078,0.12448523355689001,-1.2676285608583,-1.1394235826233001,-1.3106750392465,-0.8349234245543599,,,,,,,0.8021819137749701,0.056216376876207,-0.35559410234171995,-2.9483163664839,-0.0074325779980023,0.024875374374384,-0.083333333333333,0.36850430605191
2001-12-31,,0.030544488711819,0.14407894736842,0.074081824840431,-4.3162842134365,-8.7042625424368,-13.062152602324,16.322433460076002,-0.11628736740597999,-0.12375947468285,0.093197278911565,0.21967526265520998,-0.042022218644341004,-0.023594307699438998,0.38319597403544997,0.022714737564863,-7.9636608344549,1.0992765273312,0.051746761511065,0.052232502597062004,0.09090909090909101,0.24748490945673998
2002-12-31,,0.031099656357387997,0.059065144171527,-0.54700438382854,0.37607336390163,0.7682628280454399,-1.3754346277910001,-1.2033890864393,-0.40852893355594,-0.41920526047275997,0.17423771001867,0.1538762725137,0.15103641456583,0.15457652867452,0.48141312944897996,-0.051216720412946996,-0.05933513722458499,-0.2192226689642,0.048666091328656,0.040772829185927,0.0,0.049759780370625
2003-12-31,,0.031494750874854004,0.09765746199193301,0.37763440860215003,-1.3589300860293,-1.4376021043887999,-2.10120508815,-3.4068638031513,-0.09246720661217998,-0.12875519725156,-0.6494435612082701,-0.81099423142178,0.06429475323664001,-0.046463815789474006,-0.07592098238120701,0.0056666918004072,-1.2381343743578999,-2.228298185385,-0.011584013167310999,-0.050097517730496,0.041666666666667,0.063386727688787
2004-12-31,,0.031663974151857996,0.050667797328811,0.27973774586325,-0.5508481728415899,-0.64610225259428,2.6956125240652997,2.272800645682,-0.057347888841455,-0.042412564694285004,0.9493575207860899,2.4560143626571,-0.030548314812273998,0.025312634756360003,-0.20607041060011,0.020970309363970003,1.6824849007765001,-1.3064483928928001,-0.031086816836656,0.015352453126021001,-0.04,-0.1355405945464
