Date,ODA/VCT_LE_Value,ODA/VCT_LP_Value,ODA/VCT_PPPGDP_Value,ODA/VCT_BCA_NGDPD_Value,ODA/VCT_TX_RPCH_Value,ODA/VCT_TXG_RPCH_Value,ODA/VCT_TM_RPCH_Value,ODA/VCT_TMG_RPCH_Value,ODA/VCT_GGXWDG_NGDP_Value,ODA/VCT_GGXWDN_NGDP_Value,ODA/VCT_GGXCNL_NGDP_Value,ODA/VCT_GGXONLB_NGDP_Value,ODA/VCT_GGR_NGDP_Value,ODA/VCT_GGX_NGDP_Value,ODA/VCT_NGSD_NGDP_Value,ODA/VCT_PPPEX_Value,ODA/VCT_PCPIPCH_Value,ODA/VCT_PCPIEPCH_Value,ODA/VCT_PCPI_Value,ODA/VCT_PCPIE_Value,ODA/VCT_PPPSH_Value,ODA/VCT_NID_NGDP_Value
1991-12-31,,0.0,0.047979797979798,1.1594145043247,16.193023255813998,-3.9471464346908998,-1.2918773534158001,-1.3698800533096,-0.04568056752635401,-0.04567101117158401,-2.1390328151986,-1.2260470453241998,0.00050532394874582,0.093833578182092,-0.48739448189903994,0.0087774294670846,-0.18347358256311,-0.74948081757569,0.059204315576534,0.022924926982883998,0.0,0.0043906072366615
1992-12-31,,0.0,0.09397590361445801,-0.47381069755977007,-1.8428919247937,-1.9156082289803,-2.374861776631,-2.6500120105693,-0.053320828122829005,-0.053334583997749,2.3047763457165,7.8324873096447005,-0.12157725747682001,-0.011364419037123997,0.35809018567639,0.0037290242386576,-0.35715492481838,0.34075043630017,0.038053857906798993,0.030721623173611,0.0,-0.1760274774599
1993-12-31,,0.0,0.041850220264317,0.8408478744583701,-1.639974323999,-1.8692912616617001,0.12815013404826,-1.3492502547678,-0.02436429016989,-0.024354960168047002,-0.46983253039688,-0.6264367816091999,-0.05490985256068,-0.11791138358646,-0.34798177083333,-0.014241486068110999,0.11747700394218,0.46534331272372,0.04251567698511299,0.045033891485345,0.0,0.05324238548623901
1994-12-31,,0.0,-0.0084566596194503,0.27749856861123,0.47254262788365,0.10451199640388999,-1.3688212927757002,-3.0529387244685,0.087555003949002,0.08756321979160299,-0.7585460839463399,-1.4307692307692,0.070137319659308,-0.0054890810725427,-0.22803295057414003,0.017587939698492,-0.89604891815616,-0.90361980901621,0.0044267309841756,0.0043389408837814,0.0,0.11185068585563
1995-12-31,,0.0,0.10660980810235002,-0.35501220058762,-1.8296296296296,-1.7414152719133003,-4.2835051546392,-0.11492385786802001,-0.11501884704499,-0.11502689376961,-2.0232974910393997,2.6303571428571,-0.06696174774628401,-0.11030813214739998,1.0729183508488,-0.0030864197530865,4.3122171945701,6.2534562211982,0.023485658228033,0.031479925096946,0.0,0.05412183480300901
1996-12-31,,0.0,0.028901734104046003,-0.22251389746757,-0.48091133004926,-2.274941676959,-1.7427394034537,-1.9892177104841,-0.13680590832714998,-0.13679434420175,0.85639229422067,0.18052139695032002,0.063498280889585,0.043291975363742,0.16605568988378,0.023529411764706,0.87947189097104,0.15533672172808,0.04413384643996499,0.036380010292184,0.0,-0.062931696085955
1997-12-31,,0.0,0.050561797752809,1.3360476663357,-2.5330170027678998,-0.11204994349066,7.2832232496697,5.345315398886799,-0.046559529198733,-0.046573600958365,-4.590566037735799,-1.9616666666667,0.034211818628252996,0.2438826146475,-0.8106354515050199,-0.0018148820326679,-0.88828461364151,-0.7808633489139399,0.0049187515413914,0.0079723038302918,0.0,0.094266994266994
1998-12-31,,0.0,0.06773618538324401,0.059811256589015,-0.55184420944029,-0.7795623977210699,-0.32434932380709003,-0.11991520777749,0.016143199677136004,0.016129032258065,-0.28402522333158003,-0.50606585788562,0.0026115859449194,-0.034872923616604,1.012716354645,0.010909090909090998,3.2413793103448,3.1480552070263,0.020914854454973,0.033060113028367,0.0,0.16211361425043
1999-12-31,,0.0,0.051752921535893,-0.29509446071156,-4.2860431654676,-0.45971954907891,-1.2973610914413,-0.94642857142857,0.34670467023339,0.34670805259041,0.055779816513760995,-0.38771929824561,0.002052253532244,0.0072693582296975,1.1045981045981,-0.0089928057553956,-0.50693448110952,-1.5468844525106,0.010309966746350999,-0.018080667593881,0.0,-0.034166290977008
2000-12-31,,0.0,0.044444444444444,-0.65665187208376,0.30265347228304,-10.665139949109,2.6507382124147,-20.260465116279,0.014867373315059999,0.01487838698797,-0.44212721584984005,-2.1303724928367003,-0.023040567152422,-0.065694980012028,0.44888258839226,-0.015728977616455,-0.81086323957323,-1.7787610619468999,0.0019563521962698,0.014083367057871,0.0,-0.21948454639416
2001-12-31,,0.0,0.039513677811550005,0.44083526682135,-0.5591932773109201,-1.6758108677338002,-1.3925465298313,-1.3965225790871998,-0.040974358974359006,-0.040971196454948,0.038629283489097,-0.42458808618503996,-0.012094335819391,-0.0090117379780386,-0.16771223021582998,0.043638598647817994,3.3282051282051004,0.53977272727273,0.008443383158089,0.021669726235134,0.0,-0.010892780862878999
2002-12-31,,0.009433962264150999,0.077485380116959,0.045088566827697,-2.064816226933,-0.27300350603817997,-0.8989697573944799,-0.78197320341048,0.017735236974849997,0.017731657072448,0.032393521295741,-0.18502202643172,0.021954703121812,0.022619593458657997,-0.020814604799115,-0.002944640753828,-0.11255924170616001,-1.2057195571956,0.0074830910922435,-0.0044659713813263,0.0,0.003930036709134
