Date,ODA/GMB_LE_Value,ODA/GMB_LP_Value,ODA/GMB_PPPGDP_Value,ODA/GMB_BCA_NGDPD_Value,ODA/GMB_TX_RPCH_Value,ODA/GMB_TXG_RPCH_Value,ODA/GMB_TM_RPCH_Value,ODA/GMB_TMG_RPCH_Value,ODA/GMB_GGXWDG_NGDP_Value,ODA/GMB_GGXWDN_NGDP_Value,ODA/GMB_GGXCNL_NGDP_Value,ODA/GMB_GGXONLB_NGDP_Value,ODA/GMB_GGR_NGDP_Value,ODA/GMB_GGX_NGDP_Value,ODA/GMB_NGSD_NGDP_Value,ODA/GMB_PPPEX_Value,ODA/GMB_PCPIPCH_Value,ODA/GMB_PCPIEPCH_Value,ODA/GMB_PCPI_Value,ODA/GMB_PCPIE_Value,ODA/GMB_PPPSH_Value,ODA/GMB_NID_NGDP_Value
1991-12-31,,0.040404040404040005,0.05514705882352901,-0.94742547425474,,,,,,,,,,,0.048215302057078,0.10771435395271,-0.28977646285339004,0.10164966148565,0.08642000000000001,0.11552900529826,0.0,-0.081651895153687
1992-12-31,,0.040992448759439,0.068524970963995,-0.18556701030928,,,,,,,,,,,0.040955631399317,0.028676153514445996,0.09743115019671401,-0.63247641305289,0.094843614808269,0.042460420451595995,0.0,0.039219712525667
1993-12-31,,0.058031088082901,0.08695652173913,37.607594936709,,,,,,,,,,,-0.17839046199702,0.010060783902746,-0.31822016026993,0.20772491756948003,0.064659593428951,0.051278859400156,0.0,0.04287690179806399
1994-12-31,,0.035259549461312004,0.06,-0.39180327868852005,,,,,,,,,,,-0.034917467803374,-0.018468561942312,-0.7355397463655999,-0.016575663026521,0.017104005938233,0.050427465127844996,0.0,-0.1123531640773
1995-12-31,,0.031220435193945,-0.014150943396226998,0.5504043126684599,,,,,,,,,,,0.46001315665821,0.05581395348837201,3.0824561403509,-0.19908784453698003,0.06981203853947501,0.040393792507421,0.0,0.47363927427962
1996-12-31,,0.029357798165137994,0.08133971291866,2.1668984700974,,,,,,,,,,,-0.42250257466528995,-0.0086103323988787,-0.8425726973213,-0.4421886605595399,0.010994593417758,0.022529615718001002,0.0,-0.018105446118192002
1997-12-31,,0.045454545454545005,0.067256637168142,-0.90996925779534,,,,,,,,,,,0.44705751226037005,0.010502928701273,1.5304822565968998,-0.8628495339547301,0.027808484674467,0.0030870520419049,0.0,0.020947042336628002
1998-12-31,,0.030690537084398995,0.076285240464345,1.0243902439024,,,,,,,,,,,-0.12447046137256,-0.0045972416550069,-0.59942466738583,14.466019417476002,0.011146496815286998,0.047790078593763004,0.0,-0.16168183788470003
1999-12-31,,0.041356492969396,0.080123266563944,0.18132530120482002,,,,,,,,,,,-0.056831177971321,0.017068273092369,2.4174147217235,-0.63402385436284,0.03806464981351,0.017495395948434,0.0,-0.08583247156153
2000-12-31,,0.030182684670372998,0.079885877318117,1.8969913309536002,,,,,,,,,,,-1.1041880421602,0.013228035538006002,-0.77646440767008,-0.88393367638651,0.0085101569621601,0.0020345476764542,0.0,-0.13989441930618
2001-12-31,,0.030069390902082004,0.081241743725231,-0.037141348354162995,-2.583970856102,-0.19456325171512998,-14.864474739374002,15.251621271077001,0.027025472945777,0.027025472945777,26.76821192053,-1.3588390501319,-0.24227756193872999,0.015077913065421998,-6.1029543419875,0.12626656274357,4.2784958871915,38.748768472906,0.044923137824108006,0.08068269465301599,0.0,1.4491451117931002
2002-12-31,,0.029940119760479,-0.017715332926083998,0.10786106032907,-1.0973436062557,-0.77846680209558,-1.549945051767,-2.2003990422985,0.24784246602734,0.24784246602734,-0.19699499165275,-1.109375,0.2088761872741,0.10316967060286,-0.78684210526316,0.14342560553633,0.91674087266251,0.61172388152187,0.086097272997051,0.13005392479809,0.0,-0.34860825203616
2003-12-31,,0.030523255813953997,0.090174129353234,0.20742574257426002,-12.710572947430999,-9.659909909909901,-2.6569204880101003,-2.4068878399042997,-0.023170997474586005,-0.023170997474586005,0.016038016038016002,5.5378151260504005,-0.12522597691559,-0.098535211267606,1.240329218107,0.24875170222424,0.9781649245063899,0.35055747789312,0.17031654216202,0.17563643037592,0.0,0.37936246221489006
2004-12-31,,0.029619181946403,0.099828864803195,-0.38212382123821004,-2.0087763542823,-0.46173137655582003,-2.5196775422115003,-2.3600491470157,-0.11338000905517999,-0.11338000905517999,0.18474130371236,0.20951156812339,0.40163738971465,0.3553527904505999,6.235855988243901,0.09220889373561099,-0.16116721465477,-0.5393987702117999,0.14287275472898,0.08089481103269701,0.0,1.4122920609621998
2005-12-31,,0.030136986301369996,0.022821576763485,1.287104622871,-0.555,-1.3387057808456,-1.1438954095485,-1.0039958304378,0.0064757252812315,0.0064757252812315,0.44781643227239,-0.49734325185972,-0.10230237042078,0.0005072163046986299,-0.40906783103168,0.003550033281562,-0.6529012388885,-0.40098887515451,0.04959273972721799,0.048456502992689006,0.0,-0.09241441962257901
2006-12-31,,0.028590425531915,0.04208924949290101,-0.33143133462282004,-0.22966292134831,-2.1596698593846004,0.7570391872278699,18.234782608696,0.033501231662929,0.033501231662929,-0.12423312883436,-1.2684989429175,0.10063171193935999,0.039819338187850994,0.49188074576853996,-0.011054609772274999,-0.58540028231498,-0.9127115146512601,0.02055622732769,0.004233957555082,0.0,0.10455434733153998
