Date,ODA/JAM_LE_Value,ODA/JAM_LP_Value,ODA/JAM_PPPGDP_Value,ODA/JAM_BCA_NGDPD_Value,ODA/JAM_TX_RPCH_Value,ODA/JAM_TXG_RPCH_Value,ODA/JAM_TM_RPCH_Value,ODA/JAM_TMG_RPCH_Value,ODA/JAM_GGXWDG_NGDP_Value,ODA/JAM_GGXCNL_NGDP_Value,ODA/JAM_GGXONLB_NGDP_Value,ODA/JAM_GGR_NGDP_Value,ODA/JAM_GGX_NGDP_Value,ODA/JAM_NGSD_NGDP_Value,ODA/JAM_PPPEX_Value,ODA/JAM_PCPIPCH_Value,ODA/JAM_PCPIEPCH_Value,ODA/JAM_PCPI_Value,ODA/JAM_PCPIE_Value,ODA/JAM_PPPSH_Value,ODA/JAM_NID_NGDP_Value,ODA/JAM_LUR_Value
1991-12-31,,0.0071972904318374,0.041885232872357,-0.44511089412749,-5.849287622439901,-4.585046596002,-2.3483667225896,-1.8068334077713,,0.52457466918715,-0.0070501685909881,-0.065504427577483,-0.11932700603969,0.11045372619701,0.48182840014987,1.0610597683521998,1.6902277835553,0.51069471451299,0.8019194461925698,0.0,-0.082158289743007,-0.019108280254777
1992-12-31,,0.0084068936527953,0.051186207948736996,-0.5470085470085501,-3.2093375568103997,-2.6985018354996,-0.12017858449828,-0.034874065873236,,-0.09857408555486699,-0.052274130479522,-0.086255763780194,-0.08435387479180999,-0.05387953847782401,0.8265486725663699,0.51352039317812,-0.49870936366017,0.7729932131991601,0.40199074478303,-0.085106382978723,0.74917921080344,0.019480519480518998
1993-12-31,,0.0087536473530637,0.04644412191582,-0.13984461709211998,-0.83590990317084,-0.8511495864292701,1.9614008817901998,9.447662747347302,,-0.16506189821182998,-0.016395222584148002,0.04486111111111099,0.077466295741494,-0.051055418811069,0.32101328903654,-0.71447792281719,-0.25124378109453,0.22069693769798998,0.30099022233294,0.0,-0.010588943584658,0.038216560509554
1994-12-31,,0.009504132231405,0.040429958391123,-0.76193548387097,1.6544257312904,2.5144808099835,0.22127026040057,0.16389887732975,,0.012767710049423,0.12175736836295,0.013691346537286,0.013853028798411002,-0.036313617606602004,0.27769045373571993,0.5887177163570501,-0.10963455149502,0.35064338235294,0.26799904260412,0.0,-0.16379125205813,-0.055214723926379994
1995-12-31,,0.0085959885386819,0.046590681863627,2.3739837398374,-0.47502623795439003,-0.23393184152932,-0.51957401784893,-0.72095655865289,,-0.35990239934933,-0.11375713442236,0.057872191625142,0.10818355453254,-0.08674197626524201,0.20618387599442,-0.43219348030688004,-0.044776119402985,0.19908732462022,0.25601676199105,-0.023255813953488,0.05727249379334,0.051948051948052
1996-12-31,,0.0085227272727272,0.015730480193606,0.11004016064257001,-0.6961243127811401,-0.8047401101944399,-0.70412218126107,-0.77974983096687,,-4.4199491740788,-0.50821674439263,-0.06251549458722401,0.24058688350715998,0.069795480932393,0.17005507581423998,0.32638505198653994,-0.3828125,0.26406276080788,0.15799519086264002,-0.023809523809523996,0.016437246963563,-0.012345679012346
1997-12-31,,0.0096579476861167,0.0004388989905323,1.6968162083936,-1.2271232057416002,-1.5571812481338,-0.037216828478964,1.1657712970068999,,0.21772245959502,-0.65883946714834,-0.038653091806602,0.010508691935024001,-0.07413282130483799,0.08310088331008901,-0.63426364221608,-0.41981012658228,0.09657995510365801,0.09166417920132902,-0.073170731707317,-0.0075280809368279,0.03125
1998-12-31,,0.0099641291351136,-0.0013787916771121,-0.20338073517573999,-8.8986175115207,-2.9150589496248998,2.4073949579832004,2.1463501063076,,-0.10312738367658,2.1290536068829,0.041811846689894995,0.0083195262100328,-0.13516072314143,0.081446507135959,-0.1062331745703,-0.1435584160576,0.086315688068976,0.078510628180132,-0.026315789473683997,-0.11088814865353,-0.060606060606060996
1999-12-31,,0.009865824782951999,0.025291828793774,0.10912765240822,-0.78204700783464,-1.1256471246677,-1.1412646739667,-1.2213650185832,,-0.40415036570845,0.72081218274112,0.10777151909875,0.0025521798412753,-0.028254183391545,0.053730898987895,-0.30699721964782,-0.1361609985989,0.059814658803706997,0.06782407407407401,-0.027027027027027,-0.014083235533087,0.012903225806451998
2000-12-31,,0.0089878858929268,0.030666585052334997,0.20103249316732,-1.0726577437859,4.8719376391982,0.0017458100558660002,-0.19893156957517003,0.10940728656878998,-0.77076791321724,0.23684857423795,0.015969491121440003,-0.08013669967917401,-0.099136312429591,0.082395593012854,-0.23219658976930999,-0.52403420819817,0.045937578445318,0.032279376090345,-0.027777777777778,0.097976375789763,-0.012738853503184999
2001-12-31,,0.0089078233927189,0.035930633091816,0.76763590391909,-37.110526315788995,-2.4225298691447,-7.956082258626701,-6.9075897110194004,0.17644239671492004,5.0946450809465,-0.31640663817946996,-0.07421309872922799,0.08313746303738001,0.034121360090513995,0.054678324416025,1.0703244067059,2.6409541511772,0.09509,0.11753,-0.028571428571429,0.079142690351097,-0.032258064516129
2002-12-31,,0.0084452975047984,0.022186550478702,0.52024030896867,-0.5021133945489,-1.3851486468471,-0.4025655158591,-0.322206095791,0.096233612325013,0.37392725786678,-0.11862189271696001,0.01925919668877,0.08001120016800199,-0.08844869284809401,0.08846820094036098,-0.13513513513514,-0.41300093593125,0.08223981590554201,0.068982488165866,0.0,0.056336939721793,-0.053333333333333004
2003-12-31,,0.0076132470498668,0.057319125070107,-0.30118554761009003,5.284250585480099,-7.5001730702664995,-0.23039503480668,-0.24680783567293,0.039636154794683,-0.17221891731112,0.73313541151245,0.091534413458749,0.03406034287195799,0.12109917877448,0.094426130120117,0.20890077821012,1.0476880707349001,0.09941357634054801,0.14127504980663,-0.029411764705882002,-0.039871241495353996,-0.16901408450704
2004-12-31,,0.0071779372874953,0.041109696583917,-0.14999326780664998,-0.9048306703312099,-0.8323659406784201,-1.2272231909328999,-1.1100347478151,-0.025996181810797003,-0.16043837585339998,-0.025789874381423997,0.017652418191481,-0.01341356399649,0.16723953344227,0.09822386871169901,0.49285857976262004,0.11948750619380999,0.14841477547448997,0.1581572404081,-0.03030303030303,0.0081911002743066,0.033898305084746
2005-12-31,,0.0060015003750938,0.041422530188006006,0.51322667511484,-1.7978463044542,0.25857687420584,-1.0450839328536998,-5.197129186602901,-0.0048542474665332,-0.29231756901348,-0.037120250073264,-0.028835751855858998,-0.06794790343075,-0.27598358677287,0.07966582597730099,-0.09587656650047198,-0.33506165033196,0.13419988639022,0.10516016263252001,-0.03125,0.016967086120243,-0.079918032786885
2006-12-31,,0.0052199850857569995,0.0603228962818,0.051606825081126004,-8.7134969325153,3.2794043412417997,97.021276595745,1.2827177382581,-0.018246125736508,0.47112186271545,-0.28132291772345003,0.0012291618652531,0.05419038205923501,0.16275503400452998,0.056501299383888,-0.33497279976153,-0.47765310003803996,0.08923731410120402,0.05493189384953,-0.032258064516129,0.056331747919144005,-0.080178173719376
2007-12-31,,0.0044510385756677,0.041295621279934,0.52677682659765,-0.35926191044301004,-0.18843998820406999,0.75906229650532,0.9619456652017601,-0.022264717934707995,-0.21870503597121999,0.11166007905138,0.057431136346197995,0.013966570754258998,-0.11348127759618999,0.084240782709634,0.027566113850291,2.061896959767,0.09169592288259801,0.16818673170626,-0.03333333333333299,-0.066131982552413,-0.046004842615012004
2008-12-31,,0.0040620384047266,0.011387805742644,0.15373581953319,-2.1462264150943,-1.7673691860465,-1.4847606120433998,-1.3111031919768001,0.10897771723944999,0.97605893186004,-0.37295238095238,-0.010049704313754,0.10949207665083001,-0.60498059508409,0.11376497578383998,1.3998909487458997,0.0014864141744457,0.22007611043942002,0.16844528143963003,-0.03448275862069,-0.082680427904173,0.073604060913706
2009-12-31,,0.004045605001839,-0.026856516976999003,-0.37822106690778,-2.7011046133853,-0.5405814944596999,-3.1192567137584,-3.0106365570282994,0.1169051012133,0.48049527359871996,0.25253138922641,0.0088323682474529,0.11064172198752999,1.1193712133617,0.09800196827867201,-0.5647748443676999,-0.39355260033246003,0.095777862614021,0.10214501751035002,-0.035714285714286004,-0.13608179690386998,0.073286052009456
2010-12-31,,0.0040293040293041,-0.002476139023951,-0.2071253294556,-1.9870766488413998,3.7035662749948,-1.9866674674193998,-2.3278261577277,0.010975841868924,-0.43111510791367,-0.25367825383994,-0.025901841828023,-0.14249488964214999,0.034922351850420995,0.08558624283481,0.31687199832951,0.14968184043073998,0.12612996601299,0.11744124327036999,-0.074074074074074,-0.04097152906507,0.09030837004405301
2011-12-31,,0.0051076249543961,0.034932526966647004,0.53839981659789,-0.39954853273138,-0.9318928868825899,-0.7578671860734101,-0.93355807539074,-0.011811956991646002,0.011697755295606002,-0.31369150779896005,-0.046692026553293,-0.035546167773083996,-0.36625606569616,0.039188955665214,-0.40339332434789,-0.48841961852861004,0.075253422854134,0.060076517423224,0.0,0.10090697328642,0.050181818181817994
2012-12-31,,0.0050816696914701,0.013213553704591999,-0.028611876909321,-1.7790547798067,-8.3635778635779,-2.211161387632,-5.0682656826568,0.033813152695456004,-0.36328125,0.70328282828283,0.006024567717705999,-0.067955697390651,0.0056543762516197,0.046358227707770996,-0.083455149501661,0.33189081225033,0.068970477954118,0.08002401970347199,-0.04,-0.1064241660289,0.071483533394891
2013-12-31,,0.0054171180931743,0.016914866144443,-0.15233566004448998,0.22556183648146,-0.6581316088438299,0.662100456621,0.50294784580499,-0.033239598121656,-1.0292024539876998,0.41753150481838003,0.057512832477835,-0.09110439744880801,0.14642145952910998,0.06907877311013401,0.35624184428012,0.18382904273932002,0.093540794529805,0.094734376278869,-0.041666666666667,0.014761448939493,0.09694793536804301
2014-12-31,,0.0053879310344828,0.027426249629661,-0.24766989412723,0.31117111036112,2.2525562372188,-0.064935064935065,0.1888955944478,-0.012009149828441002,-7.1008403361345005,-0.0073212184599294,-0.014855671998528998,0.016287487073423,0.12659650556861,0.059825248170722,-0.060615779345734,-0.14493824553996,0.087867171502935,0.080998651655267,0.0,-0.083159567073776,0.0
2015-12-31,,0.0053590568060022,0.036539649845519995,-0.21277363483281,0.06726726726726699,0.24269097767997,0.22649572649573002,0.28439086294415994,-0.06067557041896201,-0.61157024793388,-0.012248123271433998,-0.026389459146728,-0.041865028891231004,0.015962270995828,0.064817267980986,-0.09525435302150899,-0.037037037037037,0.079499257454936,0.07800124492906099,-0.043478260869565,-0.087886500243678,0.0
2016-12-31,,0.0053304904051173,0.041491137429457,-0.13689839572193,0.020178470938178,-0.04812800404755901,0.05574912891986099,-0.0093864242663769,-0.045348041080259,-3.9042553191489,0.0,0.0016101824873486,-0.040128958846956005,-0.0015175861453311,0.057622504537205,-0.037735849056603994,-0.03846153846153799,0.076500807149291,0.07499883851356301,0.0,-0.07361671811921201,0.0
2017-12-31,,0.0053022269353127,0.045562085018698,-0.083200566471942,-0.32947202521671,-0.30316922463624,-0.21689356435644,-0.34560143626571,-0.06795814772609599,0.29181929181928995,-0.066666666666667,0.0071958968077776,-0.0020152526968822,-0.07411712114439001,0.051576922544665,-0.052287581699346,-0.066666666666667,0.072499699669844,0.070001049583562,0.0,-0.09715457574980801,0.0
2018-12-31,,0.0056258790436006,0.048211678832117,-0.071056188453369,-0.21107063109649,0.081617086193745,-0.19847227709732998,-0.14875781130925,-0.069450500594215,0.41209829867674996,0.0,0.0021281447138406,-0.015045929680075999,-0.09907300115874901,0.04703374216981599,-0.06896551724137899,-0.071428571428571,0.06750031382470201,0.064998336285705,-0.045454545454545005,-0.07907438955139098,0.0
2019-12-31,,0.0052447552447553,0.04818773719578,-0.07503637497401801,-0.1766721287055,-0.27864950634697,-0.10318764377258999,-0.072873769024172,-0.074146897223396,0.24966532797858,0.0,0.0029958285930982,-0.011818620356971,-0.042979635584137005,0.042055252507478,-0.074074074074074,-0.076923076923077,0.062499434652117006,0.060000180598321996,0.0,-0.07222136580854,0.0
