Date,ODA/GUY_LE_Value,ODA/GUY_LP_Value,ODA/GUY_PPPGDP_Value,ODA/GUY_BCA_NGDPD_Value,ODA/GUY_TX_RPCH_Value,ODA/GUY_TXG_RPCH_Value,ODA/GUY_TM_RPCH_Value,ODA/GUY_TMG_RPCH_Value,ODA/GUY_GGXWDG_NGDP_Value,ODA/GUY_GGXWDN_NGDP_Value,ODA/GUY_GGXCNL_NGDP_Value,ODA/GUY_GGXONLB_NGDP_Value,ODA/GUY_GGR_NGDP_Value,ODA/GUY_GGSB_NPGDP_Value,ODA/GUY_GGX_NGDP_Value,ODA/GUY_NGSD_NGDP_Value,ODA/GUY_PPPEX_Value,ODA/GUY_PCPIPCH_Value,ODA/GUY_PCPIEPCH_Value,ODA/GUY_PCPI_Value,ODA/GUY_PCPIE_Value,ODA/GUY_PPPSH_Value,ODA/GUY_NID_NGDP_Value
1991-12-31,,-0.035952063914779994,0.09572153734590301,0.0052410482096419,-3.5344280501348995,-5.1159602422027,4.5137870855148,2.7452516154297997,,,,,,,,-1.9019812304483998,1.2041856430275,0.60342146189736,0.04913678618857901,1.0310428455941998,0.7900059844404499,0.0,-0.065593869731801
1992-12-31,,0.020718232044198998,0.10191925876902999,-0.20409137944758,-0.21800369338632997,-0.15321841951869,-1.8205355447237,-1.9410257750823,,,,,,,,11.853179190751,0.10257293255276,-0.74102812803104,-0.84177215189873,0.26699570132145,0.12500417906456,0.0,0.27587338035099
1993-12-31,,0.010825439783490999,0.10750750750751,-0.26642664266426996,0.097342299071406,-0.35060805716721005,3.1421848480173,1.7671537307628,,,,,,,,-0.23115668285663002,0.12013653399963999,-0.68539325842697,-0.456,0.08400351847197798,0.06799405646359599,0.2,-0.25382439902301
1994-12-31,,0.022757697456492997,0.10791757049891999,-0.44580777096115,-0.75204260285964,-0.59805158750189,-0.93632079864409,-0.9402682407742,,,,,,,,0.023163313055686002,0.16425342070147,0.47619047619048,1.3669117647059,0.12397843853242999,0.16097167343759,0.0,-0.27315014213111
1995-12-31,,0.011780104712042001,0.072442486539403,-0.14022140221402,0.19549867608120003,0.036795177696848,0.0038022813688213,-1.3929411764706001,,,,,,,,0.5185227532586301,0.097081565622006,-0.014354838709677,-0.49636533084809004,0.12221534653465,0.08105840903099,0.0,0.20117326380658998
1996-12-31,,0.0064683053040104,0.09949794614331402,-0.38097281831187,0.57155161806325,0.79263565891473,0.83566433566434,-7.5012831479896995,,,,,,,,0.10270310970558999,0.017526625189066,-0.41973490427099,-0.44670614359734007,0.070926385442514,0.04485090344751099,0.0,-0.06408169305905
1997-12-31,,0.0012853470437018,0.08011623080116201,1.016639704183,-1.2308174130911003,-1.2221621621621999,1.0993650793651,0.75578947368421,,,,,,,,-0.082075793786275,-0.0020841314841774,-0.49858996051889004,-0.07402452619843901,0.035571002553045,0.041525207944322,0.0,0.16851149061774998
1998-12-31,,-0.0025673940949936,-0.006533435818601,-0.067384826953931,-5.861601085481699,-4.5635644768856,-0.29502495085438,-0.50487110311751,0.04248586876382399,0.04248586876382399,0.5607064017660001,-0.5799296727076,-0.12047062502442998,,-0.06503160011491001,-0.16692702521759,0.013083739000906,0.28458942632171,0.14856730074645003,0.045681493297975995,0.047692777834369,0.0,-0.12779105958771
1999-12-31,,0.0051480051480052,0.04564796905222401,-0.49188989923813997,-1.0438878035166,-1.1753861910045,-1.7536465036465,-2.432268805812,-0.10811109473994,-0.10811109473994,-0.82121640735502,1.6909207984546,0.027065463757166,,-0.08814379536813,0.12751138494508,0.10221157781449002,0.6490805604203199,0.80754716981132,0.075325910369695,0.086220977715552,0.0,-0.13311956971452
2000-12-31,,-0.04865556978233,0.0088790233074362,0.6142684401451,-16.453100158983,-5.3133819951338,-0.018073146435179,-0.22529853112121,-0.0072275224053195,-0.0072275224053195,3.7879746835442996,-0.32376166547021,0.18688879273042,,0.28274787296774,-0.26134473746733,0.034367522072777996,-0.18863666533917003,-0.31987937833449,0.061113567691060994,0.058646616541352996,0.0,-0.045280992721632
2001-12-31,,0.0013458950201884,0.045837917125046,0.027715355805244,-0.83559670781893,-0.9708935018050501,-1.7494202898551001,-1.7121811485473002,0.078791912804726,0.078791912804726,0.6361533377395899,-0.7937013446567599,-0.011192533449998002,0.05941812428584,0.053094729929404005,-0.16682749008255998,-0.016632762953213,-0.5667539267015699,-0.74386084583902,0.026478912367822002,0.015016233766234,0.0,-0.085733924889083
2002-12-31,,0.0094086021505376,0.027349228611501,-0.26574344023324,-1.5168961201501998,-3.984496124031,-1.6366273448076,-1.8822064738556001,0.031505475859941005,0.031505475859941005,-0.34477883255908004,1.8542024013722,0.023117764176682997,-0.10802289886335001,-0.033643053130457,-0.026508814824347002,0.020483491522674,1.0241691842899998,3.0539280958722,0.053604655096586004,0.06089230974277,0.0,-0.1386781491354
2003-12-31,,0.0039946737683089,0.013310580204777999,-0.047845940043676996,9.6416464891041,8.3545454545455,2.2335965978129,0.6150673035171501,-0.09341657632061001,-0.09341657632061001,0.9805795314426601,-2.7019230769231,-0.1002919024109,-0.1341270579481,0.012841609395669999,-0.0084600132187707,0.031373795990832,0.11548507462687,-0.17654787321399,0.059787756674747,0.050142119065939995,-0.16666666666667002,-0.024202507538486
