Date,ODA/ISL_LE_Value,ODA/ISL_LP_Value,ODA/ISL_PPPGDP_Value,ODA/ISL_BCA_NGDPD_Value,ODA/ISL_TX_RPCH_Value,ODA/ISL_TXG_RPCH_Value,ODA/ISL_TM_RPCH_Value,ODA/ISL_TMG_RPCH_Value,ODA/ISL_GGXWDG_NGDP_Value,ODA/ISL_GGXWDN_NGDP_Value,ODA/ISL_GGXCNL_NGDP_Value,ODA/ISL_GGXONLB_NGDP_Value,ODA/ISL_GGR_NGDP_Value,ODA/ISL_GGSB_NPGDP_Value,ODA/ISL_GGX_NGDP_Value,ODA/ISL_NGSD_NGDP_Value,ODA/ISL_PPPEX_Value,ODA/ISL_PCPIPCH_Value,ODA/ISL_PCPIEPCH_Value,ODA/ISL_PCPI_Value,ODA/ISL_PCPIE_Value,ODA/ISL_PPPSH_Value,ODA/ISL_NID_NGDP_Value,ODA/ISL_LUR_Value
1991-12-31,0.0,0.0078740157480315,0.031172069825436,0.91882804995197,226.30769230768996,4.6435714285714,4.3067608476287,14.986928104575,0.059880735464634995,0.039506953223766995,-0.7766185946609399,-1.9972552607501999,0.070472322503008,-0.78517647058824,0.0064662664843443,-0.05061040654261,0.04875489103677,-0.56105738233398,0.042376402160366,0.068083693125208,0.075270108043217,0.0,0.05554091795331201,-0.15397631133672002
1992-12-31,-0.016,0.015625,-0.011890366787586001,-0.40300375469337,-0.66463620981387,-0.87077585115808,-2.1355771059136996,-1.9914145543744999,0.20452710270636,0.34448160535117,1.6703296703297,-1.0357798165138001,0.012599826693833999,-1.0470974808324,0.040413577119698,-0.020099875156055,0.011427512508494,-0.41847826086957,-0.7997874319117801,0.039582181684172005,0.015072010717874,-0.16666666666667002,-0.09620088862263498,1.032
1993-12-31,-0.008130081300813,0.0076923076923077,0.03732408729349399,-1.2955974842767,-4.2860746720484,-5.9755142017630005,0.2560281312793,1.6123711340206,0.14908202322514003,0.30291723202171,1.2901234567901,60.307692307692,-0.05065106274718401,-52.302325581394996,0.0070383568314115,0.1202063957192,-0.0053377305484304,0.031321040666835,2.1526211015262,0.040833508735002993,0.04751429828420599,0.0,-0.065897039328325,0.43963254593176
1994-12-31,0.0081967213114754,0.011450381679388999,0.058198977585529006,1.7489361702128,0.42453554429602003,1.3938976377953003,-1.5093987468338002,-1.5911602209945,0.04751867813387999,0.087332581214383,0.052785265049416,0.023421162693434,-0.0095987526494019,0.34859474161378,-0.0034945822985120003,0.018765993744668998,0.0046541328454065,-0.61988733774186,-0.8894969480109499,0.015518067159811,0.005249895002100001,0.0,-0.053515463307906,0.09799453053783
1995-12-31,0.008130081300813,0.0075471698113208,0.021924934968413003,-0.6140350877193,-1.2467126535891,-1.1825507770743,-0.053389165140015994,-0.13604806408545,0.058945061262620994,0.050654464190699,-0.37038617452528,-0.87127094401308,0.02727965955772,-0.90319327731092,-0.013828848698720999,-0.047557912363940996,0.0089351195423655,0.065721649484536,2.8,0.016549107563958998,0.019949864215584,0.0,0.020992127952018002,0.041926110419261
1996-12-31,0.024193548387097,0.0037453183520599,0.067090909090909,-3.3930481283422,-5.3298383573613,-5.1076576576577,3.5546032623721002,1.5683820120538,-0.044907792273891994,-0.0052162463283702,-0.46289393425957004,-3.415873015873,0.02018581485561,-2.4097222222222,-0.011696821953347,0.0045712946140772,0.0063724361847764,0.3627569528416,0.031578947368421,0.022537941273507004,0.020583717357911,0.0,0.15958878962182999,-0.12868525896414001
1997-12-31,0.015748031496063,0.0074626865671642,0.066962003748509,0.0050279329608938,-0.43285238623751,-0.83814014694594,-0.5137185868641501,-0.69223826714801,-0.057197669461418,-0.04953418520592599,-0.98675078864353,1.8909329829172001,0.00039901420021131,2.2881773399015,-0.035007920343969004,0.041887871186045,0.011737230495129999,-0.20541259982254,-0.0053449951409134,0.017917280041945,0.020469596628537,0.0,0.038997361477572996,-0.10813900320072999
1998-12-31,0.031007751937985002,0.0074074074074074,0.07473650590865599,2.7720956086715,-0.55630670699164,-2.7865853658537,1.9204843340406998,3.7503421309872995,-0.16076946265732,0.12051419389395,18.238095238095,-0.09772727272727301,-0.040565904931724996,-1.0359550561798,-0.0315643833689,-0.029732907777590998,0.040169435057827,-0.048576214405359995,-0.37567171470445,0.017037293843792,0.012782694198623002,0.066666666666667,0.2259637360963,-0.28890028197898
1999-12-31,0.030075187969924998,0.014705882352941001,0.05690936106983701,0.0014736221632774,0.60866078588613,-3.6932119833144,-0.8115062403829699,-0.8681372952506401,-0.10345059829827001,-0.11481835564053999,-3.8366336633663,0.64886649874055,0.05629325312400701,-29.1875,0.018209555173499,-0.13659972299169001,0.017009837565773997,0.89084507042254,3.3302034428794998,0.032218164110056,0.055339805825243,0.0,-0.096735437898749,-0.32624369142033005
2000-12-31,0.0072992700729927,0.010869565217390999,0.06691972444819301,0.50426721600942,0.042871385842473006,-1.1836102506336001,0.94240362811791,-0.13639200998752,-0.03493176411669,-0.037045037261043,0.47818499127400005,0.1066300030553,0.0084500520893622,0.2520325203252,-0.0043520654474542,-0.13214357329056,0.013351029727693,0.58876474239603,-0.25189736176364,0.051187454591774,0.041398344066237,0.0,0.06567903499518402,-0.28892455858747995
