Date,ODA/LTU_LE_Value,ODA/LTU_LP_Value,ODA/LTU_PPPGDP_Value,ODA/LTU_BCA_NGDPD_Value,ODA/LTU_TX_RPCH_Value,ODA/LTU_TM_RPCH_Value,ODA/LTU_GGXWDG_NGDP_Value,ODA/LTU_GGXWDN_NGDP_Value,ODA/LTU_GGXCNL_NGDP_Value,ODA/LTU_GGXONLB_NGDP_Value,ODA/LTU_GGR_NGDP_Value,ODA/LTU_GGSB_NPGDP_Value,ODA/LTU_GGX_NGDP_Value,ODA/LTU_NGSD_NGDP_Value,ODA/LTU_PPPEX_Value,ODA/LTU_PCPIPCH_Value,ODA/LTU_PCPIEPCH_Value,ODA/LTU_PCPI_Value,ODA/LTU_PCPIE_Value,ODA/LTU_PPPSH_Value,ODA/LTU_NID_NGDP_Value,ODA/LTU_LUR_Value
1996-12-31,,,0.071604633965985,-0.060473269062226,,,,,,,,,,-0.08412252145605201,0.16817359855335,,,,,0.0,-0.074592589321203,
1997-12-31,,,0.09994249568717699,0.1298973880597,-0.010817055240496,0.077700077700078,,,,,,,,0.19953146457711,0.092879256965944,,,,,0.045454545454545005,0.17099360503960997,
1998-12-31,,,0.087899065941726,0.19040247678019,-0.7526807516721501,-0.7540655291195999,,,,,,,,-0.14223180012122,0.021246458923513,,,,,0.043478260869565,-0.010800016301910999,
1999-12-31,,,0.0049336836035112,-0.05643693107932401,-4.5140588109036,-3.0115635179152997,,,,,,,,-0.18214650231608998,-0.029819694868238995,,,,,-0.041666666666667,-0.12244561634805999,
2000-12-31,,-0.0068104426787741,0.059806171894925,-0.46085997794928,-1.5837405326167,-1.4028823577037999,,,,,,,,0.24364020351349,-0.01072194424589,,,0.010803432549969998,0.016207627118644,-0.014492753623188,-0.13183098591549,0.12157534246575
2001-12-31,,-0.0054285714285715,0.09129466971483599,-0.19989775051125,1.2192110494925,2.532154340836,-0.025926083082276,-0.047013330619720996,-0.09188783174762198,-0.10710571923742998,-0.015253813453363001,1.0232288037166,-0.023759239704329,0.10181397143960001,-0.026734104046242997,0.43478260869565005,0.28624305983960996,0.015513776065656,0.020848535390389,0.044117647058823,0.015898767034393,0.060274809160305004
2002-12-31,,-0.0034472852628555,0.08478734253976102,0.097976570820021,-0.12249516714602,0.057237141556668,-0.033106813033629,-0.07581420181527,-0.50399779432037,-0.65683229813665,-0.0014601320467243,-0.5952927669345601,-0.053343201161367995,0.068165896034749,-0.012620638455828,-0.77820760799484,-1.4311750599520001,0.0034326358107411,-0.0089860104156031,0.042253521126761,0.082721175343341,-0.20723418960949
2003-12-31,,-0.0043240126837704,0.12473637403124999,0.3262851600388,-0.54725699854925,-0.5234097513723001,-0.05230672193188,-0.093414211438475,-0.29238465814340997,-0.60180995475113,-0.015449170322334,0.86382978723404,-0.03045975283399,-0.036466190070178,-0.027819548872181,-4.1453488372092995,0.46718576195773,-0.010817418817993998,-0.013189077794951,0.054054054054054,0.053343166175025006,-0.097718686428364
2004-12-31,,-0.0052113491603938,0.10322157961323,0.11320754716980999,-0.5142416330405901,0.71759259259259,-0.082196339434276,-0.07430064359905701,0.20267085624509,1.2215909090909,0.02192302725042,0.47488584474886,0.029121697059918,-0.0020420665713703,-0.0023201856148491,-2.0748613678373,-3.1531463229719,0.011631529753868,0.028401378302182,0.025641025641026004,0.04084014002333701,-0.12343989049038001
2005-12-31,,-0.0064027939464493,0.11258779923411999,-0.07804493496255399,3.1602736379184,0.10650187364407002,-0.047808971304258,-0.044331245267433005,-0.6701502286087501,-1.1713554987212,0.041736438027235,-0.2703818369453,0.00885995841244,0.12802673760316002,0.03333333333333299,1.2854686156492,0.06197183098591599,0.026578380043116998,0.030155345720377997,0.025,0.058385650224215,-0.23507257027375
2006-12-31,,-0.0058582308142941,0.11122563545674,0.5167450477412,-0.28065539112051,-0.18804586774404,-0.023608768971332,-0.20845638550745998,-0.11683168316832,-0.13432835820896002,0.0085223826276841,0.60820367751061,0.0066314185858948,-0.068327488208973,0.034508627156789,0.42513167795334994,0.50663129973475,0.037890378903789004,0.045436625271042995,0.024390243902439,0.10126260486399001,-0.30551218926384
2007-12-31,,-0.048025928108427006,0.12717394905092,0.36023677534529996,-0.7452853294146501,-0.22084004097760998,-0.062454732854197996,0.0097370097370097,1.262331838565,-5.4913793103448,0.016449643641175,0.86103781882146,0.032938662868334,0.08995327102803698,0.057287889775199004,0.5364308342133101,0.8050176056338,0.058195552472348,0.082021306684265,0.035714285714286004,0.20156201908279,-0.26422272177071
2008-12-31,,-0.010213556174559,0.049315229530359,-0.08185397527112,2.6666666666667003,-0.037096168294515,-0.077489897789399,0.14653929343907998,2.2646184340932,4.3589251439539,0.0078402366863906,0.5725425330812901,0.073256916314746,-0.15964034774323999,0.074759945130315,0.9051546391752601,0.031455742501829,0.11088247077248,0.084603990589875,0.0,-0.13377733662067,0.36944770857813997
2009-12-31,,-0.010944340212633002,-0.14200089625811999,-1.2969455311466,-2.104020979021,-3.7438798400468,0.8972558618912699,0.83925483414557,1.8618700667881,1.9706303724928,0.018112432115073997,-0.07603305785124,0.18067935437244,0.07461205980301899,-0.041480536056158,-0.6244588744588699,-0.8613475177305,0.0416372965264,0.011728791773778998,-0.13793103448276,-0.5774590618415699,1.3662261884331999
