Date,ODA/SUR_LE_Value,ODA/SUR_LP_Value,ODA/SUR_PPPGDP_Value,ODA/SUR_BCA_NGDPD_Value,ODA/SUR_TX_RPCH_Value,ODA/SUR_TXG_RPCH_Value,ODA/SUR_TM_RPCH_Value,ODA/SUR_TMG_RPCH_Value,ODA/SUR_GGXWDG_NGDP_Value,ODA/SUR_GGXCNL_NGDP_Value,ODA/SUR_GGXONLB_NGDP_Value,ODA/SUR_GGR_NGDP_Value,ODA/SUR_GGX_NGDP_Value,ODA/SUR_PPPEX_Value,ODA/SUR_PCPIPCH_Value,ODA/SUR_PCPIEPCH_Value,ODA/SUR_PCPI_Value,ODA/SUR_PCPIE_Value,ODA/SUR_PPPSH_Value,ODA/SUR_LUR_Value
1991-12-31,,,0.061666065632888005,-2.9698492462312003,-18.46042003231,-1.0,-0.31598411176551,-0.20677880359175,0.024667643936713,1.3267770204479,1.4185997910136001,-0.13030446442657,0.17948824113945,0.0,0.1930074428007,,0.26022304832714005,0.3013698630137,0.1,
1992-12-31,,,0.021059782608696,-1.2525510204082,-1.6730199851962,,-0.41049259110933,-0.7048788265306101,-0.042536135365792996,-0.30515567458989,-0.31063682709755,0.06953261986819,-0.08761891389054699,0.5,0.68159587168329,0.9168804344204999,0.43657817109145003,0.57368421052632,-0.18181818181818002,
1993-12-31,,,-0.050565535595476,2.1861034588307,-2.5060489414352003,-2.7396067163509,-9.6491168478261,-16.408427876823,0.10675597346558001,-0.5233678631655,-0.53823013286538,-0.08191531460229501,-0.22292331961063,1.3333333333333,2.2865616268951,2.9076973878587,1.435318275154,2.2491638795987,0.0,
1994-12-31,,,0.054309740714785996,0.17936401191276996,-0.046006389776358,-1.0467120883659,-0.6461925146290699,-0.42645769783667997,-0.33363592984415996,-1.2802628253728001,-1.3439196525516,0.08571428571428599,-0.18190820418873999,4.142857142857101,1.5676010898119,1.6083880006226998,3.6838111298482,5.8667009778693,0.0,
1995-12-31,,,0.032236623462944,-0.40615835777125997,-2.660032532772,-1.2574585635359,-1.027528027528,-0.36911602885438005,-0.723103255554,-1.3092876465283998,-1.2257300710338999,0.19084618874773,0.29159353628276,2.6666666666667003,-0.36080210812555996,-0.93699732132048,2.3551755175517997,0.3695098186179,-0.11111111111111001,
1996-12-31,,,0.031229877656149,-2.0696844993141004,-1.1280189059888002,,118.75,-4.6323643410852995,-0.20512173583954002,2.9212827988338,3.4650349650349996,0.16626184693051002,0.21048685628601999,0.09090909090909101,-1.0033711061389001,-0.98679296346414,-0.0079407661766286,0.004870840630473,0.0,
1997-12-31,,,0.07524196066188,0.66491408053347,-3.7928860873479997,283.57510729614,-0.46312883022426,-0.44827402230165997,0.5205522932867801,1.5100371747211998,1.5959279561472,-0.16212022214962,-0.075059033019781,0.0,-10.133501259446,36.473360655738,0.072525689561925,0.18283317902075,0.0,
1998-12-31,,0.011135857461025,0.0267131242741,0.3278903181083,-2.3241979687248,-1.695955117184,-0.50432764676367,-0.5735905618412099,0.26667362488258,2.3717417061611,2.4090497737557004,0.152402768301,0.46597472168745,0.16666666666667002,1.6290678433536,0.25444304697326003,0.19066108617821,0.22944101666820002,0.0,0.1
1999-12-31,,0.015418502202643,0.0062217194570135,-0.14408352668213,-2.5252008765522005,-0.44907467602826,-2.2486397570542995,-1.8606417961219999,0.59216381015162,-0.31204427655274997,-0.31448544376604,-0.23396066821738,-0.25933538883179,0.70238095238095,4.1780132172454,3.9171752397559,0.98725224462138,1.1279727351036,0.0,0.09090909090909101
2000-12-31,,0.013015184381779,0.021641371557055,-1.2243155326647,-0.86310664112388,-1.1828265743618,-0.80239156870693,-0.6096179183135699,0.34211411566826,0.44055676158856,0.44481734865109,-0.018439794622647,0.12010484119642001,0.61188811188811,-0.40634496171144,-0.31632978723404,0.58608784604565,0.77118569492599,-0.125,0.14725
2001-12-31,,0.014989293361884,0.07290233837689099,-3.3283987915407995,2.8390670553936,2.0817555938038,-4.9451282051282,-9.3013837327033,-0.23213665985424,-1.0641787075614,-1.111766282498,0.5253388829518,-0.09170681348933199,0.32104121475054,-0.41362953862954,-0.9886148499701801,0.34365258518757,0.0087840456293411,0.14285714285714002,-0.0027602237233965
2002-12-31,,0.010548523206750999,0.053333333333333004,0.23485143376151998,-3.7922235722965003,-1.4804523876012001,-0.6832185103340699,-0.7036223929747499,-0.042886556520865995,-8.9972375690608,-4.8009592326139,-0.25362292119915997,-0.013790490623223997,0.29064039408867,-0.54850724553338,31.334851936219,0.15516,0.28389200263985,0.0,-0.29652560273872997
2003-12-31,,0.010438413361169002,0.08300876338850999,0.015235893663969999,-2.2001740644037997,4.2079337401918,9.261797291752199,3.5969821673525,-0.12099270685765,-1.2215889464593999,-1.5966351209253,0.0084481991996443,-0.2651454035573,0.20101781170482996,0.48240525908739,-0.54015498414935,0.23000277017902,0.13054886375841998,0.0,-0.3219092979913
2004-12-31,,0.018595041322313998,0.10271971229489998,-0.23690747257297,1.006571791153,1.7866130967328,0.60212731925784,0.35852828837431,-0.057780695994747,-1.8409976617303,-1.0986958054283,0.028708602782677003,0.15411155836688,0.10275423728814,-0.60323464197209,-0.30563002680965,0.091262272583313,0.09065676787144199,0.0,0.28004275461903
2005-12-31,,0.012170385395537999,0.082959641255605,-0.10986030109860001,-0.09495629390373402,-0.58419023779725,-0.052163929516297995,-0.0078415006479671,-0.086442825467216,-0.081556997219648,-4.3071428571429,-0.0087627393085056,-0.012320514562667001,0.10374639769452,0.53199649353496,0.09917264202978501,0.13981116012692998,0.09963476172402401,0.0,0.3221996898485
