Date,ODA/KOR_LE_Value,ODA/KOR_LP_Value,ODA/KOR_PPPGDP_Value,ODA/KOR_BCA_NGDPD_Value,ODA/KOR_TX_RPCH_Value,ODA/KOR_TXG_RPCH_Value,ODA/KOR_TM_RPCH_Value,ODA/KOR_TMG_RPCH_Value,ODA/KOR_GGXWDG_NGDP_Value,ODA/KOR_GGXWDN_NGDP_Value,ODA/KOR_GGXCNL_NGDP_Value,ODA/KOR_GGXONLB_NGDP_Value,ODA/KOR_GGR_NGDP_Value,ODA/KOR_GGSB_NPGDP_Value,ODA/KOR_GGX_NGDP_Value,ODA/KOR_NGSD_NGDP_Value,ODA/KOR_PPPEX_Value,ODA/KOR_PCPIPCH_Value,ODA/KOR_PCPIEPCH_Value,ODA/KOR_PCPI_Value,ODA/KOR_PCPIE_Value,ODA/KOR_NGAP_NPGDP_Value,ODA/KOR_PPPSH_Value,ODA/KOR_NID_NGDP_Value,ODA/KOR_LUR_Value
1991-12-31,0.031186065800387002,0.009960577573538,0.13364666256592,1.7109004739336002,1.1874364708274,-0.19537699504678,0.38669766046790993,0.67045686661674,-0.067398597133272,,,,,,,0.0028304795000420003,0.066683948327833,0.08876705937244801,-0.0094238594988219,0.093348000808208,0.09250475420227801,-2.6489563567362002,0.073692551505547,0.051557733660049,-0.0032546786004882
1992-12-31,0.019303984127835,0.010439763488544002,0.081763491160419,-0.70148601398601,0.29079925650558003,0.13050615595075,-0.7070242794570899,-0.88558734816989,-0.01904839764552,,,,,,,-0.033534540576793996,0.054492432125920996,-0.33447610884937,-0.51805405405405,0.062113714297448,0.04457693923691001,-2.1657077100115,-0.04870848708487099,-0.07237968423055001,0.030612244897959
1993-12-31,0.011889105160713,0.010217609947883002,0.088590643246376,-1.7569546120058999,-0.43214054287566,0.79731364956438,-0.10354374307863001,1.0634128963306,-0.06300525043753599,,,,,,,0.010178117048346001,0.039605320695401,-0.22714101738571,0.30148048452221005,0.048022271198237,0.058016817023884996,1.0523198420533,0.041117145073701004,-0.028145186096586002,0.14851485148514998
1994-12-31,0.031868988822459005,0.010114266319719,0.11087004173731,-2.8820116054159,1.0806390262457,-0.080926412172625,3.6952851554457005,2.9810082872928,-0.10513208218447,,,,,,,-0.022383787497137996,0.05449806952550299,0.30514476150802,-0.040503274732851,0.062663715181701,0.055668199427930005,-0.7027417027417,0.05514157973174401,0.019676109088991,-0.14655172413793
1995-12-31,0.028516727126159002,0.010102593969804001,0.11202255109232001,0.7913669064748199,0.50566727605119,0.66713061314189,-0.013900460425344999,0.03872842397432601,-0.11599244607892,,,,,,,-0.015020202611700001,0.052612712650122,-0.28487073092882,-0.14603915933178,0.044803582897912,0.047536569890076,-3.5113268608414,0.050141242937853,0.006595964821521,-0.16484848484848003
1996-12-31,0.021504849613011,0.0095802009181025,0.09142183578798,1.2656339644291001,-0.53039501376073,-0.22356973372001,-0.34556207755247,-0.34770990772828003,-0.08140319316393099,,0.06227915194346299,0.035003684598379,0.040606355777426,-0.031558185404339,0.037141646660076,-0.044677625516483,0.030972748897077004,0.09908502566391401,0.03618005889777,0.049245696816640996,0.049259228943275994,0.8621134020618599,0.032952252858104,0.022741873313632,-0.0043541364296083
1997-12-31,0.017311657795041,0.0094233937397035,0.07577760929829801,-0.53532539883515,0.7030940274067099,-0.1734012450481,-0.7157029285859899,-0.9080842347820501,0.24736842105263002,,0.011642411642411999,0.017087931648273,-0.0043292575908267,-0.037169042769857004,-0.0070125272331155,0.0018980645964279,0.021035665013864,-0.09868020304568499,0.33434835566382004,0.044384975931087006,0.06573158173932099,0.24878892733564,0.014973958333332999,-0.062537688442211,0.27162293488823996
1998-12-31,-0.060196096917129994,0.0072463768115942,-0.046908493123645,-6.7983651226158,-0.34745205202165996,0.29741202245652,-6.2695984703633,-18.031337047354,0.43077225002453,,-0.52692149609536,-0.37171858592929996,0.061872025383394993,0.20200951877314002,0.16016455262256,0.09012702257834102,0.038262597614562,0.69249831043028,-0.39662254678229,0.075142142369798,0.039659185734991,-2.8653366583541,-0.080179602309173,-0.27989064887031,1.6557126480703
1999-12-31,0.017755931183227,0.0071294315898632,0.1242516617155,-0.58242481203008,0.1155486622722,-0.37530343007915995,-2.1976596516691003,-2.1661283068242,0.14608051573966,,0.055603822762815,0.24345403899721,0.01460823373174,-0.34755829300484004,0.011819632409431999,-0.07495512948349099,-0.025344968958651,-0.8917875682150901,-0.6583459404941999,0.0081228582307398,0.013546243100146002,-0.75118835412953,0.06973500697350099,0.13361619770731,-0.052805755395682996
2000-12-31,0.042629737321965,0.0083874981230025,0.11307546615853001,-0.5813639432815699,1.7343760862008997,0.77006251055922,1.1521623873362,-0.33779803646564,0.024115851834121002,,2.4189300411523,1.3472222222222001,0.15608638743456,1.7855697909643,-0.0044974008527538,0.071789344009855,-0.012943731424183001,1.7785977859779,1.0516605166052,0.022591520136528,0.027800161160355,-1.0829850746268999,0.03780964797914,0.081554928097708,-0.32781406653501
2001-12-31,0.019663452448478003,0.0074242682096664,0.069074574991337,-0.72741935483871,-1.0580922357248002,-0.95456714708409,-1.0640330811191,-1.1298316213068,0.034357835690078,,-0.37963408762638,-0.3084558121779,-0.027502594584395,-0.35633018639555,0.058319643276226,-0.078589695698399,0.013408125967225,0.80035413899956,0.13776978417266,0.040669201937019,0.031630597872369,-4.2877697841727,0.021356783919598,-0.041952522615506006,-0.092203389830508
