Date,ODA/ZAF_LE_Value,ODA/ZAF_LP_Value,ODA/ZAF_PPPGDP_Value,ODA/ZAF_BCA_NGDPD_Value,ODA/ZAF_TX_RPCH_Value,ODA/ZAF_TXG_RPCH_Value,ODA/ZAF_TM_RPCH_Value,ODA/ZAF_TMG_RPCH_Value,ODA/ZAF_GGXWDG_NGDP_Value,ODA/ZAF_GGXWDN_NGDP_Value,ODA/ZAF_GGXCNL_NGDP_Value,ODA/ZAF_GGR_NGDP_Value,ODA/ZAF_GGSB_NPGDP_Value,ODA/ZAF_GGX_NGDP_Value,ODA/ZAF_NGSD_NGDP_Value,ODA/ZAF_PPPEX_Value,ODA/ZAF_PCPIPCH_Value,ODA/ZAF_PCPIEPCH_Value,ODA/ZAF_PCPI_Value,ODA/ZAF_PCPIE_Value,ODA/ZAF_PPPSH_Value,ODA/ZAF_NID_NGDP_Value,ODA/ZAF_LUR_Value
1991-12-31,,0.022292288970018996,0.022762867988637997,-0.14575779550399,2.5599078341014,-1.4222222222222,-1.3671406544458002,-1.0893317702227,,,,,,,-0.03349004278696299,0.1201248049922,0.08959820803583901,0.091249916315191,0.15566037735848998,0.16299559471366,-0.03169014084507,0.032146871487448,0.07336030664395199
1992-12-31,,0.022212001515069,0.0009386990582729401,0.276740237691,-4.554045307443401,20.230263157895,1.4951003266449,13.538057742782,,,,,,,-0.10127343280319,0.12047353760446002,-0.12161120390595,-0.41901840490798,0.13673469387755002,0.09469696969697,-0.12,-0.10773921881805999,0.05212776510266799
1993-12-31,,0.021729349178202,0.03641934758933,0.41622340425532,0.8901839373520299,0.7107220328478501,0.31232466803815,0.20870193175663002,,,,,,,-0.018243736317198,0.10441267868241001,-0.27784685145908,0.023125659978881,0.098743267504488,0.096885813148789,-0.0082644628099174,0.05166802278275,0.04478385895441501
1994-12-31,,0.020671433012123,0.05431269937243299,-0.9943661971830999,-0.7605742364389599,-0.89203876460466,1.2934302408437,1.8255414488424,,,,,,,0.042182854311199,0.07315700619020798,-0.10633988251975,0.0092888843017855,0.08823529411764698,0.09779179810725501,0.0013888888888889,0.19110251450677,0.032802418445156
1995-12-31,,0.021267955941323,0.05266176237937001,-138.5,3.4016096579477,7.8255033557047,0.043372895047536,0.040122641010731,,,,,,,-0.019019316493314,0.079706345044573,-0.013032638259293001,-0.29471316085489,0.087087087087087,0.06896551724137899,-0.0055478502080444,0.16498863267295,-0.2699868938401
1996-12-31,,0.019756461232604,0.062102909958483,-0.30242424242424,-0.34137867983178005,-0.4893536121673,-0.48126972783039,-0.39764179711323,,,,,,,-0.031020902756740003,0.061680427391938,-0.15949018256976,0.34464259823111,0.07320441988950299,0.09274193548387101,0.00418410041841,-0.07660998048508501,0.15625374027528
1997-12-31,,0.018252711100279997,0.044042110625291994,0.29626411815812,-0.26499167129373,-0.041139240506329,-0.38174512055109,-0.4319946000675,,,,,,,-0.050772212843119,0.062671546203111,0.17800546448086998,-0.3235928401984,0.086229086229086,0.06273062730627299,-0.015277777777778001,-0.027836483304148,0.084415920501009
1998-12-31,,0.016681026230136002,0.016080831080119,0.18230563002681,-0.38696883852690994,-0.6156086196855,-0.6259981429897901,-0.8184789067142,,,,,,,0.0036888215532574,0.065863108049935,-0.20306157949669,0.42069185397736,0.068720379146919,0.08912037037037,-0.018335684062058998,0.013540372670807,0.20260595647194002
1999-12-31,,0.014971398978366999,0.039249032946512004,-0.71031746031746,-0.6115218730745501,-0.30050505050505,-5.1519364448858,-8.6006546644845,,,,,,,0.030780337336746004,0.05452342487883701,-0.24170547147845997,-0.72576301615799,0.052106430155211,0.024442082890542005,-0.011494252873563,-0.059137149160436,-0.07346112632456199
2000-12-31,,0.013196650972933998,0.065243061126264,-0.74755381604697,5.5931800158604,5.459927797833901,-1.6383640277446,-1.832579672696,,,,,,,-0.0087864510378199,0.063960168517809,0.03127998464786,1.8436988543372,0.053740779768177004,0.069502074688797,-0.007267441860465,0.022406044421286003,-0.014820526000171001
2001-12-31,,0.028956645149476,0.050767659789808,-3.1782945736434,-0.71217223959586,-0.90890801385939,-0.9531659797677,-0.97995603258761,0.003947641803449001,0.011998685075608001,-0.26472450918303003,0.01696590347554,-0.42529534398887997,-0.00027065692301736,-0.015480472764645,0.052555795536357,0.060662448827689,-0.34402877697842,0.057,0.045586808923375,0.0043923865300146,-0.041536599350194,0.12826086956522
2002-12-31,,0.014126493292696001,0.052594764890192,1.9430604982206001,-0.5867112411199301,-1.9926380368098,20.368,35.212903225805995,-0.15036331861663,-0.15364625629365,-0.041343669250646004,0.0,-0.0012091898428053,-0.0017790841584160002,0.08951523455340302,0.0906292749658,0.61,1.7264751041895,0.091769157994324,0.12430426716141,0.0072886297376092,0.054968428049185995,0.07129094412331402
2003-12-31,,0.013118062563068,0.050015795895246,-2.1970979443773,-0.88978766430738,1.176761433869,0.5134780980906,-0.17174416533048,-0.0010825732766786,-0.0073470954299968,0.6711590296496,-0.0026320051830256,0.62953995157385,0.026385122045719,-0.06209952691777999,0.035120727500783995,-0.36733137190803006,-0.97345132743363,0.058058925476603,0.0033003300330032,-0.011577424023155,0.04914314516129,-0.0053956834532375
2004-12-31,,0.018079854495063,0.07429924601023499,2.0656565656566,24.990825688073002,-3.3611584327087005,0.91811997526283,2.8492148849215,-0.027771004362080003,-0.032091468971803,-0.34462365591398003,0.026917299338232004,-0.29717682020802,0.00083047072590699,-0.039713957348998005,0.03514086640412001,-0.76024801929039,9.4666666666667,0.013923013923014,0.034539473684211,-0.0073206442166911,0.085455200576507,-0.09041591320072301
