Date,ODA/MNG_LE_Value,ODA/MNG_LP_Value,ODA/MNG_PPPGDP_Value,ODA/MNG_BCA_NGDPD_Value,ODA/MNG_TX_RPCH_Value,ODA/MNG_TXG_RPCH_Value,ODA/MNG_TM_RPCH_Value,ODA/MNG_TMG_RPCH_Value,ODA/MNG_GGXCNL_NGDP_Value,ODA/MNG_GGXONLB_NGDP_Value,ODA/MNG_GGR_NGDP_Value,ODA/MNG_GGX_NGDP_Value,ODA/MNG_NGSD_NGDP_Value,ODA/MNG_PPPEX_Value,ODA/MNG_PCPIPCH_Value,ODA/MNG_PCPIEPCH_Value,ODA/MNG_PCPI_Value,ODA/MNG_PCPIE_Value,ODA/MNG_PPPSH_Value,ODA/MNG_NID_NGDP_Value,ODA/MNG_LUR_Value
1991-12-31,,0.024142926122646,-0.061875920772631,,,-0.901915531964,,-1.7941300042014,-0.28398551364720004,,-0.06299900788964,-0.10962631627994,0.32232897493317997,0.92529296875,,,1.2062780269058,2.0837438423645,-0.1304347826087,0.6958237840590799,
1992-12-31,,0.018859028760019,-0.071889722561508,-0.28269916765755,,-53.876862745098,,-2.1454916484015,0.13545521835677,0.34853321173431,-0.47001285703480994,-0.36729952064974003,0.14679049440044,1.6761349226477,0.6846921797005001,0.53883029721956,2.0223577235772,3.2108626198082995,-0.15,0.15072452886853,
1993-12-31,,0.00925497454882,-0.0086482421507803,-2.6701201823456002,,-0.7021715268919301,,-0.52507257851676,0.248370273794,0.19465734896302997,0.18693811539742,0.20568384834248998,0.15896532012195,3.0916413949962003,0.32543209876543,-0.42990654205607,2.6839273705447004,1.8296661608498002,-0.058823529411765,0.38524777346426003,
1994-12-31,,0.0096286107290233,0.04304949743978799,0.0076923076923076,,-1.9346082972260001,,-0.66907474298416,-0.33768494342907,-0.32408717803565995,-0.10070933354707001,-0.17542463573251002,-0.079370298820338,0.60896352055588,-0.67375186289121,-0.6377049180327901,0.87550200803213,0.6629575010055,0.0,-0.09205878196976101,
1995-12-31,,0.014986376021798,0.086,-0.5619305589756199,,-0.43328359799638005,,-10.575986565911,-0.34717477003942,-0.34505862646565993,-0.036140819964349,-0.11490848585691,0.10643807482811,0.5699828695639699,-0.35168160794838005,-0.19901960784314002,0.56774381934982,0.53103837471783,0.0,-0.29035353928358004,
1996-12-31,,0.014317673378075999,0.041017913946091,-2.5413153456997994,,-2.5236483309826,,-0.68277071459886,0.38546698872786,0.35443307757886,0.0050857644828702,0.07613640636162,-0.13489629569849002,0.08821587720746,-0.17507486348423001,-0.16060634591846,0.46830570559384005,0.44573745458374997,0.0,0.07145729010563201,
1997-12-31,,0.013233348037053002,0.056770665808942,-3.2881108679796,,1.0614663046161001,,-0.55417357656164,0.17579543803574,-0.083556254917388,0.046046276277658,0.077248270561107,0.37492420355427003,0.19623703479016,-0.21891482137899998,-0.53990936826992,0.36579281183932,0.20509178321678,0.0,-0.05134065634168,
1998-12-31,,0.013495864170657,0.044589864556384,-2.07060886197,,-1.0845108370254999,,-3.0229386236826,0.52440380575806,0.9167239010989,0.048856640281442,0.17367755327085,-0.39512162024629,-0.029843702675861,-0.7440061237322,-0.70764054805207,0.09365035138231,0.05996312751231599,0.0,0.07202704160523599,
1999-12-31,,0.013316151202748998,0.046474358974359,-0.15036474616644,,-2.1838469713071,,-0.024364082133006,-0.15344086893085998,-0.20773985487771998,-0.023353318519139996,-0.067674367193545,0.046494671901289995,0.09210373468083902,-0.19243912857753,0.66210807204803,0.075610032270849,0.099654985600639,0.0,-0.0097947135381726,
2000-12-31,,0.013565069944891999,0.03452596408186,-0.16330821797792,,0.14901256732496,,-3.4449505261505,-0.44264649559556,-0.50983717774763,0.23237743624968,0.023385399685823996,-0.09732568733586999,0.095079177248009,0.5317376355461501,-0.10495685330122,0.11582493354738999,0.08922366851631,-0.0625,-0.13018292682927002,
2001-12-31,,0.014219991635298999,0.053021127708249,1.3164397905759,,1.73671875,,-0.67996402646624,-0.25665693179866,-0.27543252595156,0.07489462500435401,0.019028035217793997,-0.21272932375468,0.07987299968432099,-0.46231546231546,-0.11177130044842999,0.0622906740884,0.07922489108958,0.0,0.17420259376095001,
2002-12-31,,0.014020618556701002,0.063386581469648,-0.2876774251876,,-0.5112760491007701,,0.23865917302288,0.09452276403975,0.10569882203119998,-0.0029814952847004,0.0089810999005257,-0.13438914027149002,0.04761610290025401,-0.8517983301220301,-0.7829105136943101,0.0092364395301849,0.017205249806992,0.066666666666667,-0.23051409618573998,
2003-12-31,,0.012606750711671002,0.09133517606057001,-0.18542962304861,,1.3971962616821998,,-0.31291524874413,-0.28589527027027,-0.30377195508206,-0.015699658703071998,-0.051716853046392994,0.75988848231399,0.08081523576476599,4.5677139761647005,1.7104651162791003,0.05139148608513901,0.046600889081644004,0.0,0.37797413793103,
2004-12-31,,0.011646586345381,0.13665895826451,-1.1888438765971001,,0.05157569850552299,,0.48160377358490997,-0.50709639266706,-0.7171215880893299,-0.002641833432402,-0.053349175701767004,0.43089108910890994,0.13568275814130998,0.53901537264059,1.2764907764908,0.07909439015714301,0.10614536714736,0.0625,0.039037817886077006,
2005-12-31,,0.011512504962286998,0.10705289672544001,-0.027227722772277002,,-0.47068819031436,,0.18911174785100002,-2.4451109778044002,-5.516081871345,-0.08787497516720799,-0.21114562741222,0.30359119845003996,0.16355322004554998,0.5750410924263499,-0.13050032978422998,0.12456613212852001,0.09226965366100401,0.0,0.098834933919379,
