Date,ODA/BTN_LE_Value,ODA/BTN_LP_Value,ODA/BTN_PPPGDP_Value,ODA/BTN_BCA_NGDPD_Value,ODA/BTN_TX_RPCH_Value,ODA/BTN_TXG_RPCH_Value,ODA/BTN_TM_RPCH_Value,ODA/BTN_TMG_RPCH_Value,ODA/BTN_GGXWDG_NGDP_Value,ODA/BTN_GGXCNL_NGDP_Value,ODA/BTN_GGXONLB_NGDP_Value,ODA/BTN_GGR_NGDP_Value,ODA/BTN_GGX_NGDP_Value,ODA/BTN_NGSD_NGDP_Value,ODA/BTN_PPPEX_Value,ODA/BTN_PCPIPCH_Value,ODA/BTN_PCPIEPCH_Value,ODA/BTN_PCPI_Value,ODA/BTN_PCPIE_Value,ODA/BTN_PPPSH_Value,ODA/BTN_NID_NGDP_Value,ODA/BTN_LUR_Value
1991-12-31,,-0.001865671641791,0.083223249669749,0.022488906817264998,-0.41371375977910996,-0.8983921091744399,-1.0093753662252,-0.9971156796563401,,-0.89277595352362,-0.98142897646725,0.059190449042557006,-0.14060098574381,-0.18614079087504998,0.037480798771121,0.18906001062135,0.27277790153709,0.11194692394152,0.11426837988342999,0.0,-0.039833135374721,
1992-12-31,,-0.013084112149533,0.04390243902439,1.9074859453595001,4.4505494505494,21.710106382979003,-121.640625,425.63829787234,,3.7149587750294,23.175572519084,0.021751519756839,0.11846324617661999,-0.23361053653594,0.068107787977495,-0.5176418043769501,0.28598932353198997,0.05400196656833799,0.14694523632658,0.0,0.37871107892830996,
1993-12-31,,-0.017045454545455,0.057242990654205995,-0.40405034092066,-1.0038594470046,-0.9898700081976801,-2.0126149462505003,-2.0648563734291003,,-2.1254059455408,-3.3410167350805002,0.28837036348424,0.021971660142251003,0.70008262186725,0.0618242306626,1.5138888888889,-0.17060224566179,0.13574520486603,0.12187951415027,0.0,-0.051054796918767,
1994-12-31,,-0.013487475915222001,0.056353591160221,-0.23286657559198998,-134.4552238806,57.263005780347,-1.8367440908626003,-1.8874604847207999,-0.11654081092781,-1.1260821309656002,-0.7665227947127099,-0.054597493806672004,0.075611664104017,0.36883201036772995,0.08446475195822499,-0.56486187845304,-0.30283885789301,0.05906879092644499,0.084972298541026,0.0,0.20727348200078,
1995-12-31,,-0.005859375,0.08263598326359799,-2.2842620761297003,-1.488284963373,-1.5163946624337,-1.0445429532253,-1.1221404258688,-0.27152293844367004,-3.9102112676056002,1.1265164644713999,0.07614419823441099,0.019411145107086997,-0.031503704229686,0.080414108583123,0.3875063484002,0.11345180651994999,0.08195821117781199,0.09461447172681199,0.0,-0.12462035109167001,
1996-12-31,,0.0078585461689587,0.081159420289855,-0.20268084122949,1.1231103985341,1.3530259365994,5.8387096774194,-0.71656945344567,-0.049100692541477996,0.35087719298246006,0.22195055691388,-0.0043262411347518,-0.018770911237945002,-0.17786793098392004,0.061392757660167004,0.13689604685212,-0.00010569707219104,0.093177693095113,0.09459566074950698,0.0,-0.033190040805639004,
1997-12-31,,0.015594541910331003,0.072386058981233,-0.6231884057971,-1.0907276552133,-1.0156766687079,0.013548775592131999,11.537347560976,-0.10497498100652,-2.0846394984326,-0.6980880391285,-0.11192630054371999,-0.0015043249341857,-0.31929250891795,0.08912450136468598,-0.15754453745439,-0.26384778012685,0.078499878032467,0.069642915269685,0.0,-0.24886019952151,
1998-12-31,,0.024952015355086,0.0675,0.84346153846154,-6.958382877526799,-7.3072916666667,-0.8765224279631599,-1.3152167305003,0.10379346680717001,-1.4042113955409,1.9491899852724999,-0.098307622383231,-0.17775266792216,-0.13887069304335997,0.10467469879517999,-0.06369426751592401,0.28977599080988004,0.073498760874271,0.08981908370231699,0.0,0.11643629807692,
1999-12-31,,0.028089887640449,0.08430913348946101,-0.77279365741707,-1.9287567351826,-4.830718414533401,8.9951884522855,-2.9801350048216,0.07769822328294901,2.7997957099081003,1.1325842696629,0.36428867935717,0.29151652110181,0.091333231908312,0.072681266905157,0.4489795918367299,-0.10131373858828999,0.10650025600478,0.08072314148489701,0.0,0.16912932310591,
2000-12-31,,0.027322404371584997,0.089272858171346,-5.1212121212121,-1.5692952299098,-1.5284544082776002,0.06859756097561,-0.068861400603876,0.12236712598425001,-1.3981182795699,-0.85903290012879,-0.047639746153177,0.071148207698856,0.17960037174721,0.023426061493410998,-0.6197183098591501,-0.17604063429138,0.040501057519651,0.06651040897681999,0.0,0.18856327263519002,
