Date,ODA/BEN_LE_Value,ODA/BEN_LP_Value,ODA/BEN_PPPGDP_Value,ODA/BEN_BCA_NGDPD_Value,ODA/BEN_TX_RPCH_Value,ODA/BEN_TXG_RPCH_Value,ODA/BEN_TM_RPCH_Value,ODA/BEN_TMG_RPCH_Value,ODA/BEN_GGXWDG_NGDP_Value,ODA/BEN_GGXCNL_NGDP_Value,ODA/BEN_GGXONLB_NGDP_Value,ODA/BEN_GGR_NGDP_Value,ODA/BEN_GGX_NGDP_Value,ODA/BEN_NGSD_NGDP_Value,ODA/BEN_PPPEX_Value,ODA/BEN_PCPIPCH_Value,ODA/BEN_PCPIEPCH_Value,ODA/BEN_PCPI_Value,ODA/BEN_PCPIE_Value,ODA/BEN_PPPSH_Value,ODA/BEN_NID_NGDP_Value
1991-12-31,,0.030834457506262996,0.076923076923077,0.29695181907571006,5.9723307291667,5.9723307291667,-1.0237665920793,-1.0237665920793,,-0.05027855153203299,0.0060282865754697,-0.049062436991733,-0.049458271000499,0.014988470407378999,-0.024888727404851,0.88848920863309,0.88848920863309,0.021012493915301002,0.020983213429257,0.0,0.05317734645041201
1992-12-31,,0.029912133108992,0.05288664138221599,0.64329037149356,-0.23894672953919002,-0.23894672953919002,-27.862888482633,-27.862888482633,,-0.016131397565626003,-0.26042867020051,0.10891229062124999,0.068246852346433,-0.25853843241197,0.0072828894440445,1.8095238095238,1.8095238095238,0.058985564825850996,0.059013505578391,-0.058823529411765,-0.10843221408735002
1993-12-31,,0.029224904701398,0.083650190114068,-0.03437139561707,-0.23213299797557999,-0.72707195877554,-1.0901388321764,-1.0903089696475001,,-0.38545237740349003,-0.48550950451853997,0.0078393881453156,-0.10996026608331,0.23051782249004002,0.0,-0.92457627118644,-0.51050847457627,0.0044520034015306,0.028883232099201,0.0,0.14915758176412
1994-12-31,,0.028747795414462003,0.041920590951062,-0.40826564739608007,-2.0162978349445,5.2222971454259,16.019630049075,16.766390354182,,0.49551297598835997,0.9448818897637801,0.036552203882881,0.13147070626003,0.26925630810093,0.32215729959225,85.595505617978,17.700831024931,0.38535856573704996,0.54006319966685,0.0,0.09462206616152301
1995-12-31,,0.028115892336705,0.08259482453030799,1.4570044408559,-5.6938919896235,1.170790737998,-3.5887545746922003,-3.7017729894808,,0.13558222510542,0.37963251323575,0.07260081752181098,0.08981690827680999,0.051987967564739994,0.12747990639943,-0.6248086155443101,-0.94215671752333,0.14458264433101,0.031239064736758,0.0,0.24784737464123
1996-12-31,,0.028681007170252005,0.06221349050425701,-0.35589878409464004,-1.1722798144396,-1.1268179851566,-0.9543242455917901,-0.97348383754337,,-0.41573836046844,-0.5882618510158,0.024003185256811,-0.10128950901029,-0.16230496674332998,0.049912019491066995,-0.65991146769954,1.2131882202305,0.04916771356783901,0.069145818551994,0.0625,-0.21544220448293
1997-12-31,,0.028367644674987997,0.075524044389642,0.7887755102040799,-4.7608632254302,-4.0784673927306,-0.27405740011255,-0.62018946121966,,-0.23515032999267002,-0.15734649122806998,-0.00077764816974945,-0.044131625401711,-0.044449391510834005,0.019225190962709998,-0.22656091112467003,-0.6478160254555999,0.038032659292631006,0.024351890589610004,0.0,0.14330880662221
1998-12-31,,0.028530895334173998,0.050874175981657,-0.22604107244722998,-1.7838089330025,-2.0327778014577,1.5276485788114,8.9017926734217,,-0.76701821668265,-1.1685100845803997,-0.033409305686809,-0.14210626006251,0.049856332996815994,0.041019073368433995,0.51327899027084,1.3170431211498999,0.057547006575153006,0.05641856207309299,0.0,-0.047413142943335
1999-12-31,,0.028505747126437,0.069548615846175,0.33628155518703007,-1.0953700039573,-0.9607098638052,0.53138417501533,-0.0090522670025189,,-0.20987654320988,0.27027027027027,0.07792730618817599,0.066346525362919,-0.11886973888600999,-0.010778437050687,-0.93918331885317,-1.5749734136831,0.0035040835526225,-0.032435242831051,0.0,0.011506386572363999
2000-12-31,,0.03546416331396201,0.07242126737217901,-0.27619966905681,11.898686030429001,-46.394957983192995,-1.5026034712951002,-1.5520692668202,,8.5399305555556,-15.158054711245999,-0.05116576855359299,0.20497955380713,0.1979516453996,0.022047647073876003,11.005714285714,-4.0348335388409,0.042024456521739,0.09844581002507599,0.0,0.018524316426633
2001-12-31,,0.032522665131674,0.086196647247652,-0.23852162316632003,-1.060933436989,-1.1995788596816,-1.8181697436578999,-2.8589928057554,-0.05523971149766599,-0.12811646951774,-0.14984972091026,0.0035425101214576,-0.027492589887882005,0.14246671338472,0.0042563206361446,-0.052594002855782994,-0.7645505332656201,0.039808065925182,0.023180261655984,0.058823529411765,0.03996106357907701
2002-12-31,,0.033449477351916,0.060420315236427,0.82661996497373,-7.3959524857017005,-2.2771014492754,2.9608766233766,1.3102941176471001,-0.17813903359079997,0.033604675433104,0.05,-0.0039782596514821,0.0039312690489864,-0.39250444703429,0.0070704502051827,-0.39161014820396994,-0.46203623813632005,0.0242269204725,0.012467666204901,0.0,-0.15237203803142998
2003-12-31,,0.033850303438975,0.060280759702725,0.1560060265717,1.7533360847433999,3.7684975034044,0.13414484200172,0.0036852155851117,-0.23342731624156,-0.67528271405493,-0.75637325637326,0.06446894689469,-0.09670890531503,0.12560581583199,-0.0032083814012903,-0.37778695293146,-0.39214113873296,0.015071377849605,0.0075797936746259,0.0,0.13844007904219
