Date,ODA/NER_LE_Value,ODA/NER_LP_Value,ODA/NER_PPPGDP_Value,ODA/NER_BCA_NGDPD_Value,ODA/NER_TX_RPCH_Value,ODA/NER_TXG_RPCH_Value,ODA/NER_TM_RPCH_Value,ODA/NER_TMG_RPCH_Value,ODA/NER_GGXWDG_NGDP_Value,ODA/NER_GGXWDN_NGDP_Value,ODA/NER_GGXCNL_NGDP_Value,ODA/NER_GGXONLB_NGDP_Value,ODA/NER_GGR_NGDP_Value,ODA/NER_GGX_NGDP_Value,ODA/NER_NGSD_NGDP_Value,ODA/NER_PPPEX_Value,ODA/NER_PCPIPCH_Value,ODA/NER_PCPIEPCH_Value,ODA/NER_PCPI_Value,ODA/NER_PCPIE_Value,ODA/NER_PPPSH_Value,ODA/NER_NID_NGDP_Value
1991-12-31,,0.032893065786132,0.058886971527179005,-0.7538250742178599,9.5969581749049,-0.10344827586207,0.6989803682848901,-0.23809523809524,,,,,,,-0.15317643857979002,-0.081574087423366,-1.7403751233958997,1.6842923794712,0.01499545100078,-0.06903735517059,0.058823529411765,-0.32153552953989
1992-12-31,,0.034058772900529,-0.043797107353839994,0.76066790352505,-5.1137423753140006,-2.8653846153846003,-0.017287710498028998,-0.67361111111111,,,,,,,0.34248995983936,-0.011534120214984,-4.9406666666667,-0.62094438006952,-0.059111644657863,-0.026182156197821,-0.16666666666667002,-0.073568753344034
1993-12-31,,0.034601664684899,0.038559863655731004,-0.62276080084299,-1.8011338857391999,-1.7719587628866003,-1.2672500227873,-1.2951063829787,,,,,,,-0.052052171831997,-0.024623016773296005,-0.9446794112671301,-2.326327856324,-0.0032663060120444,0.03471682104221201,0.0,-0.075801328328039
1994-12-31,,0.034938512814618995,0.06215384615384599,7.903631284916201,-2.0801306477953,-0.13261217948718,17.579809004093,5.717375630858,,,,,,,-0.49255238576117,0.29944641721844,-109.66666666667,10.692307692308,0.35533367468851,0.40585280852809,0.0,0.62365255428839
1995-12-31,,0.034869516935036,-0.04654306682116599,0.33082352941176,-0.9798407418606999,-3.4018475750577,-1.6810338497687,-2.0518407212622,,,,,,,-1.1624378109453,0.05929594272076401,-0.6944053582484399,-0.81164991129509,0.10858970645645,0.076434204610356,-0.13333333333333,-0.24651207543539003
1996-12-31,,0.034874986586544,0.070083046384444,-0.31447430457331,143.945,0.86685897435897,-1.2391105121294,-2.2855102040816,-0.10661341578631,-2.4557926829267998,-0.85520550803255,-1.4629548443665001,0.10315044830139,-0.16779751017758998,-7.727411944869799,0.025267829985692995,-0.50833410074592,-0.52459445316588,0.05338967648128,0.036338800898592004,0.0,0.30366492146596996
1997-12-31,,0.035047698050601,0.022146507666098998,0.34164374140303,-1.2535789437373,-1.1911890945301,-1.1209559237966,-1.2450388950626998,0.12612361440918,2.5853403141361,3.9452449567723,-2.6998106060606,0.033405413466557,0.22587734845798998,-0.14045071704985002,0.027869951215224002,-0.45158269338828005,0.13181067694001,0.029288702928869998,0.041132001481449,0.0,0.13419531785679
1998-12-31,,0.034962933279904004,0.13925925925926003,-0.07535563244905799,-3.0680179567406,-3.0960847701148997,-22.0,-10.87625526401,-0.10346947138368999,0.07827102803738299,-0.127331002331,-0.24958217270195,0.096110830507252,0.051761031750622,0.24708686440678002,0.013629293895680001,0.5525956284153001,-0.18380743982495001,0.04545930768586099,0.033564209336877,0.076923076923077,0.029795319112185997
1999-12-31,,0.030974736230762,0.025520156046814003,-0.048510048510048,-1.8448888304171003,-2.1687944477765,-1.2443971064661001,-1.2451128312778998,0.023691627942408998,-0.78927410617551,0.92153589315526,2.0289532293987,-0.069909815022053,0.093368525239195,0.057974092163942,-0.015523578015998001,-1.5085789705235002,-1.5570449806375,-0.023129265335163997,-0.018696981353633,0.0,-0.0064575645756458
2000-12-31,,0.030983006290488998,-0.0036455856712634,-0.02884195193008,-2.8171909062597003,-3.0078439997068,-1.9722171781368998,-1.8938846514117,0.06059309421044799,-0.61568123393316,-0.29887054735013,-0.45710784313725,0.010687239011961001,-0.078907664453832,0.25010036130068003,0.010867527570526,-2.2642733564014,-3.4866310160428,0.02923706644508,0.04650347125511901,-0.071428571428571,0.041698320249852004
2001-12-31,,0.031053638102176002,0.10499522748966,-0.23353832308385,-0.7553984575835501,-1.0322757311329,0.55621964886066,-0.08877245508982001,-0.04147590731287999,-2.2742474916388,-0.12540272614622,-0.26952595936795,0.049719887955182,0.011138411138411,-0.46692357096980996,0.014173537079033002,0.35408826548066996,-0.30451612903226,0.039579782515524,0.032342011099392005,0.076923076923077,0.053399238311320006
2002-12-31,,0.031001589825119,0.06953642384106,0.90254403131115,-1.761429322123,6.322398190045201,-0.59253480556889,-0.62050271069492,0.044222199855429,-4.8530183727034,-0.16066874468688,-0.14091470951792,0.09126084056037399,0.043306874021276004,0.55993975903614,0.012392441237781002,-0.3244062657908,-0.8268398268398299,0.026740172579099,0.0055954472538385,0.0,0.14638461538462
2003-12-31,,0.03092606870556,0.091802396015615,-0.23040526640609,-1.4271911663216001,-2.0288892321953003,1.4765832106038002,4.117316017316,-0.21362226389303,0.2125340599455,-0.06549628629304499,0.17697841726619,-0.072869543954029,-0.071735417421459,0.70785865997297,-0.023862234813886,-1.670531039641,-3.6732142857142995,-0.017929012316858003,-0.014974267428831999,0.0,0.095953834798363
