Date,ODA/PER_LE_Value,ODA/PER_LP_Value,ODA/PER_PPPGDP_Value,ODA/PER_BCA_NGDPD_Value,ODA/PER_TX_RPCH_Value,ODA/PER_TXG_RPCH_Value,ODA/PER_TM_RPCH_Value,ODA/PER_TMG_RPCH_Value,ODA/PER_GGXWDG_NGDP_Value,ODA/PER_GGXWDN_NGDP_Value,ODA/PER_GGXCNL_NGDP_Value,ODA/PER_GGXONLB_NGDP_Value,ODA/PER_GGR_NGDP_Value,ODA/PER_GGSB_NPGDP_Value,ODA/PER_GGX_NGDP_Value,ODA/PER_NGSD_NGDP_Value,ODA/PER_PPPEX_Value,ODA/PER_PCPIPCH_Value,ODA/PER_PCPIEPCH_Value,ODA/PER_PCPI_Value,ODA/PER_PCPIE_Value,ODA/PER_PPPSH_Value,ODA/PER_NID_NGDP_Value,ODA/PER_LUR_Value
1991-12-31,,0.019629476394061002,0.053939452345224,-0.12457402499053,-2.3149396457124998,-2.3149396457124998,2.5345593869732,,,,,,,,,-0.19730138290129,3.6760563380282,-0.9452627754875199,-0.98179947883101,4.0958046336882,1.3923630326508,-0.0036496350364964,0.05553729871837,-0.28915662650602003
1992-12-31,,0.018800721370604002,0.022310756972112003,0.20523356401384,-0.7365283738674301,-0.7365283738674301,-0.77825954992846,-0.77825954992846,,,,,,,,-0.19285764106856,0.64759036144578,-0.8204587243331899,-0.5924340475044699,0.73525436225117,0.5674300254452901,-0.09890109890109901,0.0012453300124533,0.59322033898305
1993-12-31,,0.0018586538036022,0.072460805233635,0.33123990669298,1.083257918552,1.083257918552,-0.36292530308955995,-0.36292530308955995,,,,,,,,0.01374006221915,0.43510054844607005,-0.34124879296041,-0.30416776808528995,0.48436780795240997,0.39486422668240995,0.024390243902439,0.11672885572139001,0.053191489361701996
1994-12-31,,0.015460046821856,0.15271522863201997,-0.14934627308263,3.2180712423978997,3.2180712423978997,8.1853898096992,8.1853898096992,,,,,,,,0.33381638393998997,0.23439490445860003,-0.50997192171112,-0.6103836900088601,0.23733988502731,0.1538152270515,0.095238095238095,0.15175140613688,-0.11111111111111001
1995-12-31,,0.015485667058158,0.096649164875145,0.43479638726034,-0.7233779608650899,-0.7233779608650899,-0.050157054066698,-0.050157054066698,,,,,,,,-0.017894804115805,0.11764705882353,-0.53107225616179,-0.33515340613625,0.11131031557842999,0.10229794413777,0.036231884057971,0.18083357508945,-0.19318181818181998
1996-12-31,,0.015463696723067,0.050545224922952,-0.24395361678631,0.72393894266567,0.72393894266567,-1.0309938434477,-1.0309938434477,,,,,,,,0.013665647166004997,0.079409048938135,0.037646001796945,0.15760657019945,0.11547868926397,0.11839281257799002,-0.006993006993007,-0.08185242813856401,0.014084507042254
1997-12-31,,0.015481312747828001,0.091471838946405,-0.12576687116564,0.6246625634380699,0.6246625634380699,-15.987514188422,-15.987514188422,,,,,,,,0.13487834627977,0.052181351582549,-0.25993592518833,-0.45413851351351,0.08546902214481199,0.064637538864343,0.028169014084507005,0.05530036123623099,0.19444444444444
1998-12-31,,0.015452997133718,0.010709999835610001,0.031578947368421,-1.5221985909876001,-1.5221985909876001,-0.81710087852166,-0.81710087852166,,,,,,,,-0.036542595316212005,0.045528455284553,-0.15116415116415,-0.070555469596163,0.072550143266476,0.06005645138753,-0.023972602739726002,-0.019355111355279998,-0.19767441860465
1999-12-31,,0.015463284925343001,0.043215549139999004,-0.54616132167153,-2.7449408171058,-2.7449408171058,-8.472049689441,-8.472049689441,,,,,,,,0.05530765617660901,0.0093312597200622,-0.52184700206754,-0.37972365573497996,0.034702927976062996,0.037264051460508,-0.0070175438596491,-0.10467571644042001,0.36231884057971003
2000-12-31,,0.015469524231558998,0.05649404812946799,0.083868665239115,-0.19547775346462,-0.19547775346462,-1.2327514546966,-1.2327514546966,,,,,,,,-0.067987092466897,0.0084745762711864,0.083597578552897,0.0021470746108427,0.037579716506158,0.037348616741432,-0.014134275618373998,-0.047506738544474014,-0.16521276595745002
2001-12-31,,0.015471892728209998,0.029566282484542006,-0.22983207112282,-0.55648232094288,-0.55648232094288,-0.7688095238095201,-0.7688095238095201,-0.022223720282235,-0.014864213401896002,0.019551740581783,-0.6792929292929301,-0.041253021963891,-0.16725798276735998,-0.035332899990714,-0.04512893982808001,-0.012987012987013,-0.47459430699654,-1.0340117836101,0.019757878889677,-0.0012740414063457,-0.017921146953405,-0.07352569609378999,0.17828469478782002
2002-12-31,,0.015470562956596,0.069173600510274,-0.13510047028645,-0.041291905151267,-0.041291905151267,3.4624098867147004,3.4624098867147004,0.04226323167788901,0.034037462958432005,-0.3451824134705301,5.007874015748,-0.023499114759375002,-0.18685331710286,-0.056601049237137,-0.0031882970742686,-0.013157894736841999,-0.90278481012658,-12.937007874015999,0.001915545198326,0.015160807595123001,0.025547445255474,-0.020017453910766998,0.018818948734588
2003-12-31,,0.015465702304467,0.04872473774173,-0.20909540286703002,0.7439232409381701,0.7439232409381701,-0.18555273482576,-0.18555273482576,0.09589433762568401,0.023452083607203997,0.16642857142857,-0.26605504587156004,0.022636118894566005,-0.039670658682635,0.032906484363043,-0.027469426152398994,0.014117647058824,10.776041666666998,0.6385224274406299,0.022613799654156,0.024830236098693,-0.01423487544484,-0.047865531251739,0.00042462845010611
2004-12-31,,0.015495358969502,0.078431999181868,-1.0575,0.39858173370828004,0.39858173370828004,1.1640691413998001,1.1640691413998001,-0.05553208184946,-0.09805533434377199,-0.36497244335579,0.90178571428571,-0.00037608123354632996,-0.18862042088854,-0.029783660970067998,0.04965499451860501,0.03016241299304,0.6196373286156601,0.40136876006440997,0.036618041083656,0.034816133558131006,-0.0036101083032491,-0.05389606593792,0.0012733446519525
2005-12-31,,0.015482763766601999,0.097045488220477,15.934782608696,0.26296004895533,0.26296004895533,0.36310069398979,0.36310069398979,-0.14205065933832,-0.09148390771859899,-0.58052073288332,0.46666666666667,0.069601203912716,-0.30067243035543,0.035228834699384,0.07181913128955,-0.0052552552552553,-0.55816493719279,-0.57081298477449,0.016174612291786,0.014936766548935,0.014492753623188,-0.018350324374421002,0.01494277236117
2006-12-31,,0.015467136926411999,0.10833121734855,1.1341463414633999,-0.95244687478369,-0.95244687478369,0.48434197886646996,0.48434197886646996,-0.13356342959303,-0.24568938491441,-5.6574712643678,1.5294494238156,0.063413898799055,-1.2472527472527,-0.05896238013277599,0.26212312277886,0.054339622641508996,0.23671199011125,-0.23828647925033,0.020009496032015,0.011382898710163,0.021428571428571,0.17654833836857997,-0.10807142111308
2007-12-31,,0.021020260492041,0.11406232482415,-0.55248120300752,3.9097525473071,3.9097525473071,0.3382733626715,0.3382733626715,-0.08666246346076699,-0.30426831802502,0.6525172754195501,0.31131359149582,0.036809526059632,7.772222222222201,-0.028375836120401003,0.078841000953722,0.0014316392269148,-0.11094452773613,2.4516695957821,0.017788269716718,0.039269659803541,0.027972027972028,0.19119456481036,-0.014399438070709
2008-12-31,,0.015449487969951001,0.11284133519433001,-3.9213709677419,0.9009783575452099,0.9009783575452099,0.18946757580154003,0.18946757580154003,-0.12259177910260001,-0.22287933094385,-0.19862604540023998,-0.21096313453001,0.013945857260048999,-0.68841038632046,0.05227773893400701,-0.026689118080404,0.0,2.2535132096684,0.69297352342159,0.057876798100900996,0.066504330738095,0.061224489795918,0.23357434768941,-0.0049887159995249
2009-12-31,,0.015493596677950002,0.018168521787679,-0.88336783988958,-1.0084217092951,-1.0084217092951,-1.7003293084523001,-1.7003293084523001,0.016092693916962,-0.059958490275963,-1.5870294446515,-1.1108121330724,-0.10585221143474001,-1.7459349593496,0.097265525172502,-0.11984775744994,0.0078627591136525,-0.49291637871458,-0.96315789473684,0.029357269321035998,0.0024534348087323,0.012820512820513002,-0.24068006407456,0.0011937447773666
2010-12-31,,0.01549774921824,0.097759516840309,3.7041420118342994,-26.925925925926,-26.925925925926,-2.576512248926,-2.576512248926,-0.11167423362545001,-0.16076539373620002,-0.94666666666667,-3.1236203090507995,0.053083999396772996,1.0735694822888,-0.020262716601453,0.11985257985258,0.046808510638298,-0.4787052810902899,7.4734693877551,0.0153,0.020768193396933,0.028481012658228,0.20702881526586,-0.060450697508048
2011-12-31,,0.015464266377910001,0.08648928161869701,-0.21928721174003998,3.6907142857142996,3.6907142857142996,-0.48948705674411996,-0.48948705674411996,-0.08026941362916,-0.30575855013153996,-25.321428571429,2.2079002079002,0.050503603990644005,-1.1760840998686,-0.050824894213855006,0.04747904690859599,0.030487804878049,1.202614379085,1.2822736030828998,0.033694474539544994,0.04738510921475,0.024615384615384997,0.022164846077457997,-0.019416243654822
2012-12-31,,0.015495351394582,0.07852945461609401,0.75080558539205,-0.65524592660271,-0.65524592660271,-0.20628967109059,-0.20628967109059,-0.085508744723012,-0.38736842105263003,0.08810572687224699,0.015230071289695,0.021220520743400004,8.126865671641799,0.014425966740132,-0.017427003477021998,0.0032873109796187,0.084569732937685,-0.4409033347404,0.036550390182085,0.026488890549960002,0.027027027027027,0.038122255469629995,-0.12022777274492
2013-12-31,,0.015488613244077,0.073613112391931,0.38282208588957006,-2.684628975265,-2.684628975265,-0.6761177753544201,-0.6761177753544201,-0.058080927033775,-0.23642611683849,-0.6752136752136801,-0.47079476540057,-0.0097890896146658,-1.0065412919052,0.063203634208967,0.014069494777233,0.0019659239842725,-0.23228454172367002,0.07965269913174801,0.028064015001792005,0.028599776080683995,0.026315789473683997,0.059107584038332,0.10606060606061
2014-12-31,,0.015446261229238,0.053388584114841,0.15993788819876,-0.43890928159413,-0.43890928159413,-1.12177328844,-1.12177328844,-0.034306861372274,-0.03030303030303,-1.1412742382271002,-0.61158021712907,-0.03540936460861,-33.625,0.0016719301504738,-0.052638217363885,0.011118378024853,0.1471846044191,0.029020979020979,0.032188841201717,0.029432846915568998,0.0028490028490029,-0.018767893118439,-0.20202154541827
2015-12-31,,0.015497708757638,0.070569311135649,-0.04761904761904799,-3.5612149532709996,-3.5612149532709996,-12.112903225806,-12.112903225806,-0.0077679958570688,-0.0030940594059407,-0.25490196078431,0.09937888198757801,0.038665797074443,2.6206896551724,0.037277448071217,0.019837571561709,-0.040103492884864,-0.28766697732215,-0.25144410465510997,0.02292966042966,0.022023743004753998,0.014204545454545,0.0071320510049708,0.0
2016-12-31,,0.015480555294413001,0.07461036095229101,-0.09678714859437801,0.36380222587119,0.36380222587119,0.076301057433133,0.076301057433133,-0.029279749478078997,0.081626319056487,5.407894736842099,-0.59180790960452,0.017088266953713998,-0.58941798941799,0.035401394600393,-0.0061792863359443,0.0,-0.12778020061055,-0.09214707217430802,0.020002201766494,0.020001513991808,0.014005602240896002,-0.022317596566523996,0.0
2017-12-31,,0.015491436506712,0.076792627833896,-0.08159181858603799,-0.056989966555184006,-0.056989966555184006,0.041225197457137,0.041225197457137,-0.030109145652991998,0.059110473457676,-0.08829568788501,0.32179930795848,0.014860872249416,-0.9149484536082501,0.012692108444136999,0.037919257378054,-0.0033692722371967,0.0,0.0,0.02000016604538,0.020005112600912,0.013812154696133002,0.018254316652034,0.0
2018-12-31,,0.015467833591636998,0.077519246963233,-0.058823529411765,-0.08440913604766599,-0.08440913604766599,0.025161887141536,0.025161887141536,-0.07533677033094999,-0.031427797344892996,-0.69144144144144,0.72513089005236,-0.0033457895194229,6.0606060606061,-0.016369681984824,0.029235572055349,-0.0040567951318458,0.0,0.0,0.019998697683504,0.020000808440115002,0.013623978201635,0.016166696604994,0.0
2019-12-31,,0.015501556140771002,0.076472284364902,-0.084362139917695,0.007127362875735999,0.007127362875735999,-0.00018047283883782,-0.00018047283883782,-0.12302158273381,-0.055104895104895,-0.5985401459854,0.0,-0.0057984915202512,-0.5278969957081501,-0.00927450810436,0.0054924785834324,0.0,0.0,0.0,0.019997606032797,0.019996988166665,0.013440860215053998,-0.0068941134877143,0.0
