Date,ODA/ECU_LE_Value,ODA/ECU_LP_Value,ODA/ECU_PPPGDP_Value,ODA/ECU_BCA_NGDPD_Value,ODA/ECU_TX_RPCH_Value,ODA/ECU_TXG_RPCH_Value,ODA/ECU_TM_RPCH_Value,ODA/ECU_TMG_RPCH_Value,ODA/ECU_GGXWDG_NGDP_Value,ODA/ECU_GGXCNL_NGDP_Value,ODA/ECU_GGXONLB_NGDP_Value,ODA/ECU_GGR_NGDP_Value,ODA/ECU_GGSB_NPGDP_Value,ODA/ECU_GGX_NGDP_Value,ODA/ECU_NGSD_NGDP_Value,ODA/ECU_PPPEX_Value,ODA/ECU_PCPIPCH_Value,ODA/ECU_PCPIEPCH_Value,ODA/ECU_PCPI_Value,ODA/ECU_PCPIE_Value,ODA/ECU_PPPSH_Value,ODA/ECU_NID_NGDP_Value,ODA/ECU_LUR_Value
1991-12-31,,0.023152523152523,0.086125977768629,0.7085127525670799,2.3827319587629,2.4132251133922002,-20.070321811681,-20.874479889043,,,,,,,0.13763905030716,0.031372549019608,0.0058739875100477,-0.010101010101010001,0.48815165876777,0.48988877654196,0.027322404371584997,0.26281421148715,0.39344262295082005
1992-12-31,,0.022628613651057002,0.05975665226290701,-0.7254749903063199,-0.08571428571428599,-0.5564414603441,-0.9375,-1.2767716947556,,,,,,,0.22124927028605,0.034220532319392004,0.11345381526104,0.22857142857143,0.5437898089172001,0.60196810315575,-0.069148936170213,-0.03914373088685,0.047058823529412
1993-12-31,,0.02176661849711,0.04426203122485099,1.6341807909605,-0.5625,1.1083254493851002,-0.2,-3.6124558749370004,,,,,,,-0.090045411089866,0.11764705882353,-0.17189599013635998,-0.46843853820597997,0.44971634863332005,0.32005930946833006,0.0,0.066604941843643,-0.067415730337079
1994-12-31,,0.020595774772386003,0.064786272092067,0.015281501340482999,1.7819047619047998,0.030812953406626,17.295,0.41168806099796995,,,,,,,-0.023442117013592004,0.13157894736842,-0.39015555555556,-0.20678125,0.27445748843828,0.25385109114249,0.011428571428571002,-0.028862847222222,-0.14457831325301002
1995-12-31,,0.019140827992378002,0.043843988741456,0.059677845260100004,-0.03628894214310201,-0.17601393020387002,-0.4568871276305,-0.44542440091615,,,,,,,-0.14396180742335002,0.040697674418605,-0.16605327405895998,-0.10278532876335,0.22889043963712,0.22779626311748002,-0.011299435028249,-0.060726256983239996,-0.028169014084507005
1996-12-31,,0.017336619359224998,0.035885425494214,-1.0784948916023,-1.1885435168738998,-1.0689442634499,-2.5847276386967004,-0.66381063921593,,1.6118343195266003,-0.5205223880597,-0.031745228089717005,,0.035686541075937,0.22802607807713002,0.011173184357542,0.066153980599493,0.12088346359883999,0.24406587166382998,0.25526370648322,-0.022857142857143,-0.084874799262475,0.50724637681159
1997-12-31,,0.015955225127391,0.061133422579205995,-7.873015873015901,-4.2906264719736,-6.805874840357599,-2.6284035881559,-3.476897689769,,-0.25736293611237,0.61011673151751,-0.0081572892700271,,-0.033988092447611,-0.017845720864782,0.058011049723757,0.25409836065574,0.20264817644063,0.3060069381048,0.30698330980653005,0.0,0.14324710776029997,-0.11538461538462
1998-12-31,,0.015046867291563999,0.04387440426128399,2.7482678983834,-1.6780704265673998,-2.1744390673119,-0.68156778628187,-0.34347472055667,,1.3886516168395,-1.1899468342193997,-0.14139603542809,,-0.019654469571968997,-0.13728427222403,-0.026109660574412996,0.17973856209150002,0.41368078175896006,0.36096742625471995,0.43398983481576003,0.011695906432748001,0.21870380898237998,0.25
1999-12-31,,0.014742810854597001,-0.032818584664966,-1.5205175600738998,-2.6109351910492005,-1.2425547855403998,-5.836956521739099,0.48517307475476,,-0.10446998722860999,-9.2391857506361,0.17475132015227998,,0.12063759219841,0.48871442590775,-0.25737265415550004,0.44598337950139,0.39861751152074004,0.52198253723677,0.6069735501307,-0.08092485549132901,-0.2740122218594,0.25365217391304
2000-12-31,,0.014927756046938998,0.033932191153195,-0.05823863636363599,-0.66767134058446,1.2571428571429,-1.4058237062826002,-2.4525508654722,,-1.2752424415288,1.0580605311921,0.24012126280577,,0.0054333421680359,0.16312560214999,-0.10108303249097,0.84099616858238,0.4992586490939,0.96102318361286,0.91006589286207,-0.037735849056603994,0.22354301869819002,-0.021987930914892
2001-12-31,,0.01494415604845,0.063851215254465,-1.7043740573152,-1.6257886435331002,-0.64009579199453,1.0060832943379,0.12308576804474,,0.19896373056995,-0.21908763505401999,-0.1102587878277,,-0.12336892052194999,-0.13907053797192,0.24899598393574,-0.6077003121748199,-0.75385967803967,0.37700263289221997,0.22400404157044002,0.019607843137255002,0.18868816300809,-0.26120567375887
2002-12-31,,0.014724116553007,0.056951719785421,0.52284082798001,-1.3931947069943003,-2.8431558935361005,-0.2607495529119,-1.1252326880119,-0.15228549293047,-0.34658599827139003,-0.28843197540354,0.050402652771197994,,0.073422542975994,-0.015849706299371998,0.09646302250803901,-0.6657824933686999,-0.58035714285714,0.12600757320136,0.093998749985259,0.012820512820513002,0.047139385906782,-0.17039454737447998
2003-12-31,,0.017259813655108997,0.047708898097615,-0.72041246777596,10.554487179487,-6.2470345538937995,-1.2135156455429998,0.38015607580825,-0.14565602330495997,0.32010582010582,-0.048069133135296,-0.039144944529628994,0.018041920933935002,-0.051825567279858,-0.0534087985593,0.08504398826979499,-0.37055555555555997,-0.35319148936170003,0.07931011520277,0.060795515791743,-0.018987341772152,-0.17348746941186,0.13492247165008
