Date,ODA/BEL_LE_Value,ODA/BEL_LP_Value,ODA/BEL_PPPGDP_Value,ODA/BEL_BCA_NGDPD_Value,ODA/BEL_TX_RPCH_Value,ODA/BEL_TXG_RPCH_Value,ODA/BEL_TM_RPCH_Value,ODA/BEL_TMG_RPCH_Value,ODA/BEL_GGXWDG_NGDP_Value,ODA/BEL_GGXWDN_NGDP_Value,ODA/BEL_GGXCNL_NGDP_Value,ODA/BEL_GGXONLB_NGDP_Value,ODA/BEL_GGR_NGDP_Value,ODA/BEL_GGSB_NPGDP_Value,ODA/BEL_GGX_NGDP_Value,ODA/BEL_NGSD_NGDP_Value,ODA/BEL_PPPEX_Value,ODA/BEL_PCPIPCH_Value,ODA/BEL_PCPIEPCH_Value,ODA/BEL_PCPI_Value,ODA/BEL_PCPIE_Value,ODA/BEL_NGAP_NPGDP_Value,ODA/BEL_PPPSH_Value,ODA/BEL_NID_NGDP_Value,ODA/BEL_LUR_Value
1991-12-31,0.0030840400925212,0.0039203860072376,0.05222433177931201,0.27608695652174,-0.39091504695347995,-0.5177065767285,-0.41968162083936,-0.65505058615706,0.011431092261375,0.010482351235775999,0.09637691536588902,-0.2546274323683,0.012172724554735,0.052343203543949994,0.023100224869446,-0.03847439217979799,-0.0047846889952153,-0.08282652765711,-0.20314735336195,0.031666153619657994,0.027852247064883002,-0.27803837953092,-0.0040705563093623,-0.06183745583038901,-0.016488549618321
1992-12-31,-0.0015372790161415,0.0035045559226995,0.038451063167519,0.25596252129471997,-0.14700609537469,0.86276223776224,0.12076950480941,1.1345437616387,0.021907472873911996,0.058171124241256,0.096656217345873,-0.31454950652658,-0.0096210650687822,0.022266533732137002,0.0051587589914989,0.014033105965156,0.012019230769231,-0.28670666245658005,-0.21579892280072,0.022599016644395998,0.021842477193883998,-0.5416420555227399,-0.087193460490463,-0.010851044749350001,0.10090034150885001
1993-12-31,-0.0064151911726969,0.0045899022151267,0.013942618420928999,0.76568328246863,-0.62715426649853,1.6982637259503002,-0.8283534647170999,-0.89094874591058,0.031494058360602,0.014251700968472001,-0.083611243449262,0.27728750580585,0.039113762249681,-0.28500216731686,0.020492988289721,0.058697514995716,0.015439429928741002,0.099601593625498,0.12820512820513,0.024839835077704,0.024644788130265,-3.7731958762887,-0.029850746268657004,-0.0292384406165,0.21615905245347
1994-12-31,-0.0038739669421487,0.0032777115613827,0.054241437446592,0.026502784712886,9.144306651634698,-0.27826086956521995,12.616666666667,15.0,-0.013262676490871001,-0.0048954495710216,-0.31141148947232,0.32109090909091,0.00047154338199106,-0.28933010003031,-0.042022312732424,0.049939295831647,0.0,-0.036634460547503994,-0.19318181818181998,0.023940680588738,0.01987973984538,-0.54460966542751,0.0015384615384615,0.0036890030352557,0.13136231884058
1995-12-31,0.020482240082965997,0.0029700029700029,0.04519843321445201,0.011038353601496999,-0.38608579684373995,0.07228915662650601,0.30178158574731,0.05,-0.042287093166971004,-0.028215955740994,-0.14571536428841,0.06000550509221,-0.025041496751982997,-0.019407123053956,-0.036859714956467005,0.0055118717237126,0.019883040935673002,-0.46970330129545,-0.38279678068409995,0.012693883965811,0.012272891348815002,-0.29897959183673,-0.012288786482334998,-0.03768493533079,-0.0067636810821889
1996-12-31,0.0022865853658536,0.0011844832691739,0.032755686343553,-0.07198371576609901,-0.32711803041274,-0.5823595505618001,-0.55902632678646,-0.4975,-0.023267783069596003,0.0031618231452365,-0.11378700839592999,0.03713321215268799,0.017571515648317,-0.23314484558504,0.0061608736541082,-0.020239966266723,-0.014908256880734,0.39952718676123,0.7440912795435999,0.017751620566571997,0.021395459408059,1.254730713246,-0.023328149300156004,-0.0068168632759622,-0.014651258770120001
1997-12-31,0.0068441064638784,0.0026619343389529,0.055116735939732,0.10368893320039999,1.6887274683884999,1.6887274683884999,1.1104003790571002,1.1104003790571002,-0.036492044891507,-0.03726253423124,-0.43704811767639,0.26965448172258,0.01012124842501,-0.39846851956892,-0.024092018922631,0.037638405258422006,-0.0081490104772992,-0.15709459459459,-0.58691588785047,0.014978769324606001,0.0088444082392644,-0.86184635248547,-0.0047770700636943,0.021564523195249,-0.034031413612566
1998-12-31,0.017371601208459,0.0021632251720748,0.030344647178079,-0.06431797651309801,-0.5238142885731399,-0.5238142885731399,-0.37572968118545,-0.37572968118545,-0.043106333308846,-0.037202021557315,-0.56908768821966,0.19148097022284002,0.0099175919677729,-0.77274870344177,-0.015656457066906,-0.0051280117642623,0.0082159624413146,-0.39078156312625,-0.21719457013575,0.0091181195178605,0.0069212135194372,1.8411214953271002,-0.0048,0.010483179262365,0.012682926829267999
1999-12-31,0.013610492452363001,0.0021585557299843,0.051244236190192,0.5207569028769999,-0.057364992645514014,-0.057364992645514014,-0.51789246538392,-0.51789246538392,-0.031212147061331998,-0.043860790070236993,-0.33093525179856,-0.02846739490235,0.0015995788450636,0.51452282157676,-0.0048054011119936,0.11013833617586,-0.012805587892898998,0.2390350877193,1.9638728323699,0.011303252404947,0.020506358116623002,-1.9983552631579,0.0,0.0099028576817882,-0.096339113680154
2000-12-31,0.02001953125,0.0024476209124731,0.060289103565848004,-0.48895378364652,1.6319661168078,1.6319661168078,3.5345020514732997,3.5345020514732997,-0.050998934587175,-0.053442161006656,-0.88018433179724,0.061158432708687996,-0.0094406371924717,-0.24246575342466,-0.020751027574923,-0.09183708306305699,-0.0023584905660377,1.3699115044248,0.44514870794734,0.026781568845052003,0.029636281993714004,2.2685337726524,-0.011254019292605,0.054165110197983,-0.17768301350391
