Date,ODA/DZA_LE_Value,ODA/DZA_LP_Value,ODA/DZA_PPPGDP_Value,ODA/DZA_BCA_NGDPD_Value,ODA/DZA_TX_RPCH_Value,ODA/DZA_TXG_RPCH_Value,ODA/DZA_TM_RPCH_Value,ODA/DZA_TMG_RPCH_Value,ODA/DZA_GGXWDG_NGDP_Value,ODA/DZA_GGXWDN_NGDP_Value,ODA/DZA_GGXCNL_NGDP_Value,ODA/DZA_GGXONLB_NGDP_Value,ODA/DZA_GGR_NGDP_Value,ODA/DZA_GGX_NGDP_Value,ODA/DZA_NGSD_NGDP_Value,ODA/DZA_PPPEX_Value,ODA/DZA_PCPIPCH_Value,ODA/DZA_PCPIEPCH_Value,ODA/DZA_PCPI_Value,ODA/DZA_PCPIE_Value,ODA/DZA_PPPSH_Value,ODA/DZA_NID_NGDP_Value,ODA/DZA_LUR_Value
1991-12-31,,0.024818160019183,0.020886481449123,1.3480055020633,-0.8308823529411801,-0.81688561358539,0.98888888888889,-1.2195099465283998,,,0.19340659340659,0.16677063838635997,0.09343853820597998,0.08105480144685201,0.33342353719406004,0.52338185196655,1.7933563416738998,-0.45327507229857,0.25895134624469,0.25895134624469,-0.032457496136012,0.17532712293360997,0.025611175785797
1992-12-31,,0.024490114261202,0.039161094502385,-0.48818590119117,9.415652173913,2.4706911636045,-1.2569832402235,-1.2780811050446002,-0.19153583266952998,-0.19153583266952998,-0.8024204156800799,-0.48297986098734996,-0.067033801747057,0.03353121064939701,-0.11051480370713002,0.19943077861354,0.22393822393822,0.22393822393822,0.31701185652109,0.31701185652109,-0.087859424920128,-0.063178631969579,0.054532892464097
1993-12-31,,0.023714361843857997,0.0022674865488087,-0.39374284624189004,-0.6435131073635,-0.57675825560877,-2.4565217391304,-1.9869105554623,0.1764294568223,0.1764294568223,-8.877496671105199,-2.2571527059635,-0.08728543320442401,0.14251401120897,-0.16072605587385,0.10457627118644001,-0.35331230283912,-0.35331230283912,0.20500840431897,0.20500840431897,-0.040280210157618,-0.13233568075117,0.08348932983901201
1994-12-31,,0.022384174908902002,0.012089639721066999,-3.7275015733166,-3.8655737704917996,-5.649791542584901,-1.9104477611939998,-1.8967862608400001,0.32890257740314005,0.32890257740314005,-0.68475321162948,-1.2462297778996,0.08489128414792799,-0.053837482099874996,0.021687911556817,0.23523093447905,0.41463414634146006,0.41463414634146006,0.28999692649597,0.28999692649597,-0.03832116788321201,0.14896854920528,0.05226330338631599
1995-12-31,,0.020512074483561002,0.060137475644079,0.22704199353946,-1.9370709382151001,-1.8827974894326,-0.67213114754098,-0.42851725445582,0.18113157680734998,0.18113157680734998,-1.3147453083110001,1.8496659242762,0.026688135941622,-0.053873897082500996,0.059454824976348,0.27155279503106,0.027586206896552,0.027586206896552,0.29800414200099,0.29800414200099,0.0018975332068311,0.011184694628403,0.15364091618094
1996-12-31,,0.018032786885246,0.056945642795513,-1.4998119593831998,0.0027908599337171,-0.022634939059779997,-7.65,-6.2853351028534,-0.15531649382504,-0.15531649382504,5.664395229983,1.6928487690504,0.071376134543513,-0.040366223069331006,0.1178456815962,0.21277842907385996,-0.37248322147651003,-0.37248322147651003,0.18700139785098002,0.18700139785098002,-0.0018939393939394,-0.16009314510261,-0.0042341220423412
1997-12-31,,0.016768185955332,0.028310590508392998,1.6941309255078998,0.9580796660288701,0.34931710213777006,-1.1804511278195,-1.0086629001883,-0.28826873700940997,-0.28826873700940997,-0.25102249488753,-0.14845450587723003,0.038122527797677,0.07824082284092901,-0.0040441360027959,0.05203802158852901,-0.6951871657754,-0.6951871657754,0.057002153044595,0.057002153044595,-0.028462998102467003,-0.21937272569745,-0.0008933037947546
1998-12-31,,0.015906352212085,0.06237610740020501,-1.2636503281665001,-0.8531580350004399,-0.77181208053691,1.7083333333333,50.528985507246,0.043060625581562005,0.043060625581562005,-2.2204778156997,-1.2268234492161,-0.17905253367735996,0.017696786289925,-0.1203629436535,-0.04173047473200601,-0.13157894736842,-0.13157894736842,0.049505396189469,0.049505396189469,0.025390625,0.32682204957454997,0.0021458459997855
1999-12-31,,0.015521740603924,0.04779254084407401,-1.0217161016949001,1.1282516636419,1.3818707810993,-0.7230769230769201,-1.0638447475742,0.12566048611778,0.12566048611778,-0.47007829977629,-1.7918858001503,0.09447063552973001,0.029218785351820997,0.11232689348607,0.095245705153815,-0.4747474747474699,-0.4747474747474699,0.025992408158012997,0.025992408158012997,-0.0038095238095238,0.016897167075619,0.045394525534421
2000-12-31,,0.018054396796262,0.061618574189574005,406.29268292682997,-0.054860716316089006,0.0024291497975708,3.2222222222222,-24.013215859031,-0.23416525439227,-0.23416525439227,-6.1192612137203,11.017077798861001,0.27794844396955,-0.10275413748704999,0.33809816579568,0.19581235864886998,-0.88461538461538,-0.88461538461538,0.0029995192408185,0.0029995192408185,-0.0095602294455067,-0.10101453249246001,0.0069299832724541
2001-12-31,,0.014685635612665998,0.053474894266544004,-0.22773818791544,-1.5100751879698997,-1.4493134087237,0.47368421052632004,0.031584992343032005,-0.072421314059192,-0.16622355244933,-0.6144727347696101,-0.54239696826149,-0.085728469899666,0.093801407021105,-0.063272963969828,-0.026905008846317996,13.0,13.0,0.042003146849504,0.042003146849504,0.0057915057915058,0.088269383273348,-0.07424735557363701
