Date,ODA/ZWE_LE_Value,ODA/ZWE_LP_Value,ODA/ZWE_PPPGDP_Value,ODA/ZWE_BCA_NGDPD_Value,ODA/ZWE_TXG_RPCH_Value,ODA/ZWE_TMG_RPCH_Value,ODA/ZWE_GGXWDG_NGDP_Value,ODA/ZWE_GGXCNL_NGDP_Value,ODA/ZWE_GGXONLB_NGDP_Value,ODA/ZWE_GGR_NGDP_Value,ODA/ZWE_GGX_NGDP_Value,ODA/ZWE_NGSD_NGDP_Value,ODA/ZWE_PPPEX_Value,ODA/ZWE_PCPIPCH_Value,ODA/ZWE_PCPIEPCH_Value,ODA/ZWE_PCPI_Value,ODA/ZWE_PCPIE_Value,ODA/ZWE_PPPSH_Value,ODA/ZWE_NID_NGDP_Value
1991-12-31,,0.031371346821991,,,,,,,,,,,,,,,,,
1992-12-31,,0.031407906469831,,,,,,,,,,,,,,,,,
1993-12-31,,0.035158501440922,,,,,,,,,,,,,,,,,
1994-12-31,,0.034428359317001,,,,,,,,,,,,,,,,,
1995-12-31,,0.033731048712657995,,,,,,,,,,,,,,,,,
1996-12-31,,0.033064306170267996,,,,,,,,,,,,,,,,,
1997-12-31,,-0.0099126344086022,,,,,,,,,,,,,,,,,
1998-12-31,,-0.0025453928389614,,,,,,,,,,,,,,,,,
1999-12-31,,-0.002722014290575,,,,,,,,,,,,,,,,,
2000-12-31,,-0.0026441487546913,,,,,,,,,,,,,,,,,
2001-12-31,,-0.0025656375609338,0.016454930429522,3.115,,,,,,,,,-0.03030303030303,,,-0.37198000000000003,,-0.019607843137255002,
2002-12-31,,-0.0026579782217269,-0.063048049835337,2.1688942891859,-4.2115453567587,0.6941431670281999,,,,,,,0.018229166666667,-0.074009355341685,,-0.3444476290564001,,-0.12,
2003-12-31,,0.0006877579092160299,-0.1485559413907,0.76610429447853,0.09428380037959101,6.836961160904799,,,,,,,0.035805626598466,-0.75134272027871,,-0.08564488705368,,-0.18181818181818002,
2004-12-31,,0.0077319587628866,-0.038844126131503,0.32110290924881,-0.56812732744988,-0.64704280579458,,,,,,,0.032098765432099,-14.259661412725999,,1.1356922749973,,-0.11111111111111001,
2005-12-31,,0.0085251491901108,-0.047141009055627,0.33656532456861,0.09650366170564599,0.39808671501312004,,,,,,,0.0,-1.2775581364633,,-0.31522712572765005,,-0.125,
2006-12-31,,0.015215553677091999,-0.0061366351688934,-0.20017213820239,-0.69040180975978,-0.52069308023397,0.16092812443666,-0.6131738387447601,-1.0120620333141999,-0.40233927695076005,-0.47505760060012,,-0.06937799043062201,-2.0460630670643,,0.32975496339891,,-0.10714285714286,
2007-12-31,,0.0024979184013322,-0.0077591388448718,-0.16464258262875,1.6450939457203,1.7840202624913999,0.12098491570541,0.2004016064257,-30.071428571429,-0.5990146434925401,-0.39583545983464,,-0.025706940874036,-3.2056468732941004,,-0.7272938380209499,,-0.08,
2008-12-31,,0.0066445182724253,-0.14786056500908998,2.0679057784321,1.7230991844252,-2.1492845918452,0.37388688803578,-0.31381733021077,-1.2358722358722,-0.23071672354948997,-0.27268119614799996,,0.0052770448548813,-3.1582037426611,,1.5696253255861001,,-0.17391304347826,
2009-12-31,,0.0090759075907592,0.090151221403645,1.6769839841640999,-0.56688082701319,8.2846142774899,-0.016333467765167,0.010238907849829,0.22569444444444,4.3025732031943,2.2576074332172005,,0.27034120734908,-0.96039856272776,,0.062163742690058,-0.076699406623502,0.10526315789474001,
2010-12-31,,0.0089942763695829,0.12733416325805,-0.59767410594246,-7.6166629489180995,-1.1724242165883,-0.074706416376256,-1.3431467181467,4.4164305949008,0.9480421686746999,0.6095978322875101,-1.2021136063408,0.026859504132231003,-0.5101351351351401,-1.4194263363755,0.030446512140065,0.032170060055661004,0.047619047619047006,0.5837526483050799
2011-12-31,,0.025364667747163998,0.14213598359363,0.66154274575327,-0.68987779182469,-2.2019688932842003,-0.18089315103177997,-2.7890295358649997,-1.1265690376568998,0.14508439634068,0.23740752226110998,-2.246857717446,0.014084507042254,0.13957307060755,0.52937519428039,0.034711833012752,0.049190215173931004,0.045454545454545005,-0.063876928222064
2012-12-31,,0.025369477594246004,0.12550644567219,-0.18084000938557998,-1.6286552886183,-1.2019896032013,0.09599891810436399,-0.54323899371069,-2.4545454545455,0.051273395596564,0.024237433767722003,0.3807795698924699,0.011904761904761998,0.072046109510086,-0.40772357723577,0.037196412895674,0.029148209515436004,0.08695652173913099,-0.3674362524003
2013-12-31,,0.011022044088176,0.04855600098175599,0.11944512644243,-0.9061040982189201,-2.4273282725421,-0.027657324167107002,2.3442340791737997,-3.9346590909091,0.010703582132154,0.058093606906917,0.26321425094909,0.0098039215686275,-0.56129032258065,-0.8864104323953299,0.016313186630821003,0.0033185477246592,0.0,0.015178256265443
2014-12-31,,0.01097811999695,0.048531190262552,0.026209014146288002,-10.344383057089999,-0.31158386301725,0.061383948804409,-0.12454966546577001,-0.40077444336883,0.031347077096865,0.021340556968716,0.10742082145334,-0.0077669902912621,-0.82169117647059,2.6253776435045,0.002906549533809,0.012002226879748001,0.0,-0.047079276773296
2015-12-31,,0.01100972777317,0.050935744316702,-0.065719170762984,-0.17865589278676,0.19427171660071998,-0.00073445266196388,-1.3709582598471002,-3.9612277867528,-0.0039019715224535,-0.079115049972507,-0.069932502957345,-0.0039138943248532,3.2680412371134,0.43333333333333,0.012422865888406001,0.017199255723647,0.0,-0.061300445157995
