Date,ODA/PAK_LE_Value,ODA/PAK_LP_Value,ODA/PAK_PPPGDP_Value,ODA/PAK_BCA_NGDPD_Value,ODA/PAK_TX_RPCH_Value,ODA/PAK_TXG_RPCH_Value,ODA/PAK_TM_RPCH_Value,ODA/PAK_TMG_RPCH_Value,ODA/PAK_GGXWDG_NGDP_Value,ODA/PAK_GGXWDN_NGDP_Value,ODA/PAK_GGXCNL_NGDP_Value,ODA/PAK_GGXONLB_NGDP_Value,ODA/PAK_GGR_NGDP_Value,ODA/PAK_GGX_NGDP_Value,ODA/PAK_NGSD_NGDP_Value,ODA/PAK_PPPEX_Value,ODA/PAK_PCPIPCH_Value,ODA/PAK_PCPIEPCH_Value,ODA/PAK_PCPI_Value,ODA/PAK_PCPIE_Value,ODA/PAK_PPPSH_Value,ODA/PAK_NID_NGDP_Value,ODA/PAK_LUR_Value
1991-12-31,,0.022140221402214003,0.08925624070941601,0.09684770224078999,0.7711881188118801,0.7711881188118801,-2.3582857142857003,-2.3582857142857003,,,,,-0.0046151006091935,,-0.007963825335763,0.093303104290199,0.39520494972931,-0.083345401882694,0.1262756095661,0.12658536585365998,0.031292517006802995,0.0081360494280296,-0.25571428571429
1992-12-31,,0.029557761732852003,0.10021976160337,-0.42243767313019,0.19207334115936997,0.19207334115936997,0.56163230963399,0.56163230963399,,,,,-0.070660237388724,,0.021021838220286998,0.07736481097463702,-0.6160120367437399,0.14258630223556,0.048485267671877,0.14465613047557,-0.031662269129288,0.060315533980583,0.29323949669439003
1993-12-31,,0.025816348893272,0.045256629597947004,1.9736211031175,-0.75484173505276,-0.75484173505276,0.93399784482759,0.93399784482759,,,,,-0.027738974256634998,,-0.20555703624732996,0.058187740598164006,1.026397195298,-0.33448561946903,0.098291444026651,0.09627084449768301,0.0,0.023749570790888998,-0.12879287598945
1994-12-31,,0.025380276875747995,0.06590119526477099,-0.51129032258065,-1.8368400918132999,-1.8368400918132999,-1.447346427079,-1.447346427079,,,-0.25884086444008,-1.0509461426492,-0.09893267651888302,-0.14610373944511,0.11347815147194,0.098782706030502,0.14716059434154,0.22200290878870002,0.11270947204036,0.11763521867900999,0.012261580381471,-0.055564872267874,-0.094264622373651
1995-12-31,,0.024960413367781,0.07252980966347501,0.125,-1.9490285714286,-1.9490285714286,-1.8430639887903002,-1.8430639887903002,-0.067447916666667,,0.07466313231720799,-14.171428571429,-0.04525436598329499,-0.014578742159688,-0.084588731545646,0.11435120336177,0.15534066713982,0.027969055513049002,0.13022590483388002,0.1209220952969,0.012113055181696001,-0.05108020124297099,0.065621734587252
1996-12-31,,0.024515184778632005,0.085446651323113,0.83314998166483,0.11777456647399001,0.11777456647399001,2.0446906740536,2.0446906740536,-0.00026455415276534,,0.11181911613566,-0.24837310195228,0.060919357404167,0.075061643442858,0.027812062865136,0.046851788367044005,-0.17161944252476,-0.14844525305987,0.10786608081000999,0.10296547925083001,0.027925531914893997,0.021519461077844,0.051578740929594004
1997-12-31,,0.024087301587302,0.034440117262598,-0.12682536507300998,-0.43654384830855,-0.43654384830855,-1.3658640140717,-1.3658640140717,0.011511150968083,,-0.10796820114624,-1.1919191919192,-0.077211394302849,-0.08603584382334101,-0.028980866223681002,0.10719353782338001,0.09436410826844599,0.20938137321550002,0.11805660336688999,0.12452657427061001,-0.024579560155239,-0.05678695731819,0.073293547183887
1998-12-31,,0.023636997713799002,0.04616904955450401,-0.52325315005727,2.3483747609942998,2.3483747609942998,-0.57559681697613,-0.57559681697613,0.0081099936050229,,0.15440414507772002,-0.8195488721804499,-0.02055239642567,0.02865480011672,0.18080633193173,0.05402740806467501,-0.33855666610198,-0.47972376134265005,0.07809909388856799,0.064787741959362,0.010610079575597002,-0.0009063248527221699,0.044309296264117996
1999-12-31,,0.02301548245448,0.057782666723546,0.14031715521384,-1.5642987665601,-1.5642987665601,-1.282421875,-1.282421875,0.084340128600675,,-0.31238779174146997,70.208333333333,0.05258356141660401,-0.062691478497674,-0.16017316017316,0.037414647834627,-0.23242412600845003,-0.33076091989505,0.05994170347454499,0.043361893672118,0.005249343832020999,-0.12499190047301,-0.017304492512479
2000-12-31,,0.017798334875116003,0.06270362763257599,-0.8866413822166,-3.8729002226270004,-3.8729002226270004,-10.786998616874001,-10.786998616874001,0.023280859437324,,0.04673629242819901,0.1316559391457,0.043259002442676005,0.044125658253132,0.30645161290323,0.0078441979983772,-0.42208875542209,-0.11369926199261998,0.034636343697805,0.038428224006396006,-0.0078328981723238,0.10774585308057001,0.16322384016254998
2001-12-31,,0.020577328582855,0.042910427532067995,-2.5390334572491002,-0.2568510038746,-0.2568510038746,-1.5912945166761001,-1.5912945166761001,0.025856580434753997,,-0.23671738588177,0.08996897621509801,-0.012009063444109,-0.064347826086956,0.029909634720631,0.055018786902845,0.33573903002309,-0.065573770491803,0.046260965985063,0.035899327890152,-0.0052631578947368,-0.013369877665619,0.13828238719068
2002-12-31,,0.020019948703333998,0.046948832712130996,7.756038647343,-0.028533510285334997,-0.028533510285334997,-1.1990917782027,-1.1990917782027,-0.068205134700391,-0.10284599698555,0.082679738562092,-0.14753320683111998,0.12659582600719002,0.1183395291202,0.17467869500741,0.01026032392097,-0.47438945320942,-0.19131161236424,0.024328662936583,0.029049691076046002,0.0026455026455026,-0.024324141201977994,0.057544757033248004
