Date,ODA/IRN_LE_Value,ODA/IRN_LP_Value,ODA/IRN_PPPGDP_Value,ODA/IRN_BCA_NGDPD_Value,ODA/IRN_TX_RPCH_Value,ODA/IRN_TXG_RPCH_Value,ODA/IRN_TM_RPCH_Value,ODA/IRN_TMG_RPCH_Value,ODA/IRN_GGXWDG_NGDP_Value,ODA/IRN_GGXWDN_NGDP_Value,ODA/IRN_GGXCNL_NGDP_Value,ODA/IRN_GGXONLB_NGDP_Value,ODA/IRN_GGR_NGDP_Value,ODA/IRN_GGX_NGDP_Value,ODA/IRN_NGSD_NGDP_Value,ODA/IRN_PPPEX_Value,ODA/IRN_PCPIPCH_Value,ODA/IRN_PCPIEPCH_Value,ODA/IRN_PCPI_Value,ODA/IRN_PCPIE_Value,ODA/IRN_PPPSH_Value,ODA/IRN_NID_NGDP_Value,ODA/IRN_LUR_Value
1991-12-31,,0.024587155963303,0.16342099462696,2.6210261252754,-0.48396135265699997,-0.1987922705314,-0.046195965417867,0.26239043824701,,,-0.03630077787381201,,-0.14241328375694,-0.13126480772736,0.09822996417784599,0.21139369478984,1.2875555555556,0.53355613149639,0.20571428571428998,0.22476125511595998,0.10098709187547,0.22916386520722,-0.29577464788732
1992-12-31,,0.10243553008596001,0.06627774797872199,-0.4471488178025,-0.096517506085003,-0.7407295749170899,-1.2749796054023002,-1.3317869090449999,,,-0.47623318385650004,,0.099126922848488,0.031782661142288,0.099037446835726,0.25221090796254003,0.18467068195064998,-0.024016010673782,0.24407582938389003,0.21943748259538,-0.062068965517241,0.012340276562226998,0.0
1993-12-31,,-0.009096816114360001,0.0076563989080747,-0.23097484276729996,0.6364107346389,2.5662790697674,1.1576749807713,0.8364881575192601,,,4.7782534246575,,0.5653301631903199,0.81553398058252,0.14807378957169,0.49404944341917,-0.075481754817548,0.20455684666211,0.22530612244898002,0.26421557433204,-0.036029411764706004,-0.28077721103138,0.0
1994-12-31,,0.014606557377049,0.017703999029039,-2.5236148026987997,-0.9146457291204999,-0.59054450603195,0.98808371950909,0.87439788677682,,,-0.35012594458438,,-0.11474730737364999,-0.15922389898368,-0.028942899865677003,0.28232973095658,0.56104483569116,0.29386396307784995,0.35198756384631996,0.34212427745665,-0.033562166285278,-0.31676533341346996,0.0
1995-12-31,,0.035691780711249996,0.047935249273197,-0.50389157273215,-14.278189910978998,-4.4300047778309,-0.97622950819672,-0.97021194285556,,,-0.20793433652531,,-0.056036499766026995,-0.078221778221778,-0.032624298577581,0.358889962967,0.39522727272727004,0.06771533828431099,0.49113009198422997,0.36514131897712,-0.01026045777427,0.28413089373681,0.0
1996-12-31,,-0.024820592823713,0.09055323534779901,0.27941574249391,-0.71769372590648,-0.9628546222779399,-19.059267241379,-14.752319109461999,,,-0.7061024755325301,,-0.07080596521667301,-0.15050034319569,0.10861999190610999,0.2248122014573,-0.53135689851767,-0.52390601894956,0.23022692222957,0.17391304347826,0.031897926634768994,0.22896972187971,-0.09
1997-12-31,,-0.025276360204131,0.051548868153743,-0.5600422832981,1.5927171977043,16.7625,-1.3854645265231,-1.5168296795953,-0.068715763846622,-0.065143824027073,1.3888344760039,,-0.06655403903436599,-0.0033595577291091,-0.081964420432698,0.12072607841172,-0.24317865832464003,0.11008857701599,0.17415830945559,0.19299571680524,-0.0077279752704791,-0.0037624369443437,0.40659340659341
1998-12-31,,0.014984654269724,0.038555015466195,-2.0509370494954,-1.653308907717,-1.3926812104152,-1.0551083591330999,-0.9684155572957499,0.14227828246520002,0.12963800904977002,1.7507175071751002,,-0.24599923795009,-0.038231780167263994,-0.18036741510484,0.082813275524802,0.040932315287903996,-0.013523316062176001,0.18134675512850001,0.19035550862372,0.0023364485981308,-0.081239859005203,0.060078125
1999-12-31,,0.015765984282526003,0.034938583886676006,-3.8788294467307,-1.1900923005024,-0.53297491039427,-15.806179775281,26.731404958678002,-0.24190410802151002,-0.27148007210094,-0.89760023848562,,0.29890720737793,-0.057231588287489005,0.16976616320062,0.28180364307995004,0.10302228105008,-0.057986238773045,0.19998708927765,0.17937193210716001,-0.015540015540016,-0.094330430546252,0.16272385584789004
2000-12-31,,0.016635624114491,0.075353896431943,1.0586086404066,-7.9102642901045,1.0721412125863001,-4.3752608613166,-2.9532111458798997,-0.078641509433962,-0.17374570446735002,-11.679767103348,,0.23401254680737,-0.15115294117647,0.27615571776156,0.23629376522604997,-0.36045,-0.368664622247,0.12792511700468,0.11322836225053,0.0031570639305446,0.11602339967724999,0.017050136274323
2001-12-31,,0.011305627759857,0.04614656873386099,-0.59995370727567,-0.9345370452726101,-1.6501851851852,0.31414760272048,0.85810192249008,0.05209698558322401,-1.2472134420229999,-0.8447594384625899,,-0.21741871921182,0.037753631222973996,-0.10436346303839,0.10617524732786,-0.10507388007193,0.034354852954163996,0.11446558878237,0.11711711711711999,-0.0007867820613689099,0.08913993071245699,0.036146080019943
2002-12-31,,0.016614022048805,0.090518442813342,-0.40405014464802,1.1970108695652,-0.17829678154372,0.32745936698033,-0.28908687797668,0.87955465587045,-7.907133243607,-0.53116769095698,,0.15192869372545,0.19349324216036998,-0.0086117225864196,0.26037668009687,0.38638944701669,0.51485655737705,0.15868532545898,0.17741935483871,0.043307086614173,0.04809979532001999,-0.26620955130518
