Date,ODA/MUS_LE_Value,ODA/MUS_LP_Value,ODA/MUS_PPPGDP_Value,ODA/MUS_BCA_NGDPD_Value,ODA/MUS_TX_RPCH_Value,ODA/MUS_TXG_RPCH_Value,ODA/MUS_TM_RPCH_Value,ODA/MUS_TMG_RPCH_Value,ODA/MUS_GGXWDG_NGDP_Value,ODA/MUS_GGXWDN_NGDP_Value,ODA/MUS_GGXCNL_NGDP_Value,ODA/MUS_GGXONLB_NGDP_Value,ODA/MUS_GGR_NGDP_Value,ODA/MUS_GGSB_NPGDP_Value,ODA/MUS_GGX_NGDP_Value,ODA/MUS_NGSD_NGDP_Value,ODA/MUS_PPPEX_Value,ODA/MUS_PCPIPCH_Value,ODA/MUS_PCPIEPCH_Value,ODA/MUS_PCPI_Value,ODA/MUS_PCPIE_Value,ODA/MUS_PPPSH_Value,ODA/MUS_NID_NGDP_Value,ODA/MUS_LUR_Value
1991-12-31,,0.010377358490566,0.09928631402183,-0.88330150647146,0.0,-0.0,0.0,0.0,,,,,,,,0.091200733272227,0.053914961401789,0.19729098552078,-0.17940613026820001,0.12816759108435002,0.08566175727821901,0.055555555555556,-0.060200090005885,-0.035131298793471
1992-12-31,,0.013071895424836999,0.12927248424671,-0.99272727272727,0.0,-0.0,0.0,0.0,,,,,,,,-0.0047726318200909,-0.0084873851877689,-0.77709292346103,-0.25539862262169,0.028566206707483995,0.063792172990677,0.0,-0.014476204508618999,0.22876057374035
1993-12-31,,0.011059907834101003,0.12901589448766002,635.0,0.0,-0.0,0.0,0.0,,,,,,,,-0.38536791222282,0.035178236397748,4.351067553377701,1.3494278100016002,0.15288389779310002,0.14986442753433,0.052631578947367995,0.0031396000747524,0.17898832684825
1994-12-31,,0.013673655423883001,0.07069042983375799,1.5003930817609998,15.786666666667,-2.9821958456972997,-0.46214628937533,-0.47493525712171997,,,,,,,,0.096123837463329,0.05493883099229701,-0.52021193092622,-0.6004537265630201,0.073348540427237,0.059879510740583,0.0,0.041618540184061005,0.14039096217314
1995-12-31,,0.012589928057553998,0.06630297943768401,-0.91856626316617,-0.043553084458565004,-0.50349301397206,0.76910859638674,0.7285538136339599,,,,,,,,-0.23768578099197,0.036937614087834,-0.17845944103613,0.0048430193720775,0.06026622248388099,0.060171097203880995,0.05,-0.07944627271426499,0.13891362422084
1996-12-31,,0.011545293072823998,0.020857929948839,-2.480694980695,1.9148788927336002,3.6409547738693,0.10818090001122,0.039539386528074996,,,,,,,,0.14431911555986998,0.04535570052811401,0.08745436442084299,0.23799235499417998,0.065521818034075,0.074492282696994,-0.04761904761904799,-0.074140275888867,0.1307662236122
1997-12-31,,0.010535557506585,0.055127216653817,-3.5580182529334996,-0.019705603038936002,0.05419305939039599,1.3441012658228002,1.0731300852858001,,,,,,,,0.18375873098766,0.044279346210994996,0.042423317564474,-0.31990871257887,0.068305455284966,0.050653965373857,0.0,0.1132328870609,0.13414001728608002
1998-12-31,,0.010425716768028,0.097552064303982,-1.0382262996942,0.06795834342455799,-0.03281635168447,0.11750475203041,0.1722621524494,,,,,,,,-0.13510532701004,0.048662492885600005,-0.0033670033670035,0.78582708251086,0.06807852468768599,0.09046316950900699,0.05,-0.010631479736098,0.04983996342021
1999-12-31,,0.010318142734308,0.06213936972925,-38.226666666667,-0.12209724238025998,-0.032389953804492,-0.5489021184475,-0.5549997983139,,,,,,,,-0.034940066309615,0.04341926729986399,0.009400705052879,-0.44058804023433,0.068718531390634,0.050613142700028,0.0,-0.06950424875204801,0.11759581881533
2000-12-31,,0.010212765957446999,0.096427078980359,-0.73710601719198,0.14062822897293,0.72809087417001,-1.3231639386408,-1.3924039158811,,,,,,,,0.6680100422833,0.011183355006501998,-0.38445867287543994,-0.07488638608970599,0.042307251331547,0.046824458006637,0.047619047619047006,0.064007535116098,-0.15549493374902998
2001-12-31,,0.010951979780959999,0.05564554549785599,-9.1485013623978,-0.5088776157260599,-0.78031818614842,-1.6364359586316999,-1.5252945252945,-0.010949952535488,-0.010949952535488,0.25719810915342,1.5608272506083,-0.05425740475812,0.74948096885813,0.007353253708505001,0.058026696241138,0.039951989026063,0.27446808510638004,0.064288765484835,0.05391,0.04983,0.0,-0.20210145485335998,0.045992924165513004
2002-12-31,,0.0083333333333333,0.03186208141529,-0.13893997659254,-0.7514525500322801,0.39693553050014,-0.39375,-0.48548812664908,0.17256311243053,0.17256311243053,-0.062724320628952,-0.18479809976247003,0.073113339682895,-0.33267405063291,0.03957805907173,0.018343815513626998,0.046001648804617004,0.18976071229827,0.030102347983143,0.064142099420254,0.051332120438547006,0.0,0.06372099753991599,0.058823529411765
2003-12-31,,0.010743801652893,0.08100069979006301,-0.6819417475728199,-0.8567717996289399,-1.1754966887417,2.9896907216495,4.5384615384615,0.12508566207264002,0.12508566207264002,-0.070751276440554,-0.35955710955711,0.029027879294142002,-0.14226437462952,0.0068187352869551,-0.06929637526652499,0.03499369482976,-0.38712192079825,-0.27936879018118,0.03930415243733899,0.036993077954554,0.0,0.07378015599492099,0.069166666666667
2004-12-31,,0.0081766148814391,0.071694448939958,-2.0726495726496004,3.8445595854922003,-0.20636792452829997,0.36434108527132,0.36203703703704,-0.12530666802024001,-0.12530666802024001,-0.09831240188383099,-0.2820746132848,-0.022272957889395997,-0.20801658604008,-0.037894057889220005,-0.10589722320969999,0.04020712762717,0.19638768761129,0.4831035414977,0.047040554568931005,0.054859988641824,0.0,0.030153300392752998,0.09054299818134598
