Date,ODA/NOR_LE_Value,ODA/NOR_LP_Value,ODA/NOR_PPPGDP_Value,ODA/NOR_BCA_NGDPD_Value,ODA/NOR_TX_RPCH_Value,ODA/NOR_TXG_RPCH_Value,ODA/NOR_TM_RPCH_Value,ODA/NOR_TMG_RPCH_Value,ODA/NOR_GGXWDG_NGDP_Value,ODA/NOR_GGXWDN_NGDP_Value,ODA/NOR_GGXCNL_NGDP_Value,ODA/NOR_GGXONLB_NGDP_Value,ODA/NOR_GGR_NGDP_Value,ODA/NOR_GGSB_NPGDP_Value,ODA/NOR_GGX_NGDP_Value,ODA/NOR_NGSD_NGDP_Value,ODA/NOR_PPPEX_Value,ODA/NOR_PCPIPCH_Value,ODA/NOR_PCPIEPCH_Value,ODA/NOR_PCPI_Value,ODA/NOR_PCPIE_Value,ODA/NOR_NGAP_NPGDP_Value,ODA/NOR_NID_NGDP_Value,ODA/NOR_LUR_Value
1991-12-31,-0.0098522167487685,0.0056470588235294,0.065370392460933,0.23996458087367,-0.87703298373613,-0.81406471133668,-1.2322412737293,-1.3705058749033001,0.35587594647858,0.18479866721152,-1.058093346574,1.5192437542201,-0.020300105132371002,0.32664061447243997,0.021251640093833,-0.060558410677303,-0.011157156518966998,-0.16993939393939,-0.36156278229448996,0.034234040262676,0.02827652940544,-0.12323943661971999,-0.10540004408199001,0.045897877223178
1992-12-31,-0.0029850746268656,0.0058493214787086,0.058831997696626,-0.17043561056891002,2.8335393489905,2.1929133858268,-3.006921555702,-1.8118116217243,0.14805181558548003,-0.062294386076620994,17.128205128205,0.44626105601715005,-0.01096521179248,0.11406805485018,0.02807031204376,-0.057603592569912,-0.029335912314636,-0.3142523364486,-0.23027944817828,0.023479903046886002,0.021763159467048997,-0.17728055077452998,-0.034197299694491,0.08155055768879099
1993-12-31,0.0,0.0060479181204931,0.05232268298209901,-0.14461979913917,-2.0364359415305002,-1.7792026304973,-2.3434061422237003,-2.8498245614035,0.19310559282129,-0.077495473064735,-0.2046204620462,-0.16882876204595998,-0.01272415221637,-0.09418307804522198,-0.020449510537178,0.0088372898977647,-0.00083028894055129,-0.026831345826235,-0.12408088235293999,0.022854071017608998,0.019062933996053,0.52092050209205,0.036071428571428,0.0055790363482672
1994-12-31,0.015469061876248,0.0053179190751444,0.07286978617110601,0.013082858101308001,-1.9324898890387,-2.2108872243907998,-1.7778728606357,-2.2309054122407996,-0.055532802144612,-0.052323263303174,-1.0278601066983002,-0.5295429208472701,0.017144227310873998,-0.12934071464519,-0.016952428817196,0.038517691514943,-0.022768821671930003,-0.38862144420130995,-0.018887722980063,0.013977074189286998,0.018691990991119997,-0.5437872535534201,0.042251440390013,-0.09330867518493598
1995-12-31,0.021621621621621998,0.0050597976080957,0.063591781573437,0.1635761589404,0.8877891459074699,0.60437358424813,1.8136099324218002,1.2399835627697,-0.35361598959257,0.32949286384673,64.02127659574501,-1.5379146919431002,0.058698727015559005,-0.29075144508671,-0.00039326726443297003,0.068430845565433,0.0093537414965986,0.75232641374374,0.15508021390374,0.024486937031589003,0.021601982763477,-0.25929648241206,0.054901960784314,-0.090302243649175
1996-12-31,0.025493025493025002,0.0052631578947368,0.07018128750613299,0.9490608992601,-0.52459499263623,-0.52240021721423,-0.61727084846115,-0.53751605210053,-0.11404872991186998,0.10747322297955,1.0274869109948,2.9629955947137003,0.014380613078008002,-0.25069274653627,-0.046522149657723,0.07906346749226,0.023083403538332,-0.49019607843137,-0.21712962962963,0.012470430585371998,0.016913406666115002,-1.5780189959294,-0.057911945178484005,-0.014879739094986001
1997-12-31,0.029549718574109,0.004552697473253,0.07197394948598401,-0.073879398452329,-1.2157372986369,-1.2956225127914,-0.6284296555750101,-0.9111463704879,-0.11055656902902,0.14726893065172,0.22224015493867003,0.35504668741663004,-0.0049024091316516,-0.14705242549489,-0.033917187596707,0.06523688268837699,0.010704874835309998,1.0665064102564,0.41395623891189004,0.025795124586400004,0.023911187019641005,3.8215962441315003,0.11053532376153,-0.16532174632733
1998-12-31,0.024601366742596997,0.0063448900974393,0.037965521779182,-0.99936938357244,2.2291786329696,1.815,-0.22898664571876998,2.5267857142857,-0.09198560427228099,0.084529169460676,-0.58246401690215,-0.70319934372436,-0.036802147098292,0.44580464167303996,0.051423324150597,-0.10214800350145,-0.018412905328336,-0.12097712291586,-0.023421162693434,0.022658152853663,0.023352793994996002,-0.30671859785784,0.14148722119954002,-0.21021318790282997
1999-12-31,0.0044464206313916,0.0072055843278541,0.035874273639725,1391.5,-0.91017431519032,-0.9893428063943199,-3.4263881813551005,-3.1569620253165,0.070490964882373,0.083576236154539,0.8640101201771,1.3051409618574,0.025764833864533997,-0.21449991180102,-0.028069462780542006,0.06880905954702299,0.050132802124834,0.029113365681518,0.18972162740899,0.023340542767393,0.027774543666964,-0.6938202247191,-0.13988898889889,-0.0043942247332077
2000-12-31,0.0044267374944667,0.0062597809076683,0.056030108470047,1.6754039497307,15.988118811881002,131.92307692308,1.0170060885996,0.48767605633803,0.13400748467235002,0.16100948840849,1.6260604004072,2.2654676258992996,0.07862764433363702,-0.39815854480126,-0.11196790169894999,0.23744868961162,0.13073031931710002,0.32276039434205,0.077033837293017,0.030859615795896002,0.029918940690766005,1.1811926605505,-0.11184267899188999,0.080075662042875
