Date,ODA/BOL_LE_Value,ODA/BOL_LP_Value,ODA/BOL_PPPGDP_Value,ODA/BOL_BCA_NGDPD_Value,ODA/BOL_TX_RPCH_Value,ODA/BOL_TXG_RPCH_Value,ODA/BOL_TM_RPCH_Value,ODA/BOL_TMG_RPCH_Value,ODA/BOL_GGXWDG_NGDP_Value,ODA/BOL_GGXWDN_NGDP_Value,ODA/BOL_GGXCNL_NGDP_Value,ODA/BOL_GGXONLB_NGDP_Value,ODA/BOL_GGR_NGDP_Value,ODA/BOL_GGX_NGDP_Value,ODA/BOL_NGSD_NGDP_Value,ODA/BOL_PPPEX_Value,ODA/BOL_PCPIPCH_Value,ODA/BOL_PCPIEPCH_Value,ODA/BOL_PCPI_Value,ODA/BOL_PCPIE_Value,ODA/BOL_PPPSH_Value,ODA/BOL_NID_NGDP_Value,ODA/BOL_LUR_Value
1991-12-31,,0.020878108688978003,0.08768190951714099,0.18900770952499,-0.34098301409469,-1.0223018504653,0.2290344625598,0.2290344625598,,,-0.045454545454545005,-0.13761985335589,0.087342185459295,0.061687741482262,0.26832706766917,0.13936170212766,0.25257009345794,-0.14292059966685,0.21446455170665,0.15437240589667,0.032258064516129,0.24305777210342,
1992-12-31,,0.020902255639098002,0.039690981358114996,0.5053336122150199,-0.84740882917466,17.743405275779,-0.21169274763683,-0.21169274763683,,,0.04761904761904799,0.18901242642250002,0.043641459386417,0.044332327033621,-0.12421267135976,0.10644257703081,-0.39572840887893995,-0.3222337393107,0.12956680584551,0.10459234278913,-0.09375,0.072281422518937,
1993-12-31,,0.02857563705995,0.067467154856774,0.015423092955398001,3.7663971248877,-3.0344165813715,-1.0733575171302,-1.0733575171302,,,0.38636363636363996,0.9251925192519301,0.010933678607395001,0.076347364669544,-0.02104706504495,0.04135021097046399,-0.34202809075475,-0.11030395717836,0.08527203419198301,0.093094778431284,0.03448275862069,-0.0083812260536399,
1994-12-31,,0.028497780323642998,0.068953341740227,-0.4541598248494799,1.8458058435438,0.8056725992075999,-0.11401098901099001,-0.11401098901099001,,,-0.50819672131148,-0.85771428571429,0.12741331056402,-0.015231227695817,0.15773552290406,0.056726094003242,-0.07635467980295599,-0.084336055006446,0.078742336512262,0.08522785616002299,0.0,-0.13239555662883,
1995-12-31,,0.02854358117516,0.068610796526991,0.25470042617197,-0.39603894813539,-0.6245820562830899,-14.829457364341,-14.829457364341,,,-0.39433333333333,-3.2329317269076,0.0082888038035932,-0.036836403033586,-0.04460619634191901,0.091257668711656,0.29422222222221994,0.47530212366538005,0.10192402565367999,0.12573093881876,0.016666666666667,0.060747338389813,
1996-12-31,,0.028699065926627996,0.06266007241897,-0.09870129870129903,-0.55373985523141,-0.40625289915577,-0.10986547085202002,-0.10986547085202002,,,0.04567969179967,-0.22392086330935002,0.0076781839425806,0.010356464062682,0.14534088689197,0.09627547434996499,0.21958398744113003,-0.36782249085414,0.12428366762178,0.079496360549364,0.0,0.06514038310154799,
1997-12-31,,0.028556388998552003,0.067525451901101,0.54865883396143,-1.5185549275006003,-0.6875,0.7051637279597,0.7051637279597,,,0.7268421052631601,-2.1668597914253,0.035241013748551,0.085687960687961,0.078458127238615,0.03910256410256399,-0.62115848753017,-0.15322682098377,0.047100987575661,0.067304098666999,0.016393442622950997,0.20909034920244002,
1998-12-31,,0.028531218014330003,0.06169715842740401,0.023618665903234998,-1.0,-1.0,-1.0,-1.0,,,0.55440414507772,1.9761668321748,-0.0050402016080642,0.059865629420085,0.069587221255733,0.05922270203578,0.62964535994903,-0.34705095825286003,0.076729999847879,0.043946423881642,0.016129032258065,0.20247555012225,
1999-12-31,,0.024132354770494,0.01961503208066,-0.32275206264858,,,,,,,-0.24764705882353,-0.38505171838505,0.026333775579945998,-0.020318286457811998,-0.13322490019222,0.0087361677344204,-0.7183997915037801,-0.28714448236633,0.021615970387533,0.031334730957373,-0.031746031746032,-0.20481213199475,
2000-12-31,,0.023685169440058,0.048399856166845986,0.09931860417096801,14.229102167183001,14.229102167183001,-1.5768075117371,-1.5768075117371,,,-0.028407610112067,-0.21215409658165998,0.0022720150423065,-0.0017027652908323,-0.060133060388946,0.028290993071593,1.129106894956,0.08905202681136301,0.046009597433309006,0.034122940156114,-0.016393442622950997,-0.033507351374387,
2001-12-31,,0.023255813953488,0.040026066675812995,-0.36889556724267,-0.48546452531002,-0.48546452531002,-2.1533452710402,-2.1533452710402,-0.10366118012886999,-0.12219582555574,0.8293991416309,1.904958677686,-0.017626827171108996,0.090093470696595,0.021145294491333,-0.0039303761931499,-0.6531188871984399,-0.7291910902696401,0.015957587456041,0.0092386318962128,0.0,-0.21358099542523,
2002-12-31,,0.023191094619666,0.040596247073179,0.31547619047619,1.0699328328724,1.0699328328724,-2.4685956245589,-2.4685956245589,0.1532264789766,0.20079645846623997,0.28856304985337,0.46799431009957,-0.025064650885220002,0.041871381630417995,0.09482758620689699,0.012401352874858999,-0.42167919799499,1.6493506493506003,0.0092263647602317,0.024475751476985,-0.016666666666667,0.14206616204093,0.022352941176471002
2003-12-31,,0.02277878513146,0.04756924637130001,-1.2357466063348,1.2294330979195,1.2294330979195,-1.0613166746756,-1.0613166746756,0.071184773805392,0.069676089896323,-0.10389167045972,-0.18297803617571,-0.015955927361763,-0.039137356201003,0.18434937900804002,0.042873051224944,2.6164680390033,0.6090686274509799,0.03338319106687,0.039391634980988,0.0,-0.18797177048173996,0.0023014959723822
