Date,ODA/BIH_LE_Value,ODA/BIH_LP_Value,ODA/BIH_PPPGDP_Value,ODA/BIH_BCA_NGDPD_Value,ODA/BIH_TX_RPCH_Value,ODA/BIH_TXG_RPCH_Value,ODA/BIH_TM_RPCH_Value,ODA/BIH_TMG_RPCH_Value,ODA/BIH_GGXWDG_NGDP_Value,ODA/BIH_GGXWDN_NGDP_Value,ODA/BIH_GGXCNL_NGDP_Value,ODA/BIH_GGXONLB_NGDP_Value,ODA/BIH_GGR_NGDP_Value,ODA/BIH_GGSB_NPGDP_Value,ODA/BIH_GGX_NGDP_Value,ODA/BIH_NGSD_NGDP_Value,ODA/BIH_PPPEX_Value,ODA/BIH_PCPIPCH_Value,ODA/BIH_PCPIEPCH_Value,ODA/BIH_PCPI_Value,ODA/BIH_PCPIE_Value,ODA/BIH_PPPSH_Value,ODA/BIH_NID_NGDP_Value,ODA/BIH_LUR_Value
1999-12-31,,0.019430760810070998,0.12445428272766,0.32149362477230997,,,,,0.030185488170304,0.051717681376510005,0.7375039295818899,0.95419847328244,0.02377923292797,,0.063851953876852,-0.31414965484145,0.019400352733686,,,0.028404533207182003,0.028404533207182003,0.052631578947367995,-0.1906964333363,-0.034165734873897007
2000-12-31,,0.01503355704698,0.068190517854213,-0.17918676774638,-0.3414091814518,-0.15403498959013,-1.7384225407038998,-1.7091894977168998,-0.38103820553543,-0.39585090234440995,0.43477474217478,0.47699652777778,-0.05577383454249701,,-0.010755722276628,0.09343882878518801,0.044982698961937996,0.7504399859204499,1.4639211545231,0.04973,0.07,0.0,0.0060079862255925,0.0
2001-12-31,,0.0044961650357048,0.046943790314324,0.80590540162329,-0.56214391221777,-0.8802159858948,-2.3148930551888,-2.3596244131455,0.01568356109093,-0.043302934425213005,-0.45283732660782,-0.5116074052306799,-0.09235711935589999,-0.15432014240723002,-0.14030436752294,-0.35722372631060995,0.02317880794702,-0.080434345465514,-0.91428571428571,0.04572604383984501,0.006,0.0,-0.054550089217435996,0.0
2002-12-31,,0.0078988941548183,0.06664710772089401,0.36605966679581997,-1.4282730923695002,-2.5065930696105,-0.58871372627774,-0.61878453038674,-0.11444791370991,-0.14178717333506,-0.30974879004378997,-0.41095066185319,-0.049811288568564996,-0.7823834196891201,-0.07182309659035499,-0.19949456272017002,0.033980582524272,-0.93155477804505,-1.6666666666667,0.0031337396263198,-0.0040040133033574,0.025,0.081616146054,0.0
2003-12-31,,0.0078369905956114,0.059319702943064004,0.08871745419479302,-7.871717929482401,-4.471198860166901,1.244140625,1.379917184265,-0.11420603884864,-0.16237863160679,-0.8554257095158599,-1.1430030643513998,0.053656785081125,-1.3690476190476,-0.0036167125764872,-0.11719123696546001,-0.0046948356807512,0.7476038338658101,-2.25,0.0054669124658317,0.0049994869929392,0.0,0.012071789758564,0.0
2004-12-31,,0.008035251425609001,0.09178639432231299,-0.15896420569998998,-0.3332423580786,0.056760877213557,-0.75750652741514,-0.72651152675076,-0.077727519449973,-0.109918361824,-0.60508083140878,0.47857142857143,-0.032522576248082996,-1.3911290322581003,-0.03775456368049,0.13524057217164998,-0.0031446540880503,-0.48446069469834996,0.2,0.0028179445262332,0.0060048075584472,0.0,-0.06343900636853,0.0
2005-12-31,,0.0077140653124197,0.072099567957509,0.05841903109899599,-0.49791240278346,-0.54355787370991,-0.58591296545536,-0.379324055666,0.0010985992859106,-0.031316509577379,-5.4502923976608,2.2342995169082003,0.023026967528894,-15.077319587629,0.0024782875690852,-0.11750668193967,0.0031545741324921,11.702127659574002,6.1666666666667,0.035827831866776,0.043000535084968,0.0,-0.010857314599142999,0.0
2006-12-31,,0.00025516713447305,0.08939662821650399,-0.53789874158619,2.0326104679602,1.0946997325553,-5.6392199349946,-3.8693145419602994,-0.16723495982755,-0.31110064867127,1.826544021025,1.117998506348,0.028964300316326,-0.061515928231416994,-0.0009407337723425699,0.36517036235803,0.036163522012579004,0.7107761027359,0.057674418604650994,0.06127346555487,0.045473442129937,0.0,-0.22078316685024002,0.0
2007-12-31,,-0.0010204081632653,0.08796579108124601,0.15452818239392002,-1.9576858970912001,-0.18095293366607,-0.64969640354974,-4.5773610180844,-0.11935240963855,-0.6668691624269101,-1.1659693165968998,-0.90691114245416,-0.022857979379718996,-1.4674209910261002,0.031007751937985002,0.25275334759528,0.036418816388467,-0.7565274151436,0.087071240105541,0.014919381267615,0.049434837050323005,0.0,0.19511600701891002,-0.066986107537947
2008-12-31,,-0.0012768130745659,0.076673529228274,0.54876577070762,-1.4014709184818999,0.29724367604336,-5.824,-0.51569618673157,0.65123984608807,3.9261454296786,10.619047619048,-14.829545454545,-0.025896755414776002,5.009181969949901,0.054798011979099996,-0.21598886850927,0.06002928257686701,3.9825737265416,-0.229571197411,0.07434794191012,0.03809285789147,0.024390243902439,0.06276764957787799,-0.19318925998689998
2009-12-31,,-0.0017898235745334,-0.019816896511763,-0.53623291067507,-0.9965039854565799,-0.6535394363119901,-1.9860420121614,-2.2041237113402,0.15816557705999998,0.26278284207117003,0.11812921890068,0.12736236647493998,-0.01247967658303,-0.10834838171968,-0.0015706173734444,0.01919974185221,-0.0082872928176796,-1.0512510088781,-1.0065634024678,-0.0038095381216796,-0.00024851666614901003,-0.023809523809523996,-0.28686008135696994,0.028195488721805002
