Date,ODA/NGA_LE_Value,ODA/NGA_LP_Value,ODA/NGA_PPPGDP_Value,ODA/NGA_BCA_NGDPD_Value,ODA/NGA_TX_RPCH_Value,ODA/NGA_TXG_RPCH_Value,ODA/NGA_TM_RPCH_Value,ODA/NGA_TMG_RPCH_Value,ODA/NGA_GGXWDG_NGDP_Value,ODA/NGA_GGXWDN_NGDP_Value,ODA/NGA_GGXCNL_NGDP_Value,ODA/NGA_GGXONLB_NGDP_Value,ODA/NGA_GGR_NGDP_Value,ODA/NGA_GGX_NGDP_Value,ODA/NGA_NGSD_NGDP_Value,ODA/NGA_PPPEX_Value,ODA/NGA_PCPIPCH_Value,ODA/NGA_PCPIEPCH_Value,ODA/NGA_PCPI_Value,ODA/NGA_PCPIE_Value,ODA/NGA_PPPSH_Value,ODA/NGA_NID_NGDP_Value,ODA/NGA_LUR_Value
1991-12-31,,0.028755369546252997,0.051789531756431,-0.73854600530102,-0.76828571428571,-0.7969371351214101,0.36650349650349995,0.14652173913042998,,,,,,,-0.28638606484088,0.13803049031726,0.54464851171628,7.7678571428571,0.12178517397882002,0.2304495655459,-0.0045766590389016,0.12884627436235002,
1992-12-31,,0.027522246433593,0.05211611591922401,1.0444122616462,-0.30332922318126,-0.32375,-0.78916125070365,-0.55320439893819,,,,,,,-0.14562160657107,0.6433743664011601,2.6543665436654,1.1215062616458,0.44571813890762,0.48971446116058,-0.073563218390805,-0.35163493032809995,
1993-12-31,,0.027526769391486003,0.07051996105160699,-1.5430932703659999,-3.5384955752212,-4.4165126309304,-1.2660194174757,-1.1230690884399999,,,,,,,-0.26896963771658,0.23198942498348002,0.28223942555816994,0.25695494096981,0.5713619402985101,0.6154163231656999,0.024813895781638,0.34412192824728005,
1994-12-31,,0.027531516876779,0.055549087522194,1.3241304347826002,-2.3270001743071003,-1.0629395852119001,11.318430656934,33.474482758621,,,,,,,0.065606657255368,0.28272532188841,0.0047774880562798,0.24513308849816,0.57420599584446,0.7662669048226601,0.0024213075060533,0.19868773092114,
1995-12-31,,0.027526022084141,0.042374984489391,-0.42082125151997,0.22014974385919,21.295128939828,-1.7773498259388,-1.5377690645755,,,,,,,-0.07788314042671901,1.0874111250523002,0.26670266127909004,-0.32863500515510996,0.7273498632978199,0.51437445824906,-0.016908212560386,-0.16469150236488,
1996-12-31,,0.027530091478092995,0.095000958937629,-2.0660529715762,0.25234147916891003,0.7649402390438199,-0.24964268699381,-0.18778364705007003,,,,,,,0.12635160680529,0.30341280972416995,-0.5972445654415699,-0.72174487772637,0.29292653640432,0.14314333412830998,0.036855036855037,-0.20339737880137002,
1997-12-31,,0.027532822910907005,0.070959208571394,-0.80033328283593,-0.61652196338004,-0.38396563023374,1.4741587301587,1.0633873774847,,,,,,,0.13037056928034,-0.0068661610985856,-0.6356343028813299,-0.28650272460528003,0.10671619739119001,0.10214470499875,0.009478672985782,0.31666799776376003,
1998-12-31,,0.027524692878053997,0.06346046480152,-9.1176024279211,-0.91145483075544,-1.8513002364066002,-1.1966228700472,-1.6810796413033997,,,,,,,0.1905214396009,-0.066762975957074,-0.26337487117024,0.16645451875061,0.078613113628562,0.11914136442795,0.028169014084507005,0.38111124590562,
1999-12-31,,0.027524075799937996,0.044836034277956995,-1.1062716141695,-15.977215189872998,-0.35379061371841,-5.793787522840001,-2.7448833268153,,,,,,,-0.09617878878579302,0.15286377708978,-0.15822945815314002,-0.98119701166793,0.066164509512695,0.0022326714251886,-0.0068493150684932,-0.25420527910755997,
2000-12-31,,0.027529671924398997,0.10324263694546001,10.083553210202,-3.6651453684922,-5.048130640309401,-2.0536890824938996,-1.7982816585730002,,,,,,,0.73882326967656,0.322207835803,0.04835297673013,63.852678571429,0.069388702776211,0.14527289296925,0.029885057471264,0.11312643542782999,
2001-12-31,,0.027531882340083996,0.13310300727321,-0.65767338517696,-1.2340331071225,-1.2363588110402999,-1.9531290372591001,-2.0635938231165,0.019822293291496002,0.012173965514640001,-1.8768704574605,-0.89196705530003,0.061323600386100005,0.37978506707874,-0.20032376841035998,-0.059263020455535005,1.7196598443355,0.13547187994767998,0.18867280791539,0.16495240340691,0.080357142857143,0.10459210665538,0.038167938931297996
2002-12-31,,0.027530516739209,0.26018448596460997,-0.68127028280019,1.6661246612466,1.3862564563216,0.9686076772934301,1.1080117911039,-0.23661671819298002,-0.22685405985454002,-1.3902974158947,2.8059405940594,-0.29745630240159,-0.41157605375687,-0.26515301869567004,0.18004472202945002,-0.31723991732471,-0.26226129130039005,0.12884876317712,0.12168589354382,0.20661157024792998,-0.1791752478567,-0.073529411764706
2003-12-31,,0.027525419410317997,0.15262362632937,1.6698181818182,-4.1144541573491,-4.0312441182006005,-0.69233523368862,-0.74257508400643,-0.093514445714729,-0.10506024096386,-2.528419737664,-0.44693028095734,-0.052672033658319004,0.11878190154858001,0.017933344136553002,0.08987846314688999,0.08926492276643598,0.9566932369134701,0.14033100642596,0.23810275610085999,0.083904109589041,-0.11465748628778,0.17460317460317
2004-12-31,,0.027524215420380003,0.16379233237553,2.7349496050123,-0.90179503916449,-0.9021421918658801,-2.5678095067586,-2.8640343765202005,-0.1949509416216,-0.26634356488961,-3.3800572129138,2.4280338664157997,0.07985651449801401,-0.24748685431488,0.44064738657469,0.1751251536317,0.06898026081379599,-0.57969005921633,0.15000101352036,0.10008197467892999,0.075829383886256,-0.11434785474197999,-0.094594594594595
