Date,ODA/EST_LE_Value,ODA/EST_LP_Value,ODA/EST_PPPGDP_Value,ODA/EST_BCA_NGDPD_Value,ODA/EST_TX_RPCH_Value,ODA/EST_TXG_RPCH_Value,ODA/EST_TM_RPCH_Value,ODA/EST_TMG_RPCH_Value,ODA/EST_GGXWDG_NGDP_Value,ODA/EST_GGXWDN_NGDP_Value,ODA/EST_GGXCNL_NGDP_Value,ODA/EST_GGXONLB_NGDP_Value,ODA/EST_GGR_NGDP_Value,ODA/EST_GGX_NGDP_Value,ODA/EST_NGSD_NGDP_Value,ODA/EST_PPPEX_Value,ODA/EST_PCPIPCH_Value,ODA/EST_PCPIEPCH_Value,ODA/EST_PCPI_Value,ODA/EST_PCPIE_Value,ODA/EST_NGAP_NPGDP_Value,ODA/EST_PPPSH_Value,ODA/EST_NID_NGDP_Value,ODA/EST_LUR_Value
1994-12-31,-0.024793388429752,-0.022683084899546,0.0044898739014139,-6.5891536565325,,,,,,,,,,,-0.26344302500092,0.36428571428571,,,0.47658024735874,-0.06835458812777799,,-0.032258064516129,0.034698563175826,0.16923076923077
1995-12-31,-0.05225988700565,-0.019230769230768996,0.042891107941036004,-0.38665098500441,-0.25208494208494,-0.26542990919410003,-0.48070946308005996,-0.62350187796086,,,,,,,0.19182983798827,0.32460732984293,-0.39140926640927004,-5.223994147768799,0.29001221001221,0.28873035336083,,0.0,0.044271858559107,0.27631578947368
1996-12-31,-0.016393442622950997,-0.015551048005409,0.07614444647091001,1.0210930009588,-1.1274069485313,-1.1890482398956999,-0.87323289650191,-0.9081110888309599,-0.17546410199061,,1.5903614457831001,6.8787878787879,-0.060597737884198,-0.043666287747738994,-0.18055208072721002,0.22134387351779003,-0.20497879529704,-0.48623185895882004,0.23058721084314998,0.14832370342179,-0.53501094091904,0.0,-0.0030845157310302,0.030927835051546004
1997-12-31,-0.043939393939394,-0.013736263736264,0.13651385475806999,0.31724383301708003,-5.976094003241499,-5.4975734355045,3.8783068783068995,7.696672122203999,-0.16641801166418,-0.42424242424242,-3.6613953488372,-5.0269230769231,0.03705081862640899,-0.065686451846301,0.0034093222063912,0.08414239482200701,-0.5150490068522899,-0.15843052652869,0.11181872721399,0.12484181982525,5.0752941176471,0.066666666666667,0.096844059405941,-0.04
1998-12-31,-0.01743264659271,-0.0090529247910863,0.078810020876827,-0.22940487980553,-0.15104633173194001,-0.16350522489776997,-0.05397964291673599,-0.42945862869331003,-0.11129189716889,-0.37246963562753,-0.82523593149249,-0.7488061127029599,0.01291711517761,0.079237768620184,0.13519955372991002,0.038805970149254,-0.26605258451082003,-0.6579347913161899,0.08207427085062799,0.042696237963223,-0.14097598760651,0.0625,0.0063939821344617,0.020833333333333
1999-12-31,-0.04516129032258099,-0.0098383696416023,0.012302163245559999,-0.49877322117070005,-1.3490312679839,-1.4504718582388,-1.8216773965958,-2.2864211105003,0.094104723544489,0.47419354838709993,-8.11,-5.193916349809901,-0.062724558473761,0.040387473732765994,-0.063256645074827,0.051724137931035,-0.59717314487633,-0.09039812646369999,0.033065671031097005,0.038841436002826,-1.5430568079351001,-0.058823529411765,-0.18409168768881,0.24489795918367002
2000-12-31,-0.011824324324323999,-0.0056777856635912,0.12473544070458001,0.26130536130536,-3.9697719153613997,-4.2197437829691,-2.0871525169046,-2.2537606837607003,-0.14407630522088,0.035010940919037004,-0.9305203938115301,-0.91236022967664,-0.033231649704398,-0.11180353712005998,0.14478515904429998,0.024590163934426,0.21324863883848,0.30072090628218,0.040101987771368995,0.050519912461826,-1.0975508509755,0.0625,0.10138178486907001,0.19688524590164003
2001-12-31,0.0085470085470086,-0.0057102069950036,0.08577151875682902,0.31657734245056,-0.44406403257147997,-0.53199457005102,0.22075229538948,-0.07076146976617402,-0.063734115347019,-4.5285412262156,-0.67611336032389,-0.34827586206897,-0.029375628281023,-0.033805707313015,-0.014413663820036999,0.037333333333332996,0.40239341810021995,-0.16745843230404,0.05625104124521,0.042064379450362,-1.1106382978723,0.029411764705882002,0.045089069106536,-0.10909464456924
2002-12-31,0.0,-0.0064608758076096,0.077542349192151,0.5661145423919101,-0.5818908122503299,-0.11832366473295,0.07448443186413299,0.14290954442081,0.19878889120902,1.2246854403835,-4.175,-1.8941798941799,0.038521288837744,0.028846153846154,-0.052876283866605006,0.035989717223650006,-0.3616,-0.35045173561578996,0.035905408907065,0.027321293441307997,9.8461538461538,0.028571428571427995,0.10048084894711001,-0.13698208932278
2003-12-31,0.022033898305085,-0.0065028901734103,0.09619176092144902,0.15963072510532,3.0163216560509998,0.61576857629041,0.053966581363842005,0.14147249502535,-0.019334610695001,0.48990035012120003,5.5905511811024,6.9763313609467,0.013102856034793001,-0.026419305342447002,-0.0049535880042842,0.022332506203473997,-0.6137566137566101,-0.55490483162518,0.013866533257928002,0.0121484641263,-4.5248226950355,0.027777777777778,0.064336296519512,-0.07882782577714399
2004-12-31,-0.0016583747927032,-0.0065454545454545,0.09409314653540302,-0.071649404853919,0.71196352463079,0.28329705820403,0.15232450189245,-0.06882978125175701,-0.10941385435169,0.18691250903832,-0.017921146953405,0.025222551928782998,-0.027835502570272005,-0.028311077998738998,0.019240256536753996,0.019417475728154998,1.1845710165826,2.9506578947367994,0.030303680422212997,0.04804318781703799,0.94265593561368,0.027027027027027,-0.021970554926387,-0.0194353123187
2005-12-31,0.023255813953488,-0.0051244509516838,0.12991001903444,-0.27225043709933,0.14375868457619,0.46241383083488,0.034890927119485,-0.10785675463494002,-0.094535301156761,0.12656107219007,-0.023722627737226002,0.038350217076701006,-0.016369466164145,-0.016042465349454,0.08699287160080998,0.026190476190476004,0.35775577557756,-0.24188176519567,0.041146093619857,0.036419791472337995,2.1853961677886997,0.052631578947367995,-0.039920101899027,-0.20806626565426997
2006-12-31,0.058441558441557996,-0.0058866813833701,0.13806041578927,0.7143347443084301,-0.52477853707922,-0.44384586606809007,0.23977483681658,0.6561294253029201,-0.037444933920705005,0.17223198594025002,0.5190031152647999,0.54146341463415,0.021502916619008997,-0.0023676796739196,0.0024693357082136,0.055684454756381,0.080456976178901,0.39593629873696,0.04445,0.050839999999999996,1.0416192489026,0.025,0.18664254485149998,-0.26385257128627
2007-12-31,0.0092024539877301,-0.0059215396002961,0.10772077375946,0.0014014014014015,0.34118023008095005,0.11724741019777,-0.3729411196445,-0.43525709147388003,-0.16567505720824,-0.018913620113020002,-0.031583264971288,-0.07820976491862598,0.0071940432202442,0.010003905428546,-0.010862542400258001,0.083516483516483,0.51721034870641,0.9162077104641999,0.067442194456413,0.09741730425183699,0.3944099378882,0.024390243902439,-0.0014991741837123,-0.22327469553451001
2008-12-31,-0.0030395136778116,-0.0037230081906179,-0.034713153339205,-0.41936558709849,-0.9291557461679,-1.0728520681558,-1.4745031582191002,-1.5098791343996998,0.22490400438837,-0.33666392382744,-2.2278695468022,-2.6351152525747996,0.0034462633056334,0.16017251635931,-0.08156766687078999,0.052738336713996,0.5726571767497,-0.22767398891398002,0.10606427539937,0.07524215017212799,-0.51636114442351,-0.071428571428571,-0.21798656351792,0.18793554006969002
2009-12-31,-0.094512195121951,-0.0014947683109118,-0.14091995972817,-1.2926661310685,-23.817264573990997,18.752066115702,3.9685064935065,3.6204400283889,0.5700850873264699,0.2046783625731,-0.33425319075543,-0.35212957408518003,0.1725799750727,0.13488014357133998,0.028048184202337997,-0.0019267822736031,-0.98133132189327,-1.2486709197236001,0.0019786885511784,-0.018709979193213003,-2.1112291888062,-0.15384615384615,-0.3255450699642,1.4837763519707001
2010-12-31,-0.043771043771043995,-0.002245508982036,0.037319172312763,-0.29254901960784,-2.1948607084951,-2.5261506276151002,-1.6867607658629,-1.7214217689165,-0.067455790074159,-0.19638128861430001,-1.099481865285,-1.0300925925925999,-0.05957105064247901,-0.10488862784078,-0.0029833967485299,0.0019305019305019,12.848484848485,-3.8963121325494,0.027428414186049997,0.054192212232285,-0.060248645202423,-0.03030303030303,0.026874457203513,0.23307993209831
2011-12-31,0.061619718309859,-0.0022505626406601,0.10510521112837,-1.0205099778271,-0.085365352193758,-0.24,0.27460868737808997,0.22475833581739998,-0.071264719376051,-0.3066080907926,5.203125,15.507692307692,-0.035967247701813,-0.061378492289832,0.13409081052951,0.0096339113680154,0.85266229029905,-0.24451005720612998,0.050792850559681996,0.0409442434826,-0.66383989145183,0.0625,0.35897194944322,-0.26228526964745
2012-12-31,0.019900497512437998,-0.0037593984962407,0.06526948020830001,54.783783783783996,-0.62608461088882,-0.64066952851629,-0.54551901758053,-0.5695212266610999,0.5985509632800899,-0.93373812038015,-1.1956339210747,-1.2134203168686002,0.009353342712729999,0.047941706326799,0.022790715460212004,0.0095419847328244,-0.16968503937007998,-0.11162677088422,0.042182990366955,0.036375483059225,-0.90615539858729,0.0,-0.0090931092901842,-0.18677484787018
2013-12-31,0.0097560975609756,-0.0037735849056603,0.031459932821497,-0.32461240310078004,-0.6921967055428601,-0.72813974500552,-0.7391590013140601,-0.8892658105161099,0.014112072517511003,-3.8645418326692997,-0.22746781115879997,-0.16157205240175,-0.031491185049431,-0.032662800841587,0.003738737054623,0.030245746691871002,-0.23044096728307,-0.43717349463844,0.032455294845419994,0.020472463705277,1.3584229390681002,0.0,-0.063433356594557,-0.13917988626160002
2014-12-31,0.0016103059581320002,0.0098484848484848,0.029221062425494,0.55667144906743,-0.7234375,-1.0553914327917,-0.5305415617128499,-0.24142961342085997,0.034840020314881,1.1821974965228998,0.85555555555556,0.71875,0.021241438127981998,0.025224795098273,-0.040935672514620006,0.0091743119266055,-0.7535428219346899,-0.75574010747435,0.0079981049786113,0.0049995042984406,1.4939209726444,-0.029411764705882002,0.08415915356530801,-0.19274455261938003
2015-12-31,0.0,-0.0007501875468866401,0.043759534436973994,0.11336405529954,2.4152542372881003,-14.333333333333002,1.3474178403756,2.3653846153846003,0.019336474283471,0.5748884639898001,-0.077844311377246,-0.07575757575757598,0.0027924213163526,0.0021214943599296,-0.0074957278235203,0.0036363636363636,0.8125,3.0,0.01450076719979,0.020004227733935002,-0.10176721511274,0.0,0.00085907700766304,0.0027279253409907
2016-12-31,,0.0,0.054023330716973,0.030215231788078997,0.5355665839536801,0.8,0.14285714285714002,0.14285714285714002,-0.012325469427058,0.1671388101983,-0.6590909090909101,-0.6885245901639301,0.0019778789850358,-0.0032787731708577,0.0081393073762474,0.0036231884057971,0.41379310344828,0.05,0.020500068129173002,0.021000421390035,,-0.03030303030303,0.0063860468310101,-0.031214203894616002
2017-12-31,,-0.00075075075075083,0.056441465731967,0.022097227802330005,0.15055211419337,0.19444444444444,0.125,0.125,-0.050697084917617,-0.13349514563107,-3.5904761904762,-4.0421052631579,0.0035064024311058,-0.0062941953531743,0.014905096456158,0.0018050541516246,0.048780487804878,0.04761904761904799,0.021503581704932,0.021996089283419,,0.0,0.011906386462882,-0.032219923145137004
2018-12-31,,0.0,0.057436620403004006,0.019261006289308,0.10369850187266,0.11627906976744,0.11111111111111001,0.11111111111111001,-0.069734004313444,-0.2797118847539,0.5808823529411801,0.56401384083045,-0.0015011905994409,-0.0056302783859867,0.014724442574674,0.0036036036036036,0.046511627906977,0.045454545454545005,0.022501797268152,0.022999006951341,,0.0,0.011631435217963,-0.0015271838729383
2019-12-31,,-0.0007513148009015,0.057098197866863,0.0038565368299268,0.036479321314952004,0.041666666666667,0.1,0.1,-0.09019651137116401,-0.53722222222222,0.33255813953488,0.32743362831858003,-0.0014775260511173,-0.0052427388067527,0.019259761797075,0.0035906642728905,0.044444444444444,0.043478260869565,0.023495874160291,0.024002743910330998,,0.0,0.014363793907885,-0.0036708473539309
