Date,ODA/GIN_LE_Value,ODA/GIN_LP_Value,ODA/GIN_PPPGDP_Value,ODA/GIN_BCA_NGDPD_Value,ODA/GIN_TX_RPCH_Value,ODA/GIN_TXG_RPCH_Value,ODA/GIN_TM_RPCH_Value,ODA/GIN_TMG_RPCH_Value,ODA/GIN_GGXWDG_NGDP_Value,ODA/GIN_GGXWDN_NGDP_Value,ODA/GIN_GGXCNL_NGDP_Value,ODA/GIN_GGXONLB_NGDP_Value,ODA/GIN_GGR_NGDP_Value,ODA/GIN_GGX_NGDP_Value,ODA/GIN_NGSD_NGDP_Value,ODA/GIN_PPPEX_Value,ODA/GIN_PCPIPCH_Value,ODA/GIN_PCPIEPCH_Value,ODA/GIN_PCPI_Value,ODA/GIN_PCPIE_Value,ODA/GIN_PPPSH_Value,ODA/GIN_NID_NGDP_Value
1991-12-31,,0.040507564665691,0.048176187198899004,-0.2679180887372,,,,,-0.01044897467554,-0.01044897467554,-0.12624348649929001,-0.11133069828722,-0.13024747937672002,-0.12959834114123,-0.07456920340957901,0.23156091317147,-0.23398458784152,-0.5524130108667801,0.19682655802631,0.12233445566778998,0.0,-0.14792539017891002
1992-12-31,,0.042839274546592004,0.056248632085795995,-0.0087755381873029,,,,0.12390882638214999,-0.12497717728683999,-0.12497717728683999,-0.09026836541068,0.2646404744255,-0.16034355569607,-0.14893898619138002,-0.07289112716188499,0.23404986722043,-0.15867289909562,0.31611215564457,0.16558468931793,0.161,-0.0625,-0.052001429592566
1993-12-31,,0.042728635682159004,0.07563199336925,-0.16281643380827,-5.3304459416105,-4.2975609756098,-2.0598172944563,0.20927723840345003,0.11145887671709,0.11145887671709,0.14034564958284,0.46717467760844,-0.07925949168497,-0.041055414441967995,0.11821885497819999,-0.016695798927129,-0.56911649254182,-0.68968944099379,0.071356238698011,0.04995693367786401,0.066666666666667,0.022431668237512
1994-12-31,,0.039539899352984,0.062030437295319,0.17349636483807002,-1.5101496518003001,-1.1602564102564,-2.0247963159759,-2.4365744870651,0.034365874009178,0.034365874009178,0.041808204860204,-0.041150619256892,-0.074223009814613,-0.05021893075301401,-0.11211249600511,-0.0071502175216777,-0.40854940434478,-0.49099279423539,0.042196941565675,0.025430680885971998,0.0,-0.032402286135692994
1995-12-31,,0.034301521438451,0.068746598947941,0.037876654463531,-1.6813825152483002,-6.7173626373626,-0.066943196220763,1.082215598609,-0.066589362238467,-0.066589362238467,-0.16403310759970002,-0.20916666666667003,0.05521607892218199,0.005463858850313,0.009502555611546998,0.037151552973292,0.31611374407583004,1.0448289421943,0.05553396171411901,0.052000000000000005,0.0,0.019101605297004
1996-12-31,,0.0291521797272,0.070604209097081,0.15859449192782998,-2.5317561807332005,-1.6930114553702,-1.2508026673252999,-0.89448884647501,0.0044830454461981,0.0044830454461981,-0.086408640864086,-0.10115911485774001,-0.064117770180702,-0.06832333295596099,-0.12700563360194,-0.0093360812269635,-0.46236946344977,-0.60519230769231,0.029858074415035997,0.020532319391635,0.0,-0.028559409180143998
1997-12-31,,0.024948024948025,0.069911223842739,-0.16709601873535998,0.0058438847919855,-0.41579764810295,-3.7612013786312004,1.2035048049746,0.0053448906286968,0.0053448906286968,-0.027914614121511,-0.21922626025791,0.085954972416878,0.06488851084512999,0.13510864237870002,-0.0027299419907628,-0.35130609511052,1.5772040915733,0.019368007032077,0.05290611028316,0.0,0.010874272241736
1998-12-31,,0.021805273833671004,0.057193658319751,0.19007451145789,-2.2134458431317996,-2.7740220281048,-4.4607703281027,-6.3917393535146,0.13245188964839,0.13245188964839,-0.76351351351351,-1.5585585585586,-0.034049564083202,-0.15724311062930998,-0.22689982728843,0.012959160243811,1.6344863190501002,-0.14401814401814,0.051029654638196,0.04529370134465701,0.0625,-0.08572516540530299
1999-12-31,,0.020099255583126,0.061107217939734004,-0.18546958062611,-0.17293661650706998,-0.30721472918005,-1.2852947238252,-1.3852595517914,0.20789684976149,0.20789684976149,3.3214285714286,-2.9811827956988997,-0.070144268353351,0.090650599146977,0.20571534952992998,0.019704488932401,-0.10758377425044,0.36034444689777,0.045541456631322995,0.061611374407583,0.0,0.033267388588088
2000-12-31,,0.019703235222573997,0.052304847444195,-0.06729514140681599,-1.1587870434183,-0.12036464771323,0.55047859851905,-0.31369643077683,-0.071539171371819,-0.071539171371819,0.053223140495868,0.040705563093623005,0.011846530113115,0.019553072625698,0.024627499420983995,0.075943799286771,0.48572683355292,0.16977763350106,0.067664172901081,0.072066326530612,-0.058823529411765,-0.0072555046102687
2001-12-31,,0.019203244274808996,0.061252667252415995,-0.5828020525579201,-7.6814236111111,0.06569471280519901,-1.1171811298777,-1.0430088177074,-0.04469113757727901,-0.04469113757727901,0.30225988700565004,0.71773142112125,0.10786313165647,0.14557077625571,-0.044680530440024,0.025870772152288,-0.20529116169081,-0.8432079922297799,0.05377141077545901,0.011302795954789,0.0625,-0.22032177840938003
2002-12-31,,0.018841427735518,0.057717327025429,-0.08237048080506901,-1.1894244510848,-1.0834020108785,-1.986083499006,-19.610878661087998,-0.08702168929642,-0.08702168929642,0.066040009640877,0.048576850094877,-0.056998704574895996,-0.029868197278911,-0.1399952677656,0.012666309587574,-0.44950716012646,4.4141592920354,0.029606993610468996,0.061176470588235,0.0,-0.12993099856789
