Date,ODA/BHS_LE_Value,ODA/BHS_LP_Value,ODA/BHS_PPPGDP_Value,ODA/BHS_BCA_NGDPD_Value,ODA/BHS_TX_RPCH_Value,ODA/BHS_TXG_RPCH_Value,ODA/BHS_TM_RPCH_Value,ODA/BHS_TMG_RPCH_Value,ODA/BHS_GGXWDG_NGDP_Value,ODA/BHS_GGXWDN_NGDP_Value,ODA/BHS_GGXCNL_NGDP_Value,ODA/BHS_GGXONLB_NGDP_Value,ODA/BHS_GGR_NGDP_Value,ODA/BHS_GGX_NGDP_Value,ODA/BHS_NGSD_NGDP_Value,ODA/BHS_PPPEX_Value,ODA/BHS_PCPIPCH_Value,ODA/BHS_PCPIEPCH_Value,ODA/BHS_PCPI_Value,ODA/BHS_PCPIE_Value,ODA/BHS_PPPSH_Value,ODA/BHS_NID_NGDP_Value,ODA/BHS_LUR_Value
1991-12-31,,0.019685039370079,-0.018994114499733,0.46898895497026005,-16.604550379198,-1.1440891880522,-1.0029659694036999,-1.3614322691976002,,,,,,,-0.19257173902307,0.015732546705998,0.519014693172,-0.08897100625355302,0.070290281065794,0.064100992768722,-0.071428571428571,-0.0019676269676270003,0.025
1992-12-31,,0.019305019305018996,-0.011998909190074,-2.2793522267206003,-0.94417829618829,4.3027737226277,-434.57894736842,-2.9224158510383997,0.12161405624219,0.12161405624219,-0.33764586504313,-0.6928799149840601,0.15832820197044,0.042872327861108,0.10979936383655998,-0.0077444336882866,-0.17880512091038,-0.41903276131045,0.05773198937101999,0.037232204561161004,-0.15384615384615,-0.052412305174274,0.20325203252033
1993-12-31,,0.018939393939393995,0.027049406569142002,0.4005424954792,-1.7151741293532,-0.40188305252725,-1.1524641903375,-0.80591084068049,0.12489921290075,0.12489921290075,-0.0026809651474531,-0.36851211072664,0.019203933816200003,0.015968289920725,-0.04999173234856401,-0.039024390243902,-0.52503031352849,-0.34774436090226,0.027423791612867,0.024291385580634,0.0,-0.16177278794064998,-0.11486486486486001
1994-12-31,,0.014869888475836,0.04891158290782,-1.2611362169141,1.2626086956522,-1.0531160821135999,4.957802547770701,-5.6493921944978,0.06491910710628701,0.06491910710628701,-0.42357910906297996,-2.7945205479452,0.08188812100665,0.0085274774272656,-0.039220236713855,0.013197969543146998,-0.4963530269876,-0.40592836558254,0.013796683331966998,0.014432458803122,0.0,0.10757270641128,0.014656488549618
1995-12-31,,0.021978021978022,0.052779912887522,3.495673671199,-0.3412759415834,2.2062391681109,-0.71709207537084,-0.44337415714875,-0.0050641025641025,-0.0050641025641025,-0.5143237841439,1.1389312977098998,0.031698204170182,-0.013594915722575,-0.081521739130435,-0.0070140280561122,0.54236060825489,0.19750519750520001,0.021302684057346002,0.017272933726973,0.0,0.069513742071882,-0.17995786939511998
1996-12-31,,0.017921146953405,0.066682891214407,0.7363211437998399,1.9183197199533,5.8962162162162,3.181388757676,1.2207663782447,-0.0081502480510276,-0.0081502480510276,0.88888888888889,-0.42683797287652003,-0.029088785046728998,0.0084038321474592,-0.11452991452991,-0.010090817356205999,-0.33286384976526,-0.36400462962963,0.014209005633467999,0.010991464215364,0.0,0.10290978097572999,0.055504587155962994
1997-12-31,,0.014084507042254,0.13597992242756,1.1236737925573999,-0.7800879648140701,-0.45532215080734,1.8715544509715,2.4898140932873,-0.017733606158043997,-0.017733606158043997,1.5185185185185,-2.6139476961395003,-0.050776079894116,0.06928162675704201,0.042916542916542996,0.016309887869521002,-0.62280084447572,-0.28025477707006,0.0053594193095196,0.0079104264356321,0.09090909090909101,-0.015772305265798998,-0.15002172968275
1998-12-31,,0.017361111111111,0.058646314520988,0.38744314368802,4.0472727272727,6.7815513023457,-0.20461072426138,-0.22520654566333997,-0.09665046457031401,-0.09665046457031401,-0.57151095732411,-1.2754629629629999,-0.074534161490683,-0.16408604385326997,-0.21764203331909002,0.018054162487461996,1.6324626865671998,1.3552465233881,0.014116398830318002,0.018622093922367,0.0,0.077867210547401,-0.20820124757133
1999-12-31,,0.017064846416382,0.08783911971163001,-0.78416724888483,5.0659221902017,-0.41591152864593,-1.4870907112474,-1.4593437358474999,-0.050658857979501995,-0.050658857979501995,-0.10497981157469999,0.14005602240896,-0.045884125462264995,-0.051342615614122004,1.034853034853,0.03448275862069,-0.14032600992204,-0.22490606548578002,0.012133661660946999,0.014435546108981,0.083333333333333,-0.10873458354452001,0.0068448921606612
2000-12-31,,0.016778523489933,0.065224973840251,0.7375498007968101,-0.6388146564522801,-0.92014944275583,-1.8041226645003998,-1.7385497893699,-0.05629241209130201,-0.05629241209130201,-0.53157894736842,1.2407862407862,0.067829457364341,0.015659808675141003,-0.064353114798086,-0.013333333333333,0.36438582028030003,-0.29016620498615003,0.01655153287616,0.010251677433838001,0.0,0.057739697463699,-0.10210364289379
2001-12-31,,0.013201320132013,0.049607072691552005,0.36600745199196993,-3.2377507398882,-10.860031720855998,-1.5427452961232,-1.4449029126213997,-0.036280437980062,-0.036280437980062,-0.53611556982344,0.25219298245613997,0.0022181891510385,-0.019482614024902,-0.26608354841793,-0.019305019305018996,0.42719033232628,1.4907317073171003,0.023610818318224997,0.025529603476372002,0.0,-0.10799283154122001,-0.014285714285713997
2002-12-31,,0.01628664495114,0.042739042271097004,-0.52297524129249,-1.7062454077883997,-0.98351228535811,0.08562121917170798,1.1598472449536001,0.051678819738849996,0.051678819738849996,7.757785467128,-1.8914185639229,-0.14701542588867,0.0033554839134154,0.13161836535331,0.024606299212598,-0.36579170194750005,-0.25891108499804,0.014985765340117,0.018923343605547,0.0,-0.11909832442641001,0.31913043478261
