Date,ODA/NIC_LE_Value,ODA/NIC_LP_Value,ODA/NIC_PPPGDP_Value,ODA/NIC_BCA_NGDPD_Value,ODA/NIC_TX_RPCH_Value,ODA/NIC_TXG_RPCH_Value,ODA/NIC_TM_RPCH_Value,ODA/NIC_TMG_RPCH_Value,ODA/NIC_GGXWDG_NGDP_Value,ODA/NIC_GGXCNL_NGDP_Value,ODA/NIC_GGXONLB_NGDP_Value,ODA/NIC_GGR_NGDP_Value,ODA/NIC_GGX_NGDP_Value,ODA/NIC_NGSD_NGDP_Value,ODA/NIC_PPPEX_Value,ODA/NIC_PCPIPCH_Value,ODA/NIC_PCPIEPCH_Value,ODA/NIC_PCPI_Value,ODA/NIC_PCPIE_Value,ODA/NIC_PPPSH_Value,ODA/NIC_NID_NGDP_Value,ODA/NIC_LUR_Value
1991-12-31,,,0.031700999136549,0.28243002471406004,,-1.8470561352731,-4.6997129609185,-4.2412663755459,,,,,,-0.731703622925,28.34375,-0.96118637861589,,1.1660395108183998,,-0.032258064516129,,-0.03870967741935501
1992-12-31,,,0.026901004304160998,0.18007439609196,,1.0806582141894001,-0.65648126044402,-0.32675744598951,,,,,,-0.88754657333183,0.20713525026623997,-0.81217838765009,,0.21897937024973002,,-0.1,-0.10489723729951,-0.033557046979866
1993-12-31,,,0.019676330189777002,-0.16505259959743,,-1.9867323566273,-1.6238707435718998,-1.7986706689537,,,,,,0.09337349397590401,0.17688575209527999,-0.38356164383561997,,0.13499839669363,,-0.037037037037037,-0.036247189480139,0.041666666666667
1994-12-31,,,0.07239095683946101,0.07304980668637699,,-2.0117379117029,-3.1328320802005,-2.2527964205817,,,,,,-6.210284664830099,0.035982008995502,-0.72592592592593,,0.037010296333500996,,0.03846153846153799,0.21880523153057999,0.14
1995-12-31,,0.022163704191354,0.08123935264054499,-0.26035352464923,,-2.1650649350649,0.8763546154850501,-0.16564285714285998,,,,,,-1.6943954881918002,0.11070911722142,2.0048648648648997,,0.11118510670500999,0.11119699962782001,0.0,0.08062645011600901,-0.011286549707602
1996-12-31,,0.020180334907686,0.08281634662727701,0.09714023726288,-0.4109092556517,-0.6414000668821801,-0.045299561617145996,0.19715777758754,,,,,,0.7543147208121801,0.07654723127035801,0.047940277028242,0.08849716701142199,0.11651411136536999,0.12104191894468,0.037037037037037,0.17326892109501,-0.05642633228840099
1997-12-31,,0.019360269360268995,0.057475445616587996,0.00041788549937331,0.58309620856725,0.8334887576416999,0.6573615160349899,1.0831664759725,,,,,,0.74855324074074,0.079273827534039,-0.21131233370526,-0.40089234074196,0.09188727583262199,0.07251039966904901,0.0,0.19974380089670002,-0.10524666206983
1998-12-31,,0.018166804293972,0.048331613347092996,-0.22650375939849998,-0.74544571289774,-0.95394179146652,-0.67623906064471,-0.76348220109162,0.0007557681303376901,,,,,0.1735065364885,0.12811886739557,0.41974099466753995,1.5462694800716998,0.13045518535899,0.18463120901726998,0.0,-0.016359060402684998,-0.074330951380132
1999-12-31,,0.017234387672343997,0.08679245283018902,0.29060348319158,1.2790076335878,11.919018404908,1.6257810377614998,1.7029027576196998,0.15445944050663,,,,,0.27413100190369,0.075795228628231,-0.14057948796566,-0.6104100092076,0.11213900254996,0.071922144640209,0.035714285714286004,0.27187439426245,-0.19147808976008
2000-12-31,,0.016145106637433,0.064689009661836,-0.042104712589571,-0.018924803215542,0.63985183778137,-1.248719673064,-1.3291628631262,-0.046146082535885,,,,,-0.53843174146422,0.061446061446061,0.029878701391366003,0.37258445711108,0.11545981301766998,0.09873772317661698,0.0,-0.18754572055595997,-0.4880651502387
2001-12-31,,0.014907806983131001,0.053101736972705,-0.16047832259473999,-0.49889040628201,-0.7043901308930799,-1.2267054908486001,-1.1572593800978999,-0.081326540609386,0.58140432098765,2.1052631578947,-0.13871917717902998,-0.06502781833247799,0.070854813571514,0.04853101196953201,-0.36286481337144,-0.50997670414261,0.073568310016253,0.048380408238492004,0.0,-0.08808853873569698,0.09709270433351598
2002-12-31,,0.013722458446076,0.022956779318702002,-0.023739837398374,-1.5193323113608999,-2.2511755485893,0.16330275229358,1.2842323651452,0.26189892181851,-0.45035374481581003,-1.7627118644068,0.062873181934167,-0.025954842793837994,-0.16905508284818999,0.01681195516812,-0.49028136468669,-0.19946258784621998,0.037506493506493994,0.038720168768954004,0.0,-0.077138272925495,0.083333333333333
2003-12-31,,0.012964728312678999,0.04567291872326401,-0.11678880746169001,-3.9816333224008,-1.8102098340118997,0.73738170347003,-0.16666666666667002,-0.0076567478259399,-0.28939192188194,0.25462962962963,0.066500216065684,0.031802426343154,0.21166801401239999,0.032863849765257996,0.41386666666667,0.67312161115414,0.053031386798661,0.064807762827565,-0.03448275862069,-0.0080688302425106,0.07661538461538499
2004-12-31,,0.012798795407491001,0.082069356158349,-0.10492569963038001,0.87768122318777,2.7746424429842,2.6413980935089,3.5307901907357,-0.23272668432392998,-0.3316677076827,-0.68560885608856,0.015126958400863998,-0.0082304526748972,0.36161458912487,0.061264822134387,0.59751037344398,0.42839506172839,0.08469073075303302,0.09255996927030198,0.0,0.083591748685452,-0.065875964561303
2005-12-31,,0.012822895372607,0.07636828942011299,0.044665430642170996,-0.5764499121265401,-0.77076292882744,0.05958613812017,0.046427712292519005,-0.20749439474326997,-0.2607476635514,0.43427230046948,0.020755721128259998,0.0080023710729105,0.10167415271539001,0.064432029795158,0.13329397874852,0.035328435609334,0.096000901769723,0.095823483057526,0.0,0.073576375928,-0.14960991280404
2006-12-31,,0.034495412844037,0.07354371555171299,0.016860277508874,3.3704011065007,12.205941478668999,0.96388235294118,1.0102298850575,-0.23077030812325,-2.3843236409607997,1.9230769230769,-0.045533541883907,-0.12324106355274,0.027353595255744996,0.050034989503149,-0.047817480987602995,-0.014191797975581998,0.09139735795584401,0.09446945977939801,0.0,0.022368166892022003,-0.06583917970858098
2007-12-31,,0.012415750266052,0.08088790456535999,0.30932169773899,-0.74697765681372,-0.8220827765844101,-0.06733361289163099,-0.21699353879581001,-0.41035631702565,0.46392694063927004,-0.0089585666293393,0.010788419519301,-0.012983279835193998,-0.04892127859152901,0.067477507497501,0.21739606126915,0.78649306658198,0.11127049609449001,0.16876920588710997,0.0,0.12171251511487,0.14288465241671
2008-12-31,,0.012438682550806003,0.04871006798919599,0.07410324769752799,0.23389618511570004,-0.16113699020819,-0.33117091656497,-0.24492478457719002,-0.11496062992126,-1.0368059887711,-1.1062146892655,-0.05629362756136,0.019998058440928,0.011607617024505,0.14000312158577,0.78179203738654,-0.18385969070332,0.19826067292925,0.13774821836297,0.0,0.046353377126495,0.02139848357203
2009-12-31,,0.012285862605987,-0.020204262877442,-0.47819710046821007,-0.80162189559047,-0.77787851314597,-1.6461154326323,-1.5561895551257,0.14817528434861,25.338983050847002,6.3882978723404005,-0.023240276783583997,0.04796802131912099,-0.046122693865307,0.057639649507119,-0.81403207908807,-0.93226368520401,0.036870454098682996,0.0093271810932642,-0.035714285714286004,-0.29271433630598,0.34576047509073
2010-12-31,,0.012478632478633001,0.04563788805801,0.036432432432432,5.6448645886561,6.496428571428599,-2.7746730083234,-3.2137019648757006,0.022668570907655,-1.0579150579151,-1.0107991360691,0.045876490130936,-0.032058850240668,-0.18098907146788,0.071067961165048,0.4795226471386,8.89281886388,0.054548625856943,0.09230444802602801,-0.037037037037037,-0.08944421685101699,-0.040328511890169
2011-12-31,,0.012493668748945001,0.07871012482663,0.33461979764264005,0.015841279606275,-0.007894915946369,0.31616415410384996,0.24389285994816,-0.029475560837914,7.9555555555556,45.066666666667004,0.055776147988975996,0.022471382998687,0.018815397907267,0.077955039883974,0.48157653528872996,-0.13867822318526998,0.08082297187484301,0.07950549526318,0.03846153846153799,0.17011597680464002,-0.24255971388428
2012-12-31,,0.012339503084876002,0.068386370941819,-0.0055490425947636,-0.16222558667676001,-0.19208341908485999,-0.43977091950366,-0.43912604192978,-0.034810029697211,-0.76799007444169,-0.8625180897250401,0.02221140657493,0.051433815095205,-0.0050880995006125,0.05695705796614,-0.10987379361544,-0.1674213836478,0.071938042263267,0.066189761440935,0.0,-0.0052548382962362,-0.003035413153457
2013-12-31,,0.012353813210344,0.061639714178262,-0.10657026092423999,-0.6921478268726801,-0.65135433472022,-0.82939572921399,-0.80398558883134,-0.018778151367126,-4.2085561497326,-6.673684210526299,-0.022984028048306,0.011171234072263999,-0.13988067051804,0.045613662883208006,-0.0082012788434807,-0.1426197310772,0.07135586066489599,0.056743026933768,0.037037037037037,-0.12171448204776,-0.0013531799729364
2014-12-31,,0.0125284738041,0.057423217258847005,-0.010292047853624,-0.5570883475198101,-0.4150024354603,2.0545938748336003,1.7334865020103,-0.033522984418439,0.46833333333333,0.42857142857143,0.0036771220981748,0.015708613844294998,-0.14809513323057003,0.04524703256569,-0.1198318149965,0.24105726872247,0.06279692243517,0.07043650793650799,0.0,-0.071491442542787,0.0
2015-12-31,,0.012373453318335,0.059229480737017996,0.016798506799396002,1.0245195493704,0.74937552039967,-0.025719267654752007,0.0098760243748686,-0.03160852259424,0.0056753688989784,0.011688311688312001,0.015449128227764,0.015083276682529,0.016285381930981002,0.050567795787635,0.11464968152866001,-0.0061053528325998,0.069999945487154,0.070001323977228,0.0,0.016589424899937002,0.0
2016-12-31,,0.012380952380952,0.059586311594661,-0.00043706293706285,0.31554828150572994,0.26558781532604003,0.12259507829978,0.08406158967956699,-0.018029842497928,0.33972911963883007,0.42233632862644,0.019256683329711,0.031141434012808,-0.0078850311585909,0.05025868440502599,0.0,0.0,0.07000061135905099,0.06999995050558501,0.0,-0.0034191576438897,0.0
2017-12-31,,0.012386328002509,0.061369470479373994,-0.013729777000437,0.0082109977606368,-0.010718315156073998,-0.041052212036668,-0.042226487523992,-0.032817446359479,-0.16596461668071,-0.2572202166065,0.0020044353462982,-0.0061294905622082,0.035892834252019,0.048469387755102004,0.0,0.0,0.06999676227478799,0.069999907487071,0.0,0.0063419452097522,0.0
2018-12-31,,0.012389654638377,0.061983238652342995,-0.014098244369569,-0.0088845014807501,-0.017867325603497,-0.054031587697423,-0.056513026052104,-0.028766774557224,-0.18888888888889,-0.20170109356015,0.0077888912534582,-0.00012252899852966,0.01237470610073,0.047822803926504,0.0,0.0,0.070001112470798,0.06999857339864,0.0,-0.0030476780825456,0.0
2019-12-31,,0.012543980419152,0.061490387161697004,-0.11053152261894,-0.047310756972112004,-0.055931875362879996,-0.43936731107206,-0.45688190314359,-0.036134202051973,-0.34869240348692,-0.039573820395738,0.0071796604442942,-0.0044932805032475,0.15743796601882,0.04836255905196599,0.0,0.0,0.070000332701201,0.070000929251629,0.0,0.0030569948186529,0.0
