Date,ODA/KHM_LE_Value,ODA/KHM_LP_Value,ODA/KHM_PPPGDP_Value,ODA/KHM_BCA_NGDPD_Value,ODA/KHM_TX_RPCH_Value,ODA/KHM_TXG_RPCH_Value,ODA/KHM_TM_RPCH_Value,ODA/KHM_TMG_RPCH_Value,ODA/KHM_GGXWDG_NGDP_Value,ODA/KHM_GGXCNL_NGDP_Value,ODA/KHM_GGXONLB_NGDP_Value,ODA/KHM_GGR_NGDP_Value,ODA/KHM_GGX_NGDP_Value,ODA/KHM_NGSD_NGDP_Value,ODA/KHM_PPPEX_Value,ODA/KHM_PCPIPCH_Value,ODA/KHM_PCPIEPCH_Value,ODA/KHM_PCPI_Value,ODA/KHM_PCPIE_Value,ODA/KHM_PPPSH_Value,ODA/KHM_NID_NGDP_Value
1991-12-31,,0.031140130587643994,0.11173691860465,-0.6842923794712299,10.435120753171999,10.086145194274,-5.538942367796,-5.0532148745190995,,,,,,0.45091794679655,1.006217113856,0.34696755994358003,-0.0066225165562914,1.9099567099566999,1.4999197818065,0.047619047619047006,0.0054754721197899
1992-12-31,,0.031173891865563002,0.09511358065043302,-0.17159277504104997,-0.8951961626575,-0.96942516544075,-0.8324565510783001,-0.8870133098321,,,,,,0.36191091026469,0.7149064556571201,-0.6073298429319399,-0.25333333333332997,0.74992561737578,1.1200102682582,-0.045454545454545005,0.28439653256279
1993-12-31,,0.031176192725554996,0.065214147142218,0.62933597621407,-0.8780654416285301,-3.0301659125189,7.9786289659706995,8.02,,,,,,-0.11300720515738001,1.0258063396475001,0.52425333333333,-0.63392857142857,1.1432032644733,0.41000181631046995,0.0,-0.02630440425716
1994-12-31,,0.19926706367383998,0.10479125805548,1.0900243309002,51.829131652661,-16.329370975731003,-0.11932182287566001,-0.073170731707317,,,,,,0.19987174005985,-0.035224449584511,-0.90867659794085,-0.27068292682927,0.10440094405108999,0.29900382154665,0.047619047619047006,0.042655291922154
1995-12-31,,0.030462184873950002,0.08660918082678201,0.45401629802095006,,,,,,,,,,-0.15651166933903,0.09237290581233501,-0.034770114942529004,-1.0621697545315,0.10078117985095,-0.018593504669036,0.045454545454545005,0.2402625074576
1996-12-31,,0.027800945232137997,0.073404131170498,0.43714971977582,-1.4983138918346,-1.3271567043619,-0.7261538461538499,-0.69299043062201,,,,,,-0.20371739360017002,0.016515456186895,-0.29076113922794,-6.397525551371701,0.071471687031992,0.100336813742,0.0,0.011544804837823
1997-12-31,,0.027499774592012,0.07425527288541,-1.1722841225626999,-4.473622608584599,-3.8939311638931002,-0.1280747039174,-0.10504168939453,0.05620052770448599,-0.50583864118896,-0.50919415900487,0.069381227703285,-0.20734120651132998,1.1561007957559999,0.026287880226664,0.46956765076256,0.6633446282639001,0.10502755869545,0.16690134378157,0.043478260869565,0.020380434782608998
1998-12-31,,0.025359775359775,0.061532233579597,-5.6685529506871,-1.0336888665617,-1.1053493729203998,3.1579451458424,3.1579451458424,0.16968523607295002,0.43877551020408007,0.44132231404959,-0.074197630277235,0.079648868486752,-0.62729900965738,0.088327707013194,0.22812529753404004,-0.52174955062912,0.12898203262787,0.07982372152197599,0.0,-0.21211717709720002
1999-12-31,,0.023534445870775002,0.13623796358089,-0.12900432900433,-4.9972722313148,-3.0396825396824996,-0.26898270301964,-0.26898270301964,-0.071359923113888,-0.29040686823441997,-0.3052370030581,0.24304174950298,0.029837386244965,0.9727677834626199,0.0044424159440133,-0.8452593224281,-0.97732397895264,0.019966559673896,0.0018098118524457,0.083333333333333,0.43518675004225
2000-12-31,,0.021989966555184,0.11235106561503999,-0.43797216699801,0.13589008689322998,0.14666878424522,-0.7615514623736,-0.7615514623736,0.016386373436825998,0.26643871646502,0.28363136176065995,0.022491003598561002,0.08974358974359001,0.22998410440894002,-0.053575724312930006,-1.4138276553106002,0.88397790055249,-0.0082562550105895,0.0034190935764690004,0.03846153846153799,0.032089024964672995
2001-12-31,,0.02045324388448,0.10620804103491999,-0.59603820304209,-0.049263056712592,-0.10148891966759,1.0031234983180999,1.0031234983180999,-0.011907792391458,0.068743509865005,0.07329618516931,-0.023755987877602996,0.0058491193087404,0.19663991293702,0.0035924017314322,-0.85835351089588,-2.5454545454545,-0.0011703244332371,-0.0052682455292413,0.074074074074074,0.06880027383193599
2002-12-31,,0.018920869077207,0.08210023866348501,1.1225919439579999,-0.60245176510237,-0.6195999845851501,-0.23257766582704,-0.23257766582704,0.13926260949219,0.23999222697241002,0.24081469648561998,0.051371920688965,0.11544307143329,0.00017052236685046002,-0.0080952443488064,-0.69230769230769,-3.707779886148,-0.00036238011257944,0.014272873038238999,0.03448275862069,0.06864157993061099
2003-12-31,,0.017703989298922,0.10668599155586,0.4707095709570999,-0.12429797605171,-0.84966062202411,-0.6598155673648001,-0.6598155673648001,0.084549863061886,-0.033223632659458,-0.036852269069842,-0.08753214591865899,-0.06700236966824599,0.051602636962946,-0.0019263722920142,-29.527777777778002,-1.0294323756132,0.010271158586689,-0.0004191666966071,0.03333333333333299,0.10229259277758
2004-12-31,,0.016622854492036,0.13375469764264,-0.39102384291725,1.6424249757986,16.847035040431003,0.86354238456237,0.86354238456237,-0.034542674450930996,-0.42259685524396,-0.44277360066834004,0.07546972860125299,-0.11962664296146,-0.15396670990056,0.020183041166733,2.8218111002921002,-126.35714285713999,0.0392435949573,0.052645451931372,0.064516129032258,-0.19226063709275
