Date,ODA/SLE_LE_Value,ODA/SLE_LP_Value,ODA/SLE_PPPGDP_Value,ODA/SLE_BCA_NGDPD_Value,ODA/SLE_TX_RPCH_Value,ODA/SLE_TXG_RPCH_Value,ODA/SLE_TM_RPCH_Value,ODA/SLE_TMG_RPCH_Value,ODA/SLE_GGXWDG_NGDP_Value,ODA/SLE_GGXWDN_NGDP_Value,ODA/SLE_GGXCNL_NGDP_Value,ODA/SLE_GGXONLB_NGDP_Value,ODA/SLE_GGR_NGDP_Value,ODA/SLE_GGX_NGDP_Value,ODA/SLE_NGSD_NGDP_Value,ODA/SLE_PPPEX_Value,ODA/SLE_PCPIPCH_Value,ODA/SLE_PCPIEPCH_Value,ODA/SLE_PCPI_Value,ODA/SLE_PCPIE_Value,ODA/SLE_PPPSH_Value,ODA/SLE_NID_NGDP_Value
1991-12-31,,0.022582513028372997,-0.049319727891156004,-1.1841027041791998,-0.83290897517505,,-1.3902799138727,-2.1452418212982,,,,,,,-2.3037974683543996,1.4629247354106998,-0.074369513096461,0.1738904828765,1.0269603128806999,1.1537541663486002,-0.11111111111111001,-0.10737929920878
1992-12-31,,0.024348810872026998,-0.07602862254025099,-1.4094955489613998,-1.8121303258144998,,-0.79287515762926,-0.86257157730349,,,,,,,0.23786407766989998,0.5952159220924399,-0.36218900628073,-0.69838876032485,0.65500007907764,0.34798993490768,-0.1875,0.21309696092619002
1993-12-31,,0.026257600884467006,0.024443368828654,8.3297101449275,-0.28589063078632,,-13.150684931507001,-21.881628787879,,,,,,,-1.3476673427991999,0.25419912264607003,-0.66103816793893,-0.23302393746947,0.22201941821796,0.26690095174662,0.0,-0.52415747092156
1994-12-31,,0.023431187718826,0.056933616820222,0.30058252427184007,-5.0031114952463005,,-0.88632093198046,-1.0360527867217,,,,,,,-2.0766238817581,0.16008804011011998,0.089946851634988,-0.3357062570251,0.24198253008751,0.17730231528558998,0.0,0.6668755875900999
1995-12-31,,0.025,-0.081358962896737,0.38518960883846,-2.0423179894637,-3.1157754118932997,-0.74269972451791,10.912578616352,,,,,,,-1.2864884393064,0.3381672694757,0.073887350716972,0.9473773265651401,0.25987117572613,0.34527474851932005,-0.15384615384615,-0.31396879112615006
1996-12-31,,-0.043645699614891,-0.23406326034063,0.18064237982324,-0.67810091971166,-1.138388244748,29.343683083512,-2.8255107966843998,,,,,,,-0.40857503152585,0.72163301321865,-0.10967021972525001,-0.81524603933154,0.23137125550991,0.063789827695399,-0.27272727272727,0.60153466703206
1997-12-31,,0.026845637583893,-0.16200762388818,-0.59603797699471,1.9671814671815,-2.447117378681,-3.1653434952894997,-2.7750817017092,,,,,,,-9.558635394456301,0.14828738409022,-0.37074815231015007,9.491142812352999,0.14559438288892002,0.66923550665134,-0.25,-0.44472963723477
1998-12-31,,0.02718954248366,0.0022744503411676,-0.23435028248588,-0.7076989806983299,-1.4923091621286002,-1.2233085647243,-1.2667285791093998,,,,,,,0.8054309915296501,0.25683704201244,1.471735696133,-1.0848288331366,0.35985942188667996,-0.05677404755521401,0.0,0.1251155624037
1999-12-31,,0.026978875031814998,-0.06694402420574899,2.0011806375442998,2.3044962160558,-6.2146322530565,1.9984676007005,-0.10665200659702999,,,,,,,-1.4194839243825002,0.23145045063682002,-0.052631578947367995,-7.4726087722389005,0.34091465670413,0.36745358913312004,-0.16666666666667002,-0.320734045467
2000-12-31,,0.026022304832714,0.061613295500608005,0.17378048780487998,-5.2888769140958,-1.9366231253024,-0.20393760190795998,2.5164444444444,,,,,,,1.3592105263157999,0.037506737129458,-1.0269271383315999,-1.0830589195809002,-0.0091743832257613,-0.030519444608657003,0.0,0.82620967741935
2001-12-31,,0.03768115942029,0.20847651775486997,-0.24340175953079,-0.7887214817451801,-0.4627701843610901,-0.48051114304057,-0.46188846542739004,-0.016304377412312998,,0.6567550096961899,-2.4361269324654,0.053361471208924,0.1674611905635,-1.0750139431121,-0.07678544683228099,-3.7973856209149996,-2.1245085190039,0.025677880354216,0.034316647094808,0.2,1.1251931993818
2002-12-31,,0.045856610800745004,0.28372827804107,-0.35105204872646995,0.85930918281382,4.6573478293026,0.11787206496793,0.84498084844981,-0.12091445395079,,-0.059500585251658,-0.5257790368272,0.088008013737836,0.048371898230552005,4.7063197026022,-0.053749579807369004,-2.4248442367601,-1.8974358974359,-0.036586135236977006,-0.030800887741072,0.33333333333333,0.024727272727273
2003-12-31,,0.04896505675495201,0.11518582328328998,0.024402730375427003,-0.52085609957621,-0.8732433033088001,-0.7238365971783499,-0.87363390653766,0.0095940169595024,,-0.071976768305331,0.11589008363202,-0.056096277785085004,-0.05992210126835099,0.021172638436482,0.10917869620686999,-3.0623121071331,-4.6642857142857,0.075458893100232,0.11285964605903,0.0,0.059920916556829
2004-12-31,,0.045618502015700994,0.09534319134848801,0.14675995335666,-1.7855593258052,-1.9786509900990001,-4.6120853983988,-4.2634841909485,-0.05459771906742401,,-0.47094322753688,-2.8169164882227005,0.09740124015885199,-0.037554445978965,0.06953748006379598,0.097787277892274,0.8880201431221801,0.27511961722488,0.14246728516706,0.14391254518205,0.0,-0.055768127032715
2005-12-31,,0.038961038961039,0.07898448519040899,-0.075537478210343,-1.0878770712364,-0.86689851406892,-1.5825637236793,-1.8872530395137,-0.13656120355897,,-0.18166455428813,-0.1508544490277,0.02215732334455,-0.004525636072631,0.20608410378765,0.12965295562972,-0.15420790341826002,-0.08970884580640699,0.12049899300189,0.13100174175748,0.0,0.13149630229967
