Date,ODA/SDN_LE_Value,ODA/SDN_LP_Value,ODA/SDN_PPPGDP_Value,ODA/SDN_BCA_NGDPD_Value,ODA/SDN_TX_RPCH_Value,ODA/SDN_TXG_RPCH_Value,ODA/SDN_TM_RPCH_Value,ODA/SDN_TMG_RPCH_Value,ODA/SDN_GGXWDG_NGDP_Value,ODA/SDN_GGXCNL_NGDP_Value,ODA/SDN_GGXONLB_NGDP_Value,ODA/SDN_GGR_NGDP_Value,ODA/SDN_GGX_NGDP_Value,ODA/SDN_NGSD_NGDP_Value,ODA/SDN_PPPEX_Value,ODA/SDN_PCPIPCH_Value,ODA/SDN_PCPIEPCH_Value,ODA/SDN_PCPI_Value,ODA/SDN_PCPIE_Value,ODA/SDN_PPPSH_Value,ODA/SDN_NID_NGDP_Value,ODA/SDN_LUR_Value
1991-12-31,,0.030291262135922002,0.13568113568113999,0.0092666666666667,-9.569230769230801,-9.569230769230801,0.62573099415205,0.62573099415205,,0.63364008866797,0.59764435118121,0.30261895979343,0.47586400871919,-0.086459135408646,0.5,-142.39359267735,,1.2373887240356,1.3551637279597,0.072727272727273,0.8475182180668199,-0.03684527393136701
1992-12-31,,0.029777610252544,-0.017728365384615002,-0.51889160446529,-1.6750448833034,-1.6750448833034,-0.7086330935251801,-0.7086330935251801,,-0.074013157894737,-0.084484365731718,0.34756753695418,0.10329220067653999,-4.625045153522,0.6666666666666701,-0.04818009678098001,-0.13344826061972,1.1750663129973,1.1775401069519,-0.13559322033898,0.65327081937933,-0.036817102137767
1993-12-31,,0.029648609077598996,0.086999082288162,-0.43580238438479996,0.037234042553191,0.037234042553191,-0.88888888888889,-0.88888888888889,-0.42266699496993,-0.67198046181172,-0.6831728989263199,-0.39610826258721,-0.53025003238761,-0.7773201355211601,1.55,-0.13873869278379,-0.13873869278379,1.0128048780488002,1.0127701375246,0.039215686274510005,-0.070177807787531,0.022584204036602
1994-12-31,,0.029150373266974998,0.041987955197839,-0.077465931213498,-1.2305897435897,-1.2305897435897,21.35,21.35,0.35180192530310994,-0.6229863273318,-0.85714285714286,0.056023383673185,-0.17452656738371,-1.1111276849642,1.0,0.13990424954345998,0.13990424954345998,1.1548015752801999,1.15495363592,0.0,0.09837335398915598,-0.036809037253284
1995-12-31,,-0.03454231433506,0.051585372440986994,-0.10995339839972,-5.090959635271901,-5.090959635271901,-1.5718617946806002,-1.5718617946806002,-0.38153320901198,0.14793536804309,1.3118609406953001,-0.43113219981546996,-0.3413330363606,-0.6201342281879201,1.1274509803922,-0.4078958762708,-0.38690486499592996,0.6838183607479301,0.70796059336429,-0.018867924528301997,-0.10221262341326,-0.036832048494432
1996-12-31,,0.023255813953488,0.082648448736388,-0.41195356878242,-0.41652622995379,-0.41652622995379,1.7114665739372,1.7114665739372,-0.07608675849001599,-0.25023459493275,-0.32728881026095,-0.28776645041704996,-0.27753825344492,4.8657243816254,1.4930875576037,0.94258135283364,0.6140058475402199,1.3282124071136001,1.1426771862362,0.03846153846153799,-0.3339879228239,-0.042276645231905996
1997-12-31,,0.020979020979021,0.6496655121696601,-0.21436371272574997,-0.51872728966738,-0.51872728966738,-0.5424495030458499,-0.5424495030458499,-0.27915621133169,-0.7851481017939099,-1.0203813280735998,-0.036922576447625005,-0.24689913409782,3.2024096385542,-0.016635859519408998,-0.64878335240619,-0.71958519296403,0.46648735879505,0.32044062132558004,0.55555555555556,0.20367094206103,-0.035714285714286004
1998-12-31,,0.02054794520548,0.24052343974691,0.34951352507217,-0.6055560933113899,-0.6055560933113899,1.0875201457501,1.0875201457501,0.18686782336326999,0.052427184466019,2.3548387096774,0.17919270393515,0.16904909881914001,-0.15954701834862,-0.011278195488722,-0.63333333333333,-0.75252005118123,0.17105617098281,0.07929887050663201,0.19047619047619,0.13203502970176,-0.037037037037037
1999-12-31,,0.020134228187918997,0.24153200565692,-0.43075582316590005,7.8505521472393,7.8505521472393,-1.9009432378906,-1.9009432378906,-0.053507735745772,0.47970479704797,-1.5,0.09180750501289,0.11988304093567001,0.65955995224288,-0.041825095057034,-0.06489330605086199,1.1455233291298998,0.15993568326094,0.17013331017413003,0.18,-0.084933730051393,-0.03846153846153799
2000-12-31,,0.023026315789474,0.26449552762787,-1.0077940153097,3.1498918649143,3.1498918649143,-1.4846497764531001,-1.4846497764531001,-0.06472704691980301,-0.067331670822943,-7.730769230769201,0.35838908566181,0.31770709708047,0.9141829393628002,-0.077380952380952,-0.49778055642388,-0.80339720230398,0.08032837056906798,0.033454558949047995,0.17796610169492003,0.097783032811114,0.21600000000000003
2001-12-31,,0.02572347266881,0.10431957468802999,-95.767857142857,-1.0697400948754001,-1.0697400948754001,-0.5741082410824101,-0.5741082410824101,-0.015446503544299,0.22192513368984,-1.4142857142857,0.047609850313858,0.059353327929389015,-0.32316778523490003,-0.019354838709677,-0.39362629154737006,1.2053811659193001,0.04872602442966901,0.073774170960734,0.057553956834532,-0.035327696698799,-0.013157894736841999
2002-12-31,,0.025078369905956,0.073603551799302,0.0064066327491991,-3.7684422303122997,-3.7684422303122997,8.8902527075812,8.8902527075812,-0.01995319132056,-0.080962800875274,-4.2551724137931,0.11310840707964999,0.09794252678116001,0.16658733936220999,0.06578947368421,0.71094231164032,0.11942524061272002,0.083326712535554,0.082566966525098,0.027210884353742,0.11913135711494001,0.06
