Date,ODA/HTI_LE_Value,ODA/HTI_LP_Value,ODA/HTI_PPPGDP_Value,ODA/HTI_BCA_NGDPD_Value,ODA/HTI_TX_RPCH_Value,ODA/HTI_TXG_RPCH_Value,ODA/HTI_TM_RPCH_Value,ODA/HTI_TMG_RPCH_Value,ODA/HTI_GGXWDG_NGDP_Value,ODA/HTI_GGXCNL_NGDP_Value,ODA/HTI_GGXONLB_NGDP_Value,ODA/HTI_GGR_NGDP_Value,ODA/HTI_GGX_NGDP_Value,ODA/HTI_NGSD_NGDP_Value,ODA/HTI_PPPEX_Value,ODA/HTI_PCPIPCH_Value,ODA/HTI_PCPIEPCH_Value,ODA/HTI_PCPI_Value,ODA/HTI_PCPIE_Value,ODA/HTI_PPPSH_Value,ODA/HTI_NID_NGDP_Value
1991-12-31,,0.018442911445867998,0.046316242998707,1.3354543646848,-1.9627306442013002,-1.7166938553562001,-0.9034618429575602,-0.9432849899776,,,,,,0.19887245071702,0.030018761726078997,-0.27523970671179,-0.47306145893165,0.15419010529351998,0.13754866108292998,0.0,
1992-12-31,,0.019629527232513,-0.00020588840848267,0.20578969774372,1.6527322014553,1.3578528072837999,-13.934145129225,-15.073024948025001,,,,,,0.19064225974436,-0.02367941712204,0.25538261997406,0.10319017513262,0.19345163709073,0.15181997303744,-0.14285714285714002,
1993-12-31,,0.020607375271150002,-0.026565074135091,-0.27955091088829,-2.1058642141308,-2.2053641819381,-1.8332660864218997,-2.0633390578546,,,,,,-0.53860121138222,0.5541044776119399,0.16520301684058,0.8233976681378001,0.22565445026178,0.27685243540109994,-0.066666666666667,
1994-12-31,,0.021652497343252,-0.09720753120372301,-0.9116926394197801,-1.420173788989,-1.2930576504665001,-1.7488528672553998,-1.5856415956098,,,,,,-0.64967109987648,2.6806722689076,0.88672636992375,0.51641920450851,0.42554463904314005,0.41975743900719004,-0.14285714285714002,
1995-12-31,,0.019113249252373,0.12185120093732,0.54273029966704,-3.0860020063276,-2.4489637895696004,-5.4866213012286,-5.545740295940501,,,,,,1.0255821580846,0.38747553816047,-0.29036351246562997,-0.56641890604155,0.30198969195733005,0.18197169108517003,0.083333333333333,
1996-12-31,,0.019009951518244,0.06046997389033901,-0.010791366906475001,-0.09405345417552902,-0.55501068779077,-0.9938028439661801,-1.0331515499426,,,,,,0.083063471502591,0.079924776680771,-0.31841059602649,-0.06510989010989,0.20584579976985,0.17017521744611,0.0,0.077984288177812
1997-12-31,,0.018655314886691,0.044612960409690997,-0.7440000000000001,-0.55843201306656,0.95931053970048,12.972314507198,-4.232782369146,,,,,,-0.09642696965166699,0.10840226382238001,-0.21409832879907,-0.0038201586835146,0.1617742489598,0.16948543933355,-0.03846153846153799,-0.12801279772485
1998-12-31,,0.018436578171091,0.032902800037711004,-2.1903409090909,0.38112631773627004,0.7907773291029699,1.4092097963066,0.90194168847769,-0.07760582612653599,-0.29545454545454997,-0.15267175572519,-0.037634408602151,-0.016781411359724,0.09294341495698198,0.12922230950511,-0.21357482846016002,-0.51221238938053,0.12722194841465,0.082685989744849,0.0,0.060132903909657996
1999-12-31,,0.017740767559738996,0.042807594012413,-3.508353221957,-0.5553546918415899,-0.66659284463146,-0.43165443958285,-0.41892021634077004,-0.015149272144091001,-1.6622390891841001,-0.5577395577395601,-0.042933995447962,0.050328227571116,0.0084774628164856,0.054260869565217,-0.36126395220877,0.19992743105951,0.08126621389220799,0.099200272247745,0.0,0.065143824027073
2000-12-31,,0.017194355508123,0.031684901531729,-0.040913415794481,-1.1361993675651,-0.9667270531401,-1.176140310257,-1.224871950212,0.39001903998397003,3.7564469914039997,-2.5759259259259,-0.08917954815695599,0.050625,-0.011933801178369001,0.085780270537776,0.41016490278120005,0.54389678459833,0.11457069685942,0.153173374613,-0.04,-0.013033432016751998
2001-12-31,,0.016553975285615,0.012047170611691003,1.030753968254,4.6749585406302,-11.805807622505,-1.2162339796253998,-1.4479549350966998,-0.10608463701246999,0.3,0.48413631022326997,-0.047353429859957,0.0097164386278008,-0.095711952599795,0.09146156183530801,0.43921808185705996,-0.24933080890514,0.16492925383964002,0.11497415933955,-0.041666666666667,-0.054212239821487006
2002-12-31,,0.016055045871559,0.012825886495096,-0.57987298485589,-0.8302162478083001,0.80836412495801,-9.896656534954401,-5.355932203389799,0.097020041130691,0.39481000926784,0.76959619952494,0.047464806278809,0.12117046347211,0.016716367760091003,0.083240534521158,-0.43336162988115007,-0.010871455905375001,0.09345154056972,0.11373304438558,0.0,-0.030477663894797998
2003-12-31,,0.015349887133182999,0.023671577553384997,0.7465116279069799,-0.66265060240964,-2.1654128355159,-1.767167748548,-1.4723233337516999,0.11942657599706,0.15614617940199,0.16465324384787,0.084205518553758,0.10308285163777,0.20593216838105,0.24428167566178002,1.8607811663991,2.3219906796799,0.26735023260229995,0.37781060824445,-0.043478260869565,0.22447839789364002
2004-12-31,,0.014895509115161997,-0.008732212160414,0.057922769640479,-7.0442176870747994,-0.34722664966529,-1.6098864395458001,-1.8838692532553998,-0.17984501214947,-0.70287356321839,-0.739915482136,0.11781483106626,-0.10885271933307002,-0.11777199232666001,0.18258804089642003,0.059175581656318,-0.42606071835049,0.28315229605214,0.21683186442451,-0.09090909090909101,-0.10917443148497999
2005-12-31,,0.014348302300108999,0.050815660685155,-1.4455632473253999,3.3325830050647003,1.230741057258,-3.8386272362176,-0.20024052916416002,-0.055250830764303004,1.5957446808511,2.4992614475628,0.28989205103042,0.41019244476122996,0.09210219771686001,0.13902715920007003,-0.40803785845458,-0.31281128942999,0.16762411844379,0.14900704951857,-0.05,0.0027429323775738
2006-12-31,,0.013821401576504,0.053947062019716,-3.0480225988701,-0.19301207949083998,-0.7308450087565699,-0.1124115755627,-4.606766917293201,-0.17260668729076,-0.36885245901639,-0.51034191642043,0.024954351795496,-0.041824614607025,-0.0079997155656688,0.11316414935214,-0.1522491349481,-0.17247164619824,0.1421,0.12331419165372999,0.0,0.070501130644102
2007-12-31,,0.013313451911812001,0.06090735012520299,0.00068965517241387,-0.54056011588605,-1.0034566897113,-0.55542674974641,-0.83062330623306,-0.10904527760705,-1.1221959858323,-2.1258620689655,0.17065023752969,0.026242911776342002,0.040464499480305005,0.052414078104553,-0.36959887403237,-0.35990592814857,0.089589352946327,0.07892962108786299,0.0,0.03849954004974299
2008-12-31,,0.013033424427159998,0.028254078444983996,1.1557546519642,0.8223857067787701,702.47058823529,-0.08246414602346801,2.8449230769231004,0.10037367059499999,-14.594202898551,-2.6140888208270003,-0.040961258005199,0.15253148290928,-0.11412332070272001,0.10726439790575999,0.60538066532708,1.5145065247688,0.14380193182366,0.19846898222816,-0.052631578947367995,-0.053705587087037994
2009-12-31,,0.013177007677942,0.038617337294086,-0.40696930946292,0.9374279123414101,-2.6560749226523996,4.3499111900533,1.0635403329064999,-0.26798495376417,0.63397299218195,0.78415559772296,0.17771900826446,0.24935890288772003,-0.0031107827507096,0.029197943140848,-0.76156039218413,-1.2358542852824,0.034291856650063,-0.046810812203006,0.055555555555556,-0.046838163916239
