Date,ODA/SWE_LE_Value,ODA/SWE_LP_Value,ODA/SWE_PPPGDP_Value,ODA/SWE_BCA_NGDPD_Value,ODA/SWE_TX_RPCH_Value,ODA/SWE_TXG_RPCH_Value,ODA/SWE_TM_RPCH_Value,ODA/SWE_TMG_RPCH_Value,ODA/SWE_GGXWDG_NGDP_Value,ODA/SWE_GGXWDN_NGDP_Value,ODA/SWE_GGXCNL_NGDP_Value,ODA/SWE_GGXONLB_NGDP_Value,ODA/SWE_GGR_NGDP_Value,ODA/SWE_GGSB_NPGDP_Value,ODA/SWE_GGX_NGDP_Value,ODA/SWE_NGSD_NGDP_Value,ODA/SWE_PPPEX_Value,ODA/SWE_PCPIPCH_Value,ODA/SWE_PCPIEPCH_Value,ODA/SWE_PCPI_Value,ODA/SWE_NGAP_NPGDP_Value,ODA/SWE_PPPSH_Value,ODA/SWE_NID_NGDP_Value,ODA/SWE_LUR_Value
1991-12-31,-0.019629712246264,0.0061692468862764,0.022131664968717997,-0.28981015110422,-1.3437327950083,47.744680851064,-1.7218655589124001,-4.7734591893393,,,-0.92468726065867,-0.67439685805124,-0.0023570372196205,,0.056839792773296,-0.12777374909355,0.054646633277685,-0.088936047072441,-0.25327812284334,0.094438392641007,-0.7079427725703001,-0.03150912106136,-0.149200786392,0.79710144927536
1992-12-31,-0.04254835039818,0.005552984729292,0.010700876860424001,0.51827605019094,-2.6284036305392005,-1.5722391968573002,-1.7016740779493,-1.1743672748676,,,-31.515254237287998,-5.256748994830599,-0.053181797124724005,,0.09081178350371501,-0.14094889701807,-0.013507809202195001,-0.7486500794070899,0.07832717190388201,0.023749619840194997,-2.5228040540541,-0.11130136986301,-0.08162957753554,0.79032258064516
1993-12-31,-0.057984790874525,0.0060975609756096,0.019698949712018,-0.2601509162774,-3.4760655737704997,6.4469870327994,-4.3763280521901,0.61518987341772,,,0.26283048211509,0.40844690325191996,-0.027627823534209003,,0.0095425003910862,-0.1438157300471,-0.0019255455712453,0.99157540016849,-0.69787872294836,0.047275035108567,1.2867443150305,-0.025048169556840003,-0.16157969587572002,0.6306306306306301
1994-12-31,-0.0093340060544904,0.0081189251000573,0.06226267324852901,-1.1656143759106001,-1.9993379237288,0.75437877701526,-1.7871811858231001,7.2518286311389994,0.035930884540565006,0.62607283692879,-0.19405348346235,-0.30867982372102004,-0.010734472752889,0.011121076233183997,-0.040077196145827,0.27166541070083,0.0049303322615219,-0.54357021996616,0.7510638297872301,0.021584125224029,-0.53698763036624,0.007905138339921,0.078679540709812,0.034033149171270996
1995-12-31,0.015533486121721,0.0023820326678765,0.06105966331169901,4.7096774193548,0.5007287663972401,0.46421064922933003,0.37737569254506,0.22179308598201997,0.0034242792444492,-0.12111269614836,-0.20006548788473996,-0.31873614190687,-0.023075227615673,-0.11406776654249001,-0.046872019136227995,0.13226666666667,0.015998293515358,0.13762743280816,-0.14540299716483998,0.024548472188916003,-0.8360398114195899,0.003921568627451,0.037800895125197,-0.059628125667878
1996-12-31,-0.0060180541624875,0.0007921240239899999,0.034668631889246,0.094504365690806,-0.5082553416916801,-0.5520156306072801,-0.53141547861507,-0.5403948800331699,0.0067013430206959,0.04171400746632,-0.54645927138764,-0.8889340927583399,0.034241582783756,-0.41359631557869003,-0.031286086005943,-0.021510441199560002,-0.0098677304220029,-0.78289205702648,-1.0890995260664,0.0053340888932689,2.8498402555910998,-0.021484375,-0.0346174019465,0.08613636363636401
1997-12-31,-0.010847628657920999,0.00045228403437374003,0.044669203687499,0.37259502580947995,-1.0379746835443,-1.0782376502003002,-1.0061936325111,-1.2666591498478,-0.014639347175331002,-0.072608289186663,-0.5072202166065,-3.5732600732601,-0.0095648817814173,-0.20061464913778,-0.035856763672775,0.026315789473683997,-0.0019083969465650001,0.23452157598499,-9.7659574468085,0.0065924101508413,0.048132780082987,-0.013972055888224,-0.018231210383338,0.034944549068843
1998-12-31,0.014537107880642998,0.00067811934900525,0.053356449916235005,0.28136752136752,-12.316784869976,-5.1387940841866,-123.68421052632,-3.7771670190275,-0.030421151925424002,-0.10551075268817,-1.5378510378510002,1.4953736654804,0.010826288057198001,-0.43870140965398996,-0.031008390893655,0.10178236397749,-0.0055236881240705,-1.4057750759878,-1.7360436893203997,-0.0026781257988727,-0.64845605700713,0.016194331983806,0.06948287523827099,-0.17104731095835
1999-12-31,0.022373051784816002,0.00079060311723531,0.062619052022266,0.11099252934899001,-0.28786296218926,-0.50604727872457,-0.8485628485628499,-1.1143422655298,-0.08137921167465499,-0.44027047332832003,-0.10783200908058999,-0.066172276098117,-0.012805470818947,0.07800608828006099,-0.011364409663151002,0.035665294924554,-0.0061952574236274,-2.7303370786517,-2.0824402308326,0.004626069549721,-1.7927927927928,0.0099601593625498,0.019433105272236,-0.17890243902439001
2000-12-31,0.021883452176051005,0.0024827897528494,0.068287822621347,0.1352065321806,-0.50748019947199,0.1841958820256,0.8640226628895201,-3.1544607190412997,-0.16058996682604998,-0.82181208053691,3.5674300254452995,0.7498472816127099,-0.0037182926415159,-0.4666431344864099,-0.052003028634360994,0.06732130623430001,-0.0082760103181427,0.94588744588745,-0.25590251332826,0.0089908390639809,1.3153409090909,-0.0019723865877712,0.05137894083808,-0.16827565721075
