Date,ODA/ITA_LE_Value,ODA/ITA_LP_Value,ODA/ITA_PPPGDP_Value,ODA/ITA_BCA_NGDPD_Value,ODA/ITA_TX_RPCH_Value,ODA/ITA_TXG_RPCH_Value,ODA/ITA_TM_RPCH_Value,ODA/ITA_TMG_RPCH_Value,ODA/ITA_GGXWDG_NGDP_Value,ODA/ITA_GGXWDN_NGDP_Value,ODA/ITA_GGXCNL_NGDP_Value,ODA/ITA_GGXONLB_NGDP_Value,ODA/ITA_GGR_NGDP_Value,ODA/ITA_GGSB_NPGDP_Value,ODA/ITA_GGX_NGDP_Value,ODA/ITA_NGSD_NGDP_Value,ODA/ITA_PPPEX_Value,ODA/ITA_PCPIPCH_Value,ODA/ITA_PCPIEPCH_Value,ODA/ITA_PCPI_Value,ODA/ITA_PCPIE_Value,ODA/ITA_NGAP_NPGDP_Value,ODA/ITA_PPPSH_Value,ODA/ITA_NID_NGDP_Value,ODA/ITA_LUR_Value
1991-12-31,0.013518588058581001,0.00088192754083319,0.048113710796227005,0.30704521556257003,-1.2875473899096002,-0.8876532648987701,-0.81329179646937,-0.23185161496642,0.03536987725570501,0.032717198680992994,-0.0052645433008687,-0.72846237731734,0.096469960723464,-0.033148282243141,0.074444845468533,-0.045012285012285,0.041731066460587,-0.027052384675528,-0.38854871629606,0.062220414802765,0.05690555291884201,-0.21942857142857,-0.0075517661388552,-0.011188749336635,-0.038535211267606
1992-12-31,-0.0064838829195997,0.00051106724940088,0.031329278035517,0.074014481094127,-4.694726166328599,11.296954314721,2.9571746384872,-0.21586178184846,0.07272913571391999,0.07157208797176201,-0.089529857987122,-3.6405622489960003,0.055478164731896,-0.13056503287010002,0.026431172872246,-0.040187300607183,0.020771513353116,-0.19591771134682998,-0.1828882642305,0.050030627871363,0.04652207104046,-0.61737432894095,-0.09327442317133,-0.027863500156537,0.032227821399273
1993-12-31,-0.03202498601529,0.00086308632624662,0.015058828725678002,-1.4340823970036998,0.23153993961021,0.7576883384932901,-2.5734364019677,-3.8271834350942004,0.09861213261631599,0.09835301271980901,-0.033036233288122004,0.5893536121673001,0.028302677336909002,-0.16060490045942,0.017379471898307,0.068568058757304,0.01453488372093,-0.10113931641014999,-0.044506557729520994,0.04496332054778599,0.044439676750339996,-2.7831632653061003,-0.02896589063346,-0.1255980861244,0.11637148047229999
1994-12-31,-0.017914760414158,0.00036957516454896,0.04325192775167501,0.029335634167386,0.07288532263457001,0.44880225457961,-1.7189816882537,-2.141220657277,0.05418329464340099,0.051518423165296,-0.094379320709348,-0.26842105263157995,-0.037200774167261,-0.090535917901938,-0.046879761622592005,0.017208508930363,0.012893982808023,-0.07404936624416299,-0.092934293429343,0.041632937892532994,0.040316616909972,-0.53648068669528,-0.0089211039866184,0.0039987372408713,0.081358690125089
1995-12-31,-0.0075025744127888,5.2776947029414e-05,0.05032673395185701,0.8072087175188599,0.30694920535993,0.11655049440752,0.18710398807304998,-0.047144972848445,-0.0025897120800996,-0.05941975568660501,-0.17634694103329998,1.1151079136691,0.010516515372733,-0.0078986960882648,-0.01946817770041,0.12256473489519,0.028288543140028,0.29514889529299,0.41528156784917,0.0539305669074,0.057051838980597,-2.2654320987654,-0.0078762306610408,0.079761031338434,0.04862221386250401
1996-12-31,0.0043478260869566,0.0,0.029805029030674,0.41512059369202003,-0.89079637577492,-0.8180894308943101,-1.0706436420721999,-1.1554269924877,-0.0056641997767396,-0.0050195463748239,-0.06380120886501,0.16357452071738002,0.0090878633051344,-0.082901554404145,-0.0007427401677506599,-0.014543057996485,0.02888583218707,-0.26145002781383,-0.49798422436459006,0.039843372574944996,0.028642590286426003,-0.39146341463415,-0.026084491068897004,-0.059503009124442,0.0
1997-12-31,0.0027548209366392,0.0005805157794743901,0.036100692173412996,-0.07112422156669901,2.8478893740902,0.59616919393456,-15.032592592593,-7.067222222222201,-0.023401247401247,-0.030391118029312998,-0.60860832137733,0.59340951368589,0.043037974683544006,-0.42717376326306,-0.03930384336475701,0.0064202594854876,0.0093582887700535,-0.52422796886769,-0.36592178770949996,0.018950508607198997,0.0181598062954,0.72344689378758,-0.022416302765647995,0.018629373516358995,0.0082511210762332
1998-12-31,0.0025019623233908,0.00043952952759376,0.025489769451212004,-0.35038814396613,-0.52449404198979,-0.375,-0.04866976351351401,-0.20327808808717002,-0.026465479069451,-0.026450165373977,0.07881231671554201,-0.19713142094729996,-0.025147222664332,-0.1375992302141,-0.019795440821255998,-0.038763124086298,0.014569536423841003,0.044854881266490995,-0.083149779735683,0.019797941014134998,0.016646848989299,-0.13023255813953,-0.009827278141751,0.0059780130705709,0.0080946450809464
1999-12-31,0.012576461952531998,8.7867285252275e-05,0.030036250647332993,-0.44758283541553995,-1.4252187748607998,-0.98,-0.4961713461325,-0.29663257096885,-0.010697292001959,-0.037440273376577994,-0.32449881073734005,-0.09929372663066101,-0.00010204081632658,-0.33584379358438,-0.018481797354792998,-0.013319199926261,0.0026109660574413,-0.16313131313131,0.26426426426426003,0.016566265060241,0.021052631578946997,-0.16711229946524,-0.020150375939849998,0.026942639875107,-0.034501014735727996
2000-12-31,0.018751208196404,0.00026357869581262,0.06012109730200701,-1.1966568338249999,-11.887745556594998,239.0,1.1431718061673999,0.99722222222222,-0.039998231731577,-0.038401205391235996,-0.54175050301811,0.18634686346863003,-0.017797734462700002,0.4246115077698401,-0.038228429084205005,-0.036666822364426005,-0.0026041666666667,0.5540132770066399,0.30593824228029,0.025752314814815,0.027491408934707997,2.9454253611557,-0.011356660527931002,0.021233817183209002,-0.07695119722171499
