Date,ODA/TZA_LE_Value,ODA/TZA_LP_Value,ODA/TZA_PPPGDP_Value,ODA/TZA_BCA_NGDPD_Value,ODA/TZA_TX_RPCH_Value,ODA/TZA_TXG_RPCH_Value,ODA/TZA_TM_RPCH_Value,ODA/TZA_TMG_RPCH_Value,ODA/TZA_GGXWDG_NGDP_Value,ODA/TZA_GGXCNL_NGDP_Value,ODA/TZA_GGXONLB_NGDP_Value,ODA/TZA_GGR_NGDP_Value,ODA/TZA_GGX_NGDP_Value,ODA/TZA_NGSD_NGDP_Value,ODA/TZA_PPPEX_Value,ODA/TZA_PCPIPCH_Value,ODA/TZA_PCPIEPCH_Value,ODA/TZA_PCPI_Value,ODA/TZA_PCPIE_Value,ODA/TZA_PPPSH_Value,ODA/TZA_NID_NGDP_Value
1991-12-31,,0.031710944093887,0.05468703204552299,-0.011856091578087,-2.4538961038961,-2.3017441860464998,-3.4019999999999997,0.00083333333333343,,,,,,0.0093274637144226,0.23985035085207002,0.24266465738853,1.0274914089346998,0.28039804510392996,0.37756456673908,0.0,0.0085836909871245
1992-12-31,,0.03139851967277,0.028793730122671002,0.037029375258585,-2.7757927646271003,-2.7757927646271003,-1.0341382181515,-1.0341382181515,,-9.2003058103976,-2.0869397217928998,-0.14537031240217999,0.24126901233762,0.037094615019217,0.22582042360279,-0.21764097442665,-0.45084745762712003,0.2193607725914,0.20736782163038,-0.095238095238095,0.034204660587639
1993-12-31,,0.031009215893640002,0.036157880209771,0.48593656493118,-1.2553319919517,-1.2553319919517,-113.96341463415001,-113.96341463415001,,-0.59201939213127,-1.1628154994668,0.13991648963446,-0.06657901656586901,-0.076782145236509,0.21569066239517998,0.076772281741509,0.25906635802469,0.23616820667546998,0.26107462903167,-0.017543859649123,-0.077314941808065
1994-12-31,,0.030406271751473996,0.037240277037826,0.68975701436434,-2.4172576832151003,-2.4172576832151003,-0.5389722552089,-0.5389722552089,,0.8473491773309,-2.2729257641921,-0.095238095238095,0.020958927263508,-0.58596427927115,0.28437176046581,0.57271688047758,0.45442010111842995,0.37144949202183997,0.37972899105268004,0.0,-0.018899176080862997
1995-12-31,,0.029615671774452002,0.057321896348040004,-0.10002383411456,3.7175423964415,3.7175423964415,-1.9208523592085,-1.9208523592085,,-0.4334487877288499,-2.7409948542023996,0.033951274948505,-0.07030517079631401,-0.33257080610022,0.24269625628917998,-0.35473536854574,-0.29498051195618,0.23970012457732998,0.26769256432712,-0.017857142857143002,-0.19717761135882
1996-12-31,,0.028383977900552,0.064512994899198,-0.82247528248588,-0.42430314102186,-0.42430314102186,-2.1825810553083,-2.1825810553083,,-1.7419213973799,3.2423645320197005,0.11059971147900999,-0.14121208523773002,1.0661008650237,0.17175236580613001,-0.14489549000792998,-0.41929700048560004,0.20496348269241002,0.15547075465491,0.018181818181818,-0.15884826916855
1997-12-31,,0.02716405882748,0.05298224798065099,1.3470909995027,-1.5629542430136,-1.5629542430136,-0.9204386625094101,-0.9204386625094101,,-1.0170688640377,-0.49953553181607,-0.14350219583101,-0.040987005805917,-0.33817837111935994,0.18687512303276996,-0.24653590944575002,-0.01241476907243,0.15443267956336,0.15352750256235,-0.017857142857143002,-0.10602564102564
1998-12-31,,0.028014775587591,0.048366126376008,1.0781779661017,0.31448313483044,0.31448313483044,-46.58918918918899,-46.58918918918899,,-6.586206896551699,-0.21670533642691,0.013504730266484,-0.00021621621621621998,-0.46741465743614,0.12872306993959,-0.14776921582594,-0.26659284830326,0.13160644487158,0.11259610282230999,0.018181818181818,0.08848415316219699
1999-12-31,,0.0095395573645383,0.051136833402232004,-0.10001019471914001,0.28074422465071003,0.28074422465071003,-0.6891451268674399,-0.6891451268674399,,-9.537037037036999,-0.78258293838863,0.0056291862619352,0.11707035755478999,0.09143881667413699,0.09840528375431201,-0.31646531418585,-0.38170515097691,0.08995565486029598,0.069622991004581,0.0,-0.04071146245059299
2000-12-31,,0.033828902608037996,0.073189916230778,-0.47507929315812997,-2.4825835718528997,-2.4825835718528997,-1.2840659864594,-1.2840659864594,,-0.3586406362979,0.84468664850136,-0.0024091263374193,-0.034202374806402,1.6837782340862,0.051789813132807,-0.48988439306358,-0.46883079574834996,0.045893820859305996,0.036978658979198,0.0,0.15478643043538
2001-12-31,,0.024709036621778,0.08413954851949601,-0.13681484678463998,-0.065894437766364,-0.065894437766364,0.8593487747566301,0.8593487747566301,,-0.43291995490416996,0.28064992614476003,0.031820441792741,0.0042763597487639,0.13886763580719,0.029592017753202002,0.12159511876225998,0.31260140616549,0.05147,0.04854,0.035714285714286004,0.037523786869647996
2002-12-31,,0.024113222133023998,0.08808815575987,-0.597,0.15707377944158,0.15707377944158,-2.0527170969489,-2.0527170969489,-0.066953207363555,0.7534791252485099,-0.79815455594002,0.07689130584428999,0.09960079840319401,0.090762512596574,0.054797726947634004,-0.1150184573538,-0.092707045735476,0.045555270240711,0.044042192000305,0.051724137931034,-0.014730326130567
2003-12-31,,0.030426199047729,0.090183286735011,-0.14826302729529,-0.39421002965759,-0.39421002965759,-0.17338363916995,-0.17338363916995,-0.063239869974099,1.4433106575963999,-8.4,0.054845308105344,0.12888001452169,0.07908351810790801,0.063295937865993,-0.027661909989023,0.036103542234332,0.044289001882897,0.045628105817013,0.016393442622950997,0.11500872600348999
