Date,ODA/MWI_LE_Value,ODA/MWI_LP_Value,ODA/MWI_PPPGDP_Value,ODA/MWI_BCA_NGDPD_Value,ODA/MWI_TX_RPCH_Value,ODA/MWI_TXG_RPCH_Value,ODA/MWI_TM_RPCH_Value,ODA/MWI_TMG_RPCH_Value,ODA/MWI_GGXWDG_NGDP_Value,ODA/MWI_GGXWDN_NGDP_Value,ODA/MWI_GGXCNL_NGDP_Value,ODA/MWI_GGXONLB_NGDP_Value,ODA/MWI_GGR_NGDP_Value,ODA/MWI_GGX_NGDP_Value,ODA/MWI_NGSD_NGDP_Value,ODA/MWI_PPPEX_Value,ODA/MWI_PCPIPCH_Value,ODA/MWI_PCPIEPCH_Value,ODA/MWI_PCPI_Value,ODA/MWI_PCPIE_Value,ODA/MWI_PPPSH_Value,ODA/MWI_NID_NGDP_Value
1991-12-31,,0.02350831756151,0.1235509456986,0.89678649237473,-0.7856311925869499,-0.7753614894509899,-1.1493902439023997,1.8462713936430002,,,,,,,-0.21394301960552,0.16458333333332997,-0.30614826684659,-0.6815517241379301,0.08217558380136,0.073841866945315,0.083333333333333,-0.015519338360496
1992-12-31,,0.012165450121655002,-0.05213141460765701,0.7933955491744399,-1.5432260479042,-1.1436820652173998,-34.936507936508,0.55299044346612,,,,,,,-0.4390776881923,0.10793082886106,1.8243588185244,3.8849485652409,0.23245015023218,0.36101200129744,-0.15384615384615,-0.014874481122752
1993-12-31,,0.0058653846153846,0.12288742480665,-0.2934112561044,0.7585256631071299,4.6182033096927,-1.5199118000801999,-2.0559358362719,,,,,,,-0.14750134336378,0.2518837459634,-0.019839903597865003,-0.49268495428096004,0.22772606382979002,0.18303145853194003,0.09090909090909101,-0.23897667419112
1994-12-31,,0.0068827071981645,-0.083928571428571,1.7131203263086001,-3.015083251714,-3.0048390490217,-2.4093304202545,-2.6800026191722996,,,,,,,-0.25716987078475,0.25494411006019,0.52180021953897,2.6028729040362997,0.34660167885188,0.6597502014504399,-0.16666666666667002,0.88913057807659
1995-12-31,,0.012626981866515,0.16207184628237,-0.57237116846237,-1.0298434917857,-0.81792423129394,-2.0198796279409,-1.5131153291498998,,,,,,,0.51718285956725,0.75368276807126,1.3990305548342,0.13620859546728997,0.83149004624975,0.7494841606991101,0.1,-0.39316120027913004
1996-12-31,,0.019688730545659,0.11981787682722,-0.25849609375,-56.045602605862996,7.9988472622478,-1.8678469241773998,-3.6776300797569,,,,,,,-0.33808724832215004,0.45985544051573,-0.5461947370953,-0.9106070713809201,0.37732396428049,0.066983488275288,0.09090909090909101,-0.29122585096596004
1997-12-31,,0.025009194556822004,0.08410014979670402,0.49506124061636003,-0.74258831883543,-0.71062576058413,1.3642077065733,-0.33420328501318997,,,,,,,-0.94782425010562,0.15683125919979002,-0.75785121776694,1.2626865671642,0.09138013498432301,0.15159790630385,0.0,-0.059057353776263
1998-12-31,,0.027807678507356,0.021515988945914,-0.9620331219168399,4.6089655172414,4.2833111996459,-1.8408506558592002,-1.8828717511717001,,,,,,,51.76923076923101,0.21584731058415,2.2591660282368,2.505672823219,0.29778686728508,0.53147761278302,0.0,0.16087593758083
1999-12-31,,0.027578984115901,0.05120772946859901,18.273781902552,-1.6790442231239,-1.8648512777544999,-1.7426794506349,-1.7406495825491002,,,,,,,-0.51334970078257,0.36923223289886997,0.50303905436717,-0.46880292025740006,0.44758367101906,0.282296121516,0.0,0.08800594132937198
2000-12-31,,0.025140139289961002,0.030698529411765003,-0.36788250872758,-0.59240704973443,-0.6815539624103901,-2.5128401953943,-2.3884146738776,,,,,,,0.31073624467917,0.28647859922179,-0.33874751446636,0.25553469590167,0.29597470257381,0.35444639314568,0.0,-0.074061433447099
2001-12-31,,0.022618061309031,-0.019618334225076,0.29346791087412,-2.6182437435213997,-2.4531487678733996,-1.6305641404123998,-1.5818941242726001,,,,,,,-0.15720471493866,0.21760734539563,-0.23303037470014,-0.37590633375652,0.22699999999999998,0.22121038442760002,-0.083333333333333,0.017250276446738
2002-12-31,,0.038078262983067004,0.032563216299799996,0.26442873969376,10.959278916545,8.755783523500499,1.0896122896854,0.7098153076861,,,,,,,0.07735122020836299,0.5971877217885,-0.35017621145374,0.27842321775688,0.14751426242869,0.28280896923344,0.0,0.16943256757735997
2003-12-31,,0.022243034418168998,0.07646229739253,0.36562645551933,-0.7299967097963901,-0.44681695762739004,-0.26959565902328,0.25051886792453,0.11708542020227,,-0.38440663813797993,-1.2500889996439999,0.39886934673367,0.12187649946481001,-0.28798516359783,0.073874524398034,-0.35001016880212,-0.65261669024045,0.09588068181818199,0.09823848238482401,0.0,0.059862427960588
2004-12-31,,0.021911742250724998,0.08412438625204599,-0.047237380627558,-0.88315810355088,-0.9678207739307501,-0.46462806748466,-0.47727358454981,-0.13764929659227,,0.03814852492370299,0.08185053380782902,0.13426133812304,0.11557822010199001,0.30976744186046995,0.11609382677735999,0.19639132248644,0.39403501628665,0.11471160077771,0.13695249845774002,0.0,0.06501783312869099
2005-12-31,,0.020097123645872,0.058725845410628,0.06908895650617501,-0.36720834343924,4.0301386377336,0.44279319606087997,-0.55830567181411,0.011014272721412999,,-0.5890903152049599,1.2980263157895,0.15511408623048,0.020762062050253997,0.52542613636364,0.077972935397164,0.34312614418970006,0.20927345746623002,0.15406976744186,0.16561041779707,0.0,0.24540214109251
