Date,ODA/LBN_LE_Value,ODA/LBN_LP_Value,ODA/LBN_PPPGDP_Value,ODA/LBN_BCA_NGDPD_Value,ODA/LBN_TX_RPCH_Value,ODA/LBN_TXG_RPCH_Value,ODA/LBN_TM_RPCH_Value,ODA/LBN_TMG_RPCH_Value,ODA/LBN_GGXWDG_NGDP_Value,ODA/LBN_GGXWDN_NGDP_Value,ODA/LBN_GGXCNL_NGDP_Value,ODA/LBN_GGXONLB_NGDP_Value,ODA/LBN_GGR_NGDP_Value,ODA/LBN_GGSB_NPGDP_Value,ODA/LBN_GGX_NGDP_Value,ODA/LBN_NGSD_NGDP_Value,ODA/LBN_PPPEX_Value,ODA/LBN_PCPIPCH_Value,ODA/LBN_PCPIEPCH_Value,ODA/LBN_PCPI_Value,ODA/LBN_PCPIE_Value,ODA/LBN_PPPSH_Value,ODA/LBN_NID_NGDP_Value
1991-12-31,,0.018128005919349,0.42800538869958,0.46570845074064,0.20621118012422,0.16190476190476,0.43425925925926,0.43591370558375997,,,,,,,,0.08542487338210498,0.46657499200512,-0.27264150943396,-0.5563412260785,0.50113628985131,0.34190659655334005,0.33333333333333,0.08542487338210498
1992-12-31,,0.025436046511628,0.068756936736959,-0.12065681329147,0.031925849639547005,0.054098360655738004,0.098127824402841,0.098983650022095,,,,,,,,0.85669846536707,1.1509644612493002,0.9923575775715899,2.218219037871,0.9985293481551999,1.1005276635369,-0.0625,0.85669846536707
1993-12-31,,0.027994330262225,0.09548782387455199,-0.8775297350422199,0.094311377245509,0.015552099533437,0.19988242210464,0.11419380780056,,,,,,,,-0.35823187758293,0.26100232353501995,-0.75225094394423,-0.95812698210764,0.24735953597091,0.046066606328155,0.05,-0.18773036970848
1994-12-31,,0.025508445363668,0.10327993174708999,0.0098264002620374,-1.7792977656178999,-18.955589586524,-0.34002939735424,-0.6914471309996401,,,,,,,,0.14171344036897,0.057198075710997005,-0.6670978695880699,1.5627170138889,0.08234865441674001,0.11809369095757,0.04761904761904799,0.11402935817663001
1995-12-31,,0.019495798319328,0.08712462946256,0.56243918261434,-0.18607372732592,-1.0137313432836,3.7847067557534997,6.5333333333333,,,,,,,,-0.11166158536585001,0.083479083462354,0.24857316332726,-0.070116013210263,0.10280703441863,0.10980559372088,0.03030303030303,0.016601863852373
1996-12-31,,0.012528849324101999,0.059395376407824996,0.051380527299149,0.30697340043134,-64.037267080745,-2.0429790535299,-2.2369197329607,,,,,,,,-0.14032604032604,0.069088316088977,-0.13645205212994,-0.39468172297605003,0.08880393068961501,0.06646839513902701,0.0,-0.084264205925207
1997-12-31,,0.0071637902963204,0.12074753804833999,2.1585546450785,-9.126512651265099,1.4225046802641002,-9.688188039274,-1.7193422869336,,,,,,,,-1.0483058036828001,0.059254804851725,-0.12737920937042,0.012185948548217,0.07747560112682099,0.06727600240176099,0.058823529411765,0.028374436488994997
1998-12-31,,0.0067895247332686,0.05025794641371299,-0.076985590597943,-1.3240828482468998,-0.8738306353209101,-0.9362008150405798,-0.7220380387366999,,,,,,,,0.32128099173554,0.029634734665747998,-0.41288074341766,-0.13213436385256,0.045487212529737996,0.05839698951079599,0.013888888888889,-0.089414646725116
1999-12-31,,0.013808606294155,0.0071937886230391,-0.35245513037589,-5.5079365079365,-2.0541586073501,-2.3231347289318,-9.1519146264909,,,,,,,,-4.4722439405786,-0.0059181570406325,-0.94702132336777,-1.4617228977565,0.002405925925926,-0.02695551513147,-0.041095890410959,-0.16591150442478
2000-12-31,,0.024707000316756,0.034012963312567,-0.09172680681937,-0.99944403261675,-0.11681957186544001,-0.33245436105477,-0.80117049129832,,,,,,,,-0.60436838549876,-0.041839641149599996,-2.4771784232365,-0.40244807121661996,-0.0035470216841259,-0.016109060891522,-0.028571428571429,-0.18834613589102
2001-12-31,,0.038021638330757,0.062684477984359,0.11855135882082,764.33333333333,8.269390581717499,-6.1154664235795,-9.390782339271901,0.10134422953198,0.11006926020052,-0.12189960213324001,-0.39997327275156996,-0.052871467639016,-0.23319195397472,-0.091472501478415,0.90096755833808,-0.040054398450959,0.030898876404494,-0.9596523898199899,-0.0036783027599136,-0.00065392540315132,0.014705882352941001,0.19037908496732
2002-12-31,,0.047051816557475,0.049852532714830006,-0.25984454625006004,0.57513066202091,0.16469929025028,-1.220493020493,-1.6942995615046998,0.00021129430188979,-0.020982055813778,-0.23006844692953002,-1.0893095768374002,0.15037083168204998,-0.14299014238773,-0.055092689023120006,0.0065868263473055,0.033509851114142,-5.7929155313351,-58.461538461538,0.017590034298779998,0.037347523334486,0.0,-0.22072388649741
2003-12-31,,0.049488054607509005,0.037284529783984,-0.061687182696989,-0.97428452924098,-0.049873312165239006,-0.42429956896552,-0.9209546602845401,0.050221501488067005,0.068246208008634,-0.13723157828836,6.0324189526185,0.09050642256016499,0.17304620103521,-0.0096991072412654,0.95746579417014,-0.0027428184147196,-0.27913587265492,-0.40803212851406,0.012686523494646003,0.022113519239238,-0.028985507246377003,0.13144693083817
2004-12-31,,0.044444444444444,0.079461491940785,0.17840201600949002,18.521505376344,-0.6987240075614398,-5.3462798315394995,-15.649285113541,0.01273738389635,-0.0036925667548713,-0.27966040200276004,-0.11879432624113001,0.069275205343443,-0.20847633055509998,-0.06455203116305,0.08706883452362901,-0.016904571503029,0.3186119873817,-0.10538218000905,0.016711160420206,0.019772004797446997,0.0,0.14845812783341
2005-12-31,,0.034509600415153004,0.060044332935474,-0.13541732184414,-0.8675296061690999,-0.29277310924370004,-1.9285099052541,-1.4599839246756001,0.055589632148051994,0.040684268347155994,-0.12783318223028,-0.20764587525151,-0.026041446840839,-0.020509291121817,-0.05609756097561,0.17934022924238,-0.041830989392819,-1.4294258373206001,-0.7386248736097099,-0.0071724921852799,0.0051725909770831,-0.014925373134328,-0.037782501192903
2006-12-31,,0.023325808878856002,0.047198860241739006,-0.47206460061109007,12.329521829522,3.2179974651457997,-1.6553803339518,-1.5359460808787,0.024842417500927,0.045201443105227994,0.23377223377223,0.34636871508379996,0.11912809845727,0.29068296795953,0.15040650406504003,0.43356643356643,-0.022175781583740003,-8.7576601671309,12.949709864603,0.055687854918483,0.072123139838691,-0.045454545454545005,-0.12758092146786001
2007-12-31,,0.014705882352941001,0.12312384797683,-0.0028937577511368,-0.35358340481947,-0.419921875,1.2264685067233,2.9250116441546,-0.076489837354472,-0.083330096171455,0.033514323160457,-0.34703885326292,-0.050842207163600994,0.027328651532473002,-0.026159366696797994,0.40694501860272997,0.0039485235684001,-0.27163375224417,-0.17415418746534,0.04057131702238401,0.059557740599074004,0.04761904761904799,0.25325547747003
2008-12-31,,0.011111111111111,0.1124006017623,0.53952459922609,2.2731330679212998,-0.086052836052836,0.66091862682772,0.15628337486649999,-0.04637387953667,-0.084857400579963,-0.09836956521739099,-0.13287117273252,0.0081592689295039,-0.07800328546446901,-0.024921242124212997,-0.039019803725686,0.054604656046062995,1.651713088489,0.067998656816655,0.10758840634087,0.06361,0.060606060606060996,0.13359172061188002
2009-12-31,,0.014572384137602,0.1113706617957,0.12648114901257002,-0.54406398584645,-1.5038611406305,-0.42050619587579996,-0.48804392446634004,-0.10746081966007,-0.12598732519216999,-0.18053044002410998,0.8580946035976,-0.022094528973778,-0.066555549169493,-0.067587838227658,-0.16186632422185998,0.096634411968515,-0.8878973786949201,-0.46360635120264,0.012063384522734,0.034119649119508,0.1,-0.045066016804277
2010-12-31,,0.022133270543912998,0.093193419409896,0.060004781257470996,-1.009135004042,-1.8347862767154,-0.68485799207398,-0.46857772877619,-0.049290356264511996,-0.023440633964320997,-0.07429201912467799,-0.012549300824668002,-0.08263676239344502,-0.15202265870328,-0.08053089131578099,-0.18167226032395,-0.010548583687501,3.2006633499171,0.9668815943728,0.050653625155735994,0.067106100554596,0.025974025974026,-0.066123257408395
2011-12-31,,0.0096751900483759,0.041055888050423,-0.035483385956999,91.75221238938101,-3.2565268654202004,-3.4364684307047004,-1.6088268577895,-0.032617728031447,-0.0058748759920636,-0.21573301549464002,0.25417574437182,0.027966980919302005,-0.019169329073483,-0.033950201884252997,0.25731098430813,0.012848542210171001,0.42301618634030996,-0.19177469825659,0.07208721969522701,0.054246790092952996,-0.012658227848101002,0.09845827555265499
2012-12-31,,0.0095824777549623,0.04340822617824299,-0.0077942322681216,-1.4226695925961,-1.24042696126,-1.4311827956988998,-3.4138785625773997,0.0029131217460803,-0.011780206757831,0.4591354272205301,-1.0587724377533,-0.020185177059107,0.38406870002960997,0.078715474905089,-0.13990923273295003,0.027354449299512,-0.18712720210848,0.16316371681416,0.058606002575362,0.06309298679467899,-0.012820512820513002,-0.076971632259023
2013-12-31,,0.0094915254237288,0.030117114719191002,0.011547525530244001,-0.82483069977427,-2.2014902204284,-0.51047381546135,-0.80056468172485,0.0501537980293,0.035888130645734005,0.063302858465455,2.743842364532,-0.063012226252855,-0.20699614890885998,-0.027800200187272,-0.032978811113858995,0.017228657348108998,-0.45477815699659,-0.7324457124742401,0.03194591728526,0.016868752138052,-0.012987012987013,-0.010177400539040002
2014-12-31,,0.0096261473024402,0.034546464607315,-0.011959307292071002,5.7744845360825,-2.0087855297158,1.3703515028018,1.7181467181467,0.027446613853802,0.033350088344605004,0.20994775794515,2.1894736842105003,-0.0037281330656725,-0.064413867530015,0.061474593158419,0.0018756927274278,0.0198087104493,0.10985915492958,1.6984597156398,0.035460349843213,0.045550372297479005,-0.013157894736841999,-0.0054051857270585
2015-12-31,,0.0097560975609757,0.043945202742360995,-0.033482669181797,0.16454251474224998,0.30763319672131,0.07865892972276,-0.021070075757576,0.017553547638934,0.023156917226182003,0.079607807861833,0.076732673267327,0.048215313759355005,0.079446326869007,0.059134570257501,-0.014381754744277001,0.024831293043479998,0.13564579808235,-0.23161361141603,0.040273500780805,0.035000035750803,-0.013333333333333,-0.02427164630409
2016-12-31,,0.0094422485726834,0.059584190631131,-0.025372041961453998,-0.14096700424698,0.13418217433888002,-0.081291093843395,-0.12841596130592,0.01153214755722,0.016387538267603,-0.036077320446592,-0.29080459770115,-0.0007780676461165,0.042008949442329004,-0.013293551150631001,0.082455534450009,0.011473694204333001,-0.25502855723864,-0.28571428571429,0.030002034274009996,0.025001381673482998,0.0,0.026927425771598002
2017-12-31,,0.0097889928214052,0.061370333156463,-0.03871506049228201,0.04012169613995,-0.046113989637306,-0.077206679679028,0.056603773584906,0.014217310245852,0.018483345145287,-0.033105713544818,-0.38411669367909,0.0042139978013924,-0.012562491988207,-0.0087422532259514,0.090372497407673,0.0031687257450066,-0.16666666666667002,0.0,0.025001021561763998,0.024998146538069997,0.0,0.027281624663567004
2018-12-31,,0.0094786729857819,0.061991426717581,-0.035587188612099994,-0.05246800731261401,0.016657613615788998,-0.033372502937720004,0.017594537815126,0.013574989750982001,0.017438138447406996,-0.0028607187555873,-0.28684210526316,0.0088487502280605,-0.016876541607166,0.0049231326829562,0.073372348207754,0.0019165247018739996,0.0,0.0,0.024995847314042998,0.025,0.0,0.023500456512247
2019-12-31,,0.0096030729833547,0.061477749621898996,-0.058950589505895,0.033957167663515,-0.06375779162956399,0.058594699732555,0.033290322580645,0.01475010927215,0.018370333894155,0.03030303030303,-0.04797047970479701,-0.00058775657835239,0.0036973458338835,0.0097679730704497,0.087098752811286,0.0024409879882781,0.0,0.0,0.025002106737021,0.024999679244557003,0.0,0.024201993561648996
