Date,ODA/RUS_LE_Value,ODA/RUS_LP_Value,ODA/RUS_PPPGDP_Value,ODA/RUS_BCA_NGDPD_Value,ODA/RUS_TX_RPCH_Value,ODA/RUS_TXG_RPCH_Value,ODA/RUS_TM_RPCH_Value,ODA/RUS_TMG_RPCH_Value,ODA/RUS_GGXWDG_NGDP_Value,ODA/RUS_GGXCNL_NGDP_Value,ODA/RUS_GGXONLB_NGDP_Value,ODA/RUS_GGR_NGDP_Value,ODA/RUS_GGSB_NPGDP_Value,ODA/RUS_GGX_NGDP_Value,ODA/RUS_NGSD_NGDP_Value,ODA/RUS_PPPEX_Value,ODA/RUS_PCPIPCH_Value,ODA/RUS_PCPIEPCH_Value,ODA/RUS_PCPI_Value,ODA/RUS_PCPIE_Value,ODA/RUS_PPPSH_Value,ODA/RUS_NID_NGDP_Value,ODA/RUS_LUR_Value
1991-12-31,,0.0040622884224782,,,,,,,,,,,,,,,,,,,,0.19992478139592998,
1992-12-31,,0.002022926500337,,,,,,,,,,,,,,,,,,,,-0.016820769994254,
1993-12-31,,-0.0013458950201883,-0.065280301922965,-2.0085592011412,,,,,,,,,,,-0.20261941448382,8.5833333333333,,,8.74749498998,8.3972222222222,-0.10557888422316,-0.20261941448382,0.10843120805369001
1994-12-31,,0.00067385444743931,-0.10841892121351,1.0035360678925,-3.3333333333332997,-3.3333333333332997,-2.0,-2.0,,,,,,,-0.028219223721472998,3.0,-0.64826633677177,-0.7438980831051301,3.0760690789473997,2.1508523007193,-0.15314106863403,-0.12257204730967998,0.3685903500473
1995-12-31,,-0.0013468013468013,-0.020999724490118,-0.21602541475467998,0.56448979591837,0.56448979591837,0.885,-0.13829787234042998,,,,,,,-0.05166620954470599,1.3869565217391002,-0.358097609497,-0.38958623895862,1.9747301523251999,1.3130277065483,-0.075237592397043,-0.034059842041312,0.17987004009401
1996-12-31,,0.0,-0.018485270451171,0.24673570463755,-0.11622749804330999,-0.36785807461518,-0.64868220554207,0.39691358024691,,,,,,,-0.022848053215718995,0.43260473588341997,-0.75823285444445,-0.83396801218583,0.47740644658087,0.21799205040154002,-0.071652868969455,-0.046346161405716,0.12561518631357002
1997-12-31,,-0.0033715441672286,0.031170192431226,-1.0072228241241998,-1.0115129151292,-1.2051176227817,0.63357429718876,0.030490499337163,,,,,,,-0.18765030152799,0.13159567705022,-0.69069163420049,-0.4954128440367,0.14767080210712,0.11000111000111,-0.027060270602706,-0.094105523495466,0.12627524463877
1998-12-31,,-0.0020297699594047,-0.043177945402899,-5.05,-16.923076923076998,-4.463782696177099,-2.6388042088701003,-2.3674957118353,,,,,,,-0.21624083435806,0.17303370786517003,0.87411119387824,6.6727272727272995,0.27675,0.8440000000000001,-0.07616940581542402,-0.22063975974883,0.098900083186986
1999-12-31,,-0.0040677966101695,0.079787242489253,154.12345679012,-4.4919484702093,-1.3755445832122999,0.64800480048005,0.85217936657259,,-0.51684686949962,-1.5990524133846997,-0.04837123184632299,-0.35617214043035,-0.13600658513641,0.5918995874251801,0.6987547892720299,2.0981752484192,-0.5675355450237,0.8574192285098899,0.365,0.027027027027027,-0.13416627744045,0.09353183615106402
2000-12-31,,-0.0040844111640571,0.12549496268616,0.43541583764425,-2.7668895549919,-7.191028615622599,-1.6020608796971003,-1.5333017302678,-0.3952414629218,-1.8662503252667,2.7637172516065003,0.09956223019395599,-1.6628554676048002,-0.1060783406375,0.34075561233802004,0.34564420637158,-0.75769167969023,-0.44657534246575,0.20776230676461,0.20200154148093,0.049633577614923,0.26055293324343,-0.18537035612645
