Date,ODA/BGR_LE_Value,ODA/BGR_LP_Value,ODA/BGR_PPPGDP_Value,ODA/BGR_BCA_NGDPD_Value,ODA/BGR_TX_RPCH_Value,ODA/BGR_TXG_RPCH_Value,ODA/BGR_TM_RPCH_Value,ODA/BGR_TMG_RPCH_Value,ODA/BGR_GGXWDG_NGDP_Value,ODA/BGR_GGXWDN_NGDP_Value,ODA/BGR_GGXCNL_NGDP_Value,ODA/BGR_GGXONLB_NGDP_Value,ODA/BGR_GGR_NGDP_Value,ODA/BGR_GGSB_NPGDP_Value,ODA/BGR_GGX_NGDP_Value,ODA/BGR_NGSD_NGDP_Value,ODA/BGR_PPPEX_Value,ODA/BGR_PCPIPCH_Value,ODA/BGR_PCPIEPCH_Value,ODA/BGR_PCPI_Value,ODA/BGR_PCPIE_Value,ODA/BGR_PPPSH_Value,ODA/BGR_NID_NGDP_Value,ODA/BGR_LUR_Value
1991-12-31,,-0.0090617114016977,-0.077849975324889,-0.54094108929233,-0.8705400782013699,-0.8705400782013699,-0.63329943773179,-0.63329943773179,,,,,,,,-0.42672865374541996,1.0,12.953974895397,61.616851923823994,3.3137254901961,40.142857142857,-0.12727272727273,-0.25518631078224,1.3379310344828002
1992-12-31,,-0.0099548558860978,-0.063387295782604,0.15308044121602998,-10.212836243511,-2.9348749410099,-2.6338390017127002,-1.3751733137591002,,,,,,,,-0.40982295830954,0.5,-0.75412293853073,-0.98028317488156,0.8181818181818199,0.79513888888889,-0.175,-0.11895152348428,0.9528023598820101
1993-12-31,,-0.010522623640828,-0.09523053725894802,4.6250583294447,-0.97694908308575,-0.85365853658537,-0.35751903157369,1.0,,,,,,,,-0.76533772014709,0.6666666666666701,-0.11214634146341,-0.19663543870253,0.73,0.63829787234043,-0.13636363636364,-0.2309086332746,0.1963746223565
1994-12-31,,-0.010161881129623001,-0.016138935181123998,-0.9835331204114599,-2.3333333333332997,-1.0,-1.1243152946661001,-1.9184782608696003,,,,,,,,2.1463917525773,1.0,0.31860886764463,0.9106583072100299,0.9595375722543399,1.2195985832349,-0.06432748538011701,-0.37491818300824997,-0.11300505050505001
1995-12-31,,-0.0095499582189328,0.0045110100739948,-0.51637279596977,-32.333333333333,,-7.5625,-1.7869822485207,,,,,,,,0.92857142857143,0.6,-0.353125,-0.73010664479081,0.62020648967552,0.32872340425532004,-0.05,0.64450261780105,-0.19074733096085
1996-12-31,,-0.0086778353621792,-0.063651531825766,-1.8072916666667,-0.8665957446808499,-1.2480620155039,-1.5428571428571,-1.6691729323308,,,,,,,,-0.31858647638464,1.125,0.98067632850242,8.4468085106383,1.2303140646336002,3.1084867894315,-0.11842105263158001,-0.47144221585482,-0.033597185576077
1997-12-31,,-0.007659574468085,-0.042311191992721,24.941935483871003,4.0988835725678,-4.125,-0.93859649122807,-1.5955056179775,,,,,,,,1.1053156477511001,9.382352941176501,7.627691056910599,0.76707207207207,10.612857142856999,5.4922537269804,-0.097014925373134,0.19853029755451002,0.27621041135784
1998-12-31,,-0.0069835824552806,0.05249406175772,-1.1171350410346002,-1.1462308414138,-1.25,-17.714285714286,2.0377358490566,,,,,,,,-0.23083846518238,0.22379603399432998,-0.98240586653298,-0.99704846633139,0.18670368873346002,0.016208914903196998,0.016528925619835,0.69273293798372,-0.11809170648221001
1999-12-31,,-0.004688463911166,0.038422477995937995,9.418259023354599,0.8796791443850299,1.32,-0.41880341880342,-0.52173913043478,,,,,,,,-0.3252448112336,0.020833333333333,-0.8621927052648499,3.2911782850092997,0.025737853006945,0.069561364643332,-0.008130081300813,0.063535419511905,0.11506428398156
2000-12-31,,0.01028883104004,0.077931721452504,0.10780517627879,-5.2600284495021,-3.5979310344827997,0.5652941176470601,0.52584415584416,,,,,,,,0.14494341000365,0.043083900226757,3.0097162844927996,0.6198964922369201,0.10316898866671001,0.11267605633803,0.0081967213114754,0.0038523812182457,0.31501087744743
