Date,ODA/CHN_LE_Value,ODA/CHN_LP_Value,ODA/CHN_PPPGDP_Value,ODA/CHN_BCA_NGDPD_Value,ODA/CHN_TX_RPCH_Value,ODA/CHN_TXG_RPCH_Value,ODA/CHN_TM_RPCH_Value,ODA/CHN_TMG_RPCH_Value,ODA/CHN_GGXWDG_NGDP_Value,ODA/CHN_GGXCNL_NGDP_Value,ODA/CHN_GGXONLB_NGDP_Value,ODA/CHN_GGR_NGDP_Value,ODA/CHN_GGSB_NPGDP_Value,ODA/CHN_GGX_NGDP_Value,ODA/CHN_NGSD_NGDP_Value,ODA/CHN_PPPEX_Value,ODA/CHN_PCPIPCH_Value,ODA/CHN_PCPIEPCH_Value,ODA/CHN_PCPI_Value,ODA/CHN_PCPIE_Value,ODA/CHN_PPPSH_Value,ODA/CHN_NID_NGDP_Value,ODA/CHN_LUR_Value
1991-12-31,,0.013032107965328998,0.12834623516183,0.055302537410540004,-8.4177897574124,-7.1191919191919,-2.3011119081779,-2.3060405595922,0.06908462867012101,0.44255319148935995,0.40670859538784004,-0.1136125043742,,-0.091647526749202,0.0036999841429251,0.034404963338974,0.096774193548387,0.046511627906977,0.033986474770244,0.04497739829231501,0.06831996109895401,-0.00065955494379454,-0.08
1992-12-31,,0.011638448322009,0.168034800717,-0.595869297164,-0.09697997416020698,-0.14163090128755,0.65017229496899,0.17420908411525,-0.32942918686053,0.18584070796459998,0.029806259314456,-0.12383208316884,,-0.10440949737897,-0.0027910895781769,0.04525627044711,0.8823529411764699,0.95555555555556,0.064013799381903,0.08800557544880001,0.026854802002731003,0.049987087147407995,0.0
1993-12-31,,0.011487484104429,0.16711980140877,-2.4805491990847,-0.8357328087275301,-0.8716826923076899,0.07893417975275599,0.40064351884591,0.3477213410961699,-0.28524046434494,-0.13169319826339002,-0.08613697807149301,,-0.10267180829087,0.07454055766793401,0.14814814814815,1.296875,1.1363636363636,0.14698399117376001,0.18801493163695998,0.11679964539007001,0.1628815829029,0.1304347826087
1994-12-31,,0.011247331606436001,0.15507277461021,-1.7053065430191001,7.739793140990701,10.367553390783,-0.7687027431550201,-0.8480296872238899,-0.08580366453150601,0.88979118329466,1.1616666666667,-0.1461089654039,,-0.07758422223927601,0.027644673792848996,0.17673784643344,0.6394557823129301,0.3563829787234,0.24100429909110996,0.25499674630473,0.09704306410002,-0.048059975088717004,0.076923076923077
1995-12-31,,0.010604922820192,0.13246232762777999,-0.83783783783784,-0.6479601370289599,-0.5947264337508199,0.2743501059913,0.022757475083057005,2.4019879419912002,-0.43523634131369004,-0.6723207401696201,-0.049754595322875995,,-0.10199667221298,-0.031468197034912,0.11158301158301,-0.29045643153527,-0.60392156862745,0.17099560251826998,0.10099259259259001,0.069645441389291,-0.0053325433269146,0.035714285714286004
1996-12-31,,0.010468869973001999,0.12007558867482002,2.8108108108107994,0.5352087756546401,0.52025048796357,0.26711609175276,2.2626279031996,-0.010058434715969001,-0.22391304347826,-0.56470588235294,0.011646749037877,-0.21800165152766002,-0.0084306095979249,-0.021701560339718998,0.047585967349774,-0.51461988304094,-0.30693069306931,0.08300913167990501,0.06999744338442099,0.059529849484187,-0.036659220650285006,0.03448275862069
1997-12-31,,0.010107117469707,0.11171433323261999,3.8427895981087,0.85063962198917,0.72963141282833,-0.21156636495543,-0.5851254480286701,-0.032755951228953,-0.0014005602240896,-1.0648648648649,0.06056662328561401,-0.10559662090813,0.056526207605344,0.029577287066246002,-0.0096153846153846,-0.66265060240964,-0.94285714285714,0.028001945792224,0.0039990442535746,0.04884277733439701,-0.054466287068766,0.03333333333333299
1998-12-31,,0.0091809166356591,0.089697281824071,-0.2650720039053,-0.56236766720638,-0.5778176419646199,-0.059328717903777,0.5013198944084499,0.82151968385774,0.49509116409537,-19.583333333333,0.07730791013781402,0.08972845336481698,0.10355500530598,-0.039169546780401,-0.027452293270840002,-1.2857142857143,-3.5,-0.008007959426339,-0.0099953655573231,0.052199056460204,-0.013924085124935,0.0
1999-12-31,,0.0082157084345268,0.092467159311952,-0.36300232480903,-0.21181074350765,-0.37941391941392,0.27790199366498997,0.050911125319693,0.016092711594441998,1.1538461538462,6.367713004484299,0.10041181109261,1.044420368364,0.19039987178460002,-0.028572157452996,-0.036144578313253004,0.75,-0.0,-0.013992514493994,-0.0099950657270462,0.039195834538617004,-0.00074610368077819,0.0
2000-12-31,,0.007608159890608,0.10866399826216999,-0.10688216892596,0.93401335981224,2.0199504190769,0.6085149814099301,1.1379572591071998,0.011945945945946002,0.25261324041812,0.30006086427267,0.08010191894259101,0.16746157922629,0.1067653988556,-0.028414611728249002,-0.0225,-1.2857142857143,-2.5,0.0039943434142953,0.014990606908715,0.033959638135003994,-0.024252647880313002,0.0
2001-12-31,,0.0069747441673307,0.10768203220916,-0.22883829538821002,-0.47472578763127,-0.53955906496756,-0.36194706308920005,-0.47502845759818,0.00819934832541,-0.086230876216968,-0.11282771535581,0.10792480648728,-0.24648206990468,0.073961437868743,0.021650404086818002,-0.0032882718304713,0.75,-1.2,0.0070055352377186,-0.0029966508020448,0.057746668461435,0.033783017798436,0.16129032258065001
2002-12-31,,0.0064719847681133,0.10774867532785,0.8425435276305799,0.85240803269948,0.95653281263265,0.60349481460435,0.5853096625559,-0.00013245383983688,0.10502283105023,0.2353562005277,0.04404817353117299,0.071084337349398,0.053123407147307,0.06497698290914901,-0.0025659824046921,-2.1428571428571,0.33333333333333,-0.0079997055323117,-0.00400333400687,0.059938915754645,0.036873560697445,0.11111111111111001
2003-12-31,,0.0060255502012409,0.12203568069687999,0.071487263763352,-0.11838633856189999,0.066779484509242,-0.038362718171348,0.17802188408275002,-0.015446163628656001,-0.17217630853994,-0.27466894489534,0.013001083423619001,-0.25196850393701004,-0.015918257596128,0.082451433397923,0.010657846380006998,-2.5,-9.0,0.011997377892667,0.032003245971065,0.05582903109617,0.08310198038127001,0.075
2004-12-31,,0.0058888622346724,0.13127651574014998,0.35927914110429,0.020621361336307997,-0.24998983119788,-0.097567716970702,-0.27629621566707,-0.053792954979683005,-0.369384359401,-0.38515901060071,0.031770997168921,-0.63157894736842,-0.020984753265206005,0.067587726344296,0.041454545454545,2.25,-0.25,0.038999767785776004,0.024007568404369,0.045826700022743,0.049043062200957,-0.023255813953488
2005-12-31,,0.0059082376834783,0.14880853244507,0.6327221438646,0.24938692824395,0.38792776180921,-0.35094435936702006,-0.35405595106788,-0.038336840907797994,-0.074538258575198,-0.07279693486589998,0.029695121951220003,0.063265306122449,0.020932179737650002,0.017412614471817002,0.013617318435754,-0.53846153846154,-0.33333333333333,0.017997459182233003,0.015993760873478,0.062194193758835004,-0.033323249482232996,0.0
2006-12-31,,0.0052923001621341,0.16138775742853,0.43400138217001,-0.0012374125277351,-0.09217724288840301,0.15619347227684,0.12247749146228,-0.06861063464837,-0.1960085531005,-0.28719008264463,0.0040267661514773,0.21880998080614,-0.011372334609076001,0.05725997295469901,0.023079572855667002,-0.16666666666667002,0.75,0.014998497839199,0.028000188951085,0.068789026512437,0.0047182301822297,-0.023809523809523996
