Date,ODA/TUN_LE_Value,ODA/TUN_LP_Value,ODA/TUN_PPPGDP_Value,ODA/TUN_BCA_NGDPD_Value,ODA/TUN_TX_RPCH_Value,ODA/TUN_TXG_RPCH_Value,ODA/TUN_TM_RPCH_Value,ODA/TUN_TMG_RPCH_Value,ODA/TUN_GGXWDG_NGDP_Value,ODA/TUN_GGXCNL_NGDP_Value,ODA/TUN_GGXONLB_NGDP_Value,ODA/TUN_GGR_NGDP_Value,ODA/TUN_GGSB_NPGDP_Value,ODA/TUN_GGX_NGDP_Value,ODA/TUN_NGSD_NGDP_Value,ODA/TUN_PPPEX_Value,ODA/TUN_PCPIPCH_Value,ODA/TUN_PCPIEPCH_Value,ODA/TUN_PCPI_Value,ODA/TUN_PCPIE_Value,ODA/TUN_PPPSH_Value,ODA/TUN_NID_NGDP_Value,ODA/TUN_LUR_Value
1991-12-31,,0.020112828059848,0.07605111294311599,-0.19531560142914,-1.5138948268491,-0.016261973713522,-1.6397281585196,-1.8201416371588999,,,,,,,0.0054842715231789,0.02948402948403,0.1831744078745,,0.07693520968787798,0.065664236533009,0.018181818181818,-0.036114417039439,0.0015434004198048
1992-12-31,,0.020678047607598,0.10470535657281001,0.7513566847558001,-5.8402662229617,-1.3720561594203002,-2.5809548188916,-2.6650158730159,-0.019387662943673,-0.37210358927759996,-1.2132018209408,-0.00037216226274662,,-0.052698899974418005,-0.0036019347535248,0.035799522673031,-0.28272455479007,-0.27509520182788,0.055182177670013,0.04758737548893901,-0.026785714285714003,0.12679354536552,0.0014793811255625
1993-12-31,,0.0096584216725558,0.04915332601283,0.13323943661972,0.26486765211413,-3.4370054777845,-0.44041450777202,-0.48833129957291,0.026985540171307006,-0.060057887120116,1.1494661921708,0.045979151154133,,0.03608560626519,-0.04012600702334201,0.016129032258065,-0.2678506705328,-0.0029417944946418,0.040405909749853995,0.047451324223002,0.0,0.0063480068014358,0.0015387456145749
1994-12-31,,0.024965002333178,0.05833585809898901,-0.52348993288591,0.8361190379127601,3.5671828171827995,-1.0611979166667,-1.1576986138024,0.0019729762047113,-0.576597382602,2.8162251655628996,0.033137568962449,,-0.018473267520282,0.0048420939366224,0.018140589569160998,0.34232673267327,0.17808219178082,0.054223118199875,0.055909136828737,0.0091743119266055,-0.154770397627,0.0014749262536874
1995-12-31,,0.019576599134987997,0.048119713728042,0.030777256129369,-0.6543812907045601,-0.83644118772899,-13.501182033097,-6.945179584121,0.02706008711737,1.8845454545455,-0.78134490238612,-0.045614276855233005,,0.024862245236672995,-0.010226481769021,0.028953229398663998,0.14917942098469,0.010375670840786999,0.06231721034870599,0.05647509054876001,-0.018181818181818,-0.0032428590466883,-0.0073024054982818
1996-12-31,,0.014623799955347001,0.08804687887967401,-0.43092105263158004,-0.84689507494647,-1.8044132397191999,-2.4315431164902,-1.3953895071542002,0.017777777777778,0.28900094547746996,-1.2142857142857,0.015486246480398001,-0.042482888836441,0.043595141700404995,0.11165206101915,0.023809523809523996,-0.40099486521181005,-0.43519830028329,0.037338521812791,0.031902919906334995,0.037037037037037,0.016044210713967,-0.0073561228905236
1997-12-31,,0.013862911211353999,0.075353719762665,0.27167630057803,10.495104895105,-5.192851205319999,-2.1424042272126997,-4.496984318456,-0.0024260067928189998,-0.3760391198044001,-9.1944444444444,-0.07063382034055,-0.052501848656642994,-0.10940070140592,0.051046228710462,0.029598308668076,-0.035896062148405995,0.17680250783698997,0.035994538935603,0.03753620099544899,0.0089285714285714,0.07285726818141901,-0.0074106364428945
1998-12-31,,0.012805208898535,0.06101184160264799,0.082517482517483,-0.037230806667477995,-0.37162965900079,-0.32712765957447,-0.38473036679315,-0.12664511329824002,-0.29545454545454997,0.5062146892655399,0.027310281517748,-0.041883454734651,-0.0013939224979092,0.010324552062595,0.020533880903491,-0.13809391497638,-0.26611614278103,0.031012143754464996,0.027550539531398997,0.026548672566372004,0.018725213622797002,0.0077796599535729
1999-12-31,,0.013179042108647,0.076404584275057,-0.36983204134367,-0.042209023126501,0.057106799179681,-0.12905997594088,0.08652588301252098,0.064093954234984,0.20912124582870004,-0.31657914478620003,-0.0048402710551791,-0.045886505566114996,0.0085845896147404,0.03881404087618,0.018108651911468997,-0.1076724693746,0.027223230490018,0.027678230122323996,0.02829356632995,0.025862068965517,-0.011919572982300999,-0.0050426445869389
2000-12-31,,0.010258037225042,0.06672612743185201,0.96002050230651,-0.17482517482517002,0.091329652290703,0.2914364640884,0.11179910560716,0.01510067114094,0.080496780128795,-0.26893523600439,-0.0014965579167915,-0.048947068867388005,0.0046363573455124,-0.026203184966253998,0.013833992094862,0.0007225433526012401,-0.40318021201412996,0.027699961640842003,0.016891003282138,-0.0084033613445378,0.051949634443541996,-0.018207983981979998
2001-12-31,,0.010258557521196998,0.07239409141583099,0.2102510460251,1.0054365206268001,1.1438534117325,1.1983193277311002,1.1002475247525,0.025126999772538,-0.10855683269476,0.0015015015015015,0.010941247002398001,-0.039497307001795,0.0013087202093952,-0.023691959229898002,0.0058479532163743,-0.2826714801444,1.1148608644168,0.019872867936479,0.035717498875394,0.025423728813558998,0.01081122823275,-0.036007902619336
2002-12-31,,0.010154388146305999,0.032616464167371004,-0.30229040622299,-0.99952160739914,-0.87836458731981,-1.1916875173756,-1.1761196228639,-0.0033430963580959,0.056829035339064,-0.22488755622189,0.022683469236471,-0.027102803738318,0.025142739217169998,-0.045007423904974,0.0038759689922481,0.36185203824861994,-0.5447928331467,0.027060297885082,0.016265635858235,-0.0082644628099174,-0.090454180831965,0.0090572524130636
