Date,ODA/SAU_LE_Value,ODA/SAU_LP_Value,ODA/SAU_PPPGDP_Value,ODA/SAU_BCA_NGDPD_Value,ODA/SAU_TX_RPCH_Value,ODA/SAU_TXG_RPCH_Value,ODA/SAU_TM_RPCH_Value,ODA/SAU_TMG_RPCH_Value,ODA/SAU_GGXWDG_NGDP_Value,ODA/SAU_GGXWDN_NGDP_Value,ODA/SAU_GGXCNL_NGDP_Value,ODA/SAU_GGXONLB_NGDP_Value,ODA/SAU_GGR_NGDP_Value,ODA/SAU_GGX_NGDP_Value,ODA/SAU_NGSD_NGDP_Value,ODA/SAU_PPPEX_Value,ODA/SAU_PCPIPCH_Value,ODA/SAU_PCPIEPCH_Value,ODA/SAU_PCPI_Value,ODA/SAU_PCPIE_Value,ODA/SAU_PPPSH_Value,ODA/SAU_NID_NGDP_Value,ODA/SAU_LUR_Value
1991-12-31,,0.050042799762955004,0.12735355307225,4.872783563186,0.36037778277490007,0.28717822593868,5.4488372093023,2.0980070980071,,,,,,,-1.2398491015586002,0.0026269702276709,-4.7041015625,1.1928811928812,0.037931034482759,0.045591069506669996,0.067174515235457,0.3539296983929,
1992-12-31,,0.062770427039569,0.070135385142598,-0.37875011981213,-0.93596270827823,-0.96920578307114,-1.079116079657,-0.30009693338033,,,,,,,-4.4979304635762,-0.031441048034935005,-1.2335881887688,-1.0813774950647,-0.008859357696567,-0.0037103974912926,-0.059052563270603,0.16065040650407,
1993-12-31,,0.019412320037763,0.024062626441842996,-0.031859908971689,-1.6220960247806,-2.7094105480869,3.0949607495567997,-1.6878186968839,,,,,,,0.6026505738965799,-0.018034265103697,-2.3871331828442,-3.2587601078167006,0.012290502793296,0.0083734787779767,-0.02,0.21859531147847,
1994-12-31,,0.024541297678994996,0.028073696887743,-0.40247011952191,-1.4721991701245,-1.124016938899,0.52198379815719,0.9449935932637701,,,,,,,0.036916715888955,-0.011937557392103,0.078112286411717,-0.2291169451074,0.013245033112583,0.0064692146397254,-0.023926812104151998,-0.17440122628856,
1995-12-31,,0.024574882774984,0.022911070601363995,-0.52060274703294,3.5377855887522,13.712195121951,-1.1616284739151999,-1.496494282622,,,,,,,0.26936770150954,0.036245353159851,2.9464150943396,6.8111455108359005,0.052287581699346,0.050462245054984,-0.033165104542177005,-0.0056628295581136,
1996-12-31,,0.024536832818703,0.052705811442061004,-1.1157162726008,-2.063903950426,-1.2940981432361,2.1651583710407,-0.9310018007771801,,,,,,,0.12817636169855,0.049327354260089995,-0.9604130808950101,-0.8269916765755101,0.0020703933747412,0.0087331815825651,-0.0044742729306488,-0.08057137522173499,
1997-12-31,,0.024541197997955,0.043490127071254,-0.56971153846154,-2.5373134328358,-2.7700112739572003,-0.026209197045509,13.782967032967,,,,,,,-0.0010441527446299,0.0017094017094017,-2.4975845410627997,-1.4959908361970002,-0.003099173553719,-0.0043343722421439,-0.015730337078652,0.011017465475222999,
1998-12-31,,0.024531176130692996,0.039504705118474,-49.279329608939,0.58939142789486,1.0305732484076,-1.8440583965419,-0.043114662702099994,,,,,,,-0.22746503409486998,-0.14419795221843,0.0032258064516129,-0.5981524249422601,-0.0031088082901554,-0.0017390523847457,0.0038051750380517,0.21342841359916,
1999-12-31,,0.024559064807219,0.0077066002280309,-1.0284656329553001,-2.6920441001192,-4.4733375156838,-1.3851579862788999,-1.3124878617206999,,,,,,,0.48044584756137,0.09072781655034899,5.684887459807099,5.9425287356322,-0.020790020790021,-0.012082181311394,-0.041698256254738005,-0.059222778628482,
2000-12-31,,0.024570885252465,0.072507874648172,28.873983739836998,-0.9937483490358401,-1.3793010024383998,4.1234320120421,-3.8701056556868,-0.15401897655012,-0.18801799417835,-3.5136497270055003,10.322732626619999,0.38385152718806,0.09004274180782001,0.20053964661850002,0.086837294332724,-0.48917748917749004,0.24420529801323998,-0.010615711252654,-0.015028612384668998,0.0007911392405062401,-0.10975717050853,0.052013808975834006
