Date,ODA/LVA_LE_Value,ODA/LVA_LP_Value,ODA/LVA_PPPGDP_Value,ODA/LVA_BCA_NGDPD_Value,ODA/LVA_TX_RPCH_Value,ODA/LVA_TXG_RPCH_Value,ODA/LVA_TM_RPCH_Value,ODA/LVA_TMG_RPCH_Value,ODA/LVA_GGXWDG_NGDP_Value,ODA/LVA_GGXWDN_NGDP_Value,ODA/LVA_GGXCNL_NGDP_Value,ODA/LVA_GGXONLB_NGDP_Value,ODA/LVA_GGR_NGDP_Value,ODA/LVA_GGSB_NPGDP_Value,ODA/LVA_GGX_NGDP_Value,ODA/LVA_NGSD_NGDP_Value,ODA/LVA_PPPEX_Value,ODA/LVA_PCPIPCH_Value,ODA/LVA_PCPIEPCH_Value,ODA/LVA_PCPI_Value,ODA/LVA_PCPIE_Value,ODA/LVA_PPPSH_Value,ODA/LVA_NID_NGDP_Value,ODA/LVA_LUR_Value
1993-12-31,-0.069045771916214,-0.0029884198729922,-0.09290603609209698,0.35207943354765003,,,,,,,,,,,,-0.11916548797736999,0.59803921568627,,,1.0919561022672,0.34752615770538003,-0.12,-0.58422954303932,1.1872246696035
1994-12-31,-0.10083333333333,-0.015736230798052,0.043698977841806,-0.70944441100343,-1.0398398398398,-3.2170956420006003,-0.6548059513500699,-2.3572389440054,,,,,,,,0.035556575098927005,0.33742331288344,-0.67124542124542,-0.24149043303121998,0.35897731530856,0.26363101944839,-0.022727272727273,0.69645230549024,0.0
1995-12-31,-0.03521779425393899,-0.047963456414161,-0.00039437360326017,-1.0673296043090998,-6.091568955890599,-1.2748590086079,0.88962371721779,0.8165148980982501,,,,,,,,-0.23891011795979,0.12385321100917,-0.30362116991643,-0.12222137925802,0.25000530256432,0.23138653588943,-0.046511627906977,0.026577472428132003,0.0
1996-12-31,-0.09221902017291099,-0.012395041983207,0.058784850078906,14.196923076923001,1.8814563000328999,-0.14950803935685,0.34789604956151,-0.5384667848861,,,,,,,,-0.18554900676707997,0.1265306122449,-0.29600000000000004,-0.43310285220398004,0.17601045237045002,0.13119037874256,0.0,0.06663144299636,1.9795712847072
1997-12-31,0.043386243386242994,-0.010121457489879,0.11507887218978999,0.11237092528852001,-0.48648957223322,2.9808126410835,-0.73246582701606,0.16513964829319,,,,,,,,0.29554185651746995,0.047101449275362,-0.5421590909090901,-0.51516999542613,0.08058349084508,0.063595880879488,0.048780487804878,0.15476911222412,-0.26768383950558
1998-12-31,-0.0040567951318458,-0.0098159509202454,0.06766917293233099,0.70786312340735,-0.37582450159341996,-0.6587751630280699,1.2709727800089,0.22664721922760003,,,,,,,,-0.0055168609061444,0.048442906574395,-0.46711342764954,-0.57216981132075,0.042941836244192004,0.027214444589821,0.023255813953488,0.28101615747581,-0.06487769499571401
1999-12-31,-0.017311608961303,-0.0090871540685666,0.044757433489828,-0.20952786955132,-1.7810496319164,-1.3229123390111999,-1.2628579849683,-1.1395853797239,,,4.3348416289593,-95.8,-0.023666286804653998,,0.051592572336379997,0.65723597531378,0.0066006600660066,-0.5044247787610601,0.10474090407938,0.021278230142878996,0.030059864985352,0.0,-0.11080105666555,0.010223507015440999
2000-12-31,-0.026943005181347002,-0.0070862859524802,0.080886758538047,-0.33949035998382004,-2.7614776527819997,-4.726921839819901,-1.5795178471313998,-2.1485185185185,0.017120750679068,,-0.2759400621996,-0.44655414908579,-0.06585233441911,,-0.08427856753677701,-0.28884053726097,0.016393442622950997,0.23919172932330998,-0.43246839654025004,0.026363294471606003,0.017064424384815,0.022727272727273,-0.031674965479727,0.0068397543271916
2001-12-31,0.022364217252396002,-0.012174643157011,0.09793052475979303,0.5605225556236,-0.35522568395615994,-0.35522568395615994,3.6146404385682005,3.6146404385682005,0.14461438860564998,0.011764705882353,-0.21163607965638,-0.30749682337991996,-0.044778287906085,,-0.056335361730899,-0.046069663450223,-0.0032258064516129,-0.042851725445582,0.8815943728018799,0.025246418233117,0.03209726443769,0.044444444444444,0.11347333851871001,-0.09261056425897699
2002-12-31,0.030208333333332994,-0.013599660008499999,0.087765062268596,-0.12884238064094,-0.27305581582118,-0.27305581582118,-0.6750524109014701,-0.6750524109014701,-0.03867364253393701,0.057945736434108,0.28528974739970003,0.62935779816514,-0.0003346211176344,,0.016192823569873,0.09202491827545801,0.016181229773463,-0.22543581616482,-0.5414330218068499,0.019549678341673,0.01472493815526,0.042553191489362,-0.0015523129462899,-0.085408708938121
2003-12-31,0.018200202224468998,-0.0094786729857821,0.098011913050205,0.22702702702702998,-0.035536733566562,-0.035536733566562,1.7735483870967998,1.7735483870967998,0.078179010075752,0.10679611650485002,-0.35221579961464,-0.25,0.0057513237173635,,-0.020447302366246003,0.10398192600960002,0.015923566878981003,0.5043478260869599,1.3974184782608998,0.029410733690888997,0.035291386115625996,0.020408163265306,0.10533271144279,-0.11577013030404
2004-12-31,0.010923535253228001,-0.0095693779904305,0.11818373960828998,0.58259911894273,0.8014509354715501,0.8014509354715501,0.30774598743894,0.30774598743894,-0.014529331514325,-0.08747103608076799,-0.37953599048186,-0.66816816816817,0.028471150645971,,0.008695151445353001,-0.014222858896961,0.043887147335422996,1.1040462427746,1.0940776423916,0.061874276374037994,0.07389549226283901,0.04,0.15352697095436,-0.014075193651993
