Date,ODA/DMA_LE_Value,ODA/DMA_LP_Value,ODA/DMA_PPPGDP_Value,ODA/DMA_BCA_NGDPD_Value,ODA/DMA_TX_RPCH_Value,ODA/DMA_TXG_RPCH_Value,ODA/DMA_TM_RPCH_Value,ODA/DMA_TMG_RPCH_Value,ODA/DMA_GGXWDG_NGDP_Value,ODA/DMA_GGXWDN_NGDP_Value,ODA/DMA_GGXCNL_NGDP_Value,ODA/DMA_GGXONLB_NGDP_Value,ODA/DMA_GGR_NGDP_Value,ODA/DMA_GGX_NGDP_Value,ODA/DMA_NGSD_NGDP_Value,ODA/DMA_PPPEX_Value,ODA/DMA_PCPIPCH_Value,ODA/DMA_PCPIEPCH_Value,ODA/DMA_PCPI_Value,ODA/DMA_PCPIE_Value,ODA/DMA_PPPSH_Value,ODA/DMA_NID_NGDP_Value
1991-12-31,,0.0,0.055555555555556,-0.30803612149959003,-1.0117233294256,-1.5637727759914,-1.9659817662266998,-2.2615360051094,0.053152891662434004,0.053152891662434004,-0.35775952832175,-0.57142857142857,-0.029713114754098,-0.078251652325726,-0.08653930803767901,0.030711206896552,0.73951158422041,-0.5673927108044,0.055572537751421,0.020047221055376,0.0,-0.23224081184860002
1992-12-31,,0.0,0.049342105263158,-0.27188241497495,-35.565,-1.3715145754119,-0.8139174531624201,-0.56385267687634,-0.048472112171427,-0.048472112171427,-0.25377049180328,-0.6980231765507801,-0.029529340775381,-0.052661841304201,0.21925597532767999,0.012023000522738999,-0.053995680345572,1.1505483549352,0.052559944399398,0.04315474077334899,0.0,-0.07247477002768599
1993-12-31,,0.0,0.043887147335422996,-0.14945234000181,-0.95182988572255,-2.6724946695096,-0.53671461014383,-1.6242019733023998,-0.0067161477190442,-0.0067161477190442,-0.36335676625659,-1.8758465011287,-0.05028562546147,-0.075725659609411,-0.061339024583037,0.0025826446280992,-0.70167427701674,-0.63050533147891,0.015668418301373,0.015940647971685,0.0,-0.10240238794473
1994-12-31,,0.0,0.045045045045045,0.09248616432524501,4.420420420420401,-0.17924528301887,-11.210784313725,-0.75081357508136,0.056188375949989995,0.056188375949989995,1.3995859213251,-5.0773195876289,0.011006997012971002,0.08872836835599499,-0.061136842105262997,0.025759917568264,-1.0076530612245,-1.1486825595985,-0.00010835263364614,-0.0023716686095591,0.0,0.0064900236000859
1995-12-31,,0.0,0.03448275862069,0.50423770092547,-1.5750692520776,-0.36905871388629996,-0.44103056489038,7.0746268656716005,0.028989508558807005,0.028989508558807005,-0.14006327293644,-0.34197218710493,0.08746155091468401,0.05939329430548201,-0.037940622477352005,-0.0085384229030638,-108.75,-6.898734177215201,0.012922451743988999,0.013981787412362,0.0,0.22158273381295002
1996-12-31,,0.0,0.05,0.11916326662781,-8.4576107899807,-3.6095519448547995,-1.4726596049241,-1.4390018484288,-0.067849476790985,-0.067849476790985,-0.4494983277592,-1.3746397694524,0.035431166027764,-0.013128370005694,-0.36873018832743,0.020770010131711997,0.31554524361949,0.45278969957082005,0.01701012316292,0.020305980528512,0.0,-0.080617720193692
1997-12-31,,0.0,0.037037037037037,-0.21567038944506,-0.21767213538302999,-0.39622641509434,-0.49788007268322,-7.421052631578901,-0.10790486813226,-0.10790486813226,0.4131227217497,-1.4846153846153998,-0.032745048704216004,-0.0078392778362235,0.7840791611283399,-0.00099255583126562,0.41975308641975,0.069916297390448,0.024141694389291,0.021732357064963,0.0,0.070699881376038
1998-12-31,,0.0,0.040816326530612,-0.47299690128375,-0.09494715984148,-3.25,-3.5524728588661003,-0.35245901639344,0.1791965798177,0.1791965798177,1.6758383490972,20.973544973545,0.044555927164623005,0.17437405937885,0.26614238410596,0.018380526577248,-0.60414078674948,-0.29176254026690995,0.0095651392401813,0.015387156616096001,0.0,-0.11451362729891
1999-12-31,,0.0,0.031862745098039,0.99188016239675,-0.57872650976099,0.61111111111111,1.0926275992439,0.44303797468353995,0.097274002120601,0.097274002120601,0.53020565552699,0.5136046231639799,-0.039026646269878,0.06413467699656299,-0.19012749264466,0.0019512195121951,0.2928870292887,-1.0272904483431,0.012361379591006002,-0.00042546269067601,0.0,0.014964216005205
2000-12-31,,0.0,0.033254156769596005,0.30988192296878997,-0.36336076223472996,-0.49137931034483,-0.33265582655827003,-0.56140350877193,0.11391477821764,0.11391477821764,-0.05606887862242701,-0.22303531657651998,0.1472678809418,0.094263192467703,-0.8303059659320301,-0.029211295034080004,-0.31391585760518,-27.380952380952,0.0084794733932968,0.011079257376782,0.0,0.022682445759369
2001-12-31,,0.0,0.027586206896552,-0.14728765359232002,-8.345578231292501,1.9413559322033997,-2.8961082910321,-3.1808,0.4241860334961,0.4241860334961,-0.24783092324804998,-0.47358722358721994,-0.23052597612133,-0.23444222111056,-0.6960038058991399,-0.006519558676028002,0.83490566037736,0.018050541516244998,0.015545784078027999,0.011292159873211,0.0,-0.20294117647059
2002-12-31,,0.0,-0.0044742729306488,-0.07915932544676599,-1.3268197814409999,-0.8509277400023,0.17686953417812,0.24018708730741,-0.015669823554838997,-0.015669823554838997,-0.38376220053239,-1.0202255931544,0.053510022645307,-0.043062044630313,-3.5070422535211003,-0.0085815244825846,-0.89074550128535,-0.6826241134751801,0.0017049566401314,0.0035751016210392,0.0,-0.21166293630149
