Date,ODA/MAR_LE_Value,ODA/MAR_LP_Value,ODA/MAR_PPPGDP_Value,ODA/MAR_BCA_NGDPD_Value,ODA/MAR_TX_RPCH_Value,ODA/MAR_TXG_RPCH_Value,ODA/MAR_TM_RPCH_Value,ODA/MAR_TMG_RPCH_Value,ODA/MAR_GGXWDG_NGDP_Value,ODA/MAR_GGXWDN_NGDP_Value,ODA/MAR_GGXCNL_NGDP_Value,ODA/MAR_GGXONLB_NGDP_Value,ODA/MAR_GGR_NGDP_Value,ODA/MAR_GGSB_NPGDP_Value,ODA/MAR_GGX_NGDP_Value,ODA/MAR_NGSD_NGDP_Value,ODA/MAR_PPPEX_Value,ODA/MAR_PCPIPCH_Value,ODA/MAR_PCPIEPCH_Value,ODA/MAR_PCPI_Value,ODA/MAR_PCPIE_Value,ODA/MAR_PPPSH_Value,ODA/MAR_NID_NGDP_Value,ODA/MAR_LUR_Value
1991-12-31,,0.020005822900636,0.104557273847,-0.21737373737374,-1.116873396065,-0.84540833293743,-0.77371945925834,-0.66487772490871,-0.16529267314823998,-0.16529267314823998,-0.32666666666667,-0.033061929434985995,-0.06893401436817401,,-0.08404675344982598,-0.08399777489338,0.028215767634855,0.49203451709259993,0.08405143841972701,0.089914046707315,0.081762005369255,0.044354838709677,-0.10354581270835,
1992-12-31,,0.019368781601695997,-0.018419857101557,-0.036138358286009004,-3.3600182982617004,-1.3948985863552998,1.9714990408331001,0.9811788013868299,0.14558035513260997,0.14558035513260997,1.0792079207921,-0.27404950242409,0.03782168502743,,0.08271093850027701,0.0089473684210526,0.03228410008071,-0.36158380602825,-0.52366393542864,0.05739015048704701,0.038958559722753,-0.13513513513514,0.014987604237097002,
1993-12-31,,0.018800752030081,0.013407946592613998,-0.077664702731655,0.037410350843187,-6.8474708171206,-0.7473024070829101,-0.83058333333333,0.11258876863814,0.11258876863814,0.083333333333333,0.047100175746924,0.031200309424556,,0.035515786984114,-0.01994301994302,0.010685431326556999,-0.09703832752613198,0.5273427471116799,0.05183674633506401,0.059490325225085,-0.03125,-0.030864882868880002,
1994-12-31,,0.017943382150849996,0.12707419350374,0.23461091753775,-0.25840807174888,0.10114453021027,-0.51642335766423,-0.80226266601082,-0.07757168933639501,-0.07757168933639501,0.24791208791209002,-0.26015441423296,-0.09414461346113799,,-0.06452226874762099,-0.10895021290533999,-0.0067044868488912,-0.0079104765579779,-0.043200537905529995,0.051410675307419995,0.056923692636073,0.069124423963134,-0.04826822469164099,
1995-12-31,,0.017742806449124,-0.04631687520721,0.5,-1.0844041320231999,-0.50991056321006,6.818867924528299,31.223880597015,0.047377693800429006,0.047377693800429006,0.015850651637901,0.08938294010889301,-0.021025027603975,,-0.01676500508647,-0.073381427192942,0.06152647975077901,0.19097627382341,-0.27125790583275,0.061237121378190006,0.041488381486109005,-0.099137931034483,-0.032700718212093,
1996-12-31,,0.017509285227014,0.14264745644868,-1.0266541235497,-16.077611940299,-1.5992601726264,-1.4466216216216001,-1.3337965107303,-0.10112263679469999,-0.10387742415192999,-1.3394590846046999,1.4035818408996001,-0.021006626251234,,-0.17837189090758998,0.13706238222751,-0.0061139642944486,-0.51224689745265,-0.056653809064609,0.029866342648846,0.03913275322975499,0.08133971291866,-0.057035009125601,-0.03125
1997-12-31,,0.017207985697259,-0.0055326437247876,-3.7529411764706,0.1684814888141,-4.9156378600823,-2.0598660038902,-2.1759944495837,0.047706222963536,0.047920889046070995,0.7405515832482099,0.13359902963091,0.096822196620584,,0.06507832569385,0.052027911033580995,-0.010088582677165002,-0.65148978908604,-0.6133401482238701,0.010417895655867,0.015126599255916001,-0.061946902654867006,0.070646197158316,-0.0064516129032258
1998-12-31,,0.017026730135482,0.08843691575548099,0.47435897435897,-0.042358522534734,-0.69038360483447,2.4371941272431,2.5679449360865,-0.055966140743713,-0.056035825545170996,-0.024647887323944,-0.036380311831243996,0.00035012473193571,,0.0023646252069047,0.063424947145877,-0.0052199850857569,1.6368876080691999,0.46662260409782,0.027440127976086005,0.022196691176470003,0.051886792452830004,0.06816220880069,-0.012987012987013
1999-12-31,,0.016669666966697,0.020684988548823998,0.23768115942029,1.0162774239207,2.7433808553971,-0.68379212149976,-0.70732513917213,-0.014930693612296002,-0.013915817554281,1.1871239470516999,0.29267131979695,0.073412958830993,,-0.013918376975702001,-0.049779752855416,-0.0072463768115942,-0.74863387978142,-0.59125732311852,0.0069097975929357,0.0090702692982062,-0.031390134529148,-0.045965074236480004,-0.082763157894737
2000-12-31,,0.0080742262199873,0.039032300835314,2.0234192037471,-0.72139347139347,-0.69785999274574,-0.38198874296435,-0.32617702448211,0.025414764502839,0.024515067423407998,-1.6165061898212,-0.69112774573567,-0.037905033625432995,,0.2366985645933,-0.0054972103708566,-0.028190284419834,1.7869565217391001,0.8412348401323001,0.019221435907854998,0.016696554873634,-0.027777777777778,0.029391605854131003,-0.039233969301391995
2001-12-31,,0.012892573596571002,0.10003533777019,-4.3082881487219,3.3615748031496,0.7169867947178901,2.6041287188827997,2.2384013415316,-0.071436327605397,-0.10377165879487,0.91432396251673,-0.95709177592372,-0.045117559839017,0.080261485382241,0.038031493016598,0.25472320765613,-0.014504014504014999,-0.68122724908996,0.021556886227544998,0.0061349693251532,0.017057779530664,0.04761904761904799,0.024048253172489,-0.085031728256812
