Date,ODA/MLT_LE_Value,ODA/MLT_LP_Value,ODA/MLT_PPPGDP_Value,ODA/MLT_BCA_NGDPD_Value,ODA/MLT_TX_RPCH_Value,ODA/MLT_TM_RPCH_Value,ODA/MLT_GGXWDG_NGDP_Value,ODA/MLT_GGXCNL_NGDP_Value,ODA/MLT_GGXONLB_NGDP_Value,ODA/MLT_GGR_NGDP_Value,ODA/MLT_GGSB_NPGDP_Value,ODA/MLT_GGX_NGDP_Value,ODA/MLT_NGSD_NGDP_Value,ODA/MLT_PPPEX_Value,ODA/MLT_PCPIPCH_Value,ODA/MLT_PCPIEPCH_Value,ODA/MLT_PCPI_Value,ODA/MLT_PCPIE_Value,ODA/MLT_NGAP_NPGDP_Value,ODA/MLT_PPPSH_Value,ODA/MLT_NID_NGDP_Value,ODA/MLT_LUR_Value
1991-12-31,0.022727272727273,0.011461318051576,,,-0.43288868791921004,-0.6556654963294,,,,,,,,,-0.14218487394958,-0.8358809332260699,0.025521506368839,0.010205332516089,,,,-0.083333333333333
1992-12-31,0.014814814814815,0.0084985835694051,,,0.28478405315615,-0.43900630329996004,,,,,,,,,-0.27703761755486,1.3980392156863002,0.018451014805814,0.024451657919485,,,,0.11363636363636
1993-12-31,-0.0072992700729927,0.0084269662921348,,,-0.45221348779479,0.94117647058824,,,,,,,,,1.1848238482385,0.87367130008177,0.040313434374678,0.045840859960319,,,,0.10204081632653
1994-12-31,0.022058823529412002,0.011142061281337,,,0.34497734138972996,0.28260129383724997,,,,,,,,,0.024063507814437998,-0.23718088588260997,0.041285572702818,0.034954837613613995,,,,0.0
1995-12-31,0.028776978417266,0.0055096418732782,,,-0.24666573073142997,0.33156357844439,,,,,,,,,-0.037548449612403,0.04033180778032,0.039730236858565,0.03637333625159,,,,-0.092592592592593
1996-12-31,0.013986013986014,0.0054794520547945,,0.082640586797066,-2.0993291092061,-1.5902113237639999,0.13575019846519998,,,,,,-0.22140946558218,,-0.50566322678077,-0.48529007423701004,0.019642203274571998,0.018716506955994,,,-0.11633859687072,0.061224489795918
1997-12-31,-0.0068965517241379,0.0081743869209809,,-0.4672990063234,-1.6738430242413997,-0.71558858300963,0.20819094957026002,,,,,,0.051461824300638,,0.9928716904277,1.4294871794872002,0.039143260228292995,0.045478103135527,,,-0.17914405776998002,0.19230769230769001
1998-12-31,0.0069444444444445,0.0054054054054054,,-0.015601153128709999,1.0480503144654,-2.4910926365796,0.10293550460680999,,,,,,-0.15429752617189998,,-0.055186509964230995,-0.36235708003518,0.036977611019228994,0.028999876068906003,,,-0.12152087475149,0.064516129032258
1999-12-31,0.0068965517241379,0.0053763440860215,,-0.42428940568475,0.011055152929616001,3.0322580645161,0.06964681198274901,,,,,,0.12268390759284,,-0.381557598702,0.52,0.022864148158727997,0.044080452848368,,,-0.05001414427157,0.07575757575757598
2000-12-31,-0.013698630136986,0.016042780748663,,2.6113105924596,-0.32183209816547,0.030222222222222,-0.021885613614486,,,,,,0.010745136596671001,,0.32925229558373,-0.77495462794918,0.030405287471346,0.0099204060445265,,,0.5759037579655799,-0.048169014084507
2001-12-31,0.013888888888889,0.028947368421052996,0.022744697163301998,-0.6950865854669,-1.7995342171265,-2.0674911322021003,0.09321498867307901,0.094405594405594,0.36149399733215004,0.036435326554208,-0.10069701913095,0.04484043496996299,0.090188993885492,0.0,-0.17467105263157998,2.5927419354839,0.025081308157918,0.035636778983438,-1.6844583987441,0.0,-0.26797929027626,0.12710861201539
2002-12-31,0.013698630136986,0.010230179028133002,0.040104947526237,-1.6421195652173999,-2.5157965494062,-1.0429277054333,-0.017274178754628996,-0.086102236421725,-0.25048987589810995,0.028003432494278998,-0.064313984168865,0.010674429888404,0.12912683237731,0.0094876660341556,0.038660821044241,-0.42143658810324996,0.026065019333942997,0.020624241755818,-0.5057339449541299,0.0,-0.20738255033557002,-0.02415649205724
2003-12-31,0.0,0.0050632911392405,0.027147147147147003,-2.2543377063055,-1.4081300813008002,7.098326359832599,0.14063985343174,0.5728019576996999,1.5071895424836999,0.019171373716575,0.47920338385619,0.0951992318771,-0.16939489726801,0.013157894736841999,-0.25594781273982997,0.18428709990301,0.019390373527737998,0.024421871623082004,2.614849187935,-0.0625,0.15156646909399,0.038207991389748
2004-12-31,0.0,0.0075566750629723,0.024558531165945,0.92982456140351,-1.9141615356755,0.20511495737535998,0.057550686426039,-0.49099799955546,-0.8166492874522099,0.065332532488806,-0.57512212558084,-0.044382588874764005,-0.14937138973836,-0.014842300556586,0.40536358947911,-0.22235872235872,0.02725788614461,0.018987341772152,1.3068035943517,-0.066666666666667,0.031561085972851004,-0.064792017623429
2005-12-31,0.013513513513513998,0.0075,0.069170186051821,0.48828671328671003,-0.73256735340729,-0.39292604501608,-0.026392709766162002,-0.37183406113537,-1.6862559241706,0.042746213577305,-0.037296690970275,-0.00080273388225033,-0.0048733722137892,-0.0075329566854991,-0.072293577981651,0.7825171142706702,0.025273497175314998,0.033850931677019,-0.46855870895938,0.0,0.14968746573089,-0.03810447554385501
2006-12-31,0.013333333333333,0.0049627791563275,0.057328920678979,0.13720192646541002,20.884444444444,4.7002118644068,-0.08038263428991901,-0.05908932916232199,0.029005524861877997,-0.0060458600604587,-0.18933877075444003,-0.0095487306615251,-0.023041104688502997,-0.0018975332068311,0.020174050632910997,-0.7781388478582,0.02580051601032,0.0075097626914989,-0.38324607329843,0.0,0.042064097672644,-0.018006338231057
