Date,ODA/GRC_LE_Value,ODA/GRC_LP_Value,ODA/GRC_PPPGDP_Value,ODA/GRC_BCA_NGDPD_Value,ODA/GRC_TX_RPCH_Value,ODA/GRC_TXG_RPCH_Value,ODA/GRC_TM_RPCH_Value,ODA/GRC_TMG_RPCH_Value,ODA/GRC_GGXWDG_NGDP_Value,ODA/GRC_GGXWDN_NGDP_Value,ODA/GRC_GGXCNL_NGDP_Value,ODA/GRC_GGXONLB_NGDP_Value,ODA/GRC_GGR_NGDP_Value,ODA/GRC_GGSB_NPGDP_Value,ODA/GRC_GGX_NGDP_Value,ODA/GRC_NGSD_NGDP_Value,ODA/GRC_PPPEX_Value,ODA/GRC_PCPIPCH_Value,ODA/GRC_PCPIEPCH_Value,ODA/GRC_PCPI_Value,ODA/GRC_PCPIE_Value,ODA/GRC_NGAP_NPGDP_Value,ODA/GRC_PPPSH_Value,ODA/GRC_NID_NGDP_Value,ODA/GRC_LUR_Value
1991-12-31,-0.023508137432188,0.0084637338844602,0.065322301384397,-0.58733055265902,-2.1885269530124,-1.7967040576097,-0.30508474576271,-0.2513558384062,0.02089613312419,0.05479772026534599,-0.28519233420654,-0.54283319362951,0.014003665156806998,-0.23371647509579,-0.085937320100398,0.15895687929448998,0.15822784810127,-0.041726052980782996,-0.22370038637161999,0.19497179509206,0.17681801402732,2.1248266296810003,0.0078125,0.030691339217707003,0.09271523178807901
1992-12-31,0.014550264550264999,0.010051722455353001,0.029953040603625,0.23373341756159,1.4305117632792,1.0224230836086,-0.82113821138211,-0.74438202247191,0.07075767899849,-0.021908262840102003,0.10946089304658,-0.2988632196553,0.027109049989769998,0.07263157894736799,0.04862073308980999,-0.13692171233836,0.12295081967213001,-0.18612165350292,-0.17810078615463,0.15867919102847,0.14532174224771,-0.47137150466044997,-0.094961240310077,-0.11141540601635,0.12700336700337
1993-12-31,0.0096479791395045,0.010821256038646998,0.0074064623566382,-0.62724014336918,-1.259155772877,-1.5901160292221999,-0.36266924564797,-0.90167727009832,0.25412075914303,0.0040149125322628,0.077625173852573,0.059100418410042,0.034793001560373,-0.04187111547268601,0.046630630630631,0.0058957161401991,0.11678832116788,-0.095595185581952,-0.17127718139279,0.14352483765562,0.12042724676239,-3.0025188916877004,-0.03640256959314799,-0.054596154786947994,0.11603728489483998
1994-12-31,0.018595041322313998,0.010514242018734,0.041712491751485004,-0.81730769230769,-3.8432807085097997,-1.6661811826391,1.3474962063733,3.2882352941176003,-0.019868867464605,-0.0066597513492387,-0.27272727272727,-2.2158024691357996,0.046873496101896,-0.28175145100717,-0.04407106459165401,-0.034252836479002007,0.089324618736383,-0.24184782608695998,-0.10744831022171,0.10880023148985,0.10748332576736,0.12285115303983,-0.0088888888888889,-0.063751617076326,-0.0042831138237499995
1995-12-31,0.029918864097363,0.0094589481649642,0.042288127459448994,17.338345864662003,-0.59385157096425,0.43572365544381,4.725921137685799,13.178326474623,-0.015267175572519,-0.017343664870755,0.0054347826086956,-0.11941510966694001,0.12411890897947,-0.30540701128936,0.09842481871007999,-0.040924276169265,0.1,-0.17507582023711,-0.25834961391757,0.089773283314304,0.079725681854012,0.18820014936520002,-0.015695067264574,0.086829160448792,-0.024518765458650997
1996-12-31,0.012801575578533002,0.0080584707646176,0.042260611195010005,0.49938499384994,0.162054018006,-0.9160956296634699,-0.21596297132535996,-0.24322755417957,0.024513442190334998,0.025273371322962996,-0.2672917815775,0.7781365313653101,0.020610687022901,-0.06672369546621,-0.03641928079571499,-0.026357039187227996,0.054545454545454,-0.08545008912656,-0.093953838434521,0.08207860628012101,0.07223268649524701,0.17410433689503,-0.013667425968109,0.038801871440195,0.08080696725829599
1997-12-31,-0.079241614000972,-0.0012084030488938,0.05411773021239499,0.42302433688815994,4.7494978479197005,2.8929219600726004,1.0138228941685,1.1693940168755,-0.028011993640955003,0.017995824007451002,-0.11261668172237,-0.11828793774319,0.041003312319692,-0.10009165902841,0.017831620499558,-0.067497465863693,0.048275862068965995,-0.32574004141796004,-0.33684064793022,0.055354228332734005,0.047906964076586005,-0.10224839400427999,-0.0069284064665127,0.020365202917707003,-0.0050999592003265
1998-12-31,0.060718057022175004,0.0058631921824105,0.044840919504263,-0.16429669485012,-0.7378849129111099,0.27272727272727,-0.33969683969684006,-0.44752195179445,-0.021428127782033998,0.035989906889581,-0.35154394299287,0.27360988526037,0.039336942854943,-0.42961906701976,-0.012013819235483999,0.14022635718395998,0.041118421052632005,-0.13857271906052,-0.22463465553236,0.047680209698558004,0.037140035346709996,0.022957662492546,0.0093023255813954,0.064242191623087,0.15050235800697
1999-12-31,0.0032354405176705,0.0049037749814953,0.050034493638731,0.24810301218670996,2.4539223153085,-2.5395604395604,0.7718462371413102,-1.5083733333333,-0.0056488808022679,0.057244188696445,-0.18942961800105,-0.006006006006006,0.021380604384752,-0.41714285714286,0.0032035374272437,0.039703903095558,0.015797788309637,-0.44840604026846,-0.24717285945073,0.026295378918662002,0.027966420248089,0.04401049256776401,-0.0023041474654378,0.080470651879903,0.077882730351096
2000-12-31,0.014140411808483999,0.0039591197863916,0.06855210418290099,0.44086219602063,-0.22249173098126002,-3.6921246728527004,-0.077736356413861,-3.3774653797734,0.10045958424647,0.39357646139545,0.20561652679148,-0.15361375784337,0.039448875997099,0.27389705882353,0.051025456508051,-0.16413160733548998,0.010886469673406,0.19809885931559001,0.39663805436338,0.031509019990249,0.039040979010751,-0.30932439977666,-0.0023094688221709,-0.027078900154378995,-0.06167328042328
