Date,ODA/IRQ_LE_Value,ODA/IRQ_LP_Value,ODA/IRQ_PPPGDP_Value,ODA/IRQ_BCA_NGDPD_Value,ODA/IRQ_GGXWDG_NGDP_Value,ODA/IRQ_GGXCNL_NGDP_Value,ODA/IRQ_GGXONLB_NGDP_Value,ODA/IRQ_GGR_NGDP_Value,ODA/IRQ_GGX_NGDP_Value,ODA/IRQ_NGSD_NGDP_Value,ODA/IRQ_PPPEX_Value,ODA/IRQ_PCPIPCH_Value,ODA/IRQ_PCPIEPCH_Value,ODA/IRQ_PCPI_Value,ODA/IRQ_PCPIE_Value,ODA/IRQ_PPPSH_Value
2000-12-31,,,,,,,,,,,,,,,0.049943910647222,
2001-12-31,,,,,,,,,,,,,2.2747846985780003,,0.16346913178799,
2002-12-31,,,,,,,,,,,,,0.18243532505657004,,0.19336420985387,
2003-12-31,,,,,,,,,,,,,0.8495913934002299,,0.35758974873699,
2004-12-31,,0.029987457717305,0.64129276830061,,,,,,,,,,-0.11417785234899001,,0.31678044212238,0.515625
2005-12-31,,0.03,0.077593546374894,-1.1321998019733999,-0.34187240371148,-1.114949997175,-1.1122983928724999,0.20020695068865002,-0.30885729907053,2.694087403599,0.28182855411054997,,-0.0019256874072671,0.36959909655562,0.31616477325896997,-0.0025773195876289
2006-12-31,,0.02998602801562,0.13543133389655,2.3251549586777003,-0.31025157004393,1.6323420987958,1.7344387755102,-0.09266581443053801,-0.20371806028004003,-0.36758679347406,0.14487376959692003,0.44073162152656,1.0504175101215,0.53249558864757,0.64824242079518,0.043927648578811006
2007-12-31,,0.029008695652174,0.040751228048419,-0.3981359223300999,-0.2362372042841,-0.26860237139389,-0.31476816867245,-0.11605504587156,-0.083589977945121,-0.24322451807474,0.12034584968233,-0.42118013822115,-0.9279610033011401,0.30820303672696003,0.046699622986602,-0.03960396039604
2008-12-31,,0.028021903731747,0.08700285971508799,0.6488579171505999,-0.37453809380249004,-1.1092672964003,-1.1335602450647,0.0452776336274,0.24135987164477,1.1556895901772,0.29609951667512,-0.9134356445280799,0.44625267665953,0.026675989142057998,0.067538162276219,0.036082474226804
2009-12-31,,0.026995035017919996,0.066123855864854,-1.6242466932769999,0.15633564237809,13.834112149533,11.787971457695999,-0.18119115587156,0.028382296433437,-0.5984411301806201,-0.21962416472335,-1.8223388305847,-1.6536867041753,-0.021944829464879,-0.04414830371068099,0.062189054726367994
2010-12-31,,0.014023179868092,0.068280353011738,-1.3712387161484,-0.39222295003871,-0.67089305402426,-0.70569948186528,-0.016977046340407,-0.15801898809423,0.70082120194102,0.16123283082076997,-2.1144029170465,-1.7501698754247001,0.024444189589921003,0.033117932148627,0.0023419203747073
2011-12-31,,0.031352614296538996,0.12489406128271001,3.0550489699426002,-0.23348095312745,-2.1351998085666,-2.4791440953413,0.059873116574147,-0.12518406454866,0.21928380701561997,0.1921045039639,1.2920245398773,0.8176328502415501,0.056045994658477996,0.06020328381548099,0.05841121495327099
2012-12-31,,0.0317771314863,0.1227207476138,-0.44124260847839,-0.14451517243142,-0.12900505902192,-0.17634132942683997,-0.014465644095273998,-0.0019138094030298,-0.13673726525469,0.032416881404628,0.08654532476802299,-0.39966777408638,0.060885762529625,0.036135693215339,0.07064017660044099
2013-12-31,,0.031836928463342004,0.05764553215901401,-1.1131316142495,-0.06353095864212299,-2.4322362052275,-2.2338817252112,-0.089712767303556,0.13390010626992999,-0.4679941618015,0.0036285899130827,-0.69141074067991,-0.13337022689541,0.018799783024523998,0.031316725978648,0.010309278350514999
2014-12-31,,0.031487232574189,-0.010337898154190001,-4.9973649538867,-0.019273725189865,-0.48935451165934,-0.55423423423423,-0.021151885830785,-0.07760482457927499,0.17388464302045004,0.023181988041852997,1.5172964342735002,1.5542784163474,0.047295119866613,0.08,-0.05714285714285701
2015-12-31,,0.030832706085695997,0.033295378933893,-0.20435069215557,-0.028795470814082,-0.7895433487756499,-0.9902991107518199,-0.021537951764455,-0.072802774280476,0.15853319236548,0.00023374427280886,0.32008456659619,-0.25,0.06243770611333001,0.06000306724944399,-0.021645021645021998
2016-12-31,,0.030099791762447002,0.09644051076889301,-0.47845898922949004,-0.48624744547556,0.46226415094340007,5.2083333333333,-0.023705280472171,-0.01634228267861,0.094956772334294,-0.0094187882826549,-0.51953875720692,-0.5,0.030001196270156,0.029997226944454,0.033185840707965
2017-12-31,,0.029456550275662997,0.08885572547836501,-0.23113582208102,-0.055559178350179,0.080645161290322,0.6040268456375799,-0.016624959738361,-0.01443413818992,-0.011185682326622,-0.013349281943911998,0.0,0.0,0.030001467064404,0.030001521731496002,0.025695931477516004
2018-12-31,,0.028970723247985,0.09989425622781599,0.06198347107438,-0.01622592004419,0.033830845771143994,0.27196652719665,0.00095742000503915,0.0017692591227424,0.030476443971253996,-0.010378586786168001,0.0,0.0,0.03,0.029997045185926004,0.035490605427975
2019-12-31,,0.028625954198472997,0.11393254106069998,-0.065175097276265,-0.30383211678832,-0.12704523580366,-0.31907894736841996,0.021269633507853002,0.017489636225378,-0.026561625554264,-0.0098947292917587,0.0,0.0,0.030002016651782003,0.030000606853026003,0.050403225806452005
