Date,ODA/AUS_LE_Value,ODA/AUS_LP_Value,ODA/AUS_PPPGDP_Value,ODA/AUS_BCA_NGDPD_Value,ODA/AUS_TX_RPCH_Value,ODA/AUS_TXG_RPCH_Value,ODA/AUS_TM_RPCH_Value,ODA/AUS_TMG_RPCH_Value,ODA/AUS_GGXWDG_NGDP_Value,ODA/AUS_GGXWDN_NGDP_Value,ODA/AUS_GGXCNL_NGDP_Value,ODA/AUS_GGXONLB_NGDP_Value,ODA/AUS_GGR_NGDP_Value,ODA/AUS_GGSB_NPGDP_Value,ODA/AUS_GGX_NGDP_Value,ODA/AUS_NGSD_NGDP_Value,ODA/AUS_PPPEX_Value,ODA/AUS_PCPIPCH_Value,ODA/AUS_PCPIEPCH_Value,ODA/AUS_PCPI_Value,ODA/AUS_PCPIE_Value,ODA/AUS_NGAP_NPGDP_Value,ODA/AUS_PPPSH_Value,ODA/AUS_NID_NGDP_Value,ODA/AUS_LUR_Value
1991-12-31,-0.024048861178267003,0.012172393709959,0.020732453511161,-0.32218091697646,0.7828418230563,1.1285694190463,-0.39719509140997,-0.71615076858286,0.31500851374361,0.31504277070728004,-8.8006993006993,-1.1750940242374,-0.0011537447257384,5.7455830388693,0.082595673876872,-0.2038642342692,-0.015552099533437,-0.5667530342288299,-0.77847181871005,0.031766753698869,0.015254237288136003,-1.8792243767313002,-0.033772652388797,-0.14150161909782,0.3828867761452
1992-12-31,-0.0046936114732724,0.01024224638932,0.050518205663443005,-0.0060938452163315,-0.53518796992481,-0.63183980967486,-3.6767760697964,-7.221810089020799,0.27931927487976,0.44677137870854994,0.8704616763783101,5.0668257756563,-0.031418105013036005,0.9476165531692,0.030431575064552,0.047778981581798,-0.011848341232227999,-0.6814604973245201,-0.78098360655738,0.010122311261071,0.0033388981636061,-0.08443604284814099,-0.076726342710998,-0.0030263157894736,0.11895833333333
1993-12-31,0.0031438302331674,0.0092270889104063,0.065213361294882,-0.08123850398528501,0.28388870915561,0.13408723747981,-0.25236690982462,-0.32144986288303,0.1079019664546,0.20846584055269,-0.0064701653486701,-0.088119590873328,0.0014310538689563,0.08041958041958099,0.00044746733488457,0.09657739633957199,-0.01119104716227,0.7332015810276701,4.4790419161677,0.017536534446764,0.018302828618968002,-0.6180316586373,0.019390581717452,0.057366591878932,0.010798733941538002
1994-12-31,0.031470357795769,0.0098199672667757,0.06926988443235901,0.48982315648982006,-0.0062996094242158,0.21763216207661,1.9667843055844,1.7109471094711,0.035237691278671,0.054764065335753,-0.2223830197781,-0.47670405522002,0.019836004218979,-0.19940253920835999,-0.010108238661777,0.027581329561528,-0.0080840743734842,0.12314709236032,0.42841530054645,0.019696347968813997,0.026143790849673,-1.9567567567568,0.015398550724638,0.067651341793218,-0.10508380917296
1995-12-31,0.036713508038992,0.012686525456883,0.051230341993368,0.10212765957447,-0.3486750348675,-0.53828155466008,-0.40410048282136,-0.36219859994815,-0.019824135648775002,-0.0087753258484966,-0.37003722084367,-1.0585325638912,0.035797691332488,-0.37748756218905,-0.0036146755828664,-0.049919706354669004,0.0097799511002445,1.3492385786802,0.94950267788829,0.04627766599597599,0.05095541401273901,-1.6572504708098,-0.0071364852809991,-0.0056505981840148,-0.1286405269116
1996-12-31,0.014043228721456002,0.01158940397351,0.061889014415690995,-0.3111156269051,1.0441892154954,2.2018581081081,-0.14725223109441002,-0.21290650406504003,-0.05755627009646299,-0.075858178188604,-0.56326932545544,14.971830985915,0.032756788095468,-0.5914085914085899,-0.0038394098796784,0.029700101414979998,-0.0016142050040355,-0.43496110630942003,-0.7027080062794301,0.026153846153846,0.015151515151515,-0.54154727793696,0.0044923629829291,-0.020340178711396997,0.0038974843510097
1997-12-31,0.0074662813102119,0.009819967266776,0.058498423517833,-0.16401179941003,0.18407770688506,0.25085729359007997,0.4658496282015999,0.6451904454486801,-0.11675196178778999,-0.14698285982625,-1.0710259301015,0.5652557319224,0.0078280938123752,-1.1430317848411,-0.021213316743043,0.014069974674046002,-0.0024252223120454,-0.91395793499044,-1.1973597359736001,0.0022488755622188,-0.0029850746268657,0.60625,-0.00089445438282658,-0.024042885146218,-0.015647058823529
1998-12-31,0.018049246951948,0.010588870880604999,0.06130684630781501,0.65561044460127,-0.9854431397780301,-1.046323632785,-0.36270549553781,-0.35692983832993,-0.082316131025958,-0.19273327828241002,4.4285714285714,-0.023661971830986,0.067275259167569,0.53846153846154,0.058756046136674005,0.0050411617796689,-0.006482982171799,2.8222222222222,-6.006688963210701,0.0086013462976814,0.014970059880240002,-3.295719844358,0.024171888988362002,0.07710280373831799,-0.081749731086411
1999-12-31,0.018316308559352002,0.011386720838233999,0.057611307707126996,0.12830349531117,24.281767955801,-7.860394537177499,0.22818396226415,0.26299731510862,-0.049585385360104005,-0.246863066012,2.7456140350877005,0.30582804385459,0.071153121285047,4.2,0.044367001493542994,-0.044682711334039,-0.0032626427406199,0.72441860465116,0.28056112224449,0.014831294030404,0.019174041297935,0.42881355932203,0.0061188811188812,-0.00015222437873431,-0.10620851229988001
2000-12-31,0.026403781851723998,0.011734235424705001,0.054356079490109996,-0.26199471099358,1.3870192307692,1.1747401017474,-0.044887181949111996,-0.14397526331045998,-0.13472695867842,-0.35385729808041,0.35675253708041,0.067167476800707,-0.013940394662046999,0.40918803418803007,-0.027255902641467007,0.045327552986512,0.021276595744681,2.0053944706676,2.0198226395409,0.044574351479722,0.057887120115774,-0.6571767497034399,-0.016507384882711,-0.045065276139002,-0.087374399301005
