Date,ODA/SVK_LE_Value,ODA/SVK_LP_Value,ODA/SVK_PPPGDP_Value,ODA/SVK_BCA_NGDPD_Value,ODA/SVK_TX_RPCH_Value,ODA/SVK_TXG_RPCH_Value,ODA/SVK_TM_RPCH_Value,ODA/SVK_TMG_RPCH_Value,ODA/SVK_GGXWDG_NGDP_Value,ODA/SVK_GGXCNL_NGDP_Value,ODA/SVK_GGXONLB_NGDP_Value,ODA/SVK_GGR_NGDP_Value,ODA/SVK_GGSB_NPGDP_Value,ODA/SVK_GGX_NGDP_Value,ODA/SVK_NGSD_NGDP_Value,ODA/SVK_PPPEX_Value,ODA/SVK_PCPIPCH_Value,ODA/SVK_PCPIEPCH_Value,ODA/SVK_PCPI_Value,ODA/SVK_PCPIE_Value,ODA/SVK_NGAP_NPGDP_Value,ODA/SVK_PPPSH_Value,ODA/SVK_NID_NGDP_Value,ODA/SVK_LUR_Value
1994-12-31,-0.017690875232775002,0.0056518462697815,0.08464987441019702,-1.8834431630972002,,,,,,,,,,,0.28184876407781,0.10903426791277,,,0.13464607527806,0.11795245468622001,-0.16666666666667002,0.03125,-0.14957403651116,0.14960629921260002
1995-12-31,0.017535545023697,0.0056200824278757,0.10122281138405001,-0.5363636363636399,-0.58185390974387,-0.2751075369366,-3.5831396577223997,-6.3770384866275,,,,,,,0.017305644302449,0.067415730337079,-0.2653743315508,-0.372499152255,0.09888992274900998,0.074018249959263,-1.0,0.03787878787878799,0.16095024567094,-0.061643835616438
1996-12-31,0.036329762459246004,0.0020491803278687,0.088931252702331,-5.9753645047763,-1.2254091719331999,-0.7680598555211601,0.41845247832488003,0.21818512677423,,,,,,,-0.08314951209481401,0.023684210526316002,-0.4170457992114,-0.26209132666847,0.057676781600142,0.054617864593211,,0.029197080291971,0.39988494884333,-0.08029197080292
1997-12-31,-0.04314606741573,-0.0053913366796802,0.062320645405815,-0.07730396119644299,-4.549245147376,1.3040415276233002,-0.67835313112674,-0.74122392072897,,,,,,,0.011213962402641999,0.041131105398458,0.039715574054804005,0.14573416331014002,0.05994935954721499,0.062578672900558,-4.4822222222222,0.0,0.0062520179635444,-0.056984126984127
1998-12-31,-0.0046970408642554,0.0014953271028037,0.05494393476044901,0.043149709779871,3.2444804537167995,2.5383006115224,2.4297239153818997,2.7725610929382003,0.022526527950679,-0.15438262799176,-0.25218258917436,-0.050824788230049,-0.21501108906268002,-0.064158116338961,-0.056375514154367,0.039506172839506006,0.1162635529608,-0.058964525407478,0.066921941965854,0.05889321374175,-0.12284620293555001,0.021276595744681,-0.021235633860335,0.06951691634405
1999-12-31,-0.025483718735253,0.0020530048525569,0.015685895577672998,-0.40776902887139,-0.41717967072297996,-0.39577932414609,-0.97679159479379,-0.94017137610935,0.38599339092121004,0.39156513589503006,0.45797198132087996,0.0055622852339868,0.041486988847584,0.05049468189660801,-0.018931623931624,0.05938242280285,0.5705319784817701,1.4044829342843,0.10510026011656,0.14160140642479999,-1.3779556202254999,-0.034722222222222,-0.17160398164152998,0.29776518728359996
2000-12-31,-0.019370460048426002,0.0014900353883405,0.036753979831293,-0.39780180819004,-0.26823876197494,-0.22491531802785003,17.337837837838,7.985507246376799,0.051972225707952006,0.65247844827586,1.086936627774,-0.019765955354509,-0.18403769274700002,0.084014220669868,-0.016378446661148998,0.069506726457399,0.15794481446242,-0.40677966101695,0.12169651103894001,0.08399832003359901,1.9451395572666001,-0.028776978417266,-0.06526118866023901,0.14649527043414998
2001-12-31,0.0059259259259259,0.00037195462153613,0.058391704646255004,1.4383279364144999,-0.2254671590019,-0.36428085850248004,0.6508228936379301,0.33074003795066,-0.028628799777332,-0.46943267036192,-0.62168384126288,-0.048103932584269996,-0.04969378827646499,-0.14723820483314,-0.063327576280944,0.027253668763102996,-0.41257189811011,-0.20047619047619,0.07149213095159,0.067157432519695,0.096732026143791,0.0074074074074074,0.13817258101763,0.029088216627882003
2002-12-31,0.00049091801669116,0.0009295408068415699,0.061889486156870004,-0.045877097669925995,-0.24284888760474,-0.20134433241674,-0.67591697046351,-0.72130329388279,-0.12235207433636,0.26240589952374,0.5131845841785,-0.029272276966855,0.018228687166268,0.013426894271642,-0.0048697461112950004,0.022448979591837004,-0.51363827108687,-0.5369267421084,0.03476784253452,0.03110250514341,-0.14243146603099,0.014705882352941001,-0.01653591234952,-0.033405283174016004
2003-12-31,0.010794896957802,0.00092867756315005,0.068637990392859,-0.24927242819183,2.0408319023087,2.9818286151492,0.70569329660239,1.0642107955999,-0.02453300995779,-0.66216380674212,-0.78839525086174,0.013951089759248999,-0.9128390596745,-0.10934309809142999,-0.08490117825921699,0.031936127744511,1.4242162784008998,1.9700964630225,0.084280631984955,0.09237089201877902,-0.18415566365532,0.0072463768115942,-0.15397311143967002,-0.059336452573373
2004-12-31,-0.0019417475728155,-0.0035257005010206,0.07947180094485001,0.32378223495702,-0.5371776369454699,-0.62295239467743,0.12018842530283,0.27388771842855,0.015754620000478,-0.15021613832853,-0.17556561085973002,-0.054661776909281,2.3609958506224,-0.06127127301721799,0.035408338092519,0.030947775628627005,-0.11626527464705,-0.38464869546390007,0.07449264795236399,0.056838938433437,-0.16482112436116,0.0,0.070636049583418,0.037644132941442005
