Date,ODA/JOR_LE_Value,ODA/JOR_LP_Value,ODA/JOR_PPPGDP_Value,ODA/JOR_BCA_NGDPD_Value,ODA/JOR_TX_RPCH_Value,ODA/JOR_TXG_RPCH_Value,ODA/JOR_TM_RPCH_Value,ODA/JOR_TMG_RPCH_Value,ODA/JOR_GGXWDG_NGDP_Value,ODA/JOR_GGXWDN_NGDP_Value,ODA/JOR_GGXCNL_NGDP_Value,ODA/JOR_GGXONLB_NGDP_Value,ODA/JOR_GGR_NGDP_Value,ODA/JOR_GGSB_NPGDP_Value,ODA/JOR_GGX_NGDP_Value,ODA/JOR_NGSD_NGDP_Value,ODA/JOR_PPPEX_Value,ODA/JOR_PCPIPCH_Value,ODA/JOR_PCPIEPCH_Value,ODA/JOR_PCPI_Value,ODA/JOR_PCPIE_Value,ODA/JOR_PPPSH_Value,ODA/JOR_NID_NGDP_Value,ODA/JOR_LUR_Value
1991-12-31,,0.067185697808535,0.050009962143853,-0.05385105028644201,-2.5609756097561003,-2.5609756097561003,-1.4244604316547,-1.4244604316547,-0.086936932836976,-0.098599815938245,0.36195173976803,-1.399209486166,-0.048444601692839005,,0.021155889067197,-0.43388429752065993,0.021857923497268002,-0.49635622529643997,-0.27557389188617,0.081555855551806,0.06847932269619,-0.017543859649123,-0.18931030003897,0.11904761904762
1992-12-31,,0.0386382058903,0.16957621758380997,-0.030745425188375,0.203125,0.203125,-6.0677966101695,-6.0677966101695,-0.25360986088890003,-0.25263448505779,-1.1845144870791002,-15.297029702970002,0.07470754797929201,,-0.21005334336749,0.93743482794578,0.053475935828877,-0.50741876149601,-0.46568341121495,0.040160391930476,0.036586109164051,0.035714285714286004,0.32664423616118,-0.06382978723404299
1993-12-31,,0.038761706555670995,0.069709588448434,-0.19185118345248997,-0.7012987012987,-0.7012987012987,-0.7959866220735801,-0.7959866220735801,-0.08546968594114199,-0.09583617937744802,-2.1533156498674,-0.6295013850415501,-0.07390552228875599,,0.035949452212166,0.49437866283937,-0.0050761421319797,-0.17749564351505998,-0.46460781634326004,0.033044834775826,0.019580460699428003,0.017241379310345,0.10600525346457002,0.11363636363636
1994-12-31,,0.03656398697721,0.072143579373104,-0.44627673280082003,2.0721739130434997,2.0721739130434997,-1.4309836065574,-1.4309836065574,-0.077860533041256,-0.09966544355708999,0.078656853725851,-0.28785046728971997,-0.062388643025460995,,-0.05409499080385201,0.074472768017928,0.051020408163265,0.066585956416465,1.43797856049,0.035240307826338996,0.047765971251026995,0.016949152542373,-0.09104062022275601,-0.19387755102041
1995-12-31,,0.030200531529354997,0.08402885839581299,-0.40856212191717,0.23124823096519,0.23124823096519,0.17915557246101,0.17915557246101,-0.08986673212603,-0.07841945288753799,-0.25543710021322,0.20734908136483,0.053544610292089005,,0.032797666704792006,0.08569832402234599,-0.0048543689320388,-0.33229284903519,-0.12206867671692001,0.023535352118602,0.041928115367679,0.03333333333333299,-0.0099708682463884,-0.025316455696203
1996-12-31,,0.027908067542214,0.039366653616947,-0.15945449777078,-1.3093103448276002,-1.3093103448276002,-3.4967741935484,-3.4967741935484,-0.0096486801579983,-0.042513657140734,0.89232531500573,-0.64534161490683,-0.022517018676907002,,0.021733713557961002,-0.062879489554389,0.0048780487804878,1.7628559286018,-0.39494395420940004,0.06500856457691001,0.025370118464322,-0.016129032258065,-0.07407856817837101,-0.14935064935064998
1997-12-31,,0.028062970568104,0.050933288691722,-1.1257410296412,-3.5265700483092006,-3.5265700483092006,-1.3011627906977,-1.3011627906977,-0.06310342707043,-0.076576751406947,-0.082021791767554,0.09719789842381801,-0.061517857142857006,,-0.06335356600910501,-0.043451204334139,-0.0048543689320388,-0.53268727888017,1.4887662593615,0.030378671882037002,0.063137557959815,-0.016393442622950997,-0.15709464993611,0.09923664122137402
1998-12-31,,0.025965379494007998,0.0412966429055,-0.3151364764268,-0.58552728342403,-0.58552728342403,1.3419133419133,1.3419133419133,0.028711812913752004,0.09662911903160698,0.83547642598088,-2.0686352753392,-0.036184314844765995,,0.040270786321819,-0.15445256591788,0.048780487804878,0.013495720868993002,-1.1301868862844,0.030794205794206,-0.0082140001453805,0.016666666666667,-0.15193563432836,-0.0625
1999-12-31,,0.024875621890547,0.049640507878232,16.996376811594,0.025904897090134996,0.025904897090134996,-0.7831104597911701,-0.7831104597911701,-0.015450103912203,-0.029157563910927005,-0.50044907490569,-2.2471994025392004,0.018063964201106,,-0.06221146893598099,0.2010409594931,-0.018604651162791,-0.8057810977590101,-4.4355231143552,0.0059724274949724,0.028241962278902,0.0,-0.011412072047298001,0.065185185185185
2000-12-31,,0.025116082735331002,0.066239160533411,-0.85826454600362,1.7184365271531998,1.7184365271531998,-18.577702702703,-18.577702702703,-0.06975086332200799,-0.12906505068051,0.35922330097086996,-0.31497005988024,-0.029313855402217006,,0.0027579253284305,-0.13079850774389998,-0.028436018957346,0.12709030100334,-1.6575779036827,0.006743819169306,-0.018568237977570998,-0.016393442622950997,0.036717663421418995,-0.046870653685675
2001-12-31,,0.024912497426395,0.076681246582832,-0.9275568181818199,1.9391780124698001,1.9391780124698001,-0.8461945031712499,-0.8461945031712499,-0.039819265717214995,0.049623770454649004,-0.20767195767196,-0.088286713286713,0.0076579876140374,-0.36265024919378,-0.016413319926658,-0.08488684644064899,-0.014634146341463001,1.6231454005935002,-3.0306946688207,0.017679637316236,0.037705930059434,0.03333333333333299,-0.058357928628924007,0.07186633591128
