Date,ODA/POL_LE_Value,ODA/POL_LP_Value,ODA/POL_PPPGDP_Value,ODA/POL_BCA_NGDPD_Value,ODA/POL_TX_RPCH_Value,ODA/POL_TXG_RPCH_Value,ODA/POL_TM_RPCH_Value,ODA/POL_TMG_RPCH_Value,ODA/POL_GGXWDG_NGDP_Value,ODA/POL_GGXWDN_NGDP_Value,ODA/POL_GGXCNL_NGDP_Value,ODA/POL_GGXONLB_NGDP_Value,ODA/POL_GGR_NGDP_Value,ODA/POL_GGSB_NPGDP_Value,ODA/POL_NGSD_NGDP_Value,ODA/POL_PPPEX_Value,ODA/POL_PCPIPCH_Value,ODA/POL_PCPIEPCH_Value,ODA/POL_PCPI_Value,ODA/POL_PCPIE_Value,ODA/POL_PPPSH_Value,ODA/POL_NID_NGDP_Value,ODA/POL_LUR_Value
1991-12-31,,0.0026187608023883,-0.039099632686786005,-1.5398785425101,-1.0443399395364,-0.7156144663811199,28.607,0.80433694745621,,,,,,,-0.38792719167904993,0.5020746887966799,-0.87999317173097,-0.30267628094017,0.7029855868222401,0.60348615790245,-0.09110629067245099,-0.22274937729807,0.87301587301587
1992-12-31,,0.0026119208065612,0.043585235762114,0.31196100487439005,-7.283216783216799,-0.8557169592727901,-0.94156787246259,-0.90283812517334,,,,,,,-0.18905140498877,0.36187845303867,-0.38833570412518004,-0.26370038942746,0.43002518891688,0.44432264547365,-0.08233890214797099,-0.23775370059515,0.15254237288135997
1993-12-31,,0.0029958839160109,0.067682882059733,0.83052300657331,-0.70766091634205,-0.5386040765904899,6.657803468208099,4.139391056137,,,,,,,-0.16067953899117002,0.26977687626775,-0.17906976744185998,-0.15189503060857,0.35299091101247,0.3768262601986,0.022106631989597,0.024958291624958,0.20588235294117999
1994-12-31,,0.0020778681073220003,0.074792455425194,-1.0953942232631,5.7534898477156995,27.496653279786,-0.21822161835749002,-0.46704619087290994,,,,,,,0.8476148016049899,0.33865814696485996,-0.087818696883853,-0.21296075153251998,0.32200697807634004,0.29659148330194,0.020356234096692002,0.13952731297610999,-0.30487804878048996
1995-12-31,,0.0,0.08953605755559402,0.0049099836333879,-0.16225865551745,,1.2207202857969999,-0.06035605731654401,,,,,,,-0.06712996477004,0.31264916467779996,-0.13431677018634,-0.27169734978758,0.27875051700707,0.21599263077713002,0.029925187032419,0.069363501314136,0.17131578947368
1996-12-31,,0.0007257458334413,0.08178012965023199,-4.3925081433225,-0.32978186508159,-0.43853055855687,0.21769565217391,1.5884473197782,-0.11429096327747,-0.61956843038723,0.10192525481313999,-1.2275810097965,0.065612009237875,-0.010875285037713001,-0.027832384893947,0.15818181818182,-0.28609865470852003,-0.14351851851852,0.19899577981085997,0.18501252840744,0.023002421307506002,0.11535584526607999,-0.07473975885568801
1997-12-31,,0.00077702090186229,0.08919911696583699,0.75420067210754,0.024598393574297,0.024598393574297,-0.23569107723069002,-0.23569107723069002,-0.010693708227702,-1.0528360528361,-0.048098663926002004,-0.6887417218543,-0.093886131639973,0.01010817520837,0.05230949340144699,0.12009419152276,-0.25125628140704004,-0.28648648648649,0.14899930632273997,0.13199498426436,0.027218934911242998,0.12234730538922,-0.08878996357749902
1998-12-31,,0.0005434923264058,0.061208159242,0.09770114942528699,0.17850726767924,0.17850726767924,-0.1324395029431,-0.1324395029431,-0.09404556678935799,20.088235294118,-0.076657309436407,1.7553191489362,-0.041641751775932996,-0.11850421348314999,0.064475347661188,0.098808689558514,-0.20805369127517,-0.34848484848485,0.11800547822683999,0.086000369240126,0.024193548387097,0.069657262367152,-0.059513235032866
1999-12-31,,0.00018106570098306,0.061236683565243,0.85539765644478,-1.1742655210643,-1.1742655210643,-0.94394486026601,-0.94394486026601,0.017434235902182998,3.4253835425383996,-0.45954162768942997,-3.4864864864864997,0.008460616951183001,-0.43596893049193003,-0.15353919239904998,0.044005102040815994,-0.38135593220339,0.1396511627907,0.073,0.09801,0.010123734533183,0.0079406248753043,0.30147336607479996
2000-12-31,,-0.010448185791501998,0.066320497028792,-0.18852459016392997,-10.228628230616,-10.228628230616,13.914505283380999,13.914505283380999,-0.07026057067758501,0.09013551843681099,0.31025530073561,-1.0062111801242,-0.058257232657708005,0.36935028248588003,0.05573016051184201,0.04825901038485,0.38356164383561997,-0.13274155698398,0.10099720410065,0.08499922587226,-0.0055679287305123,-0.016231195566111998,0.16821480406386
2001-12-31,,-0.00023521417557432003,0.035117774006713995,-0.48302699122371,-0.86566135286514,-0.86566135286514,-1.3431018935978,-1.3431018935978,0.02106722483486,1.0092512286788,0.7410832232496701,536.5,0.012587706619714999,0.2282104177411,-0.061772367231939004,0.011655011655012,-0.45544554455446007,-0.5764705882352901,0.055003936108077994,0.036001477328051,-0.011198208286674,-0.16414486921529,0.1345508758852
2002-12-31,,-0.00031369268573222,0.030008263855322004,-0.1040999359385,0.54714560615779,0.54714560615779,-1.5205556598461003,-1.5205556598461003,0.12241094723391001,-0.03705035971223,-0.054248861911987994,-0.024186046511628,0.019204816775667,-0.23892504723913,-0.1032919712165,0.0074884792626729,-0.65454545454545,-0.77777777777778,0.018999478477153,0.0080049909660274,-0.014722536806341998,-0.10336526888450001,0.09187472623740699
2003-12-31,,-0.00060143297944658,0.059381724208774,-0.097604576331784,1.9444444444443998,1.9444444444443998,2.4752975117202003,2.4752975117202003,0.11605787476281,0.31684721703399,0.24187725631769003,0.53527168732126,-0.020039722957833,0.36634482758621,0.024769366864653003,-0.01600914808462,-0.55684210526316,1.125,0.0084171240049448,0.017000104492368,-0.003448275862069,0.0063359106529211,-0.014993481095176002
2004-12-31,,-0.00073261990109628,0.082415069997591,1.0764659270998,-0.01569980287243,-0.01569980287243,0.64324997405832,0.64324997405832,-0.029052345227721998,-0.14070123680926,-0.13049095607235,-0.18410431542999,-0.032376250487202995,-0.0096910963052695,-0.08576889875447,0.013364323067984,3.1472684085511,1.5882352941176001,0.034917858704479,0.043998861893998,0.0011534025374856,0.07080354284494701,-0.034057934124115
2005-12-31,,-0.00044513105181857003,0.069507229649578,-0.54531577943141,-0.43051283885272995,-0.43051283885272995,-0.7008714321798399,-0.7008714321798399,0.030687738037911003,0.04760332761125,-0.24349925705795,-0.5144596651446,0.057144391632428,-0.37064220183486,0.13866594725838,-0.0057339449541284,-0.38917525773196004,-0.8409090909090899,0.021328766296475,0.006995071654062,-0.011520737327188998,-0.040011958742338996,-0.06477284705386299
2006-12-31,,-0.00044532928171014003,0.094915738410835,0.61519093579522,0.83848279326802,0.83848279326802,2.6626556892548,2.6626556892548,0.013803941556235,-0.055208924182265,-0.10901055732875001,-0.23589341692789997,0.022048924225875,0.23679948169744,0.019013208552982,-0.015570934256055002,-0.51570557899672,1.0,0.010334562055389,0.014005728591081998,0.0081585081585082,0.092702169625247,-0.22006198929276
2007-12-31,,-0.00083864035432546,0.096268500475094,0.6180826188620401,-0.3771006968165,-0.3771006968165,-0.21296829971182,-0.21296829971182,-0.057647995307720995,-0.31839103462077,-0.48167539267015996,-1.4420512820513,0.0017646327824033,-0.45992666317444,0.05893978144617501,0.012888107791447,1.4123910939013002,1.8571428571428998,0.024917745119543998,0.039998517200475,0.011560693641619,0.16117233517006,-0.30621387283237
2008-12-31,,-0.0002360655737705,0.071887128951412,0.060211946050096,-0.22669445053739998,-0.22669445053739998,-0.41142438667154996,-0.41142438667154996,0.047125772462544006,-0.029164220003915,0.9585326953748001,-4.3874709976798,-0.018855753485833,0.97284190106693,-0.050554396750467,0.010989010989011,0.6922150882825001,-0.175,0.042167815206379994,0.032999465335947,0.021714285714285998,-0.022294947842095,-0.25869610497813
2009-12-31,,0.00052471403085327,0.024000877144892997,-0.39754656974103003,-1.9652531555808002,-1.9652531555808002,-2.5469702625357997,-2.5469702625357997,0.08069035791618902,0.50141129032258,1.0268729641694,2.3068493150685,-0.060006068881808,0.67354965585054,-0.05365092212522401,0.029748283752859997,-0.18188285511026997,0.060606060606060996,0.034499517417464994,0.035002484403467,0.019015659955257,-0.14866108786611,0.14723236864288
2010-12-31,,0.00081288021816653,0.051437993875409004,0.28632478632478997,-2.7760799294739997,-2.7760799294739997,-2.116222955039,-2.116222955039,0.07798534582670401,0.40143682019605,0.056917101915093,0.07787903893951899,0.0099803620907647,0.13792596944771,-0.029812450363492,0.0016666666666666,-0.25130434782609,-0.11428571428571001,0.025832236036762997,0.030998293060223,-0.013172338090011003,0.031994888681377995,0.18013715405339004
2011-12-31,,0.0095108339665156,0.066783437544553,-0.023060386945476002,-0.36259099933819006,-0.36259099933819006,-0.6061392131431,-0.6061392131431,0.024582247571842006,0.22828534470367998,-0.36632032437912004,-0.554381245196,0.022213935648838997,-0.30476313411642997,0.07417668912537,0.011092623405435,0.65195509097948,0.48387096774194,0.04266833512865,0.046001616814874996,0.0044493882091212,0.050480998190304,-0.0006226003943136099
2012-12-31,,0.0002076304178561,0.038249599068311005,-0.25545109021804,-0.49578195976639,-0.49578195976639,-1.1238565678741002,-1.1238565678741002,-0.011933980720663,0.043841173258444,-0.21775644871026,-0.5360068995256599,-0.0019281880243889,-0.29409580393613,-0.018230845887801002,0.0065825562260011,-0.13288024373096,-0.47826086956521996,0.037000148470751,0.023995597818694,-0.0099667774086379,-0.07199202103545199,0.047450939673969
2013-12-31,,-0.00012974207275923998,0.030657289999,-0.63138097796883,0.17503217503218,0.17503217503218,-2.8449039881832006,-2.8449039881832006,0.028260282602826,0.14344966743891,0.10403885480573001,0.5622676579925601,-0.020128446115288003,-0.14229352972120002,0.036601385240029,-0.0059945504087193,-0.75675675675676,-0.70833333333333,0.0089960567682204,0.0070040273157065,-0.015659955257271003,-0.08485588666341001,0.023493259318002002
2014-12-31,,0.00010380712635917,0.049777090874219006,0.12244897959184001,-0.10405257393209,-0.10405257393209,4.6028823058447,4.6028823058447,-0.13477461706783,-0.25891310741479,-0.25399398008798,-0.46638905413444,0.0140143340527,-0.19901870591843,0.098899832958931,-0.0076754385964912,-0.87222222222222,-1.0057142857143,0.0011469991781809,-3.5975752342922e-05,0.0,0.10067794800619001,-0.079709443099273
2015-12-31,,2.59490878895e-05,0.052209594685458,0.3727272727272701,0.25305623471883,0.25305623471883,-0.10002857959417,-0.10002857959417,-0.0083356937644155,0.025972307963665002,-0.21291123525760003,-0.6677814938684499,0.0068052234688247,-0.12098009188361,0.013156515358004,0.0077348066298343,6.1304347826087,-366.0,0.0082087745303578,0.014600684763121,-0.0045454545454545,0.040254134536108,-0.00063144601136605
2016-12-31,,-5.1896829103621e-05,0.054531339595061,0.16035950804163,0.21053658536585,0.21053658536585,0.14210860590664,0.14210860590664,-0.011425307055127,0.018910903855246002,-0.2294952681388,-1.8322147651007,0.0050106999321468,-0.14677700348432002,0.0035180299032541,0.0054824561403509,1.4853658536585,0.6,0.020378278009149,0.023355869698832004,-0.0045662100456621,0.019115110261551,-0.023799494524009996
2017-12-31,,-0.00020759809009764,0.055814510068592,0.10110069302894,0.047227595099935994,0.047227595099935994,0.0022243848185736,0.0022243848185736,-0.027655095554547003,-0.014341755599612,0.095701125895599,-0.49596774193548,-0.0075824461178913,0.09851965288412501,-0.00025777182038454,0.0043620501635769,0.1864573110893,0.07020547945205499,0.024179104477612005,0.025,-0.0057339449541284,0.010750720527013998,-0.014778856526429
2018-12-31,,-0.00031146179401995,0.057640485706618,0.079600148093299,0.015391719255041,0.015391719255041,-0.020391177694548,-0.020391177694548,-0.030118436133633,-0.017974065990499,-0.071461933675852,0.696,0.00070647338950217,-0.070167286245353,-0.0017017326732672,0.004343105320304,0.033912324234905,0.0,0.024998318498756,0.024998732315805,-0.0046136101499423,0.008011224766904999,-0.011058797766342
2019-12-31,,-0.00031155883269292,0.057870872443865996,0.010973936899863002,-0.00030316810671527,-0.00030316810671527,-0.01458510337015,-0.01458510337015,-0.033023306707517,-0.022137970105025,-0.020120724346076,-0.13207547169811,-0.0013858020656294,-0.016991504247876002,0.0085231675189834,0.0043243243243243,0.0,0.0,0.02500109366114,0.024999175488935002,-0.0034762456546929,0.0085312738538906,-0.0012178919397696
