Date,ODA/BWA_LE_Value,ODA/BWA_LP_Value,ODA/BWA_PPPGDP_Value,ODA/BWA_BCA_NGDPD_Value,ODA/BWA_TX_RPCH_Value,ODA/BWA_TXG_RPCH_Value,ODA/BWA_TM_RPCH_Value,ODA/BWA_TMG_RPCH_Value,ODA/BWA_GGXWDG_NGDP_Value,ODA/BWA_GGXCNL_NGDP_Value,ODA/BWA_GGXONLB_NGDP_Value,ODA/BWA_GGR_NGDP_Value,ODA/BWA_GGX_NGDP_Value,ODA/BWA_NGSD_NGDP_Value,ODA/BWA_PPPEX_Value,ODA/BWA_PCPIPCH_Value,ODA/BWA_PCPIEPCH_Value,ODA/BWA_PCPI_Value,ODA/BWA_PCPIE_Value,ODA/BWA_PPPSH_Value,ODA/BWA_NID_NGDP_Value
1991-12-31,,0.032093362509117,0.09769253820797098,-16.467391304348,-1.3012802112636002,-1.4264164181723002,0.048710188788010006,-0.41384850803365997,,,,,0.056008825944170997,0.022656030989577,0.0085836909871245,0.10526315789474001,0.05,0.12599007865814998,0.12600015949387,0.04,-0.14023880597014998
1992-12-31,,0.025441696113073998,0.020611520611521,-0.37442023893183,-0.8001143292682901,-0.8517071164129999,0.41294489487426,0.27411565069834004,,,,,0.029495371607668,-0.012360446570973,0.06638297872340401,0.30952380952381,0.30952380952381,0.16500340765260998,0.16501805991642998,-0.11538461538462,0.018991736684952
1993-12-31,,0.025499655410062,0.06499933128259999,1.0894181082903,6.3231649189704004,9.8904299583911,0.06798288270764401,0.068333162585801,,,,,-0.0080947773346234,-0.14680056519984,0.13727055067837,-0.12727272727273,-0.23030303030303,0.14399431711343,0.12699345478125001,0.043478260869565,-0.12296841459675
1994-12-31,,0.03494623655914,0.013311565992716,-0.45473118279569996,-2.9183806300443,-3.0333672949567,-0.078863491485293,0.055619485999233005,,,,,-0.10354508684272999,-0.14591589282546,0.020350877192982,-0.26388888888889,-0.22834645669291,0.10601771527713999,0.09799338319907902,-0.041666666666667,-0.016122766122766
1995-12-31,,0.021428571428571,0.10261494608997,0.17412739104713001,-0.20051570876026,-0.40122760866842,-0.72318339100346,-0.46420784883721,,,,,-0.033733213015552994,0.09961911357340698,0.044016506189820996,-0.0094339622641509,0.10204081632653,0.10498678996036999,0.10799790390725,0.043478260869565,0.040315893385982
1996-12-31,,0.0184361093452,0.063392154658874,0.65518978837756,-0.98531658462061,-0.51610878661088,1.2435714285714,-0.48033231603934007,,,,,-0.018650259565468,0.17485908618572,0.16139657444004998,-0.038095238095238,-0.11111111111111001,0.10100421411278998,0.09600804008217402,0.0,-0.14009716845061998
1997-12-31,,0.024968789013733,0.11605538526583001,0.37838660578387,136.8612716763,4.1264591439689,-6.0561922954473,-11.550081566069,,,,,0.02910882221227,-0.028812650763869997,0.041406693136699,-0.11881188118812,-0.1875,0.088996566092539,0.077996682713702,0.041666666666667,0.0035312293092032
1998-12-31,,0.02557856272838,0.11563595037409,-0.72997644287397,-1.6851153039831999,-1.9086232342398999,-0.52092056795643,-0.6429675903018299,,,,,0.015747389033943,0.0054643300676142,0.08387799564270099,-0.2685393258427,-0.18397435897435996,0.065097091008799,0.063646939617968,0.08,0.44112601715417
1999-12-31,,0.032066508313538994,0.11528013582343,1.7960741548528,-2.8306609547123998,-2.425468720995,-1.3486232503122,-1.5282806409701002,-0.13126959247649,,,,0.011834953276033,-0.078582603683474,0.066331658291457,0.20061443932412,0.32175962293793997,0.078167967515827,0.08413600065859901,0.074074074074074,-0.28845684287633
2000-12-31,,0.011507479861910001,0.082965443750951,-0.084048361934477,-0.97141710961789,-0.7388982940486999,-0.64015080113101,0.32202000327922997,-0.093031123139378,,,,0.012067003625393998,0.16091748585045998,-0.021677662582468997,0.091862845445241,0.0079638654463331,0.085340308453716,0.084798715598321,0.0,0.2675760305409
2001-12-31,,0.014789533560864999,0.02530222097273,0.30870768575686997,-6.080701754385999,-1.8796758104738,-0.20062860136197,-0.65211459754434,0.11077955986572,-1.343804741329,-2.8738402353473997,-0.16847547427790002,0.094679043012159,0.05239659242533099,0.058766859344894,-0.23072416217483,-0.32169811320755,0.06565,0.05752,0.0,0.011404013400562001
2002-12-31,,0.013452914798206,0.076981080340006,-0.5732877826582099,-2.6910681399632,-1.3459957476967002,-2.3119266055046,-2.1475935828877,-0.069845533915379,0.34442934782609,0.048366644526297006,0.048019115153384,0.06886256150575701,-0.17042960940167,-0.0031847133757962,0.22254379284082,0.84283727399166,0.080270257589265,0.10600272335275,0.03448275862069,0.010204764453961
2003-12-31,,0.012168141592920002,0.067150404175418,0.72817384674037,-1.9528995371631002,-3.9721425645227004,-4.6468531468531,-3.0462876669773,0.40709987966306,-0.9441637190500299,-0.14837000345582002,0.033757446495551,-0.052716261815907,0.12676346108629,0.012323140118667,0.14440568153501,-0.39924528301886997,0.09184409176591199,0.063678801662078,0.0,-0.0016228927234791
2004-12-31,,0.012021857923496998,0.055290468805916995,-0.56849768365321,-2.0555714285714,-2.1448656099242,-3.4129571291604,-3.9328981326856,-0.09304712220986901,-6.8914027149320995,-0.19193832003245997,-0.036828874976285,-0.072564284029252,-0.10530297102016,0.071235347159603,-0.23919433859554,0.23900753768844002,0.069877160042007,0.07890040993489301,-0.03333333333333299,0.04432059447983001
