Date,ODA/ESP_LE_Value,ODA/ESP_PPPGDP_Value,ODA/ESP_BCA_NGDPD_Value,ODA/ESP_TX_RPCH_Value,ODA/ESP_TXG_RPCH_Value,ODA/ESP_TM_RPCH_Value,ODA/ESP_TMG_RPCH_Value,ODA/ESP_GGXWDG_NGDP_Value,ODA/ESP_GGXWDN_NGDP_Value,ODA/ESP_GGXCNL_NGDP_Value,ODA/ESP_GGXONLB_NGDP_Value,ODA/ESP_GGR_NGDP_Value,ODA/ESP_GGX_NGDP_Value,ODA/ESP_NGSD_NGDP_Value,ODA/ESP_PPPEX_Value,ODA/ESP_PCPIPCH_Value,ODA/ESP_PCPIEPCH_Value,ODA/ESP_PCPI_Value,ODA/ESP_PCPIE_Value,ODA/ESP_NGAP_NPGDP_Value,ODA/ESP_PPPSH_Value,ODA/ESP_NID_NGDP_Value,ODA/ESP_LUR_Value
1991-12-31,0.007839331043751,0.0593789925789,0.031430219146482,0.75798892202812,0.084411229280445,0.074293433083957,0.27579343138339,0.013536737528545,0.04636438582028,0.19165247018739,1.2219451371571002,0.022900561960795,0.037272178636089,-0.038707931065596,0.037037037037037,-0.11722701576912,-0.15560990522776,0.059345487252222995,0.05524484836379401,-0.08377331925378399,0.0027039206849933,-0.029256875365711005,0.0046187954181549
1992-12-31,-0.017927253870657,0.031497477315081,-0.022644674308078996,-0.09076587493940899,-0.37647994345290997,-0.34007157365316,-0.48834185663517,0.05421350924463401,0.08278970092338701,-0.079580652847272,-1.006734006734,0.041216373062339995,0.029393283529987005,-0.08869908015768699,0.042857142857142996,0.20407819346140998,-0.029688631426502,0.071450730671892,0.05359875072953,-0.70956588551671,-0.09303370786516901,-0.079204339963834,0.12505363820266002
1993-12-31,-0.04126122048729,0.010340774461972,-0.6925057208238001,0.044782087165134,0.46832931840726005,-1.7656456104353002,-2.2053193291547,0.23641651610629,0.14718551720123,0.68599534040901,-316.5,-0.0054001833089746,0.054982817869415994,0.021629416005768003,0.032534246575342,-0.36053184044786996,-0.08097014925373101,0.045701833254599006,0.049255183771239996,-5.154761904761901,-0.033201189296333,-0.087282883826482,0.23358578978914
1994-12-31,-0.0070023603461841,0.045126978777624,0.15162790697674,1.1265467534123998,0.95637907739819,-3.1912327718224,-3.1763879128602004,0.044942618860931,0.14644171000888,-0.08751727314601598,-0.13153724247227,-0.022066698214241,-0.031201782959026002,-0.012350035285815,0.013266998341625,0.032611074633399,-0.11977263499797,0.047172835907897996,0.043361632303631006,0.079910856415154,-0.0076883649410559,-0.0039208185904179,0.065282685512367
1995-12-31,0.024958402662229998,0.062935281628134,-0.7512116316639699,-0.50149970005999,-0.53043606945541,-0.015025770944351998,-0.14581853406522,0.08010164057437201,0.2616017881249,0.08329126703685001,0.030413625304136,-0.030536100853177,-0.015572465050433998,0.10253662022150999,0.013093289689033998,-0.0093259855871131,-0.0036900369003690005,0.046745619772604004,0.04320059077730999,-0.42275943396226,0.0041322314049587,0.051747311827957,-0.050501699975122
1996-12-31,0.01669758812616,0.042906160262972004,-0.26298701298701,0.24163658243081,0.12301712364744,-0.21756097560976,-0.38867468057761,0.06552459145811901,0.054343250070165994,-0.25302889095993003,-1.0076741440378,0.010455524615141999,-0.027682904907424,-0.0052309971298954,0.016155088852988997,-0.22999572100984,-0.24236111111111,0.035989683046161,0.032733374408453,0.8140960163432099,-0.013374485596708001,-0.0088087631218622,-0.035807860262009
1997-12-31,0.036040145985401,0.056438319774199004,-0.6079295154185,0.45280093041286995,0.5355472404116,0.5044207662661501,0.66077170418006,-0.019648810846855,-0.0034106412005457,-0.30754834684966,74.30769230769201,-0.0027818219633943,-0.036628766870031,0.023221182930802,0.0063593004769475,-0.47846624062240006,-0.42590895203178003,0.018762111315016004,0.018786494034018997,-0.26295045045045,-0.0031282586027112,0.016530828383293998,-0.066576086956522
1998-12-31,0.04469396741523599,0.056023264761129,12.213483146066999,-0.46511007338225,-0.5900700578739,0.11852019288728001,0.08853972745550699,-0.030139512386826002,-0.041635365018947997,-0.048048048048048,-0.26557711950970003,-0.010558698542639001,-0.013553385947657,0.013734764416955,0.014218009478673,-0.060202450719233004,-0.27727514635444,0.017635573471059,0.013580862197857,-0.48892284186402,0.019351464435147,0.063009603188983,-0.097282872392043
1999-12-31,0.045872848612575,0.063483049081763,1.4889455782313001,-0.067223746570217,-0.076088571853173,-0.08002694509936001,-0.097003694075797,-0.027242266032884,-0.049732611005625996,-0.56403785488959,1.6675938803894,0.015572301854975,-0.029108506395602994,-0.0036339165545087,0.010903426791277,0.26700680272109,1.0456553755523001,0.022355635328341002,0.027781192378611,-0.77279521674141,0.011800923550539001,0.071163761878382,-0.15936576189196
2000-12-31,0.050846319183235,0.074431903417424,0.35326272634096006,0.36970183179569,0.62875985201866,-0.20758585340851002,-0.22212121212121,-0.048672637262284005,-0.076459158234345,-0.31620839363242,0.06830031282586,-0.0080948550969047,-0.018785222291797,0.0054932684947544,0.010785824345146001,0.5588366890380301,0.44240460763139,0.034834303979852994,0.04006697763425399,-3.7039473684211,0.0020283975659229,0.045948203842940995,-0.11400255754475999
