Date,ODA/MYS_LE_Value,ODA/MYS_LP_Value,ODA/MYS_PPPGDP_Value,ODA/MYS_BCA_NGDPD_Value,ODA/MYS_TX_RPCH_Value,ODA/MYS_TXG_RPCH_Value,ODA/MYS_TM_RPCH_Value,ODA/MYS_TMG_RPCH_Value,ODA/MYS_GGXWDG_NGDP_Value,ODA/MYS_GGXCNL_NGDP_Value,ODA/MYS_GGXONLB_NGDP_Value,ODA/MYS_GGR_NGDP_Value,ODA/MYS_GGSB_NPGDP_Value,ODA/MYS_GGX_NGDP_Value,ODA/MYS_NGSD_NGDP_Value,ODA/MYS_PPPEX_Value,ODA/MYS_PCPIPCH_Value,ODA/MYS_PCPIEPCH_Value,ODA/MYS_PCPI_Value,ODA/MYS_PCPIE_Value,ODA/MYS_PPPSH_Value,ODA/MYS_NID_NGDP_Value,ODA/MYS_LUR_Value
1991-12-31,,0.015328187441834997,0.13193762585498,3.2437686939182,-0.15017751479289998,0.10486666666667,0.041198156682028,0.0061065573770492,-0.09185379689609499,-0.6899338721528299,6.418181818181799,-0.054717432950192,,-0.10257403819541,-0.050696342574514996,0.017418032786884998,0.42228064410122,-0.37191380048523004,0.043278295652787006,0.044006988531198,0.07064017660044099,0.15080090139473,-0.14045499505439998
1992-12-31,,0.028090796355206,0.11368481409060001,-0.5695994361564699,-0.12637515666342,-0.18892174017981,-0.74736655749314,-0.8741700272923499,-0.12198415188009,-0.18483412322275,-0.37359943977591,0.035148828372388,,0.029422649888971,0.08415027078905901,0.0020140986908359,0.1039741219963,0.089979550102249,0.04778312642513299,0.04796778950507799,-0.020618556701031,-0.06424980153479701,-0.14430379746835
1993-12-31,,0.028005034612964,0.1251031359943,0.22025109170306,-0.058898541484019996,-0.26238654962059,1.6583742116328002,2.5694399482033,-0.13489289653137002,-3.2456395348837,1.2683063163779,-0.06534108289996901,,-0.13089460123435,0.093363685225584,0.015075376884421999,-0.25763917957304,-0.27725661872003005,0.035464422735918995,0.034673033139388,0.077894736842105,0.10808212205192,-0.18612157073695998
1994-12-31,,0.027548209366391,0.11535798934597001,0.3574144486692,0.82240853658537,1.0878466969239,0.6718729405562099,1.6364955559586,-0.14495538038892,1.4983818770227,0.3018728437654,0.023695751783727,,-0.05484504808852401,-0.027123937308426,0.017821782178218,0.039469974626445005,0.0051918084799538,0.03688077964940701,0.034840543390229,0.05859375,0.051500612494896,-0.0261070720423
1995-12-31,,0.026809651474531005,0.12120032611839998,0.6032295271049599,-0.13787815418932,-0.081107192889233,-0.058260081201465995,-0.08032335741314099,-0.12708945821084,-0.5720207253886,-0.23471512398258998,-0.1050898395038,,-0.039353709242104,0.0079063131613363,0.015564202334629998,-0.059397884458910005,-0.070875179340029,0.034683122381875,0.03238286499018,0.05904059040590401,0.059171884859958,0.06650831353919201
1996-12-31,,0.026158011797698996,0.12009926955249,-0.5453237410071899,-0.51514661492022,-0.7475028913889201,-0.82960110501863,-0.9864971011782301,-0.14140685142417,0.21912832929782,0.0051941627504328,-0.0015719338358758,,-0.015414404495235002,0.092716012975524,0.018199233716474996,0.0031718569780854,0.0074119827053737,0.034797498294952,0.032625797408244,0.059233449477352006,-0.049541704857928,-0.19949093223035
1997-12-31,,0.02572680582387,0.09159940860372699,0.33928571428571,-0.4130072262368,-0.055798459296272994,0.5551461557356899,10.850415512465,-0.09607733258615801,0.9736842105263199,0.39788385826772,0.013060435824953998,,-0.061504646589287996,-0.00018891347762738,0.016933207902164002,-0.23684966944523997,-0.10606989576947,0.026545694212674,0.029170995221276,0.029605263157895002,0.036043203626018996,-0.028219395866455003
1998-12-31,,0.025954338738573,-0.063539080755256,-3.2281856540083997,-1.0507575757576,0.0011025358324145,-4.8458379402938,-6.4020570359981,0.13558166206875,-1.1718238993711,-0.79774687555008,-0.13496044080249,,0.034349576793492,0.076389451237617,0.07400555041628099,0.99359698681733,0.82201646090535,0.05292060543139701,0.053121761483695004,-0.09584664536741198,-0.37926139669095005,0.31901840490797995
1999-12-31,,0.025790274917167,0.077618031114407,0.20618088168458998,-51.958955223881,2.1052863436123,-1.4804501396418999,-1.4115534400692,0.021564078067422002,3.787701317716,-2.3803307223672996,-0.037646482381283,,0.066139667911337,-0.03937106602803601,-0.014642549526271002,-0.48403551860947996,-0.53585544889893,0.027322971535328,0.024665167160822003,0.026501766784452003,-0.16093720712277,0.062015503875969005
2000-12-31,,0.025534701003927997,0.11153145685922,-0.43167545842753,-0.027751336311049,-0.098453681373244,0.92938963925457,1.4916412574913,-0.056513026052104,1.0155963302752,2.1317780580076002,-0.095209809495524,,0.040165430902791,-0.062390685775446,0.06555944055944099,-0.43207616257781,-0.5117599351176,0.015508183471408001,0.012035720521838997,0.036144578313253004,0.20042891609329,-0.094890510948905
2001-12-31,,0.02672909129602,0.028086678410782003,-0.1321546961326,-1.200180750113,-1.3435090479937,-1.303367301728,-1.3437420879398998,0.17105635797225,-0.27932028523745,-0.3573585665391599,0.21871043376319,-0.44402277039848,0.1010853601748,-0.10206865829551,-0.037735849056603994,-0.079948420373952,-0.012458471760797,0.014276476147838998,0.011892584696153998,-0.018272425249169,-0.09193092154235499,0.18548387096774
2002-12-31,,0.025038345147783997,0.07008677251493901,-0.092309651133181,-3.7242287434161003,-2.6850664223545997,-1.6513801664963002,-1.8059170144856,0.041257557436516996,-0.092,-0.19736842105263003,-0.028396629343183998,-0.061958519296402996,-0.038257588080289,0.015007286595764998,0.016197783461209998,0.25648213034338,0.34819175777965,0.017925453653751998,0.016027670872509,0.023688663282572003,0.015534060168866,-0.054421768707483
