Date,ODA/KEN_LE_Value,ODA/KEN_LP_Value,ODA/KEN_PPPGDP_Value,ODA/KEN_BCA_NGDPD_Value,ODA/KEN_TX_RPCH_Value,ODA/KEN_TXG_RPCH_Value,ODA/KEN_TM_RPCH_Value,ODA/KEN_TMG_RPCH_Value,ODA/KEN_GGXWDG_NGDP_Value,ODA/KEN_GGXWDN_NGDP_Value,ODA/KEN_GGXCNL_NGDP_Value,ODA/KEN_GGXONLB_NGDP_Value,ODA/KEN_GGR_NGDP_Value,ODA/KEN_GGX_NGDP_Value,ODA/KEN_NGSD_NGDP_Value,ODA/KEN_PPPEX_Value,ODA/KEN_PCPIPCH_Value,ODA/KEN_PCPIEPCH_Value,ODA/KEN_PCPI_Value,ODA/KEN_PCPIE_Value,ODA/KEN_PPPSH_Value,ODA/KEN_NID_NGDP_Value
1991-12-31,,0.0308518935783,0.04711929749411,-0.67387543252595,-0.17835038524694,-0.17835038524694,-2.6924210526316,-2.6924210526316,,,1.0843405855493,141.22222222222,-0.28964344358433003,-0.043417569193742005,-0.014882742032471,0.08483199242782799,0.70571428571429,-0.65025011478698,0.19104961247098998,0.1446993130599,-0.0070921985815601,-0.11306567014538
1992-12-31,,0.029003783102144,0.01176109633872,-0.26790450928382004,-1.7667947732513,-1.7667947732513,-0.91056101505162,-0.91056101505162,,,0.26855670103093,0.071875,-0.055807809791134,0.070849896844965,-0.27056310086983,0.13851019740429998,0.43069514237856,1.3263317902301002,0.27334558823529004,0.33669064748201,-0.11428571428571001,-0.27366149419381003
1993-12-31,,0.027083333333332994,0.022819165066207996,-3.2379227053140003,-3.3406174819567003,-3.3406174819567003,16.044506258692998,16.044506258692998,,,0.034843559528647004,-0.34548104956268,0.10964413744863,0.07504346600253799,0.32018828451883,0.22454258070696,0.6822405971023001,0.6246398764442099,0.4597661325249,0.5470083226128301,-0.016129032258065,0.10271646859083
1994-12-31,,0.025215765819512,0.047140210006177005,-1.0766324878575,0.63700214132762,0.63700214132762,-3.0949816401468997,-3.0949816401468997,,,-0.53352311769903,-1.5627319970304,0.41620045701678,-0.0066439374071161,-0.036764123286586,0.10498318078698,-0.37332260379739,-0.87912248628885,0.28815838920865006,0.066119068630779,-0.0081967213114754,-0.09263536053374401
1995-12-31,,0.023315358653063,0.064601373192082,25.5,-0.13138342402679,-0.13138342402679,0.24908467710524002,0.24908467710524002,,,-1.0042087542088,2.1418205804749,0.16680576420185997,-0.078104373844935,-0.14979024430369,0.09253097345132699,-0.94606788366766,0.042044767090139,0.015538631617737001,0.0689111747851,0.0082644628099174,-0.0025452488687783
1996-12-31,,0.022973690196376,0.059107732541389006,-0.61759234653202,-0.34618396482140007,-0.34618396482140007,-0.9325516854283,-0.9325516854283,,,-17.5,-0.14192735670796,-0.027609556053598,-0.010977996277027,0.13099845201238,0.05754276827371701,4.7027027027027,0.5477503628447,0.08861505896583,0.10662854249505001,0.0,-0.14119648426425
1997-12-31,,0.022605988734065,0.019356323763288,1.0771369006254001,-1.9221485166759,-1.9221485166759,-0.48127600554785,-0.48127600554785,,,1.3727272727272999,-0.44653780278933003,-0.0012259709690074,0.020703633994498,-0.12686056458512,0.098345588235294,0.34552019860077,0.1245311327832,0.119248343773,0.11991817949374002,-0.040983606557377,0.064212611422912
1998-12-31,,0.020982822352685,0.044505573460883,0.17765138842422,-0.7955839744230201,-0.7955839744230201,-3.8502673796791,-3.8502673796791,,,-1.7062579821201,0.59902740937224,0.028281042863456,-0.035933806146571996,0.097188204173606,0.057461645746164004,-0.43676618584368,-0.9443795863909301,0.06715723379701401,0.0066810862773371,0.0085470085470084,-0.044439274080968
1999-12-31,,0.022894260462145,0.039759438690277,-0.54431818181818,1.5488758553275002,1.5488758553275002,1.2473420888055,1.2473420888055,-0.017239436619718003,-0.008867311318861999,1.4014466546112,0.27702515897152,-0.064317433032517,-0.10407062285434,0.06375569247254201,0.025217620680558998,-0.14338892197737,14.746626686656999,0.057523924696799004,0.10503008021389998,-0.0084745762711863,-0.13724535346157002
2000-12-31,,0.023457561246442996,0.028882504158476,-0.13715710723191998,-0.055608820709492,-0.055608820709492,-1.9404480311674,-1.9404480311674,-0.020369945731101,-0.0098777426928995,-1.234186746988,-0.54037670491448,-0.067207593386405,0.017626450624042,0.17611013178879997,0.037204754798539,0.73040152963671,0.12158430924498,0.09955358124601402,0.11779638131245,-0.042735042735043,0.47309501411100996
2001-12-31,,0.027632738862141,0.066780570252792,0.5628612716763001,-4.7829441624365,-4.617868020304599,0.69255807072052,0.33939931942595,0.076424921000273,0.053561206967046,3.8070739549839003,-0.6971267074894001,-0.010230318945238001,0.0536847767617,0.055884662051245995,-0.005953562214725,-0.4149673530889,-0.7518675721561999,0.05824,0.029232701971395002,0.017857142857143002,0.08206143431892199
2002-12-31,,0.027648553235012995,0.020510789260682002,-0.63892741562644,-0.40749288819709,-0.11364911886856,-1.3340034965035001,-1.1210648403844,0.09856117715279801,0.11166951257372999,0.7230769230769201,-1.4136858475893999,0.0025978332964847,0.057535225648355996,0.078342571312694,-0.0010481133958874,-0.62980769230769,0.18508381799520998,0.021564106440883,0.03463687150838,-0.026315789473683997,-0.012393767705382
2003-12-31,,0.027675217516936,0.05287049849809299,-1.9884763124200002,-0.6351118760757299,-0.69036915088963,-1.3383930908139,-2.3859489051095,-0.028141134552892005,-0.037667347401861,-0.37694099378882,-2.218045112782,0.051491261921825994,-0.0017861453053343,-0.029085438475522002,0.04241818636023,1.7750463821892,0.34815242494226,0.059830166688249996,0.046699457320724995,-0.009009009009009002,-0.12537349109596999
