Date,ODA/CZE_LE_Value,ODA/CZE_LP_Value,ODA/CZE_PPPGDP_Value,ODA/CZE_BCA_NGDPD_Value,ODA/CZE_TX_RPCH_Value,ODA/CZE_TXG_RPCH_Value,ODA/CZE_TM_RPCH_Value,ODA/CZE_TMG_RPCH_Value,ODA/CZE_GGXWDG_NGDP_Value,ODA/CZE_GGXCNL_NGDP_Value,ODA/CZE_GGXONLB_NGDP_Value,ODA/CZE_GGR_NGDP_Value,ODA/CZE_GGSB_NPGDP_Value,ODA/CZE_GGX_NGDP_Value,ODA/CZE_NGSD_NGDP_Value,ODA/CZE_PPPEX_Value,ODA/CZE_PCPIPCH_Value,ODA/CZE_PCPIEPCH_Value,ODA/CZE_PCPI_Value,ODA/CZE_PCPIE_Value,ODA/CZE_PPPSH_Value,ODA/CZE_NID_NGDP_Value,ODA/CZE_LUR_Value
1996-12-31,-0.02,-0.0011613277847673,0.06447636442901099,1.6756415649978997,,,,,-0.14758433390509,-0.75523273976882,-0.7894105414700501,-0.041510184793693,-0.6819506646761899,-0.21389900209391002,-0.078970360911351,0.079024982650937,,,0.087663846797434,0.08721804511278199,0.0083798882681564,0.05081686634510701,-0.025
1997-12-31,0.0,-0.0011626780350742,0.0084522557001532,-0.042452830188679,0.64580491132333,3.3935064935065,-0.42634981652979004,-0.026685094620455,0.055085101031274,0.15475430759413,0.22331940751993998,0.010794540453578002,-0.14170764416629,0.021645229410635,-0.11011383537653,0.061017766701502996,-0.019733089996578,0.15764732859435998,0.08594017094017099,0.10096818810511998,-0.049861495844874995,-0.097370291400142,0.23076923076923
1998-12-31,-0.015918367346939,-0.0009700261907071301,0.0084654380461573,-0.66371100164204,0.20412392498187,0.074268400827668,0.07386536704233901,-0.27241944292736,0.15066751430388,0.3335175462835,0.34306116113008,-0.021101812394106002,0.18776041666667004,0.0090195894207733,0.08667486674866799,0.08455826640400099,0.24528740982081,-0.32811726255323,0.10702714047722,0.0678391959799,-0.026239067055393996,-0.063221784776903,0.34979166666667
1999-12-31,-0.022397345499792998,-0.00087387124963592,0.032348550598854,0.14990234375,-0.51122967042423,-0.4153539244686,-0.29882286200539,-0.42876444978231,0.093024861878453,-0.25694156651471,-0.29519186315303003,0.0132434700514,-0.41065555799167,-0.017086456538945,-0.051350739511017,0.0097806343439989,-0.80349467389273,-0.65315448113208,0.021032799317471,0.023529411764706,-0.017964071856286998,-0.036948831996638,0.35144312393888005
2000-12-31,-0.0070004242681375,-0.0011661807580174,0.06556186274246,0.94097664543524,2.0397887323944,1.2975644193435,2.2380663430421,4.103285151117,0.12447084096797001,0.010875627440045001,0.1390619875369,-0.015917384890131,0.17038690476190002,-0.013665214096249,0.0085510877779103,-0.0088556800885568,0.8074179743224001,0.70973225669358,0.038007589912611,0.040229885057471,-0.0060975609756098,0.088406429558513,0.0077661032434901
2001-12-31,0.00064088869899597,-0.0044755789064021,0.054471318925470004,0.11179173047473,-0.32839105756979,-0.27623290828084,-0.22062589793241003,-0.26295190029869003,0.34219250435466997,0.54179310344828,0.51022171033688,0.0076271632212929,0.7310870947234599,0.05409753403606501,-0.030325735468096998,0.023104844338964,0.23046566692976,0.01615709669401,0.046767737751839004,0.040883977900553,0.0061349693251534,-0.0086204016171606,-0.07456935630099701
2002-12-31,0.010034158838599,-0.0030297107114932,0.037177814224658996,0.06985438803620599,-0.7896688513280401,-0.5826788367650201,-0.62194437765488,-0.7118501956400201,0.13304307782476,0.16890320271963,0.18169685414681,0.019680517853413997,0.07914065369078199,0.038678815489749004,-0.075358900321282,0.010984512519614999,-0.59846055163566,-0.84417808219178,0.018777036048063998,0.0063694267515923,-0.0060975609756098,-0.050520710458023,-0.10445750673524
2003-12-31,-0.0063411540900444,-0.00078423683952562,0.058353003641651996,0.1166084237631,2.1094710947109,0.54747371990505,0.57239771040916,1.033462657614,0.055939405135784,0.023725700290831,0.0058083252662148,0.10863666615471,-0.021099200272248,0.09649546032720697,-0.077278325123153,-0.010797678499123,-0.9392971246006401,0.65620094191523,0.0011427612886993,0.010548523206750999,-0.0030674846625767,-0.039826778361493995,0.06823465062218
2004-12-31,-0.0021272069772388,0.000196213087413,0.076228024255115,-0.16883544720804003,0.79153481012658,0.5106825901172299,0.35148982068221996,0.28523730026234,0.01273662479443,-0.57685406698565,-0.648861084376,-0.06605864696375001,-0.53537284894837,-0.13438537541502002,0.05171838505171799,0.012552872151726003,23.342105263158,1.5725118483412,0.027751015791898998,0.02713987473904,-0.0061538461538462,0.0022181146025878,0.06515616999488
2005-12-31,0.015561713920273001,0.00039234919077975,0.10186813131134,-0.8156956004756201,-0.14388753955987,-0.22497824194951999,-0.41320830007981,-0.5040823900538101,-0.018277303665826,0.14628975265018,0.15714938328004,-0.01695962817375,0.0029928918817808,-0.00628480325331,0.15903734590283,-0.034564074922517,-0.33585585585586,-0.17612380250553,0.018422286075279,0.022357723577236,0.018575851393189,-0.022390261895979,-0.04735007811561099
2006-12-31,0.013434089000840001,0.0024512207079126,0.10308643110711001,1.2677419354839,0.18956327372765,0.30619502152349,0.8282896973818399,1.0052385406922,-0.0047159850777786,-0.27157829839704,-0.33793920252665005,-0.0039986922515906,0.39723983588213,-0.024182109889087998,0.00039103742228123,-0.02463535487473,0.37981551817689,-0.24418604651163,0.025432716358179,0.016898608349901,0.015197568389058001,0.044862845715579,-0.098271729531979
