Date,ODA/KIR_LE_Value,ODA/KIR_LP_Value,ODA/KIR_PPPGDP_Value,ODA/KIR_BCA_NGDPD_Value,ODA/KIR_TX_RPCH_Value,ODA/KIR_TXG_RPCH_Value,ODA/KIR_TM_RPCH_Value,ODA/KIR_TMG_RPCH_Value,ODA/KIR_GGXWDG_NGDP_Value,ODA/KIR_GGXCNL_NGDP_Value,ODA/KIR_GGXONLB_NGDP_Value,ODA/KIR_GGR_NGDP_Value,ODA/KIR_GGX_NGDP_Value,ODA/KIR_PPPEX_Value,ODA/KIR_PCPIPCH_Value,ODA/KIR_PCPIEPCH_Value,ODA/KIR_PCPI_Value,ODA/KIR_PCPIE_Value,ODA/KIR_PPPSH_Value
1991-12-31,,0.013888888888889,0.013157894736841999,-2.1579113924051003,-1.2990644038294,-2.8992879238896,-1.7364600020451,-1.7408632091890002,,0.033389926428976,0.032960766423358,-0.29301191151446004,-0.26327023014105,0.18562874251497,0.53809162237408,0.53809162237408,0.06077051526717501,0.06076622130361,0.0
1992-12-31,,0.013698630136986,0.025974025974026,-1.9817436458049,-2.5805747544562,-1.3264393601819,-2.3272087749340002,-2.9481324876673995,,-0.44797371303395,-0.45092193883184,0.27189871792815,0.17991350715874999,0.050505050505050005,-0.30607207503702005,-0.30607207503702005,0.042179681790071,0.042170603053541,0.0
1993-12-31,,0.013513513513513998,0.025316455696203,-0.9079672624018701,-0.5698504027618001,-0.14196281477995001,-1.536945984587,-1.5538031158056997,,-1.0503968253968001,-1.0635431329178,-0.12311709938687,-0.17856380328802002,0.026442307692307997,0.44866018496562,0.44866018496562,0.061093204223928006,0.061096940478893,0.0
1994-12-31,,0.026666666666667005,0.037037037037037,-1.4652147610405002,0.7972177635098999,-2.3638707553898,0.23366670996232997,-0.24455669743947,,-5.374015748031501,-4.268987341772201,-0.05524623419223999,-0.035724600011552005,0.048009367681499,-0.34522835161238,-0.34522835161238,0.039997966420519,0.03999697946033,0.0
1995-12-31,,0.012987012987013,0.011904761904761998,-14.889466840051998,-2.7916046442394,0.36955997104014005,-2.3769740998105,-2.7238874798248,,6.530153015301501,6.957405614714401,0.17176054943884,0.27754649734943,-0.0078212290502793,0.025,0.025,0.041001637621293996,0.041000072609337995,0.0
1996-12-31,,0.012820512820513002,0.047058823529412,1.3208501076678,-6.1877700232635,-2.1412334801762,-1.3566158198570002,-1.2352036380659,,2.2066698541716,2.2468369829683996,-0.26579679255582,-0.023337865716429,0.07882882882882901,-1.4065853658537,-1.4065853658537,-0.016670384240617,-0.01668177907977,0.0
1997-12-31,,0.012658227848101002,0.044943820224719,-1.2495058291984,-2.5317104420242997,-1.4704444272883999,-1.2798027444253999,-1.6155814614728001,,-1.1692697655347,-1.1888043763348,0.57781357312281,0.015314266511443998,0.018789144050104,-2.5320935812837,-2.5224955008997996,0.025536944401332,0.025382150921536,0.0
1998-12-31,,0.025,0.08602150537634401,2.9346806790622,-1.1562735257215,-0.7392374596575699,-3.6551724137931,-2.8817551963048,,2.0118916538207,1.7521333597936002,0.11031333789560001,0.0082272421007839,0.06352459016393401,0.43617854346124,0.86209613869188,0.036682188591385,0.047259436899025,0.0
1999-12-31,,0.012195121951219998,-0.01980198019802,-0.89197074293228,-1.7302288237656,5.490874764002499,-3.0666666666667,-3.0035591556209997,,-1.3297506763179,-1.3130227862706,-0.16873800141457,0.017434021549248002,0.039499036608862996,-0.52153762268266,-0.90901396529835,0.017551740014148998,0.0043046029526714,0.0
2000-12-31,,0.012048192771084,0.080808080808081,-2.3883605933815,-5.912589334799299,-2.6938142330812003,-0.7412372573662901,-0.7954670750382801,,-0.6813747228381399,-0.7049067035245301,-0.12727604229974,-0.15607282784051998,0.0083410565338277,-0.78518518518519,1.4023255813953,0.0037742512194583,0.01032622993949,0.0
2001-12-31,,0.023809523809523996,0.028037383177569996,-0.48520547945204995,-1.9430393912265,-0.99496279336005,0.83783054506206,-0.07517220724767901,,8.1217814892136,9.143637782982,0.27135475424449,0.42537822928614,0.015625,14.920424403183,6.3988383349468,0.060018030696161,0.07643816591801801,0.0
2002-12-31,,0.023255813953488,0.027272727272727,9.2240553485897,-0.33056445551996005,81.193181818182,1.4334165320805001,4.1716321243523,,-0.9653646628013399,-0.97591195936586,0.09383010889332,-0.039161214304189,0.067873303167421,-0.47084305231589,-0.8914038989925401,0.031748171964943,0.0082954511092521,0.0
2003-12-31,,0.011363636363636001,0.053097345132743,-0.097548279631461,-1.4729378397542,0.37084658279183,-1.6837818269579,-1.8612398246713,,26.006607929515,37.811501597444,-0.22230011918235001,-0.10357822952911999,-0.01271186440678,-0.48583123425693,0.53373493975904,0.016325545860308002,0.012725673271088003,0.0
2004-12-31,,0.022471910112359997,0.067226890756303,-0.04741304724000701,2.3883058470765,-0.25556377328044,-1.1640342363011,-1.3836702050313001,0.07076813655761,0.8792105048527901,0.88738887059598,0.06869196790769,0.17923080345226,-0.060944206008584,-1.4531537048377,-1.5200314218382,-0.0073986152324430005,-0.0066135607608556,0.0
2005-12-31,,0.021978021978022,0.023622047244095,1.2885861338177,-1.7591076696165002,-4.0251535404624,14.126949973104,3.3879097972332994,-0.07688475589505099,-0.33891758170218,-0.34089323098395,0.051599686690366,-0.033283974836598,-0.025594149908592004,-0.52567567567568,-0.043806646525680004,-0.0035076530612245,-0.0063296799387899,0.0
