Date,ODA/DJI_LE_Value,ODA/DJI_LP_Value,ODA/DJI_PPPGDP_Value,ODA/DJI_BCA_NGDPD_Value,ODA/DJI_TX_RPCH_Value,ODA/DJI_TXG_RPCH_Value,ODA/DJI_TM_RPCH_Value,ODA/DJI_TMG_RPCH_Value,ODA/DJI_GGXWDG_NGDP_Value,ODA/DJI_GGXCNL_NGDP_Value,ODA/DJI_GGR_NGDP_Value,ODA/DJI_GGX_NGDP_Value,ODA/DJI_NGSD_NGDP_Value,ODA/DJI_PPPEX_Value,ODA/DJI_PCPIPCH_Value,ODA/DJI_PCPIEPCH_Value,ODA/DJI_PCPI_Value,ODA/DJI_PCPIE_Value,ODA/DJI_PPPSH_Value,ODA/DJI_NID_NGDP_Value
1991-12-31,,,,,-0.8587037037037,-0.9648387096774201,-0.6945544554455401,-0.79433333333333,,,,,-0.070457634798369,,,,,,,-0.16103307657454
1992-12-31,,0.028112449799197005,0.022203245089667003,-2.7473736868434,-11.283093053735001,-31.823066841415,-1.2431118314425,-1.2431118314425,,2.8756775067751,0.07129585390455,0.27504553734062004,-0.21165001218621002,0.010669211703370002,,,0.033713389677351,0.038683504547536,0.0,0.062162454093757
1993-12-31,,0.02734375,-0.044277360066834005,-1.6464357286001,-1.8252612796328997,-1.6488646993792,12.053333333333,12.053333333333,,0.13582728782449002,-0.018161546085233002,0.015868725868726,0.31354727014159,0.02011247198771,0.3165232868585,0.39777720341173,0.044376454254458,0.054075165992617004,-0.25,-0.03467737834952
1994-12-31,,0.028517110266160002,0.012237762237761999,-0.65146147032772,-1.9216988416988001,-1.1160550458716,-0.09336057201225698,-0.09336057201225698,,-0.14497883801462,-0.07997072702955099,-0.09604347991334401,-0.23889098098287,0.042858327115974995,0.46575033799009,0.060835798816568004,0.065053359756773,0.057384984999343,0.0,-0.18978140637345
1995-12-31,,0.027726432532347998,-0.014680483592401001,0.83100381194409,0.6571715817694399,19.290796160360998,0.27174402884182003,0.27174402884182003,,-0.23436234362344,-0.15752372593121,-0.17545408678103,-0.38895417156287,0.027437731849497004,-0.2488854727133,-0.17971065016559,0.04886392529413099,0.04705869054078501,0.0,-0.45143674424652
1996-12-31,,0.026978417266187,-0.023663453111306,-0.6648160999306,-0.46673407482304996,-0.66483929316822,-0.36153437278526,-0.36153437278526,,-0.54155401434113,0.0014650822073906,-0.11631227372393,-0.032894736842105,0.016569741202563,-0.28100695865739,-0.44092647683808,0.035127928245587005,0.026309823269672995,0.0,0.07513628821995699
1997-12-31,,0.028021015761821,0.0089766606822262,-3.8178053830228,-0.91884717481987,-1.3528727997343,-0.89371444429027,-0.89371444429027,,0.11102564102564,0.010858257477243,0.022129255626082003,-0.14076399790684999,0.0079405347810645,-0.28266438941076,-0.077537058152794,0.025196397777352,0.024267861651098,0.0,0.05511463844797199
1998-12-31,,0.028960817717206003,0.012455516014235002,1.4996326230713002,-11.030373831775998,-3.8524705882352994,-12.374673629243,-12.374673629243,,-1.1036233556427,0.09902231941853698,-0.04807068055438,0.07040194884287401,0.011074475850091999,-0.125,-0.16852080758138002,0.02204363039799,0.020180546569306998,0.0,0.27350605933974
1999-12-31,,0.028145695364238,0.045694200351494,-0.97119341563786,-2.3610528767761,-0.68250433061123,-1.3432801560886,-1.3432801560886,,-7.4053452115813,-0.11728557633219,-0.020222986597082,-0.038916704597178,0.0052400985785767,-1.1818594104308,-1.2859266600595,-0.004012922626788,-0.0057683015221067,0.0,-0.29901558654634997
2000-12-31,,0.027375201288245,0.026890756302521,48.030612244898,-0.078213246619887,-4.2941023642505005,-2.4757606151788996,-2.4757606151788996,-0.0057255170056401,-0.38838664812239,0.022310624896403,-0.013467707765873999,-0.45086431446839004,0.0012134269405544,-5.9925187032419,-5.103986135182,0.020023052520987,0.023682958192845,0.0,0.10497366881216999
2001-12-31,,0.028213166144201,0.040916530278232006,-1.257232049948,-2.5321203119197997,-1.1615269343008001,-2.6264159492524,-2.6264159492524,-0.0011688869789428,-0.20181921546333,-0.090861923600752,-0.09684940331932401,1.0696420871065,-0.0021889415169242,-0.12087912087911999,-0.3986486486486501,0.0176,0.014243041680679,0.0,-0.11438254607075
2002-12-31,,0.027439024390244,0.047955974842767,0.9733009708737901,-0.36754726127,-7.18701171875,-1.1005711101825,-1.1005711101825,0.096838590875454,1.6011396011396,0.041839064060493994,0.11620244565217,0.34951557453901,-0.015120717862278,-0.64034090909091,-0.028089887640449,0.0063187893081761,0.013847984240604,0.0,0.25747428844774
2003-12-31,,0.028189910979227996,0.052513128282071,0.39237392373924,0.9940601647825301,-0.80262015626233,24.63296398892,24.63296398892,0.040637650233783996,-0.38006571741512,0.16542846382964002,0.10480508809835,0.41330863053883,0.00018876472364845,2.1090047393364997,0.29552023121387,0.019686923234671,0.017929628133356003,-0.33333333333333,0.41816452686637995
2004-12-31,,0.028860028860029002,0.056307911617961,-1.3863368669022,-1.3893533198808,-1.5133946421431002,-0.6619117090830501,-0.6619117090830501,-0.014700560882937998,-0.16298586572438,0.04594459622220299,0.032915576366892,0.0042604325977714,0.0052592508712994,0.5843495934959301,0.7138873396542099,0.031182064566793,0.030739137830022998,0.0,0.32088251072961
2005-12-31,,0.02805049088359,0.06410256410256401,1.436737804878,-3.7808489634748,-1.6152647975078,1.198337861595,1.198337861595,-0.076328635480268,-1.1387862796833998,0.041791883162477006,-0.017866666666667,0.10062003698466002,-0.0005757412668811901,-0.0019243104554201,0.13342011064107,0.031121430229857996,0.034827968719919,0.0,0.18967355434838
